,datadate,tic,prccd,ajexdi,prcod,prchd,prcld,cshtrd
0,20120208,ذوب.csv,1304.0,1.0,1304.0,1304.0,1304.0,248387500
1,20120212,ذوب.csv,1369.0,1.0,1369.0,1369.0,1320.0,75848282
2,20120213,ذوب.csv,1311.0,1.0,1379.0,1397.0,1301.0,23435322
3,20120214,ذوب.csv,1317.0,1.0,1320.0,1324.0,1293.0,12352753
4,20120215,ذوب.csv,1290.0,1.0,1311.0,1324.0,1282.0,9402675
5,20120218,ذوب.csv,1300.0,1.0,1290.0,1323.0,1290.0,10763775
6,20120219,ذوب.csv,1280.0,1.0,1300.0,1313.0,1268.0,8287222
7,20120220,ذوب.csv,1240.0,1.0,1251.0,1270.0,1235.0,7255902
8,20120318,ذوب.csv,1505.0,1.0,1450.0,1549.0,1402.0,50477765
9,20120324,ذوب.csv,1551.0,1.0,1551.0,1551.0,1551.0,780221
10,20120325,ذوب.csv,1628.0,1.0,1628.0,1628.0,1628.0,1107443
11,20120326,ذوب.csv,1709.0,1.0,1683.0,1709.0,1580.0,35810039
12,20120327,ذوب.csv,1759.0,1.0,1750.0,1759.0,1740.0,6474176
13,20120328,ذوب.csv,1844.0,1.0,1844.0,1844.0,1844.0,468277
14,20120402,ذوب.csv,1851.0,1.0,1899.0,1925.0,1822.0,44896673
15,20120403,ذوب.csv,1787.0,1.0,1821.0,1830.0,1787.0,12919026
16,20120404,ذوب.csv,1784.0,1.0,1752.0,1810.0,1748.0,12630819
17,20120407,ذوب.csv,1852.0,1.0,1770.0,1868.0,1770.0,11614226
18,20120408,ذوب.csv,1880.0,1.0,1900.0,1940.0,1850.0,22050791
19,20120409,ذوب.csv,1905.0,1.0,1931.0,1965.0,1900.0,6497534
20,20120410,ذوب.csv,2005.0,1.0,1970.0,2018.0,1968.0,15758626
21,20120411,ذوب.csv,2094.0,1.0,2000.0,2094.0,1990.0,11247915
22,20120414,ذوب.csv,2167.0,1.0,2150.0,2167.0,2107.0,42588864
23,20120415,ذوب.csv,2271.0,1.0,2271.0,2271.0,2250.0,54534304
24,20120416,ذوب.csv,2170.0,1.0,2285.0,2300.0,2158.0,25315913
25,20120417,ذوب.csv,2192.0,1.0,2200.0,2230.0,2100.0,12988892
26,20120418,ذوب.csv,2276.0,1.0,2195.0,2276.0,2195.0,26599215
27,20120421,ذوب.csv,2200.0,1.0,2300.0,2330.0,2183.0,6825525
28,20120422,ذوب.csv,2164.0,1.0,2189.0,2200.0,2150.0,4886382
29,20120423,ذوب.csv,2089.0,1.0,2160.0,2160.0,2061.0,14799724
30,20120424,ذوب.csv,2085.0,1.0,2030.0,2160.0,2001.0,6179016
31,20120428,ذوب.csv,1990.0,1.0,2090.0,2090.0,1990.0,12686141
32,20120429,ذوب.csv,1905.0,1.0,1957.0,1989.0,1905.0,6441177
33,20120430,ذوب.csv,1932.0,1.0,1901.0,1957.0,1880.0,8112389
34,20120501,ذوب.csv,1890.0,1.0,1940.0,1962.0,1881.0,4328093
35,20120502,ذوب.csv,1889.0,1.0,1880.0,1900.0,1850.0,2869438
36,20120505,ذوب.csv,1835.0,1.0,1890.0,1899.0,1820.0,3383765
37,20120506,ذوب.csv,1909.0,1.0,1842.0,1929.0,1841.0,3594916
38,20120507,ذوب.csv,1880.0,1.0,1900.0,1925.0,1860.0,2785501
39,20120508,ذوب.csv,1860.0,1.0,1899.0,1899.0,1860.0,1648458
40,20120509,ذوب.csv,1858.0,1.0,1856.0,1889.0,1821.0,4350120
41,20120512,ذوب.csv,1754.0,1.0,1860.0,1860.0,1754.0,8680780
42,20120513,ذوب.csv,1800.0,1.0,1742.0,1822.0,1701.0,3181276
43,20120514,ذوب.csv,1870.0,1.0,1800.0,1870.0,1800.0,6715011
44,20120515,ذوب.csv,1861.0,1.0,1928.0,1928.0,1861.0,4007663
45,20120516,ذوب.csv,1840.0,1.0,1895.0,1895.0,1827.0,1971969
46,20120519,ذوب.csv,1827.0,1.0,1850.0,1850.0,1790.0,1047287
47,20120520,ذوب.csv,1865.0,1.0,1837.0,1899.0,1822.0,2077283
48,20120526,ذوب.csv,1745.0,1.0,1700.0,1763.0,1652.0,8305595
49,20120527,ذوب.csv,1774.0,1.0,1750.0,1785.0,1725.0,2051791
50,20120528,ذوب.csv,1738.0,1.0,1775.0,1788.0,1720.0,1360503
51,20120529,ذوب.csv,1724.0,1.0,1738.0,1754.0,1715.0,1528862
52,20120530,ذوب.csv,1780.0,1.0,1727.0,1800.0,1713.0,2624847
53,20120602,ذوب.csv,1761.0,1.0,1794.0,1842.0,1760.0,13753380
54,20120605,ذوب.csv,1745.0,1.0,1745.0,1745.0,1745.0,142509
55,20120606,ذوب.csv,1658.0,1.0,1658.0,1693.0,1658.0,10723379
56,20120609,ذوب.csv,1576.0,1.0,1639.0,1639.0,1576.0,4440448
57,20120610,ذوب.csv,1560.0,1.0,1540.0,1580.0,1508.0,5034242
58,20120611,ذوب.csv,1580.0,1.0,1597.0,1613.0,1558.0,11908534
59,20120612,ذوب.csv,1529.0,1.0,1596.0,1596.0,1525.0,3148642
60,20120613,ذوب.csv,1539.0,1.0,1539.0,1573.0,1510.0,2422747
61,20120616,ذوب.csv,1513.0,1.0,1549.0,1565.0,1511.0,2230973
62,20120617,ذوب.csv,1550.0,1.0,1517.0,1550.0,1490.0,2870569
63,20120619,ذوب.csv,1541.0,1.0,1550.0,1550.0,1500.0,806484
64,20120620,ذوب.csv,1493.0,1.0,1553.0,1553.0,1493.0,1370701
65,20120623,ذوب.csv,1438.0,1.0,1500.0,1500.0,1438.0,6791255
66,20120624,ذوب.csv,1404.0,1.0,1401.0,1476.0,1395.0,3251883
67,20120625,ذوب.csv,1390.0,1.0,1402.0,1420.0,1390.0,1850061
68,20120626,ذوب.csv,1334.0,1.0,1400.0,1400.0,1334.0,1962588
69,20120627,ذوب.csv,1320.0,1.0,1285.0,1330.0,1282.0,7333720
70,20120630,ذوب.csv,1356.0,1.0,1356.0,1356.0,1356.0,1112768
71,20120701,ذوب.csv,1423.0,1.0,1419.0,1423.0,1380.0,2970200
72,20120702,ذوب.csv,1486.0,1.0,1486.0,1486.0,1486.0,124304
73,20120703,ذوب.csv,1530.0,1.0,1560.0,1560.0,1500.0,9107701
74,20120704,ذوب.csv,1530.0,1.0,1521.0,1560.0,1480.0,3165647
75,20120707,ذوب.csv,1468.0,1.0,1517.0,1530.0,1468.0,1985973
