date,open,high,low,adjClose,value,volume,count,close
2001-03-26,5151.0,5151.0,5151.0,5151.0,3420264,664,6,5151.0
2001-03-27,5151.0,5151.0,5151.0,5151.0,51510000,10000,6,5151.0
2001-03-28,5150.0,5151.0,5150.0,5151.0,2857658478,554778,17,5151.0
2001-03-31,5151.0,5151.0,5151.0,5151.0,1112616,216,1,5151.0
2001-04-03,5151.0,5151.0,5151.0,5151.0,391476,76,2,5151.0
2001-04-07,5151.0,5250.0,5151.0,5250.0,8497361,1625,3,5250.0
2001-04-08,5350.0,5350.0,5350.0,5350.0,8025000,1500,1,5350.0
2001-04-09,5420.0,5420.0,5420.0,5420.0,10840000,2000,1,5420.0
2001-04-10,5639.0,5679.0,5420.0,5420.0,5162448488,909388,15,5420.0
2001-04-15,5420.0,5420.0,5420.0,5420.0,14016120,2586,8,5420.0
2001-04-16,5422.0,5422.0,5421.0,5422.0,1935597,357,3,5422.0
2001-04-18,5422.0,5422.0,5422.0,5422.0,1209106,223,1,5422.0
2001-04-21,5422.0,5430.0,5420.0,5430.0,5816554,1072,4,5430.0
2001-04-22,5430.0,5431.0,5430.0,5431.0,12625278,2325,5,5431.0
2001-04-23,5433.0,5434.0,5433.0,5434.0,4096904,754,4,5434.0
2001-04-24,5436.0,5436.0,5436.0,5436.0,989352,182,2,5436.0
2001-04-28,5436.0,5436.0,5434.0,5436.0,13816239,2542,10,5436.0
2001-04-29,5438.0,5438.0,5438.0,5438.0,1185484,218,2,5438.0
2001-04-30,5438.0,5438.0,5438.0,5438.0,8842188,1626,5,5438.0
2001-05-01,5434.0,5438.0,5434.0,5438.0,17685549,3253,6,5438.0
2001-05-02,5438.0,5438.0,5438.0,5438.0,1223550,225,1,5438.0
2001-05-05,5442.0,5443.0,5441.0,5441.0,27209000,5000,5,5441.0
2001-05-06,5444.0,5446.0,5443.0,5445.0,10845204,1992,5,5445.0
2001-05-07,5445.0,5447.0,5445.0,5447.0,3507224,644,2,5447.0
2001-05-08,5450.0,5450.0,5447.0,5447.0,16477730,3025,2,5447.0
2001-05-09,5447.0,5447.0,5447.0,5447.0,8170500,1500,1,5447.0
2001-05-12,5447.0,5447.0,5438.0,5438.0,3029227,557,3,5438.0
2001-05-13,5438.0,5439.0,5434.0,5434.0,13160616,2421,9,5434.0
2001-05-15,5434.0,5434.0,5434.0,5434.0,548834,101,1,5434.0
2001-05-20,5419.0,5419.0,5419.0,5419.0,872459,161,3,5419.0
2001-05-21,5413.0,5413.0,5413.0,5413.0,7009835,1295,3,5413.0
2001-05-23,5449.0,5450.0,5410.0,5450.0,66339820,12190,23,5450.0
2001-05-26,5450.0,5460.0,5450.0,5460.0,3844530,705,4,5460.0
2001-05-27,5462.0,5733.0,5462.0,5462.0,61306336,10728,10,5462.0
2001-05-28,5484.0,5700.0,5482.0,5700.0,25997240,4662,10,5700.0
2001-05-29,5701.0,5702.0,5700.0,5700.0,51075582,8959,10,5700.0
2001-05-30,5850.0,5851.0,5750.0,5850.0,37877000,6500,9,5850.0
2001-06-02,5899.0,5979.0,5899.0,5979.0,22764968,3832,5,5979.0
2001-06-03,5979.0,5979.0,5979.0,5979.0,2989500,500,2,5979.0
2001-06-16,5947.0,6029.0,5944.0,6029.0,60013694,10049,17,6029.0
2001-06-17,5941.0,5941.0,5941.0,5941.0,1188200,200,1,5941.0
2001-06-18,5930.0,5930.0,5930.0,5930.0,3386030,571,1,5930.0
2001-06-19,5898.0,5898.0,5890.0,5890.0,7404240,1256,3,5890.0
2001-06-26,5788.0,5830.0,5736.0,5828.0,327545991,56316,27,5828.0
2001-06-27,5783.0,5796.0,5778.0,5778.0,25714085,4445,8,5778.0
2001-06-30,5778.0,5778.0,5778.0,5778.0,8464770,1465,7,5778.0
2001-07-09,5490.0,5490.0,5490.0,5490.0,5995080,1092,2,5490.0
2001-07-10,5400.0,5400.0,5216.0,5216.0,13612800,2572,2,5216.0
2001-07-14,5086.0,5086.0,4956.0,5045.0,16079253,3218,9,5045.0
2001-07-15,5028.0,5044.0,5028.0,5030.0,3789464,753,4,5030.0
2001-07-16,4990.0,4990.0,4989.0,4989.0,13849819,2776,5,4989.0
2001-08-28,4000.0,4101.0,4000.0,4100.0,13069800,3191,4,4100.0
2001-08-29,4105.0,4110.0,4100.0,4100.0,1916494580,466304,6,4100.0
2001-09-01,4100.0,4100.0,4100.0,4100.0,68576600,16726,8,4100.0
2001-09-02,4100.0,4100.0,4100.0,4100.0,8400900,2049,6,4100.0
2001-09-03,4100.0,4101.0,4100.0,4101.0,6359260,1551,6,4101.0
2001-09-04,4101.0,4101.0,4100.0,4100.0,6700329,1634,6,4100.0
2001-09-05,4100.0,4100.0,4100.0,4100.0,10032700,2447,9,4100.0
