"datadate","tic","prccd","ajexdi","prcod","prchd","prcld","cshtrd"
"20090102","CAT","46.91","1.0","44.91","46.98","44.71","7116726.0"
"20090105","CAT","46.08","1.0","46.9","47.12","45.81","11097980.0"
"20090106","CAT","45.8","1.0","46.79","46.8","45.41","10863460.0"
"20090107","CAT","43.67","1.0","45.22","45.6","43.2","9024910.0"
"20090108","CAT","44.02","1.0","42.93","44.11","42.52","9355151.0"
"20090109","CAT","43.2","1.0","43.91","44.06","42.25","8871838.0"
"20090112","CAT","41.19","1.0","43.0","43.1","40.63","9576635.0"
"20090113","CAT","41.4","1.0","41.11","41.89","40.55","9232671.0"
"20090114","CAT","39.35","1.0","40.0","40.34","38.2514","17259830.0"
"20090115","CAT","39.39","1.0","39.16","39.98","37.29","15447210.0"
"20090116","CAT","39.55","1.0","40.59","40.59","38.06","12885240.0"
"20090120","CAT","38.32","1.0","39.15","39.63","38.0","11851770.0"
"20090121","CAT","39.55","1.0","39.27","39.71","37.7176","10285560.0"
"20090122","CAT","37.23","1.0","38.89","39.0","36.33","19258270.0"
"20090123","CAT","35.66","1.0","35.99","37.23","35.01","22638080.0"
"20090126","CAT","32.67","1.0","33.6","34.24","31.7","47385950.0"
"20090127","CAT","32.32","1.0","33.24","33.42","32.1","20345750.0"
"20090128","CAT","33.0","1.0","33.26","33.51","32.615","13465590.0"
"20090129","CAT","31.85","1.0","32.61","32.66","31.63","14574040.0"
"20090130","CAT","30.85","1.0","31.58","31.73","30.06","20955240.0"
"20090202","CAT","30.29","1.0","30.1","30.8","29.6","16934640.0"
"20090203","CAT","29.99","1.0","29.81","31.03","29.81","18687480.0"
"20090204","CAT","30.6","1.0","30.44","31.57","30.2","17387690.0"
"20090205","CAT","31.61","1.0","30.35","32.09","30.2","17753680.0"
"20090206","CAT","33.28","1.0","32.38","33.85","32.21","16967240.0"
"20090209","CAT","32.72","1.0","33.47","33.6","32.4","9055098.0"
"20090210","CAT","30.92","1.0","32.86","33.31","30.61","17147120.0"
"20090211","CAT","31.13","1.0","31.35","31.93","30.65","10506610.0"
"20090212","CAT","31.02","1.0","30.75","31.09","30.03","13656640.0"
"20090213","CAT","30.94","1.0","31.41","31.84","30.85","10181370.0"
"20090217","CAT","28.98","1.0","30.3","30.5","28.52","22153940.0"
"20090218","CAT","28.44","1.0","29.16","29.22","27.77","17849340.0"
"20090219","CAT","27.02","1.0","28.95","28.98","26.86","17804720.0"
"20090220","CAT","26.66","1.0","26.14","27.27","26.02","19735120.0"
"20090223","CAT","25.12","1.0","27.26","27.26","25.06","16252530.0"
"20090224","CAT","26.04","1.0","25.25","26.32","24.42","22338430.0"
"20090225","CAT","25.03","1.0","26.04","26.05","24.36","17678020.0"
"20090226","CAT","24.23","1.0","25.4","25.72","24.15","14283860.0"
"20090227","CAT","24.61","1.0","23.75","25.23","23.5","16874700.0"
"20090302","CAT","22.17","1.0","24.07","24.2","22.03","20985840.0"
"20090303","CAT","22.47","1.0","22.65","23.29","21.71","22389620.0"
"20090304","CAT","25.44","1.0","23.81","26.39","23.66","37200770.0"
"20090305","CAT","23.49","1.0","24.7","24.7","23.18","21346110.0"
"20090306","CAT","23.23","1.0","23.9","24.91","22.52","19993570.0"
"20090309","CAT","23.92","1.0","22.88","24.86","22.72","19510690.0"
"20090310","CAT","26.51","1.0","24.76","26.97","24.53","22415760.0"
"20090311","CAT","26.31","1.0","26.97","27.13","25.66","15780630.0"
"20090312","CAT","27.02","1.0","26.21","27.17","25.27","13781940.0"
"20090313","CAT","26.78","1.0","27.44","27.61","26.02","10861060.0"
"20090316","CAT","26.42","1.0","27.07","27.4","26.28","13199040.0"
"20090317","CAT","26.83","1.0","26.51","26.85","25.67","14259370.0"
"20090318","CAT","27.47","1.0","26.24","27.93","25.7","17961920.0"
"20090319","CAT","28.41","1.0","27.97","28.85","27.77","17504270.0"
"20090320","CAT","27.07","1.0","28.63","28.9","26.7308","16531140.0"
"20090323","CAT","29.63","1.0","28.14","29.65","27.53","14433190.0"
"20090324","CAT","29.4","1.0","29.54","30.33","28.54","13691990.0"
"20090325","CAT","28.91","1.0","30.14","30.99","27.69","20683550.0"
"20090326","CAT","30.78","1.0","29.57","30.98","29.45","16110520.0"
"20090327","CAT","30.35","1.0","30.2","30.74","29.75","11265980.0"
"20090330","CAT","27.53","1.0","29.34","29.5","27.05","15748880.0"
"20090331","CAT","27.96","1.0","28.16","28.45","27.44","13386810.0"
"20090401","CAT","28.99","1.0","27.5","29.52","27.44","15273680.0"
"20090402","CAT","31.54","1.0","30.29","31.98","30.0","21562480.0"
"20090403","CAT","32.15","1.0","31.6","32.7","30.92","13413790.0"
"20090406","CAT","31.31","1.0","31.72","32.0","30.23","10800190.0"
"20090407","CAT","29.45","1.0","30.39","30.5","29.38","13088640.0"
"20090408","CAT","29.57","1.0","29.77","30.35","28.88","12795360.0"
"20090409","CAT","32.52","1.0","30.51","32.7","30.51","18068560.0"
"20090413","CAT","33.16","1.0","32.25","33.56","31.48","12437880.0"
"20090414","CAT","32.7","1.0","32.67","33.94","32.41","11023490.0"
"20090415","CAT","33.02","1.0","32.6","33.2","32.07","11210290.0"
"20090416","CAT","32.71","1.0","32.5","33.12","31.33","16225940.0"
"20090417","CAT","32.29","1.0","32.68","32.72","31.21","14718710.0"
"20090420","CAT","30.48","1.0","31.62","31.62","30.17","14358420.0"
"20090421","CAT","31.39","1.0","28.98","31.699","28.5","29447160.0"
"20090422","CAT","32.45","1.0","31.56","34.92","31.4","29654600.0"
"20090423","CAT","32.45","1.0","32.73","32.74","31.47","16288100.0"
"20090424","CAT","33.63","1.0","32.65","34.19","32.24","15795520.0"
"20090427","CAT","33.39","1.0","32.73","34.1","32.69","9647813.0"
"20090428","CAT","32.78","1.0","33.0","33.55","32.4","8480398.0"
"20090429","CAT","33.69","1.0","33.17","34.15","33.0","11980410.0"
"20090430","CAT","35.58","1.0","34.42","36.4","34.35","20101450.0"
"20090501","CAT","37.26","1.0","35.87","37.71","35.65","14104310.0"
"20090504","CAT","38.48","1.0","37.93","38.92","37.6","14398970.0"
"20090505","CAT","39.41","1.0","38.35","39.58","38.25","13608060.0"
"20090506","CAT","40.0","1.0","39.94","40.64","38.41","14755020.0"
"20090507","CAT","37.92","1.0","40.54","40.96","37.21","16970490.0"
"20090508","CAT","39.64","1.0","38.49","39.92","38.28","15555690.0"
"20090511","CAT","38.43","1.0","38.75","39.08","38.07","9477451.0"
"20090512","CAT","38.06","1.0","38.74","39.0","37.13","11919030.0"
"20090513","CAT","36.08","1.0","36.97","37.03","35.78","13414650.0"
"20090514","CAT","36.07","1.0","35.87","36.78","35.38","12054930.0"
"20090515","CAT","35.74","1.0","36.06","36.95","35.15","14009930.0"
"20090518","CAT","37.78","1.0","36.53","37.82","36.11","11012340.0"
"20090519","CAT","37.67","1.0","38.29","38.5","37.54","10535260.0"
"20090520","CAT","37.3","1.0","38.09","39.3","37.17","13805900.0"
"20090521","CAT","35.54","1.0","36.76","37.01","35.37","14098350.0"
"20090522","CAT","34.31","1.0","36.05","36.1","34.18","14292620.0"
"20090526","CAT","35.0","1.0","34.38","35.84","34.03","13782430.0"
"20090527","CAT","35.05","1.0","35.5","35.59","34.85","13517550.0"
"20090528","CAT","34.59","1.0","34.79","34.8","33.44","15025420.0"
"20090529","CAT","35.46","1.0","34.96","35.62","34.791","11058520.0"
"20090601","CAT","37.55","1.0","36.37","37.73","36.35","14313690.0"
"20090602","CAT","37.45","1.0","37.51","37.95","37.19","7733923.0"
"20090603","CAT","36.66","1.0","37.0","37.21","36.23","9228244.0"
"20090604","CAT","38.02","1.0","36.86","38.2183","36.28","11303370.0"
"20090605","CAT","38.47","1.0","38.52","38.76","37.34","15818480.0"
"20090608","CAT","38.57","1.0","38.03","38.88","36.9","13718690.0"
"20090609","CAT","38.24","1.0","38.5","38.9","37.9","10471260.0"
