"H1","datadate","tic","prccd","ajexdi","prcod","prchd","prcld","cshtrd"
"50356","20090102","INTC","15.2","1.0","14.69","15.25","14.47","52208100.0"
"50357","20090105","INTC","14.91","1.0","15.07","15.29","14.81","57318160.0"
"50358","20090106","INTC","15.37","1.0","15.09","15.51","15.08","61625900.0"
"50359","20090107","INTC","14.44","1.0","14.79","15.06","14.34","131384100.0"
"50360","20090108","INTC","14.55","1.0","14.45","14.57","14.25","62722870.0"
"50361","20090109","INTC","14.15","1.0","14.59","14.6","14.02","45550230.0"
"50362","20090112","INTC","13.79","1.0","14.16","14.3","13.62","54025540.0"
"50363","20090113","INTC","13.67","1.0","13.59","14.18","13.45","65560110.0"
"50364","20090114","INTC","13.08","1.0","13.46","13.63","12.97","69548290.0"
"50365","20090115","INTC","13.29","1.0","13.01","13.45","12.71","72960950.0"
"50366","20090116","INTC","13.74","1.0","13.88","13.96","13.27","83978270.0"
"50367","20090120","INTC","12.86","1.0","13.56","13.74","12.81","70418150.0"
"50368","20090121","INTC","13.26","1.0","13.01","13.26","12.5","56071370.0"
"50369","20090122","INTC","12.82","1.0","12.83","13.07","12.55","72528590.0"
"50370","20090123","INTC","13.12","1.0","12.85","13.39","12.58","63028460.0"
"50371","20090126","INTC","13.38","1.0","13.08","13.58","13.03","49553160.0"
"50372","20090127","INTC","13.81","1.0","13.51","13.95","13.5","45586530.0"
"50373","20090128","INTC","14.01","1.0","14.13","14.27","13.79","56661630.0"
"50374","20090129","INTC","13.37","1.0","13.85","13.85","13.31","51331810.0"
"50375","20090130","INTC","12.9","1.0","13.45","13.5","12.9","46410360.0"
"50376","20090202","INTC","13.63","1.0","12.82","13.71","12.75","69846850.0"
"50377","20090203","INTC","13.73","1.0","13.67","13.79","13.29","56644100.0"
"50378","20090204","INTC","13.88","1.0","13.78","14.56","13.71","77637940.0"
"50379","20090205","INTC","14.25","1.0","13.65","14.4","13.53","61017740.0"
"50380","20090206","INTC","14.73","1.0","14.44","14.88","14.21","62632800.0"
"50381","20090209","INTC","14.91","1.0","14.635","15.05","14.54","64696660.0"
"50382","20090210","INTC","14.08","1.0","14.78","15.15","14.04","93949860.0"
"50383","20090211","INTC","14.08","1.0","14.26","14.32","13.73","57378660.0"
"50384","20090212","INTC","14.0","1.0","13.81","14.0","13.49","76361160.0"
"50385","20090213","INTC","13.88","1.0","13.91","14.26","13.85","55943500.0"
"50386","20090217","INTC","13.21","1.0","13.56","13.73","13.21","60647400.0"
"50387","20090218","INTC","13.36","1.0","13.32","13.7","13.09","51288090.0"
"50388","20090219","INTC","12.68","1.0","13.33","13.38","12.6718","56129020.0"
"50389","20090220","INTC","12.78","1.0","12.53","13.02","12.53","73587210.0"
"50390","20090223","INTC","12.08","1.0","12.9","12.91","12.05","87673900.0"
"50391","20090224","INTC","12.73","1.0","12.17","12.81","12.09","74599040.0"
"50392","20090225","INTC","13.03","1.0","12.72","13.48","12.58","108129100.0"
"50393","20090226","INTC","12.71","1.0","13.32","13.6","12.66","69006100.0"
"50394","20090227","INTC","12.74","1.0","12.5","13.14","12.49","69754280.0"
"50395","20090302","INTC","12.31","1.0","12.51","13.02","12.31","64478120.0"
"50396","20090303","INTC","12.28","1.0","12.48","12.63","12.14","76489160.0"
"50397","20090304","INTC","12.76","1.0","12.7","13.05","12.36","84406910.0"
"50398","20090305","INTC","12.31","1.0","12.56","12.86","12.3","75987420.0"
"50399","20090306","INTC","12.41","1.0","12.425","12.92","12.07","79153230.0"
"50400","20090309","INTC","12.55","1.0","12.33","13.0","12.3","87027000.0"
"50401","20090310","INTC","13.92","1.0","12.8","13.95","12.75","92433180.0"
"50402","20090311","INTC","13.96","1.0","14.045","14.1","13.64","82083940.0"
"50403","20090312","INTC","14.52","1.0","14.24","14.6","13.88","84841350.0"
"50404","20090313","INTC","14.7","1.0","14.57","14.7","14.21","66619580.0"
"50405","20090316","INTC","14.25","1.0","14.79","14.85","14.14","72648070.0"
"50406","20090317","INTC","14.9","1.0","14.32","14.9","14.25","64900530.0"
"50407","20090318","INTC","15.24","1.0","14.9","15.41","14.72","91358730.0"
"50408","20090319","INTC","15.15","1.0","15.39","15.39","14.72","66400050.0"
"50409","20090320","INTC","14.65","1.0","15.19","15.4","14.35","84639020.0"
"50410","20090323","INTC","15.52","1.0","15.02","15.54","14.94","64156310.0"
"50411","20090324","INTC","15.0","1.0","15.26","15.4125","15.0","59474750.0"
"50412","20090325","INTC","14.94","1.0","15.08","15.71","14.71","94120470.0"
"50413","20090326","INTC","15.82","1.0","15.23","15.89","15.1823","77436860.0"
"50414","20090327","INTC","15.42","1.0","15.49","15.66","15.26","45662000.0"
"50415","20090330","INTC","14.72","1.0","15.09","15.1","14.48","55354860.0"
"50416","20090331","INTC","15.03","1.0","14.91","15.37","14.9","62031800.0"
