"datadate","tic","prccd","ajexdi","prcod","prchd","prcld","cshtrd"
"20090102","PFE","18.27","1.0","17.88","18.3","17.7","28722950.0"
"20090105","PFE","18.16","1.0","18.4","18.48","17.88","42162250.0"
"20090106","PFE","17.8","1.0","18.32","18.44","17.71","51220390.0"
"20090107","PFE","17.49","1.0","17.68","17.82","17.4","39265580.0"
"20090108","PFE","17.65","1.0","17.4","17.69","17.33","33265290.0"
"20090109","PFE","17.44","1.0","17.72","17.82","17.35","36083730.0"
"20090112","PFE","17.36","1.0","17.67","17.69","17.22","33839940.0"
"20090113","PFE","17.59","1.0","17.4","17.61","17.28","43361120.0"
"20090114","PFE","17.24","1.0","17.29","17.44","17.0","45570530.0"
"20090115","PFE","17.39","1.0","17.22","17.39","16.52","80743960.0"
"20090116","PFE","17.5","1.0","17.77","17.77","17.17","58757180.0"
"20090120","PFE","17.2","1.0","17.24","17.83","17.12","52359580.0"
"20090121","PFE","17.48","1.0","17.305","17.52","16.9","43780490.0"
"20090122","PFE","17.21","1.0","17.27","17.34","17.02","46721820.0"
"20090123","PFE","17.45","1.0","16.76","17.52","16.55","108517100.0"
"20090126","PFE","15.65","1.0","16.47","16.53","15.29","210403100.0"
"20090127","PFE","15.82","1.0","15.61","16.02","15.55","111620400.0"
"20090128","PFE","15.44","1.0","15.95","16.0","15.01","108803100.0"
"20090129","PFE","15.12","1.0","15.29","15.48","15.02","67641330.0"
"20090130","PFE","14.58","1.0","15.09","15.12","14.5","68700370.0"
"20090202","PFE","14.89","1.0","14.63","15.16","14.52","69157810.0"
"20090203","PFE","15.2","1.0","14.4","15.38","14.4","63392090.0"
"20090204","PFE","14.57","1.0","15.04","15.17","14.53","65636690.0"
"20090205","PFE","14.5","1.0","14.535","14.76","14.33","77127080.0"
"20090206","PFE","14.84","1.0","14.54","15.0152","14.45","63818620.0"
"20090209","PFE","14.71","1.0","15.12","15.12","14.61","47806210.0"
"20090210","PFE","14.07","1.0","13.74","14.71","13.74","75930940.0"
"20090211","PFE","14.38","1.0","14.18","14.4","14.12","50431060.0"
"20090212","PFE","14.65","1.0","14.3","14.68","14.1","65177330.0"
"20090213","PFE","14.58","1.0","14.52","14.94","14.5","58058920.0"
"20090217","PFE","14.25","1.0","14.28","14.42","14.05","63372430.0"
"20090218","PFE","14.16","1.0","14.11","14.4","14.06","48398040.0"
"20090219","PFE","14.03","1.0","14.3","14.43","13.98","41345560.0"
"20090220","PFE","13.71","1.0","13.83","14.03","13.6","62642850.0"
"20090223","PFE","13.27","1.0","13.7","13.75","13.25","67446400.0"
"20090224","PFE","13.59","1.0","13.37","13.66","13.13","65566760.0"
"20090225","PFE","13.08","1.0","13.43","13.43","12.9","74674050.0"
"20090226","PFE","12.7","1.0","13.21","13.37","12.68","74085340.0"
"20090227","PFE","12.31","1.0","12.47","12.58","12.28","100245800.0"
"20090302","PFE","11.66","1.0","12.08","12.17","11.62","105949000.0"
"20090303","PFE","11.87","1.0","11.84","12.22","11.68","83671000.0"
"20090304","PFE","12.5","1.0","12.11","12.7","11.93","90491350.0"
"20090305","PFE","12.67","1.0","12.37","12.75","12.25","101644700.0"
"20090306","PFE","12.73","1.0","12.66","12.75","12.36","83972730.0"
"20090309","PFE","12.63","1.0","12.38","12.92","12.38","70467380.0"
"20090310","PFE","13.09","1.0","12.7","13.13","12.59","95927760.0"
"20090311","PFE","12.79","1.0","13.1","13.19","12.73","79747110.0"
"20090312","PFE","14.02","1.0","13.25","14.14","12.94","112117400.0"
"20090313","PFE","14.54","1.0","13.96","14.72","13.84","83088650.0"
"20090316","PFE","14.15","1.0","14.63","14.99","14.13","84921530.0"
"20090317","PFE","14.26","1.0","14.11","14.29","13.88","53999440.0"
"20090318","PFE","14.25","1.0","14.21","14.58","13.72","55577240.0"
"20090319","PFE","13.7","1.0","14.26","14.26","13.41","67220120.0"
"20090320","PFE","13.63","1.0","13.7","13.95","13.5","71560370.0"
"20090323","PFE","14.02","1.0","13.95","14.08","13.67","65978320.0"
"20090324","PFE","13.92","1.0","13.91","14.16","13.84","42713940.0"
"20090325","PFE","14.26","1.0","13.98","14.599","13.89","68907750.0"
"20090326","PFE","14.38","1.0","14.28","14.6218","14.2","55353230.0"
"20090327","PFE","14.04","1.0","14.22","14.36","13.95","46424070.0"
"20090330","PFE","13.7","1.0","13.88","14.04","13.55","59725660.0"
"20090331","PFE","13.62","1.0","13.8","13.87","13.56","57271480.0"
"20090401","PFE","13.99","1.0","13.59","14.04","13.43","64258630.0"
"20090402","PFE","13.77","1.0","14.06","14.1","13.72","60399310.0"
"20090403","PFE","13.55","1.0","13.59","13.77","13.45","52888780.0"
"20090406","PFE","13.71","1.0","13.56","14.185","13.54","59573780.0"
"20090407","PFE","13.51","1.0","13.62","13.71","13.46","50073480.0"
"20090408","PFE","13.48","1.0","13.54","13.71","13.36","41938200.0"
"20090409","PFE","13.55","1.0","13.62","13.72","13.35","55005830.0"
"20090413","PFE","13.48","1.0","13.53","13.72","13.42","41796780.0"
"20090414","PFE","13.34","1.0","13.52","13.54","13.21","58003240.0"
"20090415","PFE","13.86","1.0","13.34","13.94","13.32","58902640.0"
"20090416","PFE","13.9","1.0","13.93","13.99","13.56","52161570.0"
"20090417","PFE","14.16","1.0","14.01","14.27","13.9","72732210.0"
"20090420","PFE","13.59","1.0","13.97","14.02","13.56","52322580.0"
"20090421","PFE","13.52","1.0","13.59","13.64","13.1","66210210.0"
"20090422","PFE","13.04","1.0","13.43","13.44","13.04","71941140.0"
"20090423","PFE","13.28","1.0","13.11","13.31","12.75","86121280.0"
"20090424","PFE","13.17","1.0","13.31","13.38","12.99","65616960.0"
"20090427","PFE","13.49","1.0","13.36","13.56","13.21","56906870.0"
"20090428","PFE","13.39","1.0","13.64","13.65","13.14","67860900.0"
"20090429","PFE","13.43","1.0","13.35","13.6","13.15","78175010.0"
"20090430","PFE","13.36","1.0","13.58","13.72","13.28","64608910.0"
"20090501","PFE","13.58","1.0","13.39","13.58","13.25","56372070.0"
"20090504","PFE","13.98","1.0","13.7","13.99","13.62","62229390.0"
"20090505","PFE","14.28","1.0","13.99","14.36","13.93","64253870.0"
"20090506","PFE","13.91","1.0","14.17","14.25","13.76","60649910.0"
