"datadate","tic","prccd","ajexdi","prcod","prchd","prcld","cshtrd"
"20090102","V","53.44","4.0","52.92","53.71","52.24","3299587.0"
"20090105","V","53.82","4.0","53.0","55.3","53.0","4149997.0"
"20090106","V","57.61","4.0","54.5","57.98","54.5","8126329.0"
"20090107","V","56.36","4.0","56.69","57.95","55.99","7108739.0"
"20090108","V","55.76","4.0","56.01","56.3","53.27","8670810.0"
"20090109","V","55.62","4.0","56.02","56.31","54.78","4168910.0"
"20090112","V","52.96","4.0","55.29","56.15","52.56","7879399.0"
"20090113","V","53.14","4.0","52.75","53.34","51.51","5475287.0"
"20090114","V","50.97","4.0","52.01","52.61","50.22","6311316.0"
"20090115","V","49.38","4.0","50.38","50.85","47.5","11860190.0"
"20090116","V","47.41","4.0","49.03","49.45","45.21","17300650.0"
"20090120","V","42.42","4.0","46.05","46.41","42.06","14931520.0"
"20090121","V","44.18","4.0","43.2","45.15","42.7","12624560.0"
"20090122","V","44.18","4.0","43.78","45.68","43.23","7980973.0"
"20090123","V","44.32","4.0","42.69","44.45","41.78","5654265.0"
"20090126","V","42.59","4.0","44.3","45.24","42.52","6002252.0"
"20090127","V","44.15","4.0","43.49","44.19","42.64","6602733.0"
"20090128","V","47.22","4.0","45.91","47.48","45.25","8020453.0"
"20090129","V","46.27","4.0","45.94","48.11","45.25","6522579.0"
"20090130","V","49.35","4.0","47.05","49.35","46.86","7577583.0"
"20090202","V","49.97","4.0","48.26","49.99","47.54","7134391.0"
"20090203","V","48.39","4.0","50.21","50.95","48.19","7237968.0"
"20090204","V","49.13","4.0","48.86","50.24","48.56","8158445.0"
"20090205","V","53.74","4.0","52.24","55.1","51.5","24164590.0"
"20090206","V","55.41","4.0","53.95","56.0","53.68","11462810.0"
"20090209","V","55.32","4.0","55.52","56.35","54.6","7968295.0"
"20090210","V","53.85","4.0","55.13","56.0","53.61","9508910.0"
"20090211","V","54.96","4.0","54.1","55.2299","53.5","5912366.0"
"20090212","V","56.4","4.0","54.28","56.6","53.1","8697798.0"
"20090213","V","55.95","4.0","56.93","57.95","55.26","10196920.0"
"20090217","V","54.25","4.0","54.69","55.2","53.67","8881305.0"
"20090218","V","56.15","4.0","54.57","56.89","54.25","9067951.0"
"20090219","V","55.63","4.0","56.95","57.9","55.49","8769529.0"
"20090220","V","55.66","4.0","54.65","56.09","54.5","10726030.0"
"20090223","V","54.25","4.0","56.04","56.84","53.99","7991474.0"
"20090224","V","56.35","4.0","54.34","56.98","53.61","10889920.0"
"20090225","V","55.42","4.0","56.11","56.55","55.14","8592613.0"
"20090226","V","56.06","4.0","56.25","56.66","54.79","8976241.0"
"20090227","V","56.71","4.0","55.0","57.9","55.0","11803440.0"
"20090302","V","54.16","4.0","55.93","56.97","53.87","9753642.0"
"20090303","V","54.36","4.0","54.73","55.63","53.21","10517790.0"
"20090304","V","55.29","4.0","55.0","55.87","53.9","8943397.0"
"20090305","V","53.42","4.0","54.55","55.49","52.68","11021130.0"
"20090306","V","50.19","4.0","53.76","54.15","49.2106","15168980.0"
"20090309","V","49.8","4.0","49.67","51.08","48.74","8388274.0"
"20090310","V","52.87","4.0","50.99","52.87","50.59","9661083.0"
"20090311","V","51.37","4.0","53.66","53.66","50.52","9030026.0"
"20090312","V","54.09","4.0","51.3","54.09","50.27","10817950.0"
"20090313","V","52.05","4.0","54.26","55.35","51.7","12389460.0"
"20090316","V","52.17","4.0","52.98","53.73","51.86","8368532.0"
"20090317","V","55.29","4.0","52.0","55.38","51.33","6431954.0"
"20090318","V","56.31","4.0","54.45","56.5","53.46","11324020.0"
"20090319","V","52.69","4.0","56.38","56.7","52.43","10291990.0"
"20090320","V","52.53","4.0","53.2","54.36","52.5","8368904.0"
"20090323","V","55.54","4.0","53.87","55.58","52.9","11164030.0"
"20090324","V","53.6","4.0","54.28","54.79","53.27","10888410.0"
"20090325","V","52.75","4.0","53.95","54.75","51.28","14643840.0"
"20090326","V","55.5","4.0","53.38","55.79","52.52","14866560.0"
"20090327","V","54.25","4.0","54.28","56.31","54.21","8171658.0"
"20090330","V","53.5","4.0","53.3","54.85","53.01","9648138.0"
"20090331","V","55.6","4.0","54.4","56.23","53.84","11861360.0"
"20090401","V","54.29","4.0","54.75","56.0","53.63","11035190.0"
"20090402","V","55.59","4.0","55.46","57.11","55.12","11847130.0"
"20090403","V","60.08","4.0","55.27","60.16","55.27","14422920.0"
"20090406","V","59.13","4.0","58.7","60.04","57.75","11231870.0"
"20090407","V","57.15","4.0","58.38","58.76","57.07","6779703.0"
"20090408","V","57.82","4.0","57.8","57.87","56.41","5953789.0"
"20090409","V","58.79","4.0","58.85","59.53","57.63","11445600.0"
"20090413","V","61.11","4.0","58.16","61.4","58.0","9530408.0"
"20090414","V","58.33","4.0","60.11","60.92","58.13","8926455.0"
"20090415","V","59.11","4.0","58.03","59.28","57.25","7421279.0"
"20090416","V","58.07","4.0","58.1","59.37","57.5","9027175.0"
"20090417","V","58.0","4.0","58.18","59.13","57.26","9453417.0"
"20090420","V","55.0","4.0","57.0","57.68","54.96","10639870.0"
"20090421","V","58.63","4.0","54.84","58.7","54.25","9434751.0"
"20090422","V","57.51","4.0","57.8","59.94","57.21","8669690.0"
"20090423","V","58.23","4.0","58.25","58.97","57.1","8970227.0"
"20090424","V","60.38","4.0","59.31","60.75","58.04","9921150.0"
"20090427","V","58.87","4.0","58.78","59.72","58.63","7375627.0"
"20090428","V","60.71","4.0","58.15","62.04","58.1","10569390.0"
"20090429","V","63.51","4.0","61.89","63.74","61.51","14759870.0"
"20090430","V","64.96","4.0","64.14","68.0","63.92","25435550.0"
"20090501","V","65.01","4.0","64.15","66.3","62.64","15153270.0"
"20090504","V","68.2","4.0","66.08","68.56","64.72","12551970.0"
"20090505","V","67.39","4.0","67.82","68.5","66.97","14196430.0"
"20090506","V","66.19","4.0","68.07","68.22","65.75","10456010.0"
"20090507","V","65.53","4.0","66.63","67.0","65.35","8680617.0"
"20090508","V","68.43","4.0","65.97","68.47","65.5","9458574.0"
"20090511","V","65.93","4.0","66.8","67.95","65.93","6490235.0"
"20090512","V","65.22","4.0","66.84","67.25","64.71","9093331.0"
"20090513","V","64.47","4.0","64.32","65.47","63.51","11888150.0"
"20090514","V","64.52","4.0","63.98","65.1","63.51","8215173.0"
"20090515","V","65.07","4.0","64.45","65.5","64.02","6170390.0"
"20090518","V","66.41","4.0","65.32","66.55","64.26","7542073.0"
"20090519","V","64.8","4.0","66.03","66.31","64.29","11442740.0"
"20090520","V","64.96","4.0","65.26","66.96","64.61","8464439.0"
"20090521","V","66.28","4.0","64.51","66.32","64.47","4774669.0"
"20090522","V","65.75","4.0","66.91","67.5","65.23","5431524.0"
"20090526","V","66.77","4.0","65.79","66.89","65.28","5137968.0"
"20090527","V","65.92","4.0","66.33","68.14","65.25","6788235.0"
"20090528","V","66.5","4.0","66.29","66.99","65.75","5045545.0"
"20090529","V","67.71","4.0","66.63","67.9","65.8","8012850.0"
"20090601","V","66.66","4.0","68.5","68.95","65.82","10905790.0"
"20090602","V","66.81","4.0","66.4","67.0","65.5","7757311.0"
"20090603","V","68.23","4.0","66.69","68.76","65.87","8840378.0"
"20090604","V","69.52","4.0","68.45","71.24","68.32","14055080.0"
"20090605","V","69.28","4.0","70.01","70.84","68.8","7166973.0"
"20090608","V","69.8","4.0","68.66","70.6","68.55","5158679.0"
"20090609","V","68.63","4.0","70.07","70.37","68.47","5441126.0"
"20090610","V","69.27","4.0","69.03","69.92","67.96","8448314.0"
"20090611","V","66.72","4.0","69.35","69.6","66.66","10985180.0"
"20090612","V","64.36","4.0","66.89","67.2","64.31","8686820.0"
"20090615","V","64.43","4.0","63.98","65.88","63.07","6390641.0"
"20090616","V","62.46","4.0","65.1","65.1","62.12","7446846.0"
"20090617","V","61.35","4.0","62.46","63.1","60.8","8015945.0"
"20090618","V","61.41","4.0","61.46","62.11","60.63","8038870.0"
"20090619","V","61.37","4.0","61.7","62.1","60.86","6365762.0"
"20090622","V","61.24","4.0","60.74","62.96","60.7","7502746.0"
"20090623","V","62.67","4.0","61.33","62.87","61.32","4997269.0"
"20090624","V","61.09","4.0","63.0","63.15","60.9","5699423.0"
"20090625","V","61.95","4.0","60.89","62.28","60.27","5220208.0"
"20090626","V","63.82","4.0","61.82","63.82","61.56","4937526.0"
"20090629","V","62.98","4.0","63.89","63.89","62.5","5669924.0"
"20090630","V","62.26","4.0","62.75","63.93","62.02","12313240.0"
"20090701","V","60.8","4.0","62.28","62.57","60.78","6541868.0"
"20090702","V","60.08","4.0","60.8","61.7","60.08","5377706.0"
"20090706","V","60.67","4.0","60.07","61.1","59.9","5845410.0"
"20090707","V","59.71","4.0","61.33","61.33","59.4","7589988.0"
"20090708","V","59.49","4.0","59.72","60.32","58.0","16017440.0"
"20090709","V","60.44","4.0","60.14","60.65","59.75","6653913.0"
"20090710","V","59.86","4.0","59.87","60.33","59.41","4163698.0"
"20090713","V","60.35","4.0","60.11","60.42","59.1","7655647.0"
"20090714","V","60.29","4.0","60.5","60.51","59.64","3322459.0"
"20090715","V","62.65","4.0","61.0","62.75","60.67","9115541.0"
"20090716","V","64.41","4.0","62.45","64.72","62.2","12520120.0"
"20090717","V","64.1","4.0","64.25","65.0","64.0","4517941.0"
"20090720","V","67.12","4.0","64.36","67.28","64.3","8053939.0"
"20090721","V","67.15","4.0","67.12","67.2","65.79","4434843.0"
"20090722","V","66.85","4.0","66.62","67.56","66.32","6332055.0"
"20090723","V","67.19","4.0","67.2","67.84","66.62","4846344.0"
"20090724","V","67.29","4.0","66.27","67.65","66.25","3298111.0"
"20090727","V","68.19","4.0","67.25","68.31","67.11","3558489.0"
"20090728","V","66.3","4.0","67.71","68.3","66.13","5659427.0"
"20090729","V","66.78","4.0","66.6","66.89","65.72","5441071.0"
"20090730","V","67.21","4.0","67.69","69.68","66.83","14439680.0"
"20090731","V","65.46","4.0","66.94","67.17","65.35","8261687.0"
"20090803","V","69.11","4.0","66.19","69.11","65.9","7580763.0"
"20090804","V","69.1","4.0","68.33","69.11","67.9","4670111.0"
"20090805","V","68.38","4.0","69.19","69.19","67.86","4965158.0"
"20090806","V","68.65","4.0","68.52","69.69","67.95","5223111.0"
"20090807","V","69.17","4.0","69.24","69.65","68.73","3844926.0"
"20090810","V","68.88","4.0","69.04","69.49","68.6","2508223.0"
"20090811","V","68.61","4.0","68.54","69.25","68.53","3633871.0"
"20090812","V","68.45","4.0","68.29","69.05","67.88","3607578.0"
"20090813","V","68.68","4.0","68.5","68.88","67.94","3741821.0"
"20090814","V","67.8","4.0","68.3","68.68","67.5","3051708.0"
"20090817","V","66.43","4.0","66.84","66.98","66.04","4942794.0"
"20090818","V","67.01","4.0","66.65","67.34","66.55","4269023.0"
"20090819","V","67.2","4.0","66.33","67.24","66.15","3862844.0"
"20090820","V","67.81","4.0","67.09","67.99","66.75","3037227.0"
"20090821","V","69.0","4.0","68.34","69.05","67.85","6862653.0"
"20090824","V","67.95","4.0","69.25","69.5","67.76","4994477.0"
"20090825","V","68.98","4.0","68.15","69.0","67.9","4393508.0"
"20090826","V","70.2","4.0","68.6","70.43","68.45","4740987.0"
"20090827","V","69.71","4.0","69.68","70.25","69.28","5150872.0"
"20090828","V","70.5","4.0","70.05","70.5","69.28","3504324.0"
"20090831","V","71.1","4.0","69.7","71.32","69.6","5379283.0"
"20090901","V","70.18","4.0","70.78","72.0","70.14","5571877.0"
"20090902","V","70.1","4.0","69.77","70.8645","69.43","3333750.0"
"20090903","V","70.91","4.0","70.41","71.0487","69.8","4266517.0"
"20090904","V","70.36","4.0","70.65","70.95","70.05","2473598.0"
"20090908","V","70.95","4.0","70.7","71.25","70.1555","3055054.0"
"20090909","V","70.48","4.0","71.26","71.3","70.18","4096946.0"
"20090910","V","72.31","4.0","70.38","72.49","70.27","4249263.0"
"20090911","V","72.29","4.0","72.5","72.5","71.75","3848353.0"
"20090914","V","72.87","4.0","71.51","73.0","71.5","3274720.0"
"20090915","V","73.2","4.0","73.0","73.45","72.38","3837746.0"
"20090916","V","74.09","4.0","73.25","74.6","72.66","4149236.0"
"20090917","V","73.82","4.0","73.95","74.86","73.3","3559023.0"
"20090918","V","73.79","4.0","73.92","74.27","73.16","3802223.0"
"20090921","V","73.39","4.0","73.07","74.3","73.01","3235040.0"
"20090922","V","74.41","4.0","73.6","74.73","73.32","3812089.0"
"20090923","V","73.92","4.0","74.41","74.99","73.76","3744077.0"
"20090924","V","73.53","4.0","73.39","73.91","72.25","4012443.0"
"20090925","V","70.66","4.0","73.17","73.25","69.23","12043240.0"
"20090928","V","71.14","4.0","71.1","71.85","70.51","3825435.0"
"20090929","V","69.57","4.0","71.19","72.14","69.21","10472580.0"
"20090930","V","69.11","4.0","69.75","70.0","68.61","7616030.0"
"20091001","V","69.12","4.0","68.77","70.16","68.77","7052659.0"
"20091002","V","67.79","4.0","68.44","69.1","66.5452","8854038.0"
"20091005","V","68.16","4.0","67.87","69.0","67.68","4975395.0"
"20091006","V","68.26","4.0","68.69","68.7","67.4","9039836.0"
"20091007","V","70.86","4.0","69.15","71.34","68.91","12261190.0"
"20091008","V","71.73","4.0","71.1","72.03","70.67","6026246.0"
"20091009","V","72.94","4.0","71.55","73.29","71.34","5183100.0"
"20091012","V","73.7","4.0","74.33","74.94","73.35","4820356.0"
"20091013","V","74.67","4.0","73.74","74.98","73.23","5899033.0"
"20091014","V","74.8","4.0","74.83","75.25","73.79","6782222.0"
"20091015","V","75.08","4.0","74.19","75.84","74.02","5567980.0"
"20091016","V","74.29","4.0","74.73","75.08","74.0","3735441.0"
"20091019","V","74.95","4.0","74.27","75.0","73.19","3645699.0"
"20091020","V","75.05","4.0","75.45","75.9","74.4599","4124033.0"
"20091021","V","75.19","4.0","74.82","76.99","74.82","4066912.0"
"20091022","V","75.69","4.0","75.6","75.88","74.26","4363880.0"
"20091023","V","74.12","4.0","75.93","76.09","73.63","6374050.0"
"20091026","V","72.78","4.0","74.97","75.83","72.46","8694934.0"
"20091027","V","73.9","4.0","73.61","74.45","72.51","9846824.0"
"20091028","V","76.57","4.0","74.94","78.02","74.76","19465780.0"
"20091029","V","77.28","4.0","77.01","78.2","75.83","10373330.0"
"20091030","V","75.76","4.0","76.96","77.5","75.16","6825221.0"
"20091102","V","77.29","4.0","76.09","78.17","75.83","6322686.0"
"20091103","V","77.65","4.0","76.77","77.67","75.8","6522306.0"
"20091104","V","78.31","4.0","78.3","79.5","78.12","6088586.0"
"20091105","V","79.59","4.0","78.52","79.75","78.27","4086546.0"
"20091106","V","79.67","4.0","79.0","79.9","78.655","3940809.0"
"20091109","V","81.16","4.0","79.86","81.64","79.7","6579660.0"
"20091110","V","81.1","4.0","80.9","81.49","80.564","4914964.0"
"20091111","V","80.82","4.0","81.62","81.97","80.381","3665596.0"
"20091112","V","79.92","4.0","80.68","81.09","79.33","3242220.0"
"20091113","V","80.0","4.0","79.93","80.19","78.75","3424335.0"
"20091116","V","79.55","4.0","80.1","80.39","79.22","5756773.0"
"20091117","V","80.55","4.0","79.56","80.68","79.29","3933241.0"
"20091118","V","80.39","4.0","80.19","80.87","79.66","2867670.0"
"20091119","V","80.18","4.0","79.97","81.55","78.23","9133060.0"
"20091120","V","80.0","4.0","79.72","80.4397","79.6309","3134514.0"
"20091123","V","80.44","4.0","80.78","80.8","79.91","4408644.0"
"20091124","V","80.62","4.0","80.35","80.64","79.6","3038219.0"
"20091125","V","81.79","4.0","80.8","81.9","80.37","2873625.0"
"20091127","V","80.33","4.0","80.08","80.84","79.6","2323796.0"
"20091130","V","81.0","4.0","80.33","81.38","80.2","3925872.0"
