tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
تكنو-ت,20040317,930.51,931,931,930.51,165000,247500000.00,43,0,TKNO,Technotar-a,تكنوتار-ت,13821227,930.51
تكنو-ت,20040328,936.71,937,937,936.71,10000,15100000.00,3,931,TKNO,Technotar-a,تكنوتار-ت,13830109,936.71
تكنو-ت,20040405,983.23,983,983,983.23,69500,110157500.00,16,937,TKNO,Technotar-a,تكنوتار-ت,13830117,983.23
تكنو-ت,20040406,1032.24,1032,1032,1032.24,476000,792064000.00,98,983,TKNO,Technotar-a,تكنوتار-ت,13830118,1032.24
تكنو-ت,20040407,1083.73,1084,1084,1083.73,10000,17470000.00,9,1032,TKNO,Technotar-a,تكنوتار-ت,13830119,1083.73
تكنو-ت,20040410,1137.70,1138,1138,1137.70,50000,91700000.00,7,1084,TKNO,Technotar-a,تكنوتار-ت,13830122,1137.70
تكنو-ت,20040412,1194.15,1194,1194,1194.15,620000,1193500000.00,115,1138,TKNO,Technotar-a,تكنوتار-ت,13830124,1194.15
تكنو-ت,20040413,1253.70,1254,1254,1253.70,16000,32336000.00,3,1194,TKNO,Technotar-a,تكنوتار-ت,13830125,1253.70
تكنو-ت,20040417,1316.35,1316,1316,1316.35,11000,23342000.00,4,1254,TKNO,Technotar-a,تكنوتار-ت,13830129,1316.35
تكنو-ت,20040418,1382.11,1382,1382,1382.11,9175,20441900.00,4,1316,TKNO,Technotar-a,تكنوتار-ت,13830130,1382.11
تكنو-ت,20040421,1450.97,1451,1451,1450.97,10000,23390000.00,1,1382,TKNO,Technotar-a,تكنوتار-ت,13830202,1450.97
تكنو-ت,20040424,1522.93,1523,1523,1522.93,308440,757220200.00,88,1451,TKNO,Technotar-a,تكنوتار-ت,13830205,1522.93
تكنو-ت,20040425,1598.61,1599,1599,1598.61,10000,25770000.00,6,1523,TKNO,Technotar-a,تكنوتار-ت,13830206,1598.61
تكنو-ت,20040426,1678.01,1678,1678,1678.01,9500,25697500.00,7,1599,TKNO,Technotar-a,تكنوتار-ت,13830207,1678.01
تكنو-ت,20040427,1761.76,1762,1762,1761.76,13600,38624000.00,4,1678,TKNO,Technotar-a,تكنوتار-ت,13830208,1761.76
تكنو-ت,20040428,1849.84,1850,1850,1849.84,12500,37275000.00,9,1762,TKNO,Technotar-a,تكنوتار-ت,13830209,1849.84
تكنو-ت,20040501,1942.27,1942,1757,1890.79,801207,2442266952.00,369,1850,TKNO,Technotar-a,تكنوتار-ت,13830212,1890.79
تكنو-ت,20040502,1796.50,1821,1796,1806.42,135636,395104976.00,52,1891,TKNO,Technotar-a,تكنوتار-ت,13830213,1806.42
تكنو-ت,20040503,1884.58,1896,1861,1890.79,72524,221087011.00,43,1806,TKNO,Technotar-a,تكنوتار-ت,13830214,1890.79
تكنو-ت,20040504,1985.08,1985,1984,1984.46,269282,861692400.00,69,1891,TKNO,Technotar-a,تكنوتار-ت,13830215,1984.46
تكنو-ت,20040505,1923.04,2083,1911,2032.22,30451,99779234.00,15,1984,TKNO,Technotar-a,تكنوتار-ت,13830216,2032.22
تكنو-ت,20040508,2133.34,2133,2133,2133.34,31145,107107655.00,12,2032,TKNO,Technotar-a,تكنوتار-ت,13830219,2133.34
تكنو-ت,20040509,2239.42,2239,2239,2239.42,21500,77615000.00,11,2133,TKNO,Technotar-a,تكنوتار-ت,13830220,2239.42
تكنو-ت,20040510,2351.08,2351,2273,2272.91,2672,10125620.00,5,2239,TKNO,Technotar-a,تكنوتار-ت,13830221,2272.91
تكنو-ت,20040511,2386.44,2386,2386,2386.44,523519,2013977593.00,171,2273,TKNO,Technotar-a,تكنوتار-ت,13830222,2386.44
تكنو-ت,20040512,2505.54,2506,2506,2505.54,159557,644450723.00,33,2386,TKNO,Technotar-a,تكنوتار-ت,13830223,2505.54
تكنو-ت,20040515,2630.23,2630,2630,2630.23,29933,126915920.00,11,2506,TKNO,Technotar-a,تكنوتار-ت,13830226,2630.23
تكنو-ت,20040516,2761.74,2762,2762,2761.74,9322,41501544.00,7,2630,TKNO,Technotar-a,تكنوتار-ت,13830227,2761.74
تكنو-ت,20040517,2899.45,2899,2899,2899.45,111000,518814000.00,51,2762,TKNO,Technotar-a,تكنوتار-ت,13830228,2899.45
تكنو-ت,20040518,3043.99,3044,2854,3021.04,775336,3776275048.00,278,2899,TKNO,Technotar-a,تكنوتار-ت,13830229,3021.04
تكنو-ت,20040519,3171.78,3172,2985,3150.07,288787,1466703481.00,82,3021,TKNO,Technotar-a,تكنوتار-ت,13830230,3150.07
تكنو-ت,20040522,3307.02,3307,3307,3307.02,125485,668960535.00,51,3150,TKNO,Technotar-a,تكنوتار-ت,13830302,3307.02
تكنو-ت,20040523,3472.02,3472,3297,3371.53,150930,820315314.00,89,3307,TKNO,Technotar-a,تكنوتار-ت,13830303,3371.53
تكنو-ت,20040524,3380.84,3381,3203,3255.53,377658,1982071328.00,150,3372,TKNO,Technotar-a,تكنوتار-ت,13830304,3255.53
تكنو-ت,20040525,3253.67,3254,3093,3102.92,208387,1042388198.00,83,3256,TKNO,Technotar-a,تكنوتار-ت,13830305,3102.92
تكنو-ت,20040526,3151.31,3225,2965,3129.60,203512,1026820064.00,89,3103,TKNO,Technotar-a,تكنوتار-ت,13830306,3129.60
تكنو-ت,20040529,3191.63,3286,3130,3263.59,102667,540170299.00,38,3130,TKNO,Technotar-a,تكنوتار-ت,13830309,3263.59
تكنو-ت,20040530,3426.74,3427,3102,3249.94,532321,2788845657.00,167,3264,TKNO,Technotar-a,تكنوتار-ت,13830310,3249.94
تكنو-ت,20040531,3109.75,3406,3095,3146.35,299779,1520519964.00,80,3250,TKNO,Technotar-a,تكنوتار-ت,13830311,3146.35
تكنو-ت,20040601,3303.29,3303,3208,3298.33,51938,276155128.00,22,3146,TKNO,Technotar-a,تكنوتار-ت,13830312,3298.33
تكنو-ت,20040602,3462.72,3463,3455,3460.86,189883,1059534853.00,69,3298,TKNO,Technotar-a,تكنوتار-ت,13830313,3460.86
تكنو-ت,20040605,3633.31,3633,3633,3633.31,25309,148234813.00,9,3461,TKNO,Technotar-a,تكنوتار-ت,13830316,3633.31
تكنو-ت,20040606,3814.45,3814,3661,3803.90,645079,3955706951.00,198,3633,TKNO,Technotar-a,تكنوتار-ت,13830317,3803.90
تكنو-ت,20040607,3993.73,3994,3824,3959.61,234147,1494591759.00,149,3804,TKNO,Technotar-a,تكنوتار-ت,13830318,3959.61
تكنو-ت,20040608,4039.63,4094,3977,4055.14,207599,1357185530.00,95,3960,TKNO,Technotar-a,تكنوتار-ت,13830319,4055.14
تكنو-ت,20040609,4076.23,4095,3858,3972.64,181697,1163588422.00,91,4055,TKNO,Technotar-a,تكنوتار-ت,13830320,3972.64
تكنو-ت,20040612,3884.55,3885,3774,3780.95,149783,912957340.00,65,3973,TKNO,Technotar-a,تكنوتار-ت,13830323,3780.95
تكنو-ت,20040613,3774.13,3774,3660,3699.69,378143,2255422542.00,135,3781,TKNO,Technotar-a,تكنوتار-ت,13830324,3699.69
تكنو-ت,20040614,3720.78,3885,3721,3859.11,305868,1903061349.00,152,3700,TKNO,Technotar-a,تكنوتار-ت,13830325,3859.11
تكنو-ت,20040719,5583.65,8685,4963,6635.74,171330,1832735955.00,117,3859,TKNO,Technotar-a,تكنوتار-ت,13830429,6635.74
تكنو-ت,20040720,6967.00,6967,6661,6660.56,690,7744450.00,2,6636,TKNO,Technotar-a,تكنوتار-ت,13830430,6660.56
تكنو-ت,20040724,6993.06,6993,6993,6993.06,26606,299929438.00,17,6661,TKNO,Technotar-a,تكنوتار-ت,13830503,6993.06
تكنو-ت,20040725,7342.31,7342,7295,7295.16,7674,90828704.00,13,6993,TKNO,Technotar-a,تكنوتار-ت,13830504,7295.16
تكنو-ت,20040726,7659.92,7660,7660,7659.92,656554,8107128792.00,312,7295,TKNO,Technotar-a,تكنوتار-ت,13830505,7659.92
تكنو-ت,20040727,8042.67,8043,8043,8042.67,15200,197068000.00,8,7660,TKNO,Technotar-a,تكنوتار-ت,13830506,8042.67
تكنو-ت,20040728,8444.64,8445,8445,8444.64,26320,358294160.00,26,8043,TKNO,Technotar-a,تكنوتار-ت,13830507,8444.64
تكنو-ت,20040731,8866.47,8866,8866,8866.47,125820,1798345260.00,87,8445,TKNO,Technotar-a,تكنوتار-ت,13830510,8866.47
تكنو-ت,20040801,9309.39,9309,9309,9309.39,54000,810378000.00,15,8866,TKNO,Technotar-a,تكنوتار-ت,13830511,9309.39
تكنو-ت,20040802,9774.65,9775,9775,9774.65,14700,231627900.00,8,9309,TKNO,Technotar-a,تكنوتار-ت,13830512,9774.65
تكنو-ت,20040803,10262.85,10263,10263,10262.85,26245,434197280.00,11,9775,TKNO,Technotar-a,تكنوتار-ت,13830513,10262.85
تكنو-ت,20040804,10775.87,10776,10776,10775.87,54630,948977730.00,60,10263,TKNO,Technotar-a,تكنوتار-ت,13830514,10775.87
تكنو-ت,20040807,11314.32,11314,11314,11314.32,173146,3158009894.00,210,10776,TKNO,Technotar-a,تكنوتار-ت,13830517,11314.32
تكنو-ت,20040808,11314.32,11314,10749,10795.10,94124,1637987227.00,100,11314,TKNO,Technotar-a,تكنوتار-ت,13830518,10795.10
تكنو-ت,20040809,10255.41,10255,10255,10255.41,92218,1524547976.00,47,10795,TKNO,Technotar-a,تكنوتار-ت,13830519,10255.41
تكنو-ت,20040810,9743.01,10763,9743,10069.93,269506,4375000102.00,254,10255,TKNO,Technotar-a,تكنوتار-ت,13830520,10069.93
تكنو-ت,20040811,10573.02,10573,10074,10543.86,106077,1803054460.00,140,10070,TKNO,Technotar-a,تكنوتار-ت,13830521,10543.86
تكنو-ت,20040814,10536.42,10536,10018,10254.79,12224,202085534.00,16,10544,TKNO,Technotar-a,تكنوتار-ت,13830524,10254.79
تكنو-ت,20040918,3099.82,3102,3040,3084.93,30309,150737698.00,14,10255,TKNO,Technotar-a,تكنوتار-ت,13830628,3084.93
تكنو-ت,20040919,3081.21,3081,2931,2965.21,181637,868306052.00,90,3085,TKNO,Technotar-a,تكنوتار-ت,13830629,2965.21
تكنو-ت,20040920,2816.95,2819,2817,2816.95,141496,642563904.00,76,2965,TKNO,Technotar-a,تكنوتار-ت,13830630,2816.95
تكنو-ت,20040921,2816.95,2958,2790,2876.50,234864,1089278182.00,115,2817,TKNO,Technotar-a,تكنوتار-ت,13830631,2876.50
تكنو-ت,20040922,3019.80,3020,3020,3019.80,47174,229643032.00,20,2877,TKNO,Technotar-a,تكنوتار-ت,13830701,3019.80
تكنو-ت,20040925,3170.54,3171,3171,3170.54,102462,523683282.00,55,3020,TKNO,Technotar-a,تكنوتار-ت,13830704,3170.54
تكنو-ت,20040926,3328.73,3329,3329,3328.73,25772,138292552.00,29,3171,TKNO,Technotar-a,تكنوتار-ت,13830705,3328.73
تكنو-ت,20040927,3494.98,3495,3495,3494.98,24003,135232902.00,9,3329,TKNO,Technotar-a,تكنوتار-ت,13830706,3494.98
تكنو-ت,20040928,3669.29,3669,3495,3604.16,356791,2073014830.00,250,3495,TKNO,Technotar-a,تكنوتار-ت,13830707,3604.16
تكنو-ت,20040929,3430.46,3430,3424,3424.26,123278,680504730.00,104,3604,TKNO,Technotar-a,تكنوتار-ت,13830708,3424.26
تكنو-ت,20041002,3416.19,3416,3253,3279.10,53531,283004052.00,50,3424,TKNO,Technotar-a,تكنوتار-ت,13830711,3279.10
تكنو-ت,20041003,3225.75,3287,3195,3248.08,40397,211548709.00,45,3279,TKNO,Technotar-a,تكنوتار-ت,13830712,3248.08
تكنو-ت,20041004,3194.73,3226,3086,3165.58,35537,181372710.00,36,3248,TKNO,Technotar-a,تكنوتار-ت,13830713,3165.58
تكنو-ت,20041005,3151.31,3156,3068,3117.81,16093,80895672.00,24,3166,TKNO,Technotar-a,تكنوتار-ت,13830714,3117.81
تكنو-ت,20041006,3008.63,3009,2962,2967.07,91989,440003203.00,44,3118,TKNO,Technotar-a,تكنوتار-ت,13830715,2967.07
تكنو-ت,20041009,3043.99,3102,3040,3072.53,77870,385695135.00,60,2967,TKNO,Technotar-a,تكنوتار-ت,13830718,3072.53
تكنو-ت,20041010,3086.18,3102,3040,3068.81,36503,180592749.00,30,3073,TKNO,Technotar-a,تكنوتار-ت,13830719,3068.81
