tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
ثنوسا-ت,20050105,353.35,353,340,343.99,1910000,7720405042.00,2479,353,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831016,343.99
ثنوسا-ت,20050108,361.18,361,361,361.18,4512000,19148928000.00,2787,344,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831019,361.18
ثنوسا-ت,20050109,379.22,379,379,379.22,7051311,31420641816.00,2122,361,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831020,379.22
ثنوسا-ت,20050110,398.11,398,398,398.11,1200000,5613600000.00,1155,379,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831021,398.11
ثنوسا-ت,20050111,417.94,418,418,417.94,4518330,22189518630.00,2249,398,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831022,417.94
ثنوسا-ت,20050112,438.79,439,439,438.79,4657578,24014472168.00,1536,418,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831023,438.79
ثنوسا-ت,20050115,460.66,461,451,460.58,4137194,22392977302.00,2604,439,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831026,460.58
ثنوسا-ت,20050116,460.41,479,452,467.30,1965472,10793168064.00,1522,461,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831027,467.30
ثنوسا-ت,20050117,457.43,477,444,458.02,4491585,24257218201.00,1633,467,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831028,458.02
ثنوسا-ت,20050118,457.85,458,443,448.83,664284,3503935284.00,374,458,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831029,448.83
ثنوسا-ت,20050119,443.81,447,434,438.71,600968,3098129709.00,344,449,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831030,438.71
ثنوسا-ت,20050122,442.53,458,443,448.66,539204,2843049818.00,256,439,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831103,448.66
ثنوسا-ت,20050123,455.30,464,449,460.32,429786,2325091728.00,229,449,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831104,460.32
ثنوسا-ت,20050124,459.56,464,456,459.56,392168,2118069180.00,204,460,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831105,459.56
ثنوسا-ت,20050125,459.64,460,438,449.00,4064008,21441560558.00,144,460,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831106,449.00
ثنوسا-ت,20050126,442.53,443,434,439.90,291311,1506001525.00,151,449,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831107,439.90
ثنوسا-ت,20050130,438.96,439,425,432.24,150183,762168897.00,77,440,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831111,432.24
ثنوسا-ت,20050131,423.81,454,414,435.13,379330,1939799283.00,117,432,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831112,435.13
ثنوسا-ت,20050201,437.17,438,426,432.07,80505,405948843.00,58,435,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831113,432.07
ثنوسا-ت,20050202,431.39,431,426,426.45,170126,852617200.00,73,432,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831114,426.45
ثنوسا-ت,20050205,428.15,428,417,423.56,178770,889799087.00,105,426,NSTH,S*Tehran Const.-a,نوسازي‌وساختمان‌تهران‌-ت,13831117,423.56
