tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
حتوكا-ت,20040616,4739.42,4739,4739,4739.42,262530,2178999000.00,497,0,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830327,4739.42
حتوكا-ت,20040712,2569.56,2570,2570,2569.56,10300,46350000.00,9,4739,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830422,2569.56
حتوكا-ت,20040713,2698.04,2698,2571,2588.98,30310,137435734.00,24,2570,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830423,2588.98
حتوكا-ت,20040714,2718.03,2718,2718,2718.03,23910,113811600.00,11,2589,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830424,2718.03
حتوكا-ت,20040717,2853.93,2854,2776,2775.70,3510,17541610.00,6,2718,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830427,2775.70
حتوكا-ت,20040718,2914.46,2914,2913,2913.31,8210,41903820.00,5,2776,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830428,2913.31
حتوكا-ت,20040719,3058.92,3059,3059,3058.92,10200,54641400.00,7,2913,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830429,3058.92
حتوكا-ت,20040720,3211.38,3211,3211,3211.38,8500,47804000.00,6,3059,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830430,3211.38
حتوكا-ت,20040724,3371.84,3372,3372,3371.84,9000,53145000.00,1,3211,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830503,3371.84
حتوكا-ت,20040726,3540.29,3540,3540,3540.29,16830,104346000.00,21,3372,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830505,3540.29
حتوكا-ت,20040727,3717.30,3717,3717,3717.30,12680,82546800.00,9,3540,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830506,3717.30
حتوكا-ت,20040728,3902.88,3903,3903,3902.88,10190,69648650.00,26,3717,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830507,3902.88
حتوكا-ت,20040731,4097.60,4098,4098,4097.60,13630,97808880.00,15,3903,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830510,4097.60
حتوكا-ت,20040801,4117.58,4118,4111,4110.73,35186,253338191.00,27,4098,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830511,4110.73
حتوكا-ت,20040802,4315.72,4316,4283,4308.87,19114,144243149.00,27,4111,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830512,4308.87
حتوكا-ت,20040803,4524.14,4524,4524,4524.14,18500,146575500.00,13,4309,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830513,4524.14
حتوكا-ت,20040804,4524.72,4586,4525,4548.70,3949,31647780.00,11,4524,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830514,4548.70
حتوكا-ت,20040807,4585.24,4585,4549,4554.98,11553,92162395.00,17,4549,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830517,4554.98
حتوكا-ت,20040808,4509.30,4537,4509,4521.86,8423,66703919.00,15,4555,HTOK,Tuka Trans.-a,حمل‌ونقل‌توكا-ت,13830518,4521.86
