tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
دزهراوي-ت,20020305,126.35,128,126,127.25,751000,5387268470.00,710,0,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13801214,127.25
دزهراوي-ت,20020310,128.52,129,129,128.52,94113,684483849.00,263,127,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13801219,128.52
دزهراوي-ت,20020311,129.79,130,130,129.79,823,6044935.00,3,129,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13801220,129.79
دزهراوي-ت,20020316,131.08,131,131,131.08,500,3709000.00,2,130,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13801225,131.08
دزهراوي-ت,20020317,132.39,132,132,132.39,2044,15313648.00,4,131,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13801226,132.39
دزهراوي-ت,20020318,133.70,134,134,133.70,6000,45396000.00,3,132,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13801227,133.70
دزهراوي-ت,20020319,135.02,135,135,135.02,5150,39351150.00,9,134,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13801228,135.02
دزهراوي-ت,20020331,136.37,136,136,136.37,500,3858500.00,1,135,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810111,136.37
دزهراوي-ت,20020403,137.73,138,138,137.73,1630,12704220.00,3,136,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810114,137.73
دزهراوي-ت,20020407,139.09,139,139,139.09,1210,9523910.00,4,138,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810118,139.09
دزهراوي-ت,20020409,140.46,140,140,140.46,1000,7949000.00,1,139,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810120,140.46
دزهراوي-ت,20020410,141.86,142,142,141.86,10205,81925740.00,35,140,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810121,141.86
دزهراوي-ت,20020413,143.27,143,143,143.27,1125,9121500.00,3,142,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810124,143.27
دزهراوي-ت,20020416,144.71,145,145,144.71,1500,12283500.00,2,143,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810127,144.71
دزهراوي-ت,20020420,146.14,146,146,146.14,1459,12065930.00,5,145,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810131,146.14
دزهراوي-ت,20020421,147.59,148,148,147.59,1400,11692800.00,2,146,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810201,147.59
دزهراوي-ت,20020423,149.05,149,149,149.05,1610,13580350.00,18,148,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810203,149.05
دزهراوي-ت,20020424,150.54,151,151,150.54,1000,8519000.00,3,149,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810204,150.54
دزهراوي-ت,20020428,152.04,152,152,152.04,3100,26672400.00,4,151,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810208,152.04
دزهراوي-ت,20020430,153.56,154,154,153.56,1800,15642000.00,3,152,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810210,153.56
دزهراوي-ت,20020504,155.08,155,155,155.08,13490,118388240.00,15,154,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810214,155.08
دزهراوي-ت,20020505,156.62,157,157,156.62,5400,47860200.00,2,155,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810215,156.62
دزهراوي-ت,20020506,158.17,158,158,158.17,3313,29654663.00,4,157,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810216,158.17
دزهراوي-ت,20020507,158.17,160,158,159.74,139733,1262382510.00,179,158,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810217,159.74
دزهراوي-ت,20020512,161.33,161,161,161.33,1000,9130000.00,2,160,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810222,161.33
دزهراوي-ت,20020518,162.94,163,163,162.94,1880,17335480.00,10,161,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810228,162.94
دزهراوي-ت,20020519,164.57,165,165,164.57,2000,18626000.00,5,163,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810229,164.57
دزهراوي-ت,20020520,166.21,166,166,166.21,2000,18812000.00,3,165,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810230,166.21
دزهراوي-ت,20020521,167.87,168,168,167.87,1500,14250000.00,3,166,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810231,167.87
دزهراوي-ت,20020522,167.87,170,168,169.55,39094,374484775.00,72,168,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810301,169.55
دزهراوي-ت,20020525,169.55,171,170,171.23,15094,145922160.00,24,170,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810304,171.23
دزهراوي-ت,20020526,171.23,171,170,169.53,75314,725549590.00,96,171,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810305,169.53
دزهراوي-ت,20020527,167.85,168,168,167.85,33194,315309806.00,22,170,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810306,167.85
دزهراوي-ت,20020528,166.19,166,166,166.19,221,2078505.00,2,168,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810307,166.19
دزهراوي-ت,20020529,164.53,165,165,164.53,299,2783989.00,2,166,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810308,164.53
دزهراوي-ت,20020601,162.89,163,163,162.89,1076,9918568.00,2,165,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810311,162.89
دزهراوي-ت,20020602,162.92,164,161,163.81,64918,594771658.00,123,163,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810312,163.81
دزهراوي-ت,20020603,163.81,165,164,165.43,2512,23498944.00,6,164,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810313,165.43
دزهراوي-ت,20020608,166.11,166,164,165.59,38744,361764043.00,57,165,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810318,165.59
دزهراوي-ت,20020723,150.20,159,150,159.04,28928,251266070.00,38,166,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810501,159.04
دزهراوي-ت,20020724,159.04,159,157,159.04,49454,442679237.00,52,159,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810502,159.04
دزهراوي-ت,20020727,159.04,159,158,158.33,7780,69953200.00,10,159,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810505,158.33
دزهراوي-ت,20020728,157.96,158,154,154.50,26821,235521120.00,48,158,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810506,154.50
دزهراوي-ت,20020729,155.50,156,154,155.50,16982,148990884.00,28,154,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810507,155.50
دزهراوي-ت,20020730,155.45,155,154,153.74,5758,50408964.00,9,156,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810508,153.74
دزهراوي-ت,20020731,153.70,158,154,157.57,32837,287538292.00,30,154,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810509,157.57
دزهراوي-ت,20020803,157.57,161,158,161.49,7512,67791168.00,8,158,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810512,161.49
دزهراوي-ت,20020804,165.40,166,163,165.52,16452,153879912.00,16,161,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810513,165.52
دزهراوي-ت,20020811,169.66,170,170,169.66,10238,98295038.00,9,166,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810520,169.66
دزهراوي-ت,20020813,173.90,174,170,169.82,35760,347706960.00,32,170,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810522,169.82
دزهراوي-ت,20020817,169.73,170,170,169.99,9152,87938890.00,19,170,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810526,169.99
دزهراوي-ت,20020818,169.99,170,170,170.03,3656,35171992.00,6,170,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810527,170.03
دزهراوي-ت,20020819,170.20,170,170,170.20,50,481600.00,1,170,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810528,170.20
دزهراوي-ت,20020820,171.76,172,171,172.47,13390,129962700.00,17,170,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810529,172.47
دزهراوي-ت,20020821,172.64,173,172,172.47,8156,79631070.00,12,172,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810530,172.47
دزهراوي-ت,20020824,173.86,174,174,174.18,5960,58663111.00,14,172,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810602,174.18
دزهراوي-ت,20020825,175.91,176,174,175.91,2900,28724650.00,5,174,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810603,175.91
دزهراوي-ت,20020826,177.66,178,178,177.66,8877,89249358.00,7,176,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810604,177.66
دزهراوي-ت,20020827,177.66,178,178,177.66,4150,41724600.00,5,178,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810605,177.66
دزهراوي-ت,20020828,177.64,178,177,176.71,7758,77874945.00,9,178,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810606,176.71
دزهراوي-ت,20020831,175.82,176,176,175.82,800,7960000.00,1,177,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810609,175.82
دزهراوي-ت,20020901,174.07,174,174,174.07,766,7545866.00,1,176,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810610,174.07
دزهراوي-ت,20020909,172.34,172,172,172.34,24051,234569403.00,24,174,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810618,172.34
دزهراوي-ت,20020910,172.34,172,172,172.34,365,3559845.00,1,172,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810619,172.34
دزهراوي-ت,20020911,172.29,172,172,172.29,407,3968250.00,2,172,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810620,172.29
دزهراوي-ت,20020917,170.58,171,171,171.41,30975,300135907.00,14,172,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810626,171.41
دزهراوي-ت,20020918,171.37,171,171,171.41,14089,136657396.00,11,171,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810627,171.41
دزهراوي-ت,20020923,171.35,171,171,171.35,807,7825479.00,2,171,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810701,171.35
دزهراوي-ت,20020925,169.66,170,170,169.66,516,4954116.00,1,171,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810703,169.66
دزهراوي-ت,20020929,167.96,168,168,167.96,313083,2975853915.00,15,170,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810707,167.96
دزهراوي-ت,20020930,167.96,168,168,167.96,500,4752500.00,1,168,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810708,167.96
دزهراوي-ت,20021006,166.78,167,167,166.78,496,4681248.00,1,168,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810714,166.78
دزهراوي-ت,20021019,162.62,163,163,162.62,2700,24848100.00,7,167,DZAH,Zahravi Phar.-a,داروسازي‌زهراوي‌-ت,13810727,162.62
