tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
دلر-ت,20010325,320.41,320,320,320.41,1000,4221000.00,8,0,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800105,320.41
دلر-ت,20010326,320.41,323,320,320.79,1754,7415804.00,9,320,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800106,320.79
دلر-ت,20010327,320.72,321,321,321.02,2306,9746574.00,10,321,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800107,321.02
دلر-ت,20010403,328.76,329,325,328.99,3450,14866500.00,13,321,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800114,328.99
دلر-ت,20010410,337.19,337,337,337.19,1000,4442000.00,1,329,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800121,337.19
دلر-ت,20010501,277.75,339,239,239.34,2493500,7864982500.00,4,337,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800211,239.34
دلر-ت,20010512,251.26,251,251,251.26,2000,6620000.00,3,239,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800222,251.26
دلر-ت,20010513,263.79,264,264,263.79,2000,6950000.00,3,251,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800223,263.79
دلر-ت,20010516,276.92,277,277,276.92,3000,10944000.00,3,264,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800226,276.92
دلر-ت,20010521,290.73,291,291,290.73,1000,3830000.00,3,277,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800231,290.73
دلر-ت,20010526,297.95,298,298,297.95,1000,3925000.00,2,291,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800305,297.95
دلر-ت,20010527,305.38,305,305,305.38,5728,23043744.00,10,298,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800306,305.38
دلر-ت,20010530,308.42,308,308,308.42,604,2454052.00,1,305,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800309,308.42
دلر-ت,20010609,311.46,311,311,311.46,1773,7274619.00,3,308,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800319,311.46
دلر-ت,20010612,314.57,315,315,314.57,2144,8884736.00,4,311,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800322,314.57
دلر-ت,20010613,317.68,318,318,317.68,8222,34409070.00,4,315,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800323,317.68
دلر-ت,20010710,360.57,380,342,380.38,27408,131951118.00,50,318,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800419,380.38
دلر-ت,20010711,379.47,379,371,370.89,16275,80740354.00,26,380,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800420,370.89
دلر-ت,20010714,362.39,378,362,378.03,22331,108474523.00,27,371,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800423,378.03
دلر-ت,20010715,387.44,387,380,387.44,2409,12138600.00,5,378,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800424,387.44
دلر-ت,20010716,397.08,397,397,397.08,3081,16116711.00,4,387,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800425,397.08
دلر-ت,20010721,406.95,407,407,406.95,1005,5387805.00,3,397,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800430,406.95
دلر-ت,20010722,410.97,411,411,410.97,4631,25072234.00,9,407,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800431,410.97
دلر-ت,20010723,415.07,415,415,415.07,1000,5468000.00,2,411,EXIR,Exir Pharm.-a,داروسازي‌_اكسير-ت,13800501,415.07
