tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
سشمال-ت,20010328,6454.81,7692,6455,7692.13,23041,476326759.00,13,0,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800108,7692.13
سشمال-ت,20010407,7692.13,7692,7692,7692.13,441,10511235.00,4,7692,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800118,7692.13
سشمال-ت,20010408,7692.13,7694,7692,7693.74,8818,210192927.00,11,7692,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800119,7693.74
سشمال-ت,20010409,7693.10,7694,7693,7694.07,5812,138553834.00,8,7694,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800120,7694.07
سشمال-ت,20010410,7695.04,7702,7695,7702.14,947,22595618.00,5,7694,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800121,7702.14
سشمال-ت,20010411,7714.08,7714,7714,7714.08,1800,43025400.00,2,7702,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800122,7714.08
سشمال-ت,20010414,7745.38,7810,7745,7809.93,2000,48200000.00,2,7714,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800125,7809.93
سشمال-ت,20010415,7811.86,7814,7812,7813.80,797,19295878.00,4,7810,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800126,7813.80
سشمال-ت,20010416,7906.74,7907,7907,7906.74,1262,30919000.00,8,7814,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800127,7906.74
سشمال-ت,20010417,7910.62,7912,7910,7911.91,604,14805185.00,4,7907,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800128,7911.91
سشمال-ت,20010422,7947.08,7949,7947,7948.70,431,10613864.00,3,7912,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800202,7948.70
سشمال-ت,20010423,7966.12,7968,7966,7967.74,174,4295526.00,3,7949,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800203,7967.74
سشمال-ت,20010424,7978.71,7979,7979,7979.36,714,17652348.00,2,7968,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800204,7979.36
سشمال-ت,20010425,7995.17,7995,7995,7995.17,616,15260784.00,2,7979,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800205,7995.17
سشمال-ت,20010429,8194.94,8195,8195,8194.94,3977,100987961.00,6,7995,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800209,8194.94
سشمال-ت,20010430,4258.99,8195,4259,8194.94,2035,28075495.00,13,8195,SIMS,Shomal Cement-a,سيمان‌_شمال‌-ت,13800210,8194.94
