tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
شيران-ت,20010328,59.17,59,59,59.19,2103,40975286.00,5,59,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800108,59.19
شيران-ت,20010407,59.19,59,59,59.19,740,14423340.00,1,59,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800118,59.19
شيران-ت,20010408,59.21,59,59,59.20,4600,89671500.00,9,59,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800119,59.20
شيران-ت,20010410,59.26,59,59,59.28,2100,40981200.00,4,59,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800121,59.28
شيران-ت,20010411,59.83,60,60,60.00,10300,203377500.00,5,59,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800122,60.00
شيران-ت,20010415,60.08,60,60,60.08,1463,28942529.00,3,60,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800126,60.08
شيران-ت,20010416,60.08,60,60,60.10,2600,51441400.00,2,60,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800127,60.10
شيران-ت,20010417,60.10,60,60,60.10,400,7915600.00,1,60,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800128,60.10
شيران-ت,20010422,60.29,60,60,60.29,350,6947850.00,1,60,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800202,60.29
شيران-ت,20010423,60.74,61,61,60.89,800,16029400.00,4,60,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800203,60.89
شيران-ت,20010501,61.50,61,61,61.50,1000,20249000.00,1,61,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800211,61.50
شيران-ت,20010513,62.11,62,62,62.11,943,19285293.00,3,61,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800223,62.11
شيران-ت,20010530,62.73,63,63,62.73,1100,22720500.00,6,62,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800309,62.73
شيران-ت,20010704,65.86,66,66,65.77,2800,60698000.00,3,63,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800413,65.77
شيران-ت,20010707,69.05,69,69,69.05,26538,603394506.00,23,66,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800416,69.05
شيران-ت,20010708,72.50,73,73,72.50,4312,102940376.00,9,69,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800417,72.50
شيران-ت,20010812,69.85,77,70,77.44,7288,177778960.00,16,73,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800521,77.44
شيران-ت,20010813,78.28,79,78,79.38,6200,160173200.00,3,77,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800522,79.38
شيران-ت,20010814,81.36,81,81,81.36,44200,1184118000.00,15,79,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800523,81.36
شيران-ت,20010815,83.39,83,81,83.39,11815,319508650.00,8,81,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800524,83.39
شيران-ت,20010819,84.23,84,84,84.23,1400,38826200.00,5,83,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800528,84.23
شيران-ت,20010820,85.07,85,85,85.07,3000,84030000.00,3,84,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800529,85.07
شيران-ت,20010827,85.07,85,85,85.07,920,25770400.00,7,85,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800605,85.07
شيران-ت,20010828,85.92,86,85,85.92,2010,56528100.00,6,85,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800606,85.92
شيران-ت,20010829,85.92,86,86,85.92,3753,106170170.00,13,86,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800607,85.92
شيران-ت,20010901,85.91,86,86,85.92,2000,56579400.00,6,86,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800610,85.92
شيران-ت,20010902,85.92,86,86,85.92,8099,229120710.00,5,86,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800611,85.92
شيران-ت,20010903,85.69,87,86,86.71,4140,116917500.00,9,86,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800612,86.71
شيران-ت,20010904,86.71,87,87,86.70,650,18557250.00,3,87,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800613,86.70
شيران-ت,20010905,86.70,88,87,87.57,2435,69682115.00,4,87,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800614,87.57
شيران-ت,20010908,88.44,88,88,88.44,26119,760637518.00,5,88,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800617,88.44
شيران-ت,20010910,89.33,89,89,89.33,20800,611790400.00,6,88,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800619,89.33
شيران-ت,20010911,90.22,90,89,90.22,11600,344429000.00,3,89,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800620,90.22
شيران-ت,20010912,90.22,91,90,91.12,25140,753758848.00,14,90,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800621,91.12
شيران-ت,20010915,91.12,91,91,91.12,300,9001200.00,2,91,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800624,91.12
شيران-ت,20010918,91.10,91,91,91.12,9545,286378030.00,12,91,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800627,91.12
شيران-ت,20010919,91.12,92,91,92.02,8015,242262500.00,6,91,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800628,92.02
شيران-ت,20010922,92.03,92,92,92.03,1000,30302000.00,1,92,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800631,92.03
شيران-ت,20010924,92.04,92,92,92.03,5000,151517263.00,4,92,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800702,92.03
شيران-ت,20010926,92.02,92,92,92.02,2692,81573536.00,11,92,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800704,92.02
شيران-ت,20010929,92.02,92,92,92.02,1766,53508034.00,5,92,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800707,92.02
شيران-ت,20011003,91.56,92,92,91.56,950,28712250.00,4,92,SSIN,S*Iran Chem. Ind.-a,س._صنايع‌شيميايي‌ايران-ت,13800711,91.56
