,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,20210531,796,0,459,0,30568554,0,30568554,0,67591845681,0,67591845681,0,2211.156133881897,2211.156133881897,,,0.0
1,20210530,1512,0,909,2,56235355,0,54935355,1300000,130073521617,0,127022521617,3051000000,2313.0203697833863,2312.218090098808,,2346.923076923077,1300000.0
2,20210529,491,0,587,2,23730748,0,19860368,3870380,53204411320,0,44480574800,8723836520,2242.003131127599,2239.6651864658297,,2254.0,3870380.0
3,20210526,929,0,1325,0,41803308,0,41803308,0,89763118816,0,89763118816,0,2147.273101353606,2147.273101353606,,,0.0
4,20210525,1466,5,1547,3,79869094,795380,80109349,555125,170879234972,1724532700,171375333270,1228434402,2139.491340317445,2139.2675812407365,2168.1871558248886,2212.896918712002,-240255.0
5,20210524,258,1,22,0,5293529,20000,5313529,0,11365206763,42940000,11408146763,0,2147.0,2147.0,2147.0,,-20000.0
6,20210523,233,1,44,1,5089375,100000,5129975,59400,11120284375,218500000,11208995375,129789000,2185.0,2185.0,2185.0,2185.0,-40600.0
7,20210522,316,1,121,0,7634630,2000000,9634630,0,17263874026,4516000000,21779874026,0,2261.2587677464394,2260.5822980228613,2258.0,,-2000000.0
8,20210519,1010,4,592,1,45650679,8128074,53730216,48537,108502184701,19250791765,127637513166,115463300,2376.7923517851727,2375.525778009156,2368.43214825554,2378.87178853246,-8079537.0
9,20210518,1499,2,788,0,63687778,6900000,70587778,0,158627049400,17043000000,175670049400,0,2490.69844138698,2488.675155633883,2470.0,,-6900000.0
10,20210516,1502,1,1936,6,112581623,639102,109498588,3722137,302573193843,1653346020,294176696383,10049843480,2687.5895530747503,2686.579815832876,2586.983016795441,2700.0197682137978,3083035.0
11,20210515,1423,6,1627,1,68523709,9825000,78344720,3989,177404676953,25227540523,202621846076,10371400,2588.9532184108716,2586.2859178767885,2567.688602849873,2600.0,-9821011.0
12,20210512,819,4,559,0,26660898,9919000,36579898,0,72105245573,26653309175,98758554748,0,2704.5317668219577,2699.8039947514344,2687.096398326444,,-9919000.0
13,20210511,2213,3,2552,3,116485422,4286419,112627366,8144475,321565615155,11714784736,310620093970,22660305921,2760.5653105244364,2757.9451158433376,2733.0003753716096,2782.2917893418544,3858056.0
14,20210510,1649,4,2810,13,202922635,3187214,171145293,34964556,556778204582,8711191878,469417743088,96071653372,2743.7954596932964,2742.802532629396,2733.168176972114,2747.6869253537784,31777342.0
15,20210509,57,0,3,0,665789,0,665789,0,1819601337,0,1819601337,0,2733.0,2733.0,,,0.0
16,20210508,77,0,12,0,1962235,0,1962235,0,5380448370,0,5380448370,0,2742.0,2742.0,,,0.0
17,20210505,113,0,10,0,1558912,0,1558912,0,4285449088,0,4285449088,0,2749.0,2749.0,,,0.0
18,20210503,48,0,3,0,784529,0,784529,0,2159023808,0,2159023808,0,2752.0,2752.0,,,0.0
19,20210502,75,0,2,0,760033,0,760033,0,2097691080,0,2097691080,0,2760.0,2760.0,,,0.0
20,20210501,127,0,5,0,1128310,0,1128310,0,3125418700,0,3125418700,0,2770.0,2770.0,,,0.0
21,20210428,205,0,25,0,3992855,0,3992855,0,11140065450,0,11140065450,0,2790.0,2790.0,,,0.0
22,20210427,172,0,22,0,3297118,0,3297118,0,9264901580,0,9264901580,0,2810.0,2810.0,,,0.0
23,20210426,104,0,9,0,2274652,0,2274652,0,6414518640,0,6414518640,0,2820.0,2820.0,,,0.0
24,20210425,56,0,4,0,737593,0,737593,0,2080012260,0,2080012260,0,2820.0,2820.0,,,0.0
25,20210424,103,0,4,0,1109735,0,1109735,0,3140550050,0,3140550050,0,2830.0,2830.0,,,0.0
26,20210421,84,0,9,0,1021805,0,1021805,0,2891708150,0,2891708150,0,2830.0,2830.0,,,0.0
27,20210420,124,0,2,0,1115880,0,1115880,0,3191416800,0,3191416800,0,2860.0,2860.0,,,0.0
28,20210419,90,0,2,0,978928,0,978928,0,2799734080,0,2799734080,0,2860.0,2860.0,,,0.0
29,20210418,66,0,3,0,854296,0,854296,0,2443286560,0,2443286560,0,2860.0,2860.0,,,0.0
30,20210417,74,0,9,0,732861,0,732861,0,2095982460,0,2095982460,0,2860.0,2860.0,,,0.0
31,20210414,150,0,50,1,12231824,0,12229542,2282,35472289600,0,35465671800,6617800,2900.0,2900.0,,2900.0,2282.0
32,20210413,294,0,54,1,8158331,0,7758331,400000,23822326520,0,22654326520,1168000000,2920.0,2920.0,,2920.0,400000.0
33,20210412,121,0,8,0,4817250,0,4817250,0,14114542500,0,14114542500,0,2930.0,2930.0,,,0.0
34,20210411,95,0,8,0,951790,0,951790,0,2788744700,0,2788744700,0,2930.0,2930.0,,,0.0
35,20210410,109,0,7,1,1991677,0,1854071,137606,5855530380,0,5450968740,404561640,2940.0,2940.0,,2940.0,137606.0
36,20210407,141,0,47,0,7520367,0,7520367,0,22260286320,0,22260286320,0,2960.0,2960.0,,,0.0
37,20210406,182,1,52,1,7017469,900000,7917069,400,20982232310,2691000000,23672036310,1196000,2990.0,2990.0,2990.0,2990.0,-899600.0
38,20210405,147,0,20,0,2560732,0,2560732,0,7682196000,0,7682196000,0,3000.0,3000.0,,,0.0
39,20210404,137,0,22,0,2957663,0,2957663,0,8902565630,0,8902565630,0,3010.0,3010.0,,,0.0
40,20210403,238,0,29,0,7180044,0,7180044,0,21827333760,0,21827333760,0,3040.0,3040.0,,,0.0
41,20210331,833,4,358,0,23514348,775000,24289348,0,72814708570,2395150000,75209858570,0,3096.6075933723528,3096.413233076491,3090.516129032258,,-775000.0
42,20210330,4496,0,3273,3,225573094,0,220370354,5202740,710133889920,0,693589176720,16544713200,3148.132063658266,3147.3796911902223,,3180.0,5202740.0
43,20210328,1783,0,1976,7,172631394,0,159404105,13227289,518663527380,0,478940195720,39723331660,3004.4565786220783,3004.5662608249645,,3003.134781435561,13227289.0
44,20210327,1409,3,1026,2,47817736,3595000,50601902,810834,135762114840,10302300000,143735054580,2329360260,2839.158149185482,2840.5069552523933,2865.730180806676,2872.7954920489274,-2784166.0
45,20210317,1506,2,867,3,37310006,703623,35776979,2236650,103015990790,1930304560,98815602960,6130692390,2761.0821287458384,2761.988455201877,2743.3789969912864,2741.0155321574675,1533027.0
46,20210316,1452,1,1274,1,52687412,1165000,52704509,1147903,143550144890,3206100000,143627703580,3128541310,2724.562460763873,2725.150206408336,2752.017167381974,2725.440485825022,-17097.0
47,20210315,2113,3,1280,4,69824700,2034416,64103850,7755266,186393176870,5429586560,171309661190,20513102240,2669.4447218534415,2672.37710667924,2668.867409615339,2645.054629976586,5720850.0
48,20210314,2112,3,1723,3,78395254,153000,77743094,805160,211192193360,411930000,209411668940,2192454420,2693.9410561766913,2693.636928574003,2692.3529411764707,2723.0046450394952,652160.0
49,20210313,2354,5,1772,2,85598716,10591211,96084152,105775,224680125480,27749677690,252152614920,277188250,2624.8071931359345,2624.2893304610734,2620.0665523517564,2620.5459702198063,-10485436.0
50,20210310,1316,4,1031,1,44440633,3714603,48152236,3000,118576729430,9880863980,128449613410,7980000,2668.205230785079,2667.5731820636533,2660.0053841554536,2660.0,-3711603.0
51,20210309,3795,5,3650,8,200049027,12517921,208887985,3678963,543167833370,33314910220,566356402360,10126341230,2715.1735827737866,2711.2923817040028,2661.377254258115,2752.498796535872,-8838958.0
52,20210308,599,3,68,3,8009402,7347062,13536062,1820402,21545291380,19763596780,36412006780,4896881380,2690.0,2690.0,2690.0,2690.0,-5526660.0
53,20210307,330,1,44,2,5473813,3800000,8730052,543761,14888771360,10336000000,23745741440,1479029920,2720.0,2720.0,2720.0,2720.0,-3256239.0
54,20210306,236,1,26,0,2380310,1000000,3380310,0,6498246300,2730000000,9228246300,0,2730.0,2730.0,2730.0,,-1000000.0
55,20210303,310,1,37,0,3621296,1200000,4821296,0,9922351040,3288000000,13210351040,0,2740.0,2740.0,2740.0,,-1200000.0
56,20210302,397,2,28,0,6077691,3250000,9327691,0,16835204070,9002500000,25837704070,0,2770.0,2770.0,2770.0,,-3250000.0
57,20210301,243,1,31,1,4396543,2000000,6314543,82000,12266354970,5580000000,17617574970,228780000,2790.0,2790.0,2790.0,2790.0,-1918000.0
58,20210228,142,1,11,0,1440800,1500000,2940800,0,4034240000,4200000000,8234240000,0,2800.0,2800.0,2800.0,,-1500000.0
59,20210227,198,1,12,0,1857978,1000000,2857978,0,5220918180,2810000000,8030918180,0,2810.0,2810.0,2810.0,,-1000000.0
60,20210224,753,3,454,1,34889926,2734290,37579216,45000,99918098600,7795576500,107585425100,128250000,2863.80941593284,2862.897009346869,2851.042318115489,2850.0,-2689290.0
61,20210223,425,1,44,0,12346466,2000000,14346466,0,35681286740,5780000000,41461286740,0,2890.0,2890.0,2890.0,,-2000000.0
62,20210222,212,1,15,0,1701678,1000000,2701678,0,4934866200,2900000000,7834866200,0,2900.0,2900.0,2900.0,,-1000000.0
63,20210221,233,1,18,0,3906910,1000000,4906910,0,11369108100,2910000000,14279108100,0,2910.0,2910.0,2910.0,,-1000000.0
64,20210220,561,1,265,1,12394848,950000,11344848,2000000,36578134060,2802500000,33480501960,5900132100,2951.07564530037,2951.1635554746968,2950.0,2950.06605,1050000.0
65,20210217,1090,2,676,0,40157711,3500000,43657711,0,121053045820,10535000000,131588045820,0,3014.440883346165,3014.084861663957,3010.0,,-3500000.0
66,20210216,924,2,396,0,21665784,995000,22660784,0,66484857490,3046125000,69530982490,0,3068.6568965147994,3068.339669536588,3061.43216080402,,-995000.0
67,20210215,4568,6,2746,7,186384590,3305852,186162270,3528172,580938789730,10206790640,579799942300,11345638070,3116.8820862819184,3114.4868522499214,3087.491708642734,3215.727030881714,222320.0
68,20210214,6586,10,4176,15,429307819,7540898,404155142,32693575,1337655541560,23591258620,1258966927930,102279872250,3115.842484946681,3115.0585433600645,3128.4415490038455,3128.439525197229,25152677.0
69,20210213,63,1,424,3,18070996,400000,10720996,7750000,53490148160,1184000000,31734148160,22940000000,2960.0,2960.0,2960.0,2960.0,7350000.0
70,20210209,34,0,422,3,14848678,0,11998678,2850000,42021758740,0,33956258740,8065500000,2830.0,2830.0,,2830.0,2850000.0
