,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,20210531,328,2,224,1,15141523,102000,15243518,5,51739203035,348126000,52087311970,17065,3417.0408772618184,3417.0138395874233,3413.0,3413.0,-101995.0
1,20210530,1195,2,1184,3,36735765,225000,36328025,632740,131945005745,808017350,130435005272,2318017823,3591.7315385973316,3590.4788457946725,3591.188222222222,3663.46022536903,407740.0
2,20210529,1353,2,1482,3,44112465,202400,42481865,1833000,160946211906,741104710,154983544772,6703771844,3648.5426943608795,3648.228362196434,3661.5845355731226,3657.267781778505,1630600.0
3,20210526,539,3,664,0,18024693,2400000,20424693,0,64613605236,8594000000,73207605236,0,3584.727087224176,3584.269552350187,3580.8333333333335,,-2400000.0
4,20210525,848,3,1073,2,29948147,4400000,34340147,8000,112625558309,16789201977,129384018786,30741500,3760.6853709179404,3767.718839002058,3815.7277220454544,3842.6875,-4392000.0
5,20210524,27,0,1,0,118950,0,118950,0,445824600,0,445824600,0,3748.0,3748.0,,,0.0
6,20210523,22,1,6,0,257516,100000,357516,0,969805256,376600000,1346405256,0,3766.0,3766.0,3766.0,,-100000.0
7,20210522,31,0,3,0,174867,0,174867,0,660122925,0,660122925,0,3775.0,3775.0,,,0.0
8,20210519,44,0,1,0,173676,0,173676,0,657189984,0,657189984,0,3784.0,3784.0,,,0.0
9,20210518,91,1,11,0,479134,500000,979134,0,1839874560,1920000000,3759874560,0,3840.0,3840.0,3840.0,,-500000.0
10,20210517,537,1,382,0,10711694,240000,10951694,0,43292167775,973142296,44265310071,0,4041.579956914378,4041.868780391417,4054.7595666666666,,-240000.0
11,20210516,2326,1,2830,9,97551944,400000,97424583,527361,412796075155,1670400000,412263730696,2202744459,4231.551501987495,4231.619145816616,4176.0,4176.919527610119,127361.0
12,20210515,44,1,12,0,313496,500000,813496,0,1325147592,2113500000,3438647592,0,4227.0,4227.0,4227.0,,-500000.0
13,20210512,73,2,61,2,615671,4000000,4597342,18329,2691097941,17484000000,20094981882,80116059,4371.0,4371.0,4371.0,4371.0,-3981671.0
14,20210511,135,2,57,3,672866,4400000,5063044,9822,2982814978,19505200000,22444474052,43540926,4433.0,4433.0,4433.0,4433.0,-4390178.0
15,20210510,138,0,13,0,1098301,0,1098301,0,4747955223,0,4747955223,0,4323.0,4323.0,,,0.0
16,20210509,12,0,1,0,32252,0,32252,0,143876172,0,143876172,0,4461.0,4461.0,,,0.0
17,20210508,13,0,1,0,29601,0,29601,0,132050061,0,132050061,0,4461.0,4461.0,,,0.0
18,20210505,23,0,1,0,51983,0,51983,0,231948146,0,231948146,0,4462.0,4462.0,,,0.0
19,20210503,14,0,1,0,24811,0,24811,0,110706682,0,110706682,0,4462.0,4462.0,,,0.0
20,20210502,13,0,1,0,86945,0,86945,0,388644150,0,388644150,0,4470.0,4470.0,,,0.0
21,20210501,33,0,1,0,147838,0,147838,0,660835860,0,660835860,0,4470.0,4470.0,,,0.0
22,20210428,78,0,5,0,329938,0,329938,0,1474822860,0,1474822860,0,4470.0,4470.0,,,0.0
23,20210427,55,0,6,0,374660,0,374660,0,1674730200,0,1674730200,0,4470.0,4470.0,,,0.0
24,20210426,20,0,1,0,115266,0,115266,0,515239020,0,515239020,0,4470.0,4470.0,,,0.0
25,20210425,28,0,1,0,72276,0,72276,0,323073720,0,323073720,0,4470.0,4470.0,,,0.0
26,20210424,85,0,73,0,108375,0,108375,0,484436250,0,484436250,0,4470.0,4470.0,,,0.0
27,20210421,19,0,67,0,0,0,0,0,0,0,0,0,,,,,0.0
28,20210420,47,0,5,0,153214,0,153214,0,690995140,0,690995140,0,4510.0,4510.0,,,0.0
29,20210419,19,0,3,0,46952,0,46952,0,211753520,0,211753520,0,4510.0,4510.0,,,0.0
30,20210418,19,0,1,0,60230,0,60230,0,271637300,0,271637300,0,4510.0,4510.0,,,0.0
31,20210417,18,0,1,0,71350,0,71350,0,321788500,0,321788500,0,4510.0,4510.0,,,0.0
32,20210414,61,0,7,0,385467,0,385467,0,1738456170,0,1738456170,0,4510.0,4510.0,,,0.0
33,20210413,557,1,864,1,14193101,1089,14193825,365,65245435580,5052960,65248813190,1675350,4596.9824057476935,4596.985885763704,4640.0,4590.0,-724.0
34,20210412,31,0,1,0,159029,0,159029,0,729943110,0,729943110,0,4590.0,4590.0,,,0.0
35,20210411,25,0,4,0,123344,0,123344,0,566148960,0,566148960,0,4590.0,4590.0,,,0.0
36,20210410,22,0,8,0,200177,0,200177,0,918812430,0,918812430,0,4590.0,4590.0,,,0.0
37,20210407,46,1,3,0,191693,1100,192793,0,879870870,5049000,884919870,0,4590.0,4590.0,4590.0,,-1100.0
38,20210406,92,0,11,0,1087494,0,1087494,0,5002472400,0,5002472400,0,4600.0,4600.0,,,0.0
39,20210405,60,0,1,0,259111,0,259111,0,1191910600,0,1191910600,0,4600.0,4600.0,,,0.0
40,20210404,50,0,1,0,154272,0,154272,0,709651200,0,709651200,0,4600.0,4600.0,,,0.0
41,20210403,118,0,81,0,814612,0,814612,0,3755361320,0,3755361320,0,4610.0,4610.0,,,0.0
42,20210331,336,2,168,0,3562735,150000,3712735,0,16550180540,696000000,17246180540,0,4645.35828233085,4645.14179977833,4640.0,,-150000.0
43,20210330,634,0,391,0,7626459,0,7626459,0,35957859580,0,35957859580,0,4714.882697199316,4714.882697199316,,,0.0
44,20210328,761,1,772,0,13262337,50000,13312337,0,63243332090,235000000,63478332090,0,4768.641611957229,4768.383799929344,4700.0,,-50000.0
45,20210327,1062,2,1185,2,20351787,149919,20124570,377136,97000459240,701107150,95893808490,1807757900,4766.188799047474,4765.011550060449,4676.573016095358,4793.384614568749,227217.0
46,20210317,968,0,620,0,14892754,0,14892754,0,69683166220,0,69683166220,0,4678.998002652834,4678.998002652834,,,0.0
47,20210316,1998,2,1910,0,43322630,499468,43822098,0,205287260700,2361397240,207648657940,0,4738.568750327485,4738.446295747866,4727.824885678362,,-499468.0
48,20210315,526,1,493,0,7865733,682079,8547812,0,37584754360,3253516830,40838271190,0,4778.290130112477,4777.62861302986,4770.0,,-682079.0
49,20210314,2199,3,2717,3,62500684,675000,63015134,160550,303453120030,3325783310,306006997340,771906000,4855.196785206383,4856.087385928593,4927.0863851851855,4807.885393958269,-514450.0
50,20210313,104,0,3,0,469364,0,469364,0,2252947200,0,2252947200,0,4800.0,4800.0,,,0.0
51,20210310,75,0,4,0,425574,0,425574,0,2042755200,0,2042755200,0,4800.0,4800.0,,,0.0
52,20210309,173,0,25,0,2173160,0,2173160,0,10474631200,0,10474631200,0,4820.0,4820.0,,,0.0
53,20210308,135,0,11,0,1184734,0,1184734,0,5722265220,0,5722265220,0,4830.0,4830.0,,,0.0
54,20210307,67,0,2,0,526354,0,526354,0,2542289820,0,2542289820,0,4830.0,4830.0,,,0.0
55,20210306,61,0,10,0,406642,0,406642,0,1964080860,0,1964080860,0,4830.0,4830.0,,,0.0
56,20210303,92,0,5,0,444725,0,444725,0,2148021750,0,2148021750,0,4830.0,4830.0,,,0.0
57,20210302,97,0,3,1,471377,0,428569,42808,2276750910,0,2069988270,206762640,4830.0,4830.0,,4830.0,42808.0
58,20210301,67,0,1,1,379652,0,52460,327192,1833719160,0,253381800,1580337360,4830.0,4830.0,,4830.0,327192.0
59,20210228,41,0,3,0,197460,0,197460,0,953731800,0,953731800,0,4830.0,4830.0,,,0.0
60,20210227,83,0,16,0,888660,0,888660,0,4301114400,0,4301114400,0,4840.0,4840.0,,,0.0
61,20210224,98,0,11,1,542113,0,536113,6000,2623826920,0,2594786920,29040000,4840.0,4840.0,,4840.0,6000.0
62,20210223,126,0,21,0,1274570,0,1274570,0,6181664500,0,6181664500,0,4850.0,4850.0,,,0.0
63,20210222,48,0,3,0,298644,0,298644,0,1448423400,0,1448423400,0,4850.0,4850.0,,,0.0
64,20210221,70,0,5,0,189932,0,189932,0,921170200,0,921170200,0,4850.0,4850.0,,,0.0
65,20210220,146,0,27,0,1486137,0,1486137,0,7222625820,0,7222625820,0,4860.0,4860.0,,,0.0
66,20210217,199,0,148,0,1953928,0,1953928,0,9535168640,0,9535168640,0,4880.0,4880.0,,,0.0
67,20210216,171,0,23,1,2257966,0,2049092,208874,11064033400,0,10040550800,1023482600,4900.0,4900.0,,4900.0,208874.0
68,20210215,321,0,146,0,3305759,0,3305759,0,16266054310,0,16266054310,0,4920.520313186775,4920.520313186775,,,0.0
69,20210214,1168,0,939,1,21276398,0,21273709,2689,106776427130,0,106762578780,13848350,5018.538717408839,5018.522100683054,,5150.0,2689.0
70,20210213,1974,2,1719,1,44034812,425000,44453976,5836,223079264060,2190000000,225239558820,29705240,5065.975166647697,5066.803446782803,5152.941176470588,5090.0,-419164.0
71,20210209,1256,0,1766,1,37321024,0,37121024,200000,182320592860,0,181320592860,1000000000,4885.198028328483,4884.5795002853365,,5000.0,200000.0
72,20210208,1684,1,1782,2,46967531,7529,46954389,20671,227465615200,36289780,227399359010,102545970,4843.039656480984,4842.984092711759,4820.0,4960.861593536839,13142.0
73,20210207,680,0,1383,1,23353806,0,23329727,24079,115559772430,0,115440099040,119673390,4948.220107249328,4948.19759528262,,4970.03156277254,24079.0
74,20210206,387,0,241,0,10068612,0,10068612,0,47857695510,0,47857695510,0,4753.15718889555,4753.15718889555,,,0.0
75,20210203,1281,0,985,1,33519993,0,32308542,1211451,167337945290,0,161261684460,6076260830,4992.183181243505,4991.301819190727,,5015.688484305185,1211451.0
76,20210202,1808,3,1980,3,55528887,1415586,54576974,2367499,286969390900,7075795890,281632862920,12412323870,5167.92981822236,5160.287247145655,4998.492419393806,5242.800047645215,951913.0
77,20210201,800,0,622,0,14428986,0,14428986,0,75762088650,0,75762088650,0,5250.686960954845,5250.686960954845,,,0.0
78,20210131,2090,1,1641,0,41245080,150000,41395080,0,227176771250,815000000,227991771250,0,5507.972617582509,5507.702153251063,5433.333333333333,,-150000.0
79,20210130,2453,1,2601,0,57625960,200000,57825960,0,327181413690,1167436400,328348850090,0,5677.673980442148,5678.225663525517,5837.182,,-200000.0
80,20210127,38,0,42,0,0,0,0,0,0,0,0,0,,,,,0.0
81,20210125,1359,2,1536,0,28954061,96019,29050080,0,153477492320,500800700,153978293020,0,5300.724216889645,5300.442994305007,5215.64169591435,,-96019.0
82,20210124,2725,3,2157,3,64174981,4325000,62849036,5650945,351977725170,23372992860,342996475190,32354242840,5484.65647648575,5457.465969565547,5404.160198843931,5725.4570412559315,1325945.0
83,20210123,490,1,645,1,9066602,100000,9165232,1370,49958427510,550657200,50501549710,7535000,5510.159981655752,5510.12235260384,5506.572,5500.0,-98630.0
84,20210120,1190,0,1254,1,29580402,0,29555402,25000,155518076370,0,155386076370,132000000,5257.470009028275,5257.450951606072,,5280.0,25000.0
85,20210119,2451,1,2565,7,55480272,2680798,56970833,1190237,279530228730,13304026670,286913799440,5920455960,5038.371634695663,5036.1524368092005,4962.711353112021,4974.182419131652,-1490561.0
86,20210118,187,1,39,0,825036,2000000,2825036,0,4133430360,10020000000,14153430360,0,5010.0,5010.0,5010.0,,-2000000.0
87,20210116,518,1,416,0,7209085,150945,7360030,0,37645829640,797008500,38442838140,0,5221.9983035295045,5223.190413626032,5280.125211169631,,-150945.0
88,20210113,1314,1,1695,0,33347921,1000,33348921,0,182108126570,5450000,182113576570,0,5460.853963579919,5460.853638113209,5450.0,,-1000.0
89,20210112,579,1,153,0,5105464,1000,5106464,0,28661776240,5600000,28667376240,0,5613.941502672431,5613.93877250481,5600.0,,-1000.0
90,20210111,2215,3,2326,1,42665763,2750000,45315763,100000,250962519590,16638399440,266991919030,609000000,5882.05863305433,5891.811179037193,6050.327069090909,6090.0,-2650000.0
91,20210110,1804,1,1964,1,37522131,200000,35722131,2000000,222920326970,1192000000,212192326970,11920000000,5941.035890792024,5940.080309598551,5960.0,5960.0,1800000.0
92,20210109,2821,4,3427,3,69883245,242104,69578214,547135,397261390220,1384001440,395442062990,3203328670,5684.644298071734,5683.417843838302,5716.557512473978,5854.731775521581,305031.0
93,20210106,1002,1,709,1,13076653,2000000,15069798,6855,75949369700,11560000000,87469747800,39621900,5808.0129296082105,5804.307914412655,5780.0,5780.0,-1993145.0
