"datadate","tic","prccd","ajexdi","prcod","prchd","prcld","cshtrd"
"20090102","GS","86.76","1.0","84.02","87.62","82.19","14087610.0"
"20090105","GS","88.78","1.0","85.81","90.95","85.46","15994620.0"
"20090106","GS","88.71","1.0","90.05","92.2","87.72","21551160.0"
"20090107","GS","84.5","1.0","86.91","87.85","83.65","12464010.0"
"20090108","GS","85.41","1.0","83.52","86.52","82.6801","13415440.0"
"20090109","GS","83.92","1.0","85.91","86.87","80.41","12190920.0"
"20090112","GS","77.67","1.0","83.36","83.76","76.43","15581860.0"
"20090113","GS","77.92","1.0","74.16","78.88","73.71","25838010.0"
"20090114","GS","75.69","1.0","75.88","76.88","73.45","18335930.0"
"20090115","GS","73.83","1.0","75.03","76.2","69.0","25794820.0"
"20090116","GS","73.05","1.0","75.98","76.5","69.95","26048120.0"
"20090120","GS","59.2","1.0","69.6","70.26","59.13","32933710.0"
"20090121","GS","69.9","1.0","63.39","70.1","63.25","38073200.0"
"20090122","GS","71.03","1.0","67.28","73.69","65.53","24551690.0"
"20090123","GS","74.91","1.0","67.87","75.35","67.12","21859330.0"
"20090126","GS","74.2","1.0","76.06","78.75","72.77","18723120.0"
"20090127","GS","78.26","1.0","75.51","78.65","74.77","20592340.0"
"20090128","GS","87.7","1.0","84.28","89.1","83.37","34229320.0"
"20090129","GS","82.72","1.0","85.13","86.59","82.12","21532030.0"
"20090130","GS","80.73","1.0","83.59","84.78","79.35","20344880.0"
"20090202","GS","83.57","1.0","78.78","84.0","78.57","18118010.0"
"20090203","GS","82.81","1.0","84.3","84.5","79.8","19334150.0"
"20090204","GS","87.97","1.0","83.7","89.92","83.45","29739660.0"
"20090205","GS","92.85","1.0","86.77","94.7","86.26","33740920.0"
"20090206","GS","96.57","1.0","94.27","96.58","91.56","26491640.0"
"20090209","GS","97.89","1.0","97.02","98.66","94.63","18721910.0"
"20090210","GS","90.4","1.0","96.79","97.89","89.7","29840910.0"
"20090211","GS","94.71","1.0","91.75","94.94","90.42","19492730.0"
"20090212","GS","95.58","1.0","92.65","96.2","91.47","22872420.0"
"20090213","GS","96.45","1.0","95.0","97.98","94.5","22900900.0"
"20090217","GS","85.71","1.0","92.26","92.48","84.79","30899270.0"
"20090218","GS","84.5","1.0","87.69","87.69","81.07","32582710.0"
"20090219","GS","86.01","1.0","86.41","88.87","85.53","24308050.0"
"20090220","GS","84.59","1.0","81.95","87.15","79.27","36144310.0"
"20090223","GS","80.07","1.0","86.51","87.77","79.79","22196730.0"
"20090224","GS","92.98","1.0","81.53","93.09","81.51","32990510.0"
"20090225","GS","89.92","1.0","91.55","93.5","87.3","36229740.0"
"20090226","GS","92.15","1.0","92.3","94.0","90.02","27500000.0"
"20090227","GS","91.08","1.0","88.63","93.38","87.5","26040830.0"
"20090302","GS","86.27","1.0","87.86","90.21","85.56","24043190.0"
"20090303","GS","82.37","1.0","88.33","88.84","80.29","30865000.0"
"20090304","GS","85.47","1.0","84.9","88.0","81.5","28029380.0"
"20090305","GS","81.72","1.0","82.88","85.7","79.35","24789210.0"
"20090306","GS","75.65","1.0","82.33","84.4799","73.25","33435830.0"
"20090309","GS","73.95","1.0","73.77","77.4","72.78","23620530.0"
"20090310","GS","85.28","1.0","77.68","85.45","77.1","34871420.0"
