"datadate","tic","prccd","ajexdi","prcod","prchd","prcld","cshtrd"
"20090102","HD","24.13","1.0","23.07","24.19","22.96","14902490.0"
"20090105","HD","24.71","1.0","24.02","24.88","23.81","22570860.0"
"20090106","HD","25.26","1.0","24.94","25.49","24.62","22860370.0"
"20090107","HD","24.57","1.0","24.87","25.16","24.43","19857270.0"
"20090108","HD","24.39","1.0","24.12","24.46","23.7","17305430.0"
"20090109","HD","23.86","1.0","24.48","24.48","23.54","16923280.0"
"20090112","HD","22.97","1.0","23.85","23.96","22.62","23539950.0"
"20090113","HD","22.51","1.0","22.96","23.1","22.25","20439620.0"
"20090114","HD","21.91","1.0","22.15","22.26","21.68","20531040.0"
"20090115","HD","22.81","1.0","21.92","23.31","21.66","25998260.0"
"20090116","HD","23.2","1.0","23.34","23.38","22.5722","20942390.0"
"20090120","HD","21.99","1.0","22.9","23.2","21.84","20199430.0"
"20090121","HD","22.28","1.0","22.29","22.44","21.6","19666930.0"
"20090122","HD","21.97","1.0","21.91","22.35","21.49","22725550.0"
"20090123","HD","21.72","1.0","21.38","21.98","21.3","20852130.0"
"20090126","HD","22.73","1.0","22.1","23.14","22.05","34329290.0"
"20090127","HD","22.12","1.0","22.74","22.89","21.81","21670880.0"
"20090128","HD","23.0","1.0","22.59","23.23","22.3","20542970.0"
"20090129","HD","22.0","1.0","22.5","23.08","21.91","18002400.0"
"20090130","HD","21.53","1.0","22.22","22.35","21.35","27027740.0"
"20090202","HD","21.57","1.0","21.21","22.09","21.11","17925670.0"
"20090203","HD","21.92","1.0","21.97","22.04","20.83","17471870.0"
"20090204","HD","21.73","1.0","21.63","22.07","21.5","18488430.0"
"20090205","HD","22.4","1.0","21.48","22.45","21.36","24647560.0"
"20090206","HD","23.53","1.0","22.39","23.85","22.37","31042160.0"
"20090209","HD","23.09","1.0","23.47","23.63","22.56","16287160.0"
"20090210","HD","22.21","1.0","22.9","23.23","22.0","21866670.0"
"20090211","HD","22.14","1.0","22.36","22.5","21.9","17896120.0"
"20090212","HD","21.98","1.0","21.7","22.06","21.15","23442180.0"
"20090213","HD","21.22","1.0","21.78","22.16","21.2","18566130.0"
"20090217","HD","19.94","1.0","20.7","20.75","19.86","35692780.0"
"20090218","HD","19.8","1.0","20.25","20.26","19.43","23375560.0"
"20090219","HD","20.16","1.0","19.95","20.44","19.93","20343100.0"
"20090220","HD","19.46","1.0","19.68","20.25","19.17","29576470.0"
"20090223","HD","18.71","1.0","19.43","19.84","18.24","26930170.0"
"20090224","HD","20.67","1.0","19.65","20.78","19.44","37719570.0"
"20090225","HD","20.31","1.0","20.35","20.78","20.01","26986150.0"
"20090226","HD","20.64","1.0","20.55","20.89","20.33","22729190.0"
"20090227","HD","20.89","1.0","20.17","21.28","20.17","23321070.0"
"20090302","HD","19.92","1.0","20.35","20.95","19.84","25492530.0"
"20090303","HD","18.89","1.0","19.58","19.95","18.76","29212750.0"
"20090304","HD","19.01","1.0","18.99","19.37","18.7","22093290.0"
"20090305","HD","18.15","1.0","18.51","19.18","18.0","23728830.0"
"20090306","HD","18.0","1.0","18.3","18.6022","17.54","25863230.0"
"20090309","HD","18.23","1.0","17.74","18.95","17.49","28387210.0"
"20090310","HD","19.42","1.0","18.34","19.58","18.26","25539090.0"
"20090311","HD","19.68","1.0","19.42","19.92","19.2","21666550.0"
"20090312","HD","20.33","1.0","19.65","20.45","19.28","17502730.0"
"20090313","HD","20.71","1.0","20.44","21.0","19.8","22210710.0"
"20090316","HD","20.14","1.0","20.73","21.06","20.06","17034550.0"
"20090317","HD","21.48","1.0","20.5","21.49","20.34","25333900.0"
"20090318","HD","22.58","1.0","21.3","22.84","21.05","31777730.0"
"20090319","HD","22.44","1.0","22.52","22.835","22.2","22922330.0"
"20090320","HD","22.16","1.0","22.59","22.73","21.76","22361800.0"
"20090323","HD","23.25","1.0","22.43","23.28","22.17","22856280.0"
"20090324","HD","22.95","1.0","23.03","23.47","22.88","20471970.0"
"20090325","HD","23.28","1.0","23.27","23.95","22.77","33349320.0"
"20090326","HD","24.14","1.0","23.81","24.36","23.53","28053460.0"
"20090327","HD","23.63","1.0","23.82","24.1","23.33","18839460.0"
"20090330","HD","23.38","1.0","23.24","23.46","22.66","21570860.0"
"20090331","HD","23.56","1.0","23.52","23.7649","22.64","27443350.0"
"20090401","HD","23.83","1.0","23.15","23.89","22.92","21364840.0"
"20090402","HD","24.77","1.0","24.31","25.24","24.24","30226420.0"
"20090403","HD","25.0","1.0","24.69","25.125","24.34","20285940.0"
"20090406","HD","24.85","1.0","24.78","25.03","24.46","17140390.0"
"20090407","HD","24.37","1.0","24.47","24.64","24.13","16816780.0"
"20090408","HD","25.12","1.0","24.69","25.31","24.69","18517180.0"
"20090409","HD","25.9","1.0","25.56","25.96","25.44","20287990.0"
"20090413","HD","25.96","1.0","25.63","26.1","25.58","11593330.0"
"20090414","HD","25.34","1.0","25.59","25.68","25.05","14886280.0"
"20090415","HD","25.67","1.0","25.22","25.75","25.1","17463920.0"
"20090416","HD","25.97","1.0","25.78","26.16","25.28","16673840.0"
"20090417","HD","26.1","1.0","26.16","26.47","26.05","21671270.0"
"20090420","HD","25.15","1.0","25.72","25.87","24.91","17480420.0"
"20090421","HD","25.87","1.0","25.2","26.05","24.78","20543400.0"
"20090422","HD","26.17","1.0","25.63","26.92","25.48","23918250.0"
"20090423","HD","25.76","1.0","25.96","26.22","25.31","17975090.0"
"20090424","HD","26.31","1.0","25.93","26.82","25.56","21857580.0"
"20090427","HD","25.88","1.0","25.9","26.3","25.6","14868340.0"
"20090428","HD","26.07","1.0","25.57","26.48","25.3536","14949180.0"
"20090429","HD","26.34","1.0","26.27","26.845","26.02","21335600.0"
"20090430","HD","26.32","1.0","26.55","27.07","26.27","18238490.0"
"20090501","HD","25.77","1.0","26.58","26.58","25.51","15042180.0"
"20090504","HD","26.21","1.0","26.14","26.77","25.83","18074900.0"
"20090505","HD","26.19","1.0","26.18","26.4","25.93","11347700.0"
"20090506","HD","26.04","1.0","26.31","26.51","25.56","13892290.0"
"20090507","HD","25.61","1.0","26.19","26.34","25.31","20576290.0"
"20090508","HD","25.5","1.0","25.78","25.78","24.75","18467360.0"
"20090511","HD","24.93","1.0","24.81","25.25","24.54","17525020.0"
"20090512","HD","24.64","1.0","25.11","25.23","24.27","19437650.0"
"20090513","HD","24.83","1.0","24.95","25.14","24.22","32335980.0"
"20090514","HD","24.53","1.0","25.02","25.16","24.48","15822610.0"
"20090515","HD","24.4","1.0","24.45","24.915","24.22","20385490.0"
"20090518","HD","26.02","1.0","25.66","26.15","25.36","26032850.0"
"20090519","HD","24.63","1.0","25.39","25.4","24.0","39858720.0"
"20090520","HD","23.83","1.0","24.85","25.0","23.56","31471260.0"
"20090521","HD","22.89","1.0","23.49","23.83","22.64","25531770.0"
"20090522","HD","22.86","1.0","23.2","23.24","22.6","15127990.0"
"20090526","HD","23.8","1.0","22.67","23.97","22.58","20313050.0"
"20090527","HD","23.33","1.0","23.9","24.21","23.21","18507320.0"
"20090528","HD","22.7","1.0","23.63","23.63","22.33","27123010.0"
"20090529","HD","23.16","1.0","22.99","23.19","22.65","18677090.0"
"20090601","HD","24.16","1.0","23.59","24.43","23.39","18094400.0"
"20090602","HD","24.5","1.0","23.96","24.8","23.83","18362290.0"
"20090603","HD","24.37","1.0","24.39","24.81","24.09","14453140.0"
"20090604","HD","24.57","1.0","24.39","24.65","23.75","15777330.0"
"20090605","HD","24.17","1.0","24.78","24.89","23.97","14746370.0"
"20090608","HD","24.56","1.0","24.24","24.78","24.0","13183380.0"
"20090609","HD","24.35","1.0","24.34","24.59","24.08","13001160.0"
"20090610","HD","24.39","1.0","25.06","25.12","24.19","24348380.0"
"20090611","HD","24.23","1.0","24.39","24.64","24.16","17910950.0"
"20090612","HD","24.15","1.0","24.19","24.24","23.8298","18283380.0"
