"datadate","tic","prccd","ajexdi","prcod","prchd","prcld","cshtrd"
"20090102","PG","62.8","1.0","61.69","62.97","61.06","11135610.0"
"20090105","PG","62.35","1.0","62.32","62.44","61.59","14322750.0"
"20090106","PG","62.17","1.0","62.5","62.95","61.51","13402010.0"
"20090107","PG","61.08","1.0","61.33","61.66","60.64","12415590.0"
"20090108","PG","60.41","1.0","60.91","61.25","60.0","11508080.0"
"20090109","PG","59.86","1.0","60.64","60.8","59.75","10842980.0"
"20090112","PG","59.94","1.0","59.75","60.42","59.69","11373110.0"
"20090113","PG","59.47","1.0","59.96","60.29","59.02","15791840.0"
"20090114","PG","57.86","1.0","59.05","59.18","57.22","16107870.0"
"20090115","PG","57.46","1.0","57.09","57.48","56.55","18807150.0"
"20090116","PG","57.73","1.0","58.08","58.25","57.12","18904010.0"
"20090120","PG","57.43","1.0","57.77","58.45","57.23","17811480.0"
"20090121","PG","57.57","1.0","58.2","58.2","56.4868","18204530.0"
"20090122","PG","56.96","1.0","57.38","57.56","56.27","19133670.0"
"20090123","PG","56.0","1.0","56.54","56.61","55.59","21067420.0"
"20090126","PG","56.37","1.0","55.95","56.92","55.61","17032070.0"
"20090127","PG","56.7","1.0","56.48","57.39","56.2","11960030.0"
"20090128","PG","58.18","1.0","57.5","58.38","56.9","17742200.0"
"20090129","PG","58.22","1.0","57.79","59.0","57.56","14550260.0"
"20090130","PG","54.5","1.0","56.5","56.84","54.24","35110410.0"
"20090202","PG","53.05","1.0","54.0","54.38","52.21","19383920.0"
"20090203","PG","53.91","1.0","53.49","54.09","52.54","14898650.0"
"20090204","PG","52.52","1.0","54.33","54.45","52.21","14760530.0"
"20090205","PG","53.32","1.0","52.29","53.6","52.13","17727500.0"
"20090206","PG","54.0","1.0","53.42","54.46","53.06","15337990.0"
"20090209","PG","52.94","1.0","53.89","53.98","52.67","13304920.0"
"20090210","PG","51.45","1.0","52.74","53.46","50.97","22520690.0"
"20090211","PG","51.16","1.0","51.8","51.9078","50.86","16404330.0"
"20090212","PG","51.28","1.0","50.93","51.4","49.95","18018800.0"
"20090213","PG","51.09","1.0","51.37","51.68","50.73","11524420.0"
"20090217","PG","50.11","1.0","50.0","50.94","49.28","20712120.0"
"20090218","PG","50.95","1.0","49.84","51.17","49.75","16755090.0"
"20090219","PG","51.13","1.0","51.5","52.05","51.03","13384570.0"
"20090220","PG","50.25","1.0","50.24","51.3556","49.8","19555010.0"
"20090223","PG","48.9","1.0","50.49","50.49","48.79","15129830.0"
"20090224","PG","49.77","1.0","49.02","50.18","48.9701","14983410.0"
"20090225","PG","49.92","1.0","49.59","50.48","49.22","17374630.0"
"20090226","PG","48.97","1.0","50.1","50.2","48.9","13607020.0"
"20090227","PG","48.17","1.0","48.66","49.11","47.76","20744310.0"
"20090302","PG","46.87","1.0","47.32","47.93","46.8","19032170.0"
"20090303","PG","46.63","1.0","47.33","47.88","46.38","19495490.0"
"20090304","PG","47.31","1.0","46.93","48.0","46.67","15700950.0"
"20090305","PG","45.4","1.0","46.45","46.81","44.93","19422410.0"
"20090306","PG","45.71","1.0","45.87","46.59","44.63","19553620.0"
"20090309","PG","44.18","1.0","45.3","45.6","43.93","16922180.0"
"20090310","PG","45.17","1.0","44.51","45.19","44.37","20635700.0"
"20090311","PG","45.07","1.0","45.59","45.74","44.76","13395860.0"
"20090312","PG","45.78","1.0","44.89","45.901","44.52","13715200.0"
"20090313","PG","46.95","1.0","46.1","47.08","45.66","13905120.0"
"20090316","PG","47.82","1.0","47.37","48.41","47.17","15181900.0"
"20090317","PG","47.98","1.0","47.95","48.14","47.41","11481410.0"
"20090318","PG","48.02","1.0","47.75","48.75","46.99","16707360.0"
