tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
بترانس-ت,20010410,44.11,46,44,45.88,1820,23310200.00,7,44,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800121,45.88
بترانس-ت,20010411,44.29,46,44,44.15,12940,162649260.00,15,46,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800122,44.15
بترانس-ت,20010414,43.06,43,42,42.35,3600,43649400.00,4,44,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800125,42.35
بترانس-ت,20010415,42.35,42,42,42.35,16181,194160213.00,39,42,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800126,42.35
بترانس-ت,20010416,42.35,42,42,42.35,9514,114172190.00,20,42,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800127,42.35
بترانس-ت,20010417,42.70,44,42,42.39,22960,277426230.00,18,42,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800128,42.39
بترانس-ت,20010418,43.76,44,43,44.11,35953,447090100.00,13,42,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800129,44.11
بترانس-ت,20010421,44.56,45,44,45.17,14239,180268356.00,9,44,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800201,45.17
بترانس-ت,20010422,45.88,46,46,45.87,10528,137381090.00,18,45,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800202,45.87
بترانس-ت,20010423,45.19,46,45,45.88,36741,473722630.00,31,46,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800203,45.88
بترانس-ت,20010424,45.88,46,46,45.87,9514,123681820.00,21,46,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800204,45.87
بترانس-ت,20010425,45.88,47,46,46.58,8668,113083870.00,20,46,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800205,46.58
بترانس-ت,20010428,46.63,47,47,46.64,187,2470914.00,2,47,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800208,46.64
بترانس-ت,20010430,48.88,49,49,48.88,2750,38077360.00,9,47,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800210,48.88
بترانس-ت,20010501,48.88,49,49,49.05,2493,34569570.00,8,49,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800211,49.05
بترانس-ت,20010502,49.07,49,49,48.89,7884,109501486.00,11,49,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800212,48.89
بترانس-ت,20010506,48.84,49,49,48.80,650,8990282.00,3,49,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13800216,48.80
