tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
بسويچ-ت,20030531,136.81,137,136,136.24,2408030,17350866825.00,260,137,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820310,136.24
بسويچ-ت,20030607,143.05,143,143,143.05,2000,15120000.00,1,136,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820317,143.05
بسويچ-ت,20030608,150.20,150,142,141.90,109604,853651426.00,37,143,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820318,141.90
بسويچ-ت,20030609,139.08,139,139,139.08,20325,149388750.00,13,142,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820319,139.08
بسويچ-ت,20030610,138.13,139,138,139.08,19137,140440079.00,19,139,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820320,139.08
بسويچ-ت,20030611,139.08,139,136,139.08,146655,1069094250.00,83,139,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820321,139.08
بسويچ-ت,20030614,138.13,138,137,137.18,58903,429166900.00,94,139,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820324,137.18
بسويچ-ت,20030615,137.18,138,137,137.56,149627,1084125464.00,39,137,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820325,137.56
بسويچ-ت,20030616,137.18,137,136,136.24,34000,246050000.00,43,138,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820326,136.24
بسويچ-ت,20030617,136.24,138,136,136.24,47980,349327395.00,67,136,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820327,136.24
بسويچ-ت,20030618,136.24,136,136,136.24,58500,421197679.00,147,136,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820328,136.24
بسويچ-ت,20030621,136.24,136,136,136.14,30000,215950000.00,6,136,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820331,136.14
بسويچ-ت,20030622,135.86,136,135,135.22,11759,84039317.00,6,136,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820401,135.22
بسويچ-ت,20030623,133.40,133,131,130.56,10000,69750000.00,2,135,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820402,130.56
بسويچ-ت,20030624,130.56,131,131,130.56,259,1787100.00,1,131,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820403,130.56
بسويچ-ت,20030625,124.88,130,125,130.37,1794,12130400.00,2,131,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820404,130.37
بسويچ-ت,20030628,130.37,136,128,136.24,40609,285328647.00,23,130,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13820407,136.24
