tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
خپارس-ت,20030507,120.26,200,80,132.71,561712,3608122553.00,318,120,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820217,132.71
خپارس-ت,20030510,139.34,139,128,139.34,680409,4714117216.00,330,133,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820220,139.34
خپارس-ت,20030511,146.29,146,146,146.29,124799,910907901.00,94,139,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820221,146.29
خپارس-ت,20030512,153.59,154,154,153.59,179535,1375776705.00,139,146,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820222,153.59
خپارس-ت,20030513,161.27,161,161,161.27,221434,1781657964.00,155,154,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820223,161.27
خپارس-ت,20030514,169.32,169,169,169.32,140655,1188253440.00,104,161,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820224,169.32
خپارس-ت,20030517,169.36,178,168,169.24,786860,6773780046.00,417,169,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820227,169.24
خپارس-ت,20030518,166.32,168,161,160.79,496179,3983067223.00,196,169,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820228,160.79
خپارس-ت,20030520,160.34,161,153,160.75,531907,4134590656.00,310,161,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820230,160.75
خپارس-ت,20030521,168.78,169,161,168.78,184518,1538550525.00,127,161,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820231,168.78
خپارس-ت,20030524,177.18,177,164,168.30,124564,1065380072.00,115,169,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820303,168.30
خپارس-ت,20030525,166.36,168,162,166.34,222675,1816264116.00,132,168,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820304,166.34
خپارس-ت,20030526,163.35,170,162,169.40,410828,3436005095.00,297,166,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820305,169.40
خپارس-ت,20030527,173.57,178,169,170.47,391999,3396167865.00,263,169,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820306,170.47
خپارس-ت,20030528,177.62,179,171,178.98,449749,3958791055.00,273,170,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820307,178.98
خپارس-ت,20030531,178.40,186,178,185.80,265109,2436536958.00,149,179,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820310,185.80
خپارس-ت,20030601,185.80,186,177,182.19,284740,2585758328.00,135,186,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820311,182.19
خپارس-ت,20030602,182.11,183,176,176.38,156235,1402427323.00,112,182,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820312,176.38
خپارس-ت,20030603,176.40,177,176,176.64,65623,577736989.00,70,176,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820313,176.64
خپارس-ت,20030607,170.45,174,170,172.37,217701,1880755382.00,106,177,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820317,172.37
خپارس-ت,20030608,166.36,172,165,166.36,164224,1362032084.00,103,172,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820318,166.36
خپارس-ت,20030609,160.36,160,160,160.34,81183,649467060.00,61,166,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820319,160.34
خپارس-ت,20030610,159.30,160,156,160.34,161367,1272953207.00,86,160,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820320,160.34
خپارس-ت,20030611,160.34,160,153,158.32,24574,193798168.00,21,160,PKOD,S*Pars Khodro-a,پارس‌_خودرو-ت,13820321,158.32
