tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
خگستر-ت,20061223,74.90,75,73,74.03,11840000,28222813038.00,455,75,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851002,74.03
خگستر-ت,20061224,74.56,75,74,74.13,373908,894494938.00,102,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851003,74.13
خگستر-ت,20061225,74.41,74,73,73.82,821080,1947938928.00,169,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851004,73.82
خگستر-ت,20061226,73.94,75,73,73.75,589895,1398979721.00,119,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851005,73.75
خگستر-ت,20061227,74.47,75,73,73.91,332010,793901432.00,75,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851006,73.91
خگستر-ت,20061230,74.25,74,73,73.91,55962,133628290.00,14,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851009,73.91
خگستر-ت,20070101,72.79,74,72,73.82,165131,388759435.00,37,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851011,73.82
خگستر-ت,20070102,73.82,74,74,73.82,30867,73232480.00,9,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851012,73.82
خگستر-ت,20070103,73.01,74,73,73.82,33758,79734975.00,9,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851013,73.82
خگستر-ت,20070113,72.36,74,72,73.82,5988,13946522.00,2,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851023,73.82
خگستر-ت,20070131,72.36,74,72,73.82,110,256660.00,2,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851111,73.82
خگستر-ت,20070221,72.36,74,72,73.82,5010,11668760.00,4,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851202,73.82
خگستر-ت,20070224,72.36,74,72,73.82,2110,4914660.00,2,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851205,73.82
خگستر-ت,20070227,72.36,74,72,73.82,7450,17351520.00,5,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851208,73.82
خگستر-ت,20070228,72.36,74,72,73.82,10010,23313760.00,3,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851209,73.82
خگستر-ت,20070303,72.36,73,72,72.76,877850,2044612780.00,199,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851212,72.76
خگستر-ت,20070304,72.98,74,73,72.79,163214,383794831.00,38,73,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851213,72.79
خگستر-ت,20070305,72.82,74,73,72.79,77503,181848771.00,23,73,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851214,72.79
خگستر-ت,20070306,72.79,73,73,72.79,102830,240775790.00,21,73,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851215,72.79
خگستر-ت,20070307,72.39,73,72,72.79,101034,236699350.00,24,73,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851216,72.79
خگستر-ت,20070311,71.36,73,71,72.79,2605,5984145.00,3,73,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851220,72.79
خگستر-ت,20070313,71.36,73,71,72.67,103237,237187037.00,27,73,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851222,72.67
خگستر-ت,20070314,71.36,73,71,72.67,6661,15568927.00,6,73,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851223,72.67
خگستر-ت,20070317,72.70,73,71,72.64,27010,62114960.00,8,73,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13851226,72.64
خگستر-ت,20070327,74.03,74,73,72.64,8173,19475809.00,3,73,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860107,72.64
خگستر-ت,20070328,72.64,73,73,72.64,835,1952230.00,1,73,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860108,72.64
خگستر-ت,20070331,74.00,74,73,72.64,4037,9616221.00,5,73,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860111,72.64
خگستر-ت,20070403,72.64,73,73,72.64,30000,70130000.00,9,73,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860114,72.64
خگستر-ت,20070407,72.76,73,71,72.64,1010,2360811.00,4,73,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860118,72.64
خگستر-ت,20070410,73.94,74,74,73.60,816162,1945705046.00,174,73,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860121,73.60
خگستر-ت,20070411,75.06,75,74,73.63,36811,88000023.00,8,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860122,73.63
خگستر-ت,20070414,73.63,74,74,73.63,26651,63294124.00,10,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860125,73.63
خگستر-ت,20070415,73.63,74,74,73.63,24010,56888710.00,6,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860126,73.63
خگستر-ت,20070416,73.63,74,74,73.63,3010,7151700.00,4,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860127,73.63
خگستر-ت,20070417,73.63,74,74,73.63,1257,2979090.00,1,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860128,73.63
خگستر-ت,20070418,72.26,74,72,73.57,40343,93806108.00,12,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860129,73.57
خگستر-ت,20070421,73.63,74,74,73.57,2740,6493780.00,2,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860201,73.57
خگستر-ت,20070422,73.32,74,73,73.57,510,1203680.00,2,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860202,73.57
خگستر-ت,20070423,72.45,74,72,73.57,8456,19719752.00,5,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860203,73.57
خگستر-ت,20070424,72.11,74,72,73.54,19348,44907168.00,7,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860204,73.54
خگستر-ت,20070429,72.08,74,72,73.54,1078,2501430.00,3,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860209,73.54
خگستر-ت,20070501,72.08,74,72,73.54,4295,9964870.00,2,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860211,73.54
خگستر-ت,20070512,72.08,74,72,73.54,10010,23223670.00,5,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860222,73.54
خگستر-ت,20070814,55.24,59,51,55.05,734277,1301242485.00,104,74,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860523,55.05
خگستر-ت,20070828,53.96,55,54,55.05,6155,10691585.00,3,55,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860606,55.05
خگستر-ت,20070903,53.96,55,54,55.05,5010,8702720.00,3,55,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860612,55.05
خگستر-ت,20070908,53.96,55,54,54.93,90010,156347680.00,21,55,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860617,54.93
خگستر-ت,20070925,53.84,55,54,54.90,11490,19912510.00,5,55,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860703,54.90
خگستر-ت,20071029,53.81,55,54,54.83,38110,66006850.00,9,55,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860807,54.83
خگستر-ت,20071030,53.75,55,54,54.83,2010,3477650.00,3,55,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860808,54.83
خگستر-ت,20071211,53.75,54,54,53.75,100,173000.00,1,55,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13860920,53.75
خگستر-ت,20071223,52.69,54,53,53.56,140100,237609880.00,32,54,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861002,53.56
خگستر-ت,20071231,52.50,54,53,53.56,5890,9954440.00,3,54,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861010,53.56
خگستر-ت,20080113,53.87,55,53,52.72,916871,1556343650.00,125,54,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861023,52.72
خگستر-ت,20080114,53.75,54,53,52.75,22141,38303610.00,10,53,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861024,52.75
خگستر-ت,20080115,53.78,54,53,53.06,232407,402194464.00,49,53,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861025,53.06
خگستر-ت,20080116,53.81,54,53,53.25,141873,246764806.00,32,53,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861026,53.25
خگستر-ت,20080120,53.25,53,53,53.25,30415,52131310.00,6,53,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861030,53.25
خگستر-ت,20080121,52.81,53,52,53.16,73955,124504710.00,12,53,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861101,53.16
خگستر-ت,20080122,52.81,53,52,53.09,67980,114746090.00,12,53,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861102,53.09
خگستر-ت,20080123,52.19,53,52,53.09,3770,6336815.00,3,53,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861103,53.09
خگستر-ت,20080126,52.19,53,52,53.09,11490,19303490.00,5,53,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861106,53.09
خگستر-ت,20080127,54.15,54,53,53.25,115010,200462140.00,16,53,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861107,53.25
خگستر-ت,20080128,54.31,54,53,53.25,4610,8057940.00,2,53,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861108,53.25
خگستر-ت,20080129,54.31,54,53,53.31,40010,69937160.00,11,53,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861109,53.31
خگستر-ت,20080130,53.31,53,53,53.31,90,154440.00,1,53,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861110,53.31
خگستر-ت,20080202,53.44,53,53,53.31,7710,13221320.00,4,53,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861113,53.31
خگستر-ت,20080203,52.85,53,53,53.31,14070,23929160.00,3,53,GOST,Iran Kh. Inv.-a,گسترش‌سرمايه‌گذاري‌ايران‌خودرو-ت,13861114,53.31
