tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
دسبحا-ت,20030204,298.74,299,298,298.25,1000000,18419318300.00,336,299,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811115,298.25
دسبحا-ت,20030205,301.22,301,301,301.22,4000,74336000.00,3,298,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811116,301.22
دسبحا-ت,20030208,304.22,304,304,304.22,7250,136075250.00,18,301,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811119,304.22
دسبحا-ت,20030209,304.22,304,304,304.22,3400,63814811.00,11,304,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811120,304.22
دسبحا-ت,20030210,304.22,304,304,304.22,1054,19782526.00,3,304,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811121,304.22
دسبحا-ت,20030215,301.19,301,301,301.19,35658,662596956.00,45,304,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811126,301.19
دسبحا-ت,20030216,301.19,301,301,301.24,17842,331475814.00,16,301,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811127,301.24
دسبحا-ت,20030217,304.07,304,301,304.07,2000,37345000.00,4,301,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811128,304.07
دسبحا-ت,20030218,305.19,307,304,307.09,26892,506710136.00,31,304,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811129,307.09
دسبحا-ت,20030219,307.96,310,308,307.96,2050,38990200.00,6,307,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811130,307.96
دسبحا-ت,20030222,307.96,308,308,307.96,714,13566000.00,5,308,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811203,307.96
دسبحا-ت,20030223,307.59,308,305,304.88,3200,60522000.00,5,308,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811204,304.88
دسبحا-ت,20030224,301.84,302,302,301.84,1000,18622000.00,3,305,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811205,301.84
دسبحا-ت,20030225,298.82,299,299,298.82,1000,18436000.00,2,302,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811206,298.82
دسبحا-ت,20030226,298.09,299,296,295.84,3800,69490116.00,9,299,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811207,295.84
دسبحا-ت,20030301,295.81,298,296,298.04,77310,1411276676.00,34,296,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811210,298.04
دسبحا-ت,20030302,298.06,300,298,299.86,5350,98942520.00,7,298,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811211,299.86
دسبحا-ت,20030303,299.86,301,300,301.48,1080,20070000.00,2,300,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811212,301.48
دسبحا-ت,20030304,301.48,301,301,301.48,15000,279000000.00,6,301,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811213,301.48
دسبحا-ت,20030305,301.45,301,301,301.48,5000,92995000.00,3,301,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811214,301.48
دسبحا-ت,20030308,301.48,301,301,301.48,29079,540848321.00,18,301,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811217,301.48
دسبحا-ت,20030316,299.86,303,300,303.10,19269,358090270.00,20,301,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811225,303.10
دسبحا-ت,20030317,303.75,304,304,303.75,1000,18740000.00,2,303,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811226,303.75
دسبحا-ت,20030318,303.10,305,303,304.72,6969,130633060.00,9,304,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811227,304.72
دسبحا-ت,20030319,307.77,308,308,307.77,2045,38829460.00,3,305,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13811228,307.77
دسبحا-ت,20030326,307.72,308,308,307.77,5480,104046240.00,5,308,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13820106,307.77
دسبحا-ت,20030329,307.77,311,308,310.83,2253,42827781.00,4,308,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13820109,310.83
دسبحا-ت,20030330,310.83,311,311,310.83,600,11506200.00,2,311,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13820110,310.83
دسبحا-ت,20030331,310.83,311,311,310.83,262,5024374.00,1,311,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13820111,310.83
دسبحا-ت,20030406,310.83,311,311,310.83,15000,287655000.00,21,311,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13820117,310.83
دسبحا-ت,20030407,307.77,311,308,310.80,2876,55023957.00,9,311,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13820118,310.80
دسبحا-ت,20030408,310.78,311,311,310.83,4810,92237040.00,8,311,DSOB,Sobhan Pharm.-a,گروه_دارويي_سبحان-ت,13820119,310.83
