tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
دسينا-ت,20010325,2398.12,2398,2398,2398.12,1205,19400500.00,4,0,DSIN,Sina Darou Lab.-a,داروسازي‌_سينا-ت,13800105,2398.12
دسينا-ت,20010326,2398.12,2398,2398,2398.12,2125,34212500.00,2,2398,DSIN,Sina Darou Lab.-a,داروسازي‌_سينا-ت,13800106,2398.12
دسينا-ت,20010331,2398.12,2398,2398,2398.12,148,2382800.00,2,2398,DSIN,Sina Darou Lab.-a,داروسازي‌_سينا-ت,13800111,2398.12
دسينا-ت,20010409,2390.67,2391,2391,2390.52,375,6018700.00,3,2398,DSIN,Sina Darou Lab.-a,داروسازي‌_سينا-ت,13800120,2390.52
دسينا-ت,20010410,2383.23,2383,2383,2383.23,374,5984000.00,1,2391,DSIN,Sina Darou Lab.-a,داروسازي‌_سينا-ت,13800121,2383.23
دسينا-ت,20010415,2381.44,2381,2381,2381.44,300,4796400.00,1,2383,DSIN,Sina Darou Lab.-a,داروسازي‌_سينا-ت,13800126,2381.44
دسينا-ت,20010417,2380.25,2381,2380,2381.29,2500,39959290.00,5,2381,DSIN,Sina Darou Lab.-a,داروسازي‌_سينا-ت,13800128,2381.29
دسينا-ت,20010418,2353.14,2354,2353,2352.99,3650,57666700.00,5,2381,DSIN,Sina Darou Lab.-a,داروسازي‌_سينا-ت,13800129,2352.99
دسينا-ت,20010423,2351.80,2352,2352,2351.80,6000,94734000.00,2,2353,DSIN,Sina Darou Lab.-a,داروسازي‌_سينا-ت,13800203,2351.80
دسينا-ت,20010424,2351.50,2352,2351,2351.95,3500,55262773.00,10,2352,DSIN,Sina Darou Lab.-a,داروسازي‌_سينا-ت,13800204,2351.95
دسينا-ت,20010425,2351.80,2352,2352,2351.95,1875,29606100.00,14,2352,DSIN,Sina Darou Lab.-a,داروسازي‌_سينا-ت,13800205,2351.95
دسينا-ت,20010429,2308.75,2309,2309,2308.75,500,7750000.00,1,2352,DSIN,Sina Darou Lab.-a,داروسازي‌_سينا-ت,13800209,2308.75
دسينا-ت,20010430,2308.75,2309,2233,2308.75,2800,42890000.00,5,2309,DSIN,Sina Darou Lab.-a,داروسازي‌_سينا-ت,13800210,2308.75
دسينا-ت,20010501,2308.75,2309,2309,2308.75,250,3875000.00,1,2309,DSIN,Sina Darou Lab.-a,داروسازي‌_سينا-ت,13800211,2308.75
