tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
دفارا-ت,20010630,255.10,255,255,255.10,1000,5000000.00,1,255,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800409,255.10
دفارا-ت,20010709,267.85,268,268,267.85,1895,9948750.00,2,255,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800418,267.85
دفارا-ت,20010714,281.22,281,281,281.22,2000,11024000.00,5,268,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800423,281.22
دفارا-ت,20010715,295.25,295,295,295.25,3725,21556575.00,7,281,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800424,295.25
دفارا-ت,20010820,313.21,323,313,323.41,1500,9399500.00,3,295,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800529,323.41
دفارا-ت,20010826,326.63,327,327,326.63,1912,12240624.00,7,323,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800604,326.63
دفارا-ت,20010827,329.89,330,330,329.89,2800,18104800.00,7,327,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800605,329.89
دفارا-ت,20010828,333.16,333,333,333.16,10000,65300000.00,1,330,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800606,333.16
دفارا-ت,20010829,336.47,336,336,336.47,2037336,13436230920.00,91,333,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800607,336.47
دفارا-ت,20010901,339.79,340,340,339.79,7138,47539080.00,1,336,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800610,339.79
دفارا-ت,20010902,343.16,343,343,343.16,3925,26399550.00,8,340,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800611,343.16
دفارا-ت,20010903,346.57,347,347,346.57,3000,20379000.00,19,343,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800612,346.57
دفارا-ت,20010904,349.99,350,350,349.99,1050,7203000.00,2,347,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800613,349.99
دفارا-ت,20010908,353.46,353,353,353.46,2537,17576336.00,13,350,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800617,353.46
دفارا-ت,20010909,356.98,357,357,356.98,2971,20788087.00,4,353,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800618,356.98
دفارا-ت,20010910,360.50,361,361,360.50,1545,10916970.00,8,357,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800619,360.50
دفارا-ت,20010911,364.07,364,364,364.07,1300,9276800.00,3,361,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800620,364.07
دفارا-ت,20010912,364.07,368,360,367.70,151389,1083860491.00,123,364,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800621,367.70
دفارا-ت,20010915,371.37,371,371,371.37,230,1674170.00,1,368,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800624,371.37
دفارا-ت,20010916,375.04,408,375,375.04,3079408,24622668208.00,23,371,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800625,375.04
دفارا-ت,20010917,378.77,379,379,378.77,115872,860233728.00,79,375,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800626,378.77
دفارا-ت,20010918,378.77,379,375,374.99,111950,822948828.00,31,379,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800627,374.99
دفارا-ت,20010919,371.27,375,371,374.94,35552,259124138.00,20,375,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800628,374.94
دفارا-ت,20010922,374.94,375,375,374.89,49200,361591362.00,37,375,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800631,374.89
دفارا-ت,20010925,378.61,379,379,378.61,4101,30433521.00,3,375,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800703,378.61
دفارا-ت,20010929,382.39,382,382,382.39,12157,91116715.00,13,379,DFRB,Farabi Pharm.-a,داروسازي‌_فارابي‌-ت,13800707,382.39
