tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
دپارس-ت,20010325,108.38,108,108,108.39,2994,27529141.00,4,108,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800105,108.39
دپارس-ت,20010326,108.36,108,108,108.39,2000,18386030.00,7,108,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800106,108.39
دپارس-ت,20010327,108.35,108,108,108.39,3382,31094299.00,10,108,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800107,108.39
دپارس-ت,20010331,108.39,108,108,108.36,3451,31729160.00,10,108,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800111,108.36
دپارس-ت,20010403,108.39,108,108,108.39,425,3907875.00,2,108,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800114,108.39
دپارس-ت,20010407,108.40,108,108,108.42,650,5977500.00,4,108,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800118,108.42
دپارس-ت,20010408,108.42,108,108,108.41,1028,9454920.00,4,108,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800119,108.41
دپارس-ت,20010410,107.27,107,107,106.62,6450,58447650.00,14,108,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800121,106.62
دپارس-ت,20010411,106.28,106,106,106.28,425,3831800.00,1,107,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800122,106.28
دپارس-ت,20010414,106.09,106,106,106.03,23985,215875425.00,45,106,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800125,106.03
دپارس-ت,20010415,105.49,106,105,104.91,16272,144952770.00,29,106,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800126,104.91
دپارس-ت,20010416,104.91,105,105,104.84,2831,25190534.00,10,105,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800127,104.84
دپارس-ت,20010417,104.66,105,104,104.43,3249,28844511.00,3,105,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800128,104.43
دپارس-ت,20010418,104.03,104,104,103.73,4000,35304000.00,6,104,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800129,103.73
دپارس-ت,20010421,102.55,104,101,101.37,6091,52923754.00,17,104,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800201,101.37
دپارس-ت,20010422,103.67,104,102,102.55,32179,281606981.00,77,101,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800202,102.55
دپارس-ت,20010423,102.55,103,103,103.14,16709,145910545.00,46,103,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800203,103.14
دپارس-ت,20010424,103.14,104,103,104.10,14123,124597966.00,41,103,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800204,104.10
دپارس-ت,20010425,104.91,108,104,108.45,22449,202454277.00,71,104,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800205,108.45
دپارس-ت,20010428,110.21,110,108,110.34,7970,74137545.00,26,108,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800208,110.34
دپارس-ت,20010429,112.22,112,112,112.43,5875,55910805.00,15,110,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800209,112.43
دپارس-ت,20010430,113.22,115,113,114.40,7183,69357149.00,28,112,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800210,114.40
دپارس-ت,20010501,114.40,114,114,114.23,11686,113416657.00,20,114,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800211,114.23
دپارس-ت,20010502,113.72,114,113,113.17,28204,271957105.00,72,114,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800212,113.17
دپارس-ت,20010505,113.17,113,113,113.34,10065,96719272.00,41,113,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800215,113.34
دپارس-ت,20010506,113.46,114,113,114.33,17351,167110132.00,61,113,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800216,114.33
دپارس-ت,20010507,114.33,115,114,114.60,13240,128519833.00,52,114,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800217,114.60
دپارس-ت,20010508,114.63,117,114,117.16,12882,126259610.00,25,115,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800218,117.16
دپارس-ت,20010509,117.33,119,117,118.71,7659,76664528.00,37,117,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800219,118.71
دپارس-ت,20010512,120.84,121,120,120.86,7622,78018909.00,39,119,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800222,120.86
دپارس-ت,20010513,120.91,121,121,121.41,19310,198346584.00,74,121,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800223,121.41
دپارس-ت,20010515,123.78,127,123,126.30,17685,188168280.00,70,121,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800225,126.30
دپارس-ت,20010516,128.49,129,126,128.49,21871,237522550.00,72,126,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800226,128.49
دپارس-ت,20010519,129.66,130,129,130.43,12568,138528760.00,35,128,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800229,130.43
دپارس-ت,20010520,130.84,131,131,131.15,14490,160922132.00,36,130,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800230,131.15
دپارس-ت,20010521,132.85,134,132,132.61,15147,170371004.00,48,131,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800231,132.61
دپارس-ت,20010523,132.62,133,133,132.68,24836,279675695.00,53,133,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800302,132.68
دپارس-ت,20010526,132.85,136,133,135.56,32709,371046785.00,62,133,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800305,135.56
دپارس-ت,20010527,136.15,136,132,132.22,27120,307645898.00,59,136,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800306,132.22
دپارس-ت,20010528,131.96,132,126,126.14,37400,401640864.00,82,132,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800307,126.14
دپارس-ت,20010529,125.75,126,120,119.89,35545,364929820.00,60,126,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800308,119.89
دپارس-ت,20010530,119.86,122,119,120.12,37529,385017440.00,90,120,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800309,120.12
دپارس-ت,20010602,120.13,124,120,124.36,18443,192039979.00,31,120,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800312,124.36
دپارس-ت,20010603,124.36,124,123,124.36,15878,167098870.00,39,124,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800313,124.36
دپارس-ت,20010606,122.59,124,121,121.47,13364,138936176.00,28,124,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800316,121.47
دپارس-ت,20010609,117.88,118,118,118.12,6354,63589925.00,20,121,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800319,118.12
دپارس-ت,20010611,119.64,121,118,118.47,53242,534080822.00,111,118,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800321,118.47
دپارس-ت,20010819,128.37,136,114,133.79,34122,384603552.00,50,118,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800528,133.79
دپارس-ت,20010820,137.13,137,134,136.38,89311,1030500067.00,153,134,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800529,136.38
دپارس-ت,20010821,136.38,137,136,136.42,45727,529212332.00,74,136,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800530,136.42
دپارس-ت,20010822,136.36,136,134,134.50,21822,250909061.00,37,136,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800531,134.50
دپارس-ت,20010825,132.02,133,131,132.02,64140,718064861.00,94,134,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800603,132.02
دپارس-ت,20010826,131.97,132,129,128.72,31072,341139832.00,62,132,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800604,128.72
دپارس-ت,20010827,125.50,126,126,126.14,67288,717700963.00,94,129,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800605,126.14
دپارس-ت,20010828,126.14,129,126,128.49,46574,507562393.00,78,126,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800606,128.49
دپارس-ت,20010829,127.31,130,127,128.49,30815,335955590.00,79,128,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800607,128.49
دپارس-ت,20010901,128.77,130,128,129.07,35069,383718221.00,98,128,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800610,129.07
دپارس-ت,20010905,139.18,147,139,143.81,157003,1929496522.00,97,129,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800614,143.81
دپارس-ت,20010908,143.72,144,142,141.97,79148,953696850.00,38,144,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800617,141.97
دپارس-ت,20010909,139.09,142,139,138.50,20500,241513500.00,20,142,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800618,138.50
دپارس-ت,20010910,135.05,135,135,135.05,6766,77518062.00,20,139,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800619,135.05
دپارس-ت,20010911,131.68,132,132,131.68,29500,329544500.00,39,135,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800620,131.68
دپارس-ت,20010912,128.39,130,128,129.66,18321,200504564.00,32,132,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800621,129.66
دپارس-ت,20010915,129.62,130,127,127.31,13409,145026748.00,28,130,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800624,127.31
دپارس-ت,20010916,123.77,124,124,123.77,11000,115500000.00,13,127,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800625,123.77
دپارس-ت,20010917,117.88,123,118,119.66,13066,132051295.00,18,124,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800626,119.66
دپارس-ت,20010918,119.03,119,118,118.47,9000,90584283.00,16,120,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800627,118.47
دپارس-ت,20010919,117.88,124,118,123.72,24874,253369112.00,47,118,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800628,123.72
دپارس-ت,20010922,123.77,127,124,127.37,29687,317381316.00,57,124,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800631,127.37
دپارس-ت,20010923,133.20,134,127,128.07,34942,389103967.00,30,127,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800701,128.07
دپارس-ت,20010924,128.04,128,127,127.38,6018,65364344.00,12,128,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800702,127.38
دپارس-ت,20010925,126.88,127,121,123.84,17500,184004881.00,47,127,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800703,123.84
دپارس-ت,20010926,123.85,124,121,123.84,10314,108055387.00,27,124,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800704,123.84
دپارس-ت,20010929,123.90,124,121,123.77,37286,391038932.00,39,124,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800707,123.77
دپارس-ت,20010930,123.65,124,124,123.77,18791,197325666.00,28,124,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800708,123.77
دپارس-ت,20011002,123.79,125,124,123.89,7468,78699201.00,17,124,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800710,123.89
دپارس-ت,20011003,123.86,127,124,126.72,14332,152264930.00,22,124,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800711,126.72
دپارس-ت,20011006,126.71,127,127,126.81,7596,81672913.00,16,127,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800714,126.81
دپارس-ت,20011007,126.96,130,127,130.31,27204,295954097.00,48,127,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800715,130.31
دپارس-ت,20011008,130.36,130,127,126.79,18448,198800789.00,32,130,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800716,126.79
دپارس-ت,20011009,127.90,128,124,124.01,13255,139451207.00,29,127,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800717,124.01
دپارس-ت,20011010,122.59,124,123,123.99,10426,108608400.00,15,124,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800718,123.99
دپارس-ت,20011013,124.01,125,124,124.03,15106,159024245.00,35,124,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800721,124.03
دپارس-ت,20011014,124.02,124,124,124.04,13583,142914709.00,20,124,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800722,124.04
دپارس-ت,20011016,124.04,126,124,126.43,16200,172960807.00,26,124,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800724,126.43
دپارس-ت,20011017,126.48,127,126,126.54,8202,88033121.00,21,126,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800725,126.54
دپارس-ت,20011020,126.56,128,127,127.58,10575,114216630.00,22,127,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800728,127.58
دپارس-ت,20011021,129.36,130,128,129.75,11564,126834982.00,31,128,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800729,129.75
دپارس-ت,20011022,133.20,133,130,133.20,19503,218375496.00,35,130,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800730,133.20
دپارس-ت,20011023,133.79,136,133,135.62,8912,102094212.00,26,133,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800801,135.62
دپارس-ت,20011024,135.66,137,136,137.31,11668,135219152.00,26,136,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800802,137.31
دپارس-ت,20011027,136.81,138,137,137.41,10235,119387798.00,23,137,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800805,137.41
دپارس-ت,20011028,137.56,138,136,135.57,20413,236466074.00,30,137,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800806,135.57
دپارس-ت,20011029,135.56,136,134,134.38,21945,251193168.00,38,136,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800807,134.38
دپارس-ت,20011030,134.38,141,134,141.10,13117,153911395.00,31,134,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800808,141.10
دپارس-ت,20011031,148.15,148,141,140.86,34478,421798884.00,82,141,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800809,140.86
دپارس-ت,20011103,140.86,144,141,143.82,13635,163961038.00,34,141,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800812,143.82
دپارس-ت,20011104,143.89,147,144,147.35,9240,114653885.00,27,144,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800813,147.35
دپارس-ت,20011105,147.31,147,144,145.00,9229,114027256.00,30,147,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800814,145.00
دپارس-ت,20011106,145.31,147,145,145.29,18003,222981866.00,48,145,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800815,145.29
دپارس-ت,20011107,145.32,146,145,145.58,16873,208110388.00,35,145,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800816,145.58
دپارس-ت,20011110,145.59,147,146,147.40,13524,168724886.00,31,146,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800819,147.40
دپارس-ت,20011111,147.35,147,146,145.85,186513,2309096183.00,15,147,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800820,145.85
دپارس-ت,20011112,143.82,144,143,143.46,2664,32470571.00,14,146,PDRO,Pars Darou-a,پارس‌_دارو-ت,13800821,143.46
