tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
سبزوا-ت,20110117,171.65,235,172,202.80,6111461,8113467580.00,348,153,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891027,221.43
سبزوا-ت,20110118,212.88,213,206,212.57,2739451,3813222380.00,261,203,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891028,212.88
سبزوا-ت,20110124,223.11,223,202,213.19,1434864,2003341337.00,129,213,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891104,213.80
سبزوا-ت,20110126,212.27,218,212,214.71,549411,772229658.00,47,213,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891106,216.85
سبزوا-ت,20110129,219.14,221,214,216.24,309182,437717745.00,37,215,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891109,214.10
سبزوا-ت,20110130,215.78,216,206,214.41,721158,1012352494.00,51,216,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891110,213.49
سبزوا-ت,20110131,206.16,214,204,209.83,227838,312988060.00,33,214,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891111,213.80
سبزوا-ت,20110201,213.80,214,204,210.28,265688,365826740.00,31,210,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891112,209.98
سبزوا-ت,20110205,214.41,214,200,201.27,115934,152835826.00,29,210,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891116,199.90
سبزوا-ت,20110206,209.98,210,192,207.08,122636,166243481.00,12,201,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891117,195.62
سبزوا-ت,20110207,206.01,206,197,204.33,256072,342588122.00,28,207,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891118,198.52
سبزوا-ت,20110208,194.25,194,194,194.25,259007,329456904.00,35,204,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891119,194.25
سبزوا-ت,20110209,185.24,191,185,184.78,549510,665085830.00,58,194,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891120,184.63
سبزوا-ت,20110212,193.79,194,189,191.81,1016116,1276054644.00,90,185,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891123,189.36
سبزوا-ت,20110213,192.42,194,189,191.19,100081,125340313.00,20,192,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891124,189.36
سبزوا-ت,20110214,193.79,194,182,184.93,1065617,1290445184.00,90,191,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891125,181.88
سبزوا-ت,20110215,183.25,187,177,182.18,777950,928374772.00,105,185,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891126,183.25
سبزوا-ت,20110302,274.88,275,153,159.13,1689740,1760206692.00,154,182,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891211,154.85
سبزوا-ت,20110305,161.87,163,151,153.02,999727,1001894885.00,99,159,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891214,151.18
سبزوا-ت,20110306,152.71,154,151,152.71,1788062,1787928594.00,182,153,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891215,151.18
سبزوا-ت,20110307,157.90,158,151,153.32,1830286,1836770745.00,167,153,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891216,152.71
سبزوا-ت,20110308,154.24,156,153,153.17,999593,1002337415.00,67,153,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891217,153.17
سبزوا-ت,20110309,153.17,153,151,152.56,659993,659449255.00,57,153,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891218,152.71
سبزوا-ت,20110312,152.71,154,153,152.86,349628,350081510.00,34,153,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891221,153.63
سبزوا-ت,20110313,152.71,153,153,152.71,134290,134318100.00,31,153,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891222,152.86
سبزوا-ت,20110314,155.77,156,153,153.48,176651,177586570.00,25,153,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891223,152.71
سبزوا-ت,20110315,154.24,155,153,153.48,229935,231086900.00,22,153,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891224,153.17
سبزوا-ت,20110316,152.86,156,153,154.24,84933,85800965.00,23,153,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891225,156.22
سبزوا-ت,20110319,156.53,162,157,160.19,254044,266450050.00,47,154,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13891228,161.87
سبزوا-ت,20110326,167.98,168,166,167.07,122086,133565017.00,19,160,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13900106,168.14
سبزوا-ت,20110327,171.04,175,166,171.50,90092,101134940.00,16,167,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13900107,167.98
سبزوا-ت,20110328,167.83,173,165,168.14,260658,286964756.00,34,171,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13900108,164.93
سبزوا-ت,20110329,170.73,171,163,165.84,132735,144182050.00,25,168,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13900109,163.40
سبزوا-ت,20110330,164.62,165,159,160.65,96294,101312796.00,21,166,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13900110,159.58
سبزوا-ت,20110403,154.70,166,155,163.10,113650,121424180.00,20,161,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13900114,166.00
سبزوا-ت,20110404,164.93,166,159,162.18,597364,634346023.00,76,163,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13900115,158.82
سبزوا-ت,20110405,158.82,163,159,160.50,701702,737470029.00,70,162,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13900116,162.03
سبزوا-ت,20110406,164.78,165,160,162.64,315315,335740370.00,57,160,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13900117,163.40
سبزوا-ت,20110409,163.40,166,162,163.86,570512,612248095.00,68,163,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13900120,164.93
سبزوا-ت,20110410,161.87,162,157,159.13,151818,158233983.00,33,164,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13900121,160.04
سبزوا-ت,20110411,156.68,160,156,157.90,204871,211881278.00,25,159,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13900122,158.82
سبزوا-ت,20110412,157.29,157,153,155.31,1389378,1412881200.00,189,158,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13900123,157.29
سبزوا-ت,20110413,153.17,155,151,153.48,146043,146728756.00,22,155,SBZZ,Sabzevar Cement-a,سيمان_لار_سبزوار-ت,13900124,153.78
