tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
شبندر-ت,20120624,291.94,292,255,255.48,690000000,788084992681.00,3292,224,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910404,255.03
شبندر-ت,20120625,259.50,264,256,260.17,70242200,81667019797.00,4041,255,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910405,257.27
شبندر-ت,20120626,258.16,259,250,253.02,46616885,52724280106.00,2363,260,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910406,249.88
شبندر-ت,20120627,246.53,253,243,245.19,69730343,76405243282.00,2728,253,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910407,250.55
شبندر-ت,20120630,254.80,255,255,249.44,1860845,2119502455.00,63,245,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910410,254.80
شبندر-ت,20120701,259.28,259,256,259.28,39983891,46327090157.00,1570,249,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910411,259.28
شبندر-ت,20120702,265.77,270,264,268.00,27152077,32521537122.00,1259,259,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910412,269.57
شبندر-ت,20120703,278.52,279,271,277.85,83796323,104113103969.00,3664,268,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910413,278.52
شبندر-ت,20120704,286.12,289,279,285.90,40897212,52264673513.00,2699,278,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910414,286.35
شبندر-ت,20120707,288.58,297,289,295.74,35427063,46846053899.00,2026,286,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910417,297.31
شبندر-ت,20120708,304.24,307,300,306.93,53147693,72942879677.00,2712,296,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910418,307.38
شبندر-ت,20120709,310.96,318,306,312.75,42859419,59916104891.00,2526,307,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910419,310.96
شبندر-ت,20120710,305.36,312,300,303.80,25835476,35095825321.00,1876,313,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910420,303.35
شبندر-ت,20120825,337.80,351,338,348.09,10959739,17049930710.00,360,304,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910604,351.22
شبندر-ت,20120826,361.96,362,362,361.96,4881580,7898396440.00,206,348,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910605,361.96
شبندر-ت,20120827,376.28,376,367,376.06,111406235,187263675870.00,3926,362,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910606,376.28
شبندر-ت,20120902,378.52,391,378,385.67,27549716,47501207679.00,1514,376,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910612,391.04
شبندر-ت,20120903,395.97,401,394,400.22,14281795,25551769754.00,560,386,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910613,400.89
شبندر-ت,20120904,416.10,416,416,416.10,4140000,7700400000.00,91,400,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910614,416.10
شبندر-ت,20120905,432.65,433,419,429.30,73942088,141916346872.00,3687,416,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910615,432.65
شبندر-ت,20120908,434.00,446,416,431.31,38117638,73482171970.00,5367,429,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910618,420.57
شبندر-ت,20120909,421.69,425,414,414.53,39152196,72537865239.00,1721,431,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910619,414.98
شبندر-ت,20120910,420.57,431,415,423.71,90860279,172050246530.00,3298,415,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910620,431.09
شبندر-ت,20120911,418.34,429,407,412.30,29403622,54201388477.00,2465,424,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910621,410.51
شبندر-ت,20120915,414.31,429,411,426.84,37069829,70742563612.00,4210,412,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910625,428.40
شبندر-ت,20120916,434.89,435,418,426.17,18214588,34702788400.00,1270,427,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910626,421.92
شبندر-ت,20120917,427.51,443,428,438.47,31763800,62264903570.00,1379,426,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910627,443.17
شبندر-ت,20120918,455.92,456,452,455.92,31739792,64684659360.00,916,438,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910628,455.92
شبندر-ت,20120919,462.63,474,461,471.36,96194620,202683728449.00,4560,456,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910629,466.66
شبندر-ت,20120922,478.74,490,473,489.25,74806038,163570255384.00,4088,471,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910701,490.15
شبندر-ت,20120923,499.10,503,470,481.65,30593784,65870385586.00,2191,489,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910702,469.79
شبندر-ت,20120924,462.41,480,462,464.87,43705551,90802598314.00,2438,482,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910703,468.22
شبندر-ت,20120925,480.75,483,475,482.32,24067292,51891873716.00,1477,465,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910704,483.44
شبندر-ت,20120926,501.56,502,501,501.56,57880771,129768443582.00,1746,482,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910705,501.56
شبندر-ت,20120929,510.06,521,501,510.95,38101591,87020268946.00,2828,502,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910708,505.58
شبندر-ت,20120930,507.82,508,491,492.16,36129713,79478717769.00,2100,511,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910709,490.59
شبندر-ت,20121001,479.86,490,472,474.49,8756782,18570918913.00,725,492,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910710,472.47
شبندر-ت,20121002,469.79,488,456,461.74,23039413,47560959356.00,1921,474,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910711,461.06
شبندر-ت,20121003,472.03,480,465,477.40,29994947,64004653688.00,1864,462,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910712,467.78
شبندر-ت,20121006,469.57,470,458,459.05,25221441,51747278166.00,1495,477,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910715,462.41
شبندر-ت,20121007,464.87,475,459,466.21,9184269,19140697587.00,878,459,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910716,464.64
شبندر-ت,20121008,472.25,483,461,475.83,17072521,36318338606.00,1185,466,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910717,476.50
شبندر-ت,20121009,483.66,492,475,480.97,11647348,25037951720.00,953,476,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910718,481.42
شبندر-ت,20121010,485.67,494,481,487.01,22161005,48237123984.00,1433,481,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910719,484.55
شبندر-ت,20121013,485.45,485,468,472.70,6415418,13558961912.00,652,487,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910722,467.55
شبندر-ت,20121014,461.51,485,454,471.36,17865732,37646621525.00,1451,473,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910723,484.55
شبندر-ت,20121015,482.76,490,481,489.48,32066751,70175477201.00,1935,471,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910724,490.15
شبندر-ت,20121016,492.16,506,489,495.52,27493149,60910337604.00,1503,489,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910725,492.16
شبندر-ت,20121017,487.69,501,484,493.73,9707247,21419049273.00,850,496,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910726,499.99
شبندر-ت,20121020,503.57,513,504,512.52,11714192,26834153061.00,729,494,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910729,513.41
شبندر-ت,20121021,525.72,533,515,531.76,42230153,100373823509.00,2211,513,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910730,532.88
شبندر-ت,20121022,531.31,553,531,551.00,41678589,102646138721.00,1713,532,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910801,553.01
شبندر-ت,20121023,559.27,573,544,564.87,18271861,46142229823.00,1369,551,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910802,572.92
شبندر-ت,20121024,587.46,587,587,587.46,35965413,94445174538.00,685,565,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910803,587.46
شبندر-ت,20121027,610.95,611,611,610.95,49156040,134245145240.00,895,587,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910806,610.95
شبندر-ت,20121028,635.33,635,635,635.33,84183657,239081580880.00,1956,611,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910807,635.33
شبندر-ت,20121029,648.76,661,641,656.81,47000074,137988980347.00,3968,635,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910808,660.61
شبندر-ت,20121030,682.98,683,658,676.72,134575425,407026783792.00,5885,657,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910809,662.18
شبندر-ت,20121031,670.68,677,651,661.06,32683409,96573882880.00,2732,677,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910810,661.28
شبندر-ت,20121104,664.42,681,650,664.19,17815276,52896420452.00,1380,661,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910814,655.69
شبندر-ت,20121105,661.73,666,638,643.84,36118035,103939711049.00,1780,664,PNBA,B.A Oil Refinie-a,پالايش_نفت_بندرعباس-ت,13910815,637.80
