tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
فروي-ت,20200128,11757.23,11757,11757,11757.23,59926728,838974192000.00,1197365,840,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981108,11757.23
فروي-ت,20200201,12345.09,12345,12345,12345.09,129187,1899048900.00,1164,11757,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981112,12345.09
فروي-ت,20200202,12962.34,12962,12962,12962.34,45103,696164805.00,925,12345,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981113,12962.34
فروي-ت,20200203,13609.83,13610,13610,13609.83,61665,999342990.00,1269,12962,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981114,13609.83
فروي-ت,20200204,14290.07,14290,14290,14290.07,96634,1644324144.00,1997,13610,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981115,14290.07
فروي-ت,20200205,15003.90,15004,15004,15003.90,96692,1727499272.00,2053,14290,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981116,15003.90
فروي-ت,20200208,15753.85,15754,15754,15753.85,99669,1869690771.00,2078,15004,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981119,15753.85
فروي-ت,20200209,16540.74,16541,16541,16540.74,105281,2073614576.00,2209,15754,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981120,16540.74
فروي-ت,20200210,17367.11,17367,17367,17367.11,172848,3574496640.00,3703,16541,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981121,17367.11
فروي-ت,20200212,18235.46,18235,18235,18235.46,26374,572685036.00,539,17367,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981123,18235.46
فروي-ت,20200216,19146.65,20103,19147,20093.94,5781644,138334803365.00,6000,18235,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981127,20103.18
فروي-ت,20200217,21098.35,21098,21098,21098.35,1588367,39904544141.00,4192,20094,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981128,21098.35
فروي-ت,20200218,22153.14,22153,22153,22153.14,234712,6191467848.00,4974,21098,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981129,22153.14
فروي-ت,20200219,23260.00,23260,23260,23260.00,414222,11472706734.00,9042,22153,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981130,23260.00
فروي-ت,20200222,24422.28,24422,24422,24422.28,15650243,455124716683.00,10246,23260,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981203,24422.28
فروي-ت,20200223,25643.35,25643,25643,25643.35,186764,5702838740.00,3958,24422,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981204,25643.35
فروي-ت,20200224,26924.89,26925,26925,26924.89,30571319,980147058459.00,11449,25643,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981205,26924.89
فروي-ت,20200225,28271.09,28271,28271,28271.09,5457535,183722458240.00,4676,26925,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981206,28271.09
فروي-ت,20200226,29684.48,29684,29684,29684.48,16263704,574873145288.00,9101,28271,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981207,29684.48
فروي-ت,20200229,31168.41,31168,29730,31130.62,22067539,818018535159.00,16887,29684,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981210,30988.69
فروي-ت,20200302,32686.77,34321,32687,33279.67,16097783,637925043776.00,32150,31131,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981212,34321.03
فروي-ت,20200303,34943.32,36690,34943,36482.68,2112390,91766979510.00,20264,33280,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981213,36690.11
فروي-ت,20200304,38306.73,38307,37707,38302.53,34576702,1576995342095.00,59791,36483,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981214,38306.73
فروي-ت,20200307,38321.85,40237,36406,40037.56,29015600,1383323564959.00,89425,38303,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981217,40237.43
فروي-ت,20200309,38036.31,38036,38036,38036.31,4394667,199043257764.00,17611,40038,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981219,38036.31
فروي-ت,20200310,36135.00,36135,36135,36135.00,1978700,85139503600.00,5153,38036,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981220,36135.00
فروي-ت,20200311,34960.96,37941,34329,35267.49,22758859,955753881111.00,142045,36135,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981221,34328.59
فروي-ت,20200314,33504.74,33505,33505,34475.55,534689,21331952344.00,1610,35267,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981224,33504.74
فروي-ت,20200315,32752.28,32752,32752,33910.37,390533,15230787000.00,863,34476,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981225,32752.28
فروي-ت,20200316,33928.00,34852,32216,33013.46,29482568,1158978086221.00,86543,33910,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981226,32743.88
فروي-ت,20200317,33014.30,33584,31363,31989.74,5317114,202539029275.00,17465,33013,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981227,31363.25
فروي-ت,20200318,31103.75,31253,30391,30552.00,9026350,328379263076.00,12248,31990,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13981228,30390.76
فروي-ت,20200324,30820.73,32080,29026,30984.50,22945055,846557646634.00,61897,30552,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990105,32079.60
فروي-ت,20200325,32533.09,32533,32533,32533.09,1457805,56473907895.00,6654,30984,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990106,32533.09
فروي-ت,20200328,34158.95,34159,32752,33991.83,14958595,605461288425.00,26341,32533,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990109,34158.95
فروي-ت,20200329,34683.82,35691,33592,34824.91,18200877,754756534143.00,46052,33992,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990110,33961.59
فروي-ت,20200330,33372.89,34431,33084,33348.54,16115017,639933576122.00,39848,34825,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990111,33214.17
فروي-ت,20200404,33421.60,34432,32584,33366.17,13960247,554658050839.00,41469,33349,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990116,32685.09
فروي-ت,20200405,32185.41,32290,31698,31815.90,8973895,339980436861.00,20641,33366,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990117,31698.33
فروي-ت,20200406,30908.07,31816,30225,30787.14,19760767,724431993329.00,70388,31816,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990118,31034.88
فروي-ت,20200407,31819.26,32326,31493,32245.04,8988640,345127878073.00,38031,30787,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990119,32326.50
فروي-ت,20200408,33155.38,33802,32016,33063.85,10890105,428754475132.00,37229,32245,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990120,32416.36
فروي-ت,20200411,32332.38,33616,31922,32832.06,9124713,356726300796.00,26420,33064,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990123,32659.90
فروي-ت,20200412,32747.24,34264,32747,33784.40,12094564,486555906999.00,22773,32832,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990124,33747.44
فروي-ت,20200413,34431.88,35272,33508,34069.93,9774802,396554170235.00,18684,33784,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990125,33558.49
فروي-ت,20200414,33172.18,33172,32367,32461.71,8918148,344718723324.00,33883,34070,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990126,32366.81
فروي-ت,20200415,32080.44,33592,31577,32801.83,8844156,345446136589.00,35270,32462,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990127,32785.87
فروي-ت,20200418,33874.25,34415,33126,34040.53,12589199,510294941163.00,22292,32802,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990130,34414.25
فروي-ت,20200419,35086.93,35087,32416,33924.64,14322491,578574569233.00,22500,34041,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990131,32988.26
فروي-ت,20200420,33296.47,34750,32751,34153.91,11547211,469612873027.00,17486,33925,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990201,33958.23
فروي-ت,20200421,33844.86,35861,33845,35479.12,15343344,648207231585.00,19345,34154,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990202,35861.23
فروي-ت,20200422,36612.85,37253,35861,37072.22,8929422,394177293045.00,9159,35479,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990203,37252.78
فروي-ت,20200425,38925.66,40871,38926,40711.08,8571314,415513843146.00,9243,37072,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990206,40871.48
فروي-ت,20200426,42745.92,42746,38676,40813.54,28178497,1369446853875.00,29984,40711,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990207,41402.24
فروي-ت,20200427,41149.46,42074,39471,40933.63,11548873,562918271420.00,18291,40814,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990208,40436.47
فروي-ت,20200428,40066.95,41841,40067,41418.20,11219183,553319494347.00,18387,40934,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990209,41317.42
فروي-ت,20200429,42619.95,43488,41990,43170.02,9377157,482029356075.00,13631,41418,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990210,43488.31
فروي-ت,20200502,45328.31,45328,45328,45328.31,4191742,226249274450.00,5849,43170,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990213,45328.31
فروي-ت,20200503,47594.10,47594,45329,47421.94,7829597,442124278341.00,8487,45328,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990214,46189.11
فروي-ت,20200504,45181.35,48709,45051,46189.11,20242674,1113346029273.00,22795,47422,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990215,45688.59
فروي-ت,20200505,46944.09,48286,43880,44765.65,12520655,667417632020.00,13714,46189,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990216,43879.66
فروي-ت,20200506,42527.57,44510,42528,42902.97,15746249,804431238150.00,19282,44766,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990217,42569.56
فروي-ت,20200509,44509.51,45048,43670,44917.65,4305041,230258811871.00,8162,42903,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990220,45047.82
فروي-ت,20200510,47163.28,47163,42830,46565.34,13864380,768754691392.00,17953,44918,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990221,47163.28
فروي-ت,20200511,48119.82,48120,44237,45326.63,9418679,508353810948.00,16317,46565,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990222,44237.41
فروي-ت,20200512,43123.83,45181,43061,43284.24,3715705,191511656306.00,5363,45327,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990223,43060.85
فروي-ت,20200517,43012.51,43013,40862,41266.85,1892368,89380983464.00,2386,43284,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990228,40862.32
فروي-ت,20200518,41588.37,43330,41328,42913.78,10724876,526777571721.00,14654,41267,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990229,43329.67
فروي-ت,20200519,44384.23,44550,41064,42660.41,6975462,340593321479.00,13276,42914,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990230,41634.68
فروي-ت,20200520,42808.94,42809,40528,40753.11,6023680,280968492972.00,10613,42660,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990231,40527.70
فروي-ت,20200523,39235.49,41199,38716,39314.99,6655307,299472508222.00,11675,40753,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990303,39054.63
فروي-ت,20200526,37831.44,39219,37350,37626.12,2677629,115311530109.00,4429,39315,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990306,37350.03
فروي-ت,20200527,39507.21,41482,39507,39943.19,4952139,226397613680.00,6478,37626,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990307,40057.64
فروي-ت,20200530,41370.82,41940,40001,41300.05,7469354,353074703256.00,10338,39943,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990310,41939.60
فروي-ت,20200531,42348.50,42348,39235,40350.33,5659796,261388284334.00,7771,41300,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990311,39324.60
فروي-ت,20200601,39342.08,42368,39342,41873.20,9630817,461562187247.00,9925,40350,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990312,42367.72
فروي-ت,20200602,43966.60,43967,43967,43966.60,3988826,200725701972.00,2284,41873,IZSZ,Isfahan Zinc SML.-a,ذوب_روي_اصفهان-ت,13990313,43966.60
