tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
فملي-ت,20070204,42.49,42,38,39.35,172898994,640374172370.00,2489,42,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851115,39.35
فملي-ت,20070205,40.13,40,40,40.13,10826496,40902501888.00,1709,39,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851116,40.13
فملي-ت,20070206,40.93,41,41,40.93,26850133,103453562449.00,4118,40,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851117,40.93
فملي-ت,20070207,41.75,42,42,41.75,31086849,122171316570.00,4247,41,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851118,41.75
فملي-ت,20070210,42.57,43,43,42.57,40645528,162907276224.00,4984,42,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851121,42.57
فملي-ت,20070212,43.42,43,43,42.62,215513,881016384.00,93,43,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851123,42.62
فملي-ت,20070213,43.47,43,43,43.47,5110524,20912264208.00,1123,43,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851124,43.47
فملي-ت,20070214,44.33,44,44,44.33,5103628,21297439644.00,1152,43,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851125,44.33
فملي-ت,20070217,45.21,45,44,44.99,35308907,149512486901.00,7352,44,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851128,44.99
فملي-ت,20070218,45.04,45,44,44.90,14815582,62631121478.00,2667,45,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851129,44.90
فملي-ت,20070219,44.01,45,44,44.78,564225,2337584905.00,160,45,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851130,44.78
فملي-ت,20070220,43.89,45,44,44.52,1354521,5596881362.00,335,45,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851201,44.52
فملي-ت,20070313,44.50,45,43,43.67,1930522,7936965855.00,473,45,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851222,43.67
فملي-ت,20070314,43.42,44,20,43.48,1160513315,2155002873707.00,606,44,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851223,43.48
فملي-ت,20070317,44.18,44,43,43.55,3663321,15089656174.00,506,43,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851226,43.55
فملي-ت,20070319,43.68,44,44,43.76,1436849,6002665724.00,262,44,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13851228,43.76
فملي-ت,20070325,44.64,45,44,44.07,1629327,6845517612.00,415,44,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13860105,44.07
فملي-ت,20070326,44.94,45,44,44.07,27899,118039849.00,14,44,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13860106,44.07
فملي-ت,20070327,44.94,45,44,44.07,26534,112264534.00,21,44,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13860107,44.07
فملي-ت,20070328,44.94,45,44,44.09,131210,555148710.00,52,44,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13860108,44.09
فملي-ت,20070331,44.97,45,44,44.15,294199,1245637786.00,113,44,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13860111,44.15
فملي-ت,20070403,45.03,45,44,44.17,117711,498976119.00,57,44,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13860114,44.17
فملي-ت,20070404,45.05,45,44,44.22,260851,1106268311.00,116,44,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13860115,44.22
فملي-ت,20070407,45.10,45,44,44.28,326721,1387256596.00,172,44,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13860118,44.28
فملي-ت,20070408,45.17,45,44,44.37,437546,1860444842.00,212,44,MSMI,S*I. N. C. Ind.-a,ملي‌_صنايع‌_مس‌_ايران‌-ت,13860119,44.37
