tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
فولاژ-ت,20110309,199.48,199,199,199.48,64850000,162125000000.00,650,80,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13891218,199.48
فولاژ-ت,20110312,207.46,207,207,199.64,13502,35105200.00,9,199,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13891221,207.46
فولاژ-ت,20110313,207.62,208,208,200.20,48021,124950642.00,22,200,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13891222,207.62
فولاژ-ت,20110314,208.18,208,208,200.36,15690,40935210.00,8,200,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13891223,208.18
فولاژ-ت,20110315,208.34,208,208,200.52,11100,28982100.00,4,200,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13891224,208.34
فولاژ-ت,20110316,208.50,208,208,200.76,20300,53043900.00,4,201,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13891225,208.50
فولاژ-ت,20110319,216.80,225,217,225.41,147200,415780600.00,28,201,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13891228,225.41
فولاژ-ت,20110326,234.43,234,234,225.57,11899,34959262.00,5,225,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900106,234.43
فولاژ-ت,20110327,234.59,235,235,234.59,673640,1980501600.00,36,226,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900107,234.59
فولاژ-ت,20110328,243.92,244,244,243.92,700000,2139900000.00,21,235,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900108,243.92
فولاژ-ت,20110329,253.66,254,254,253.66,700000,2225300000.00,15,244,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900109,253.66
فولاژ-ت,20110330,263.79,264,264,263.79,651500,2153859000.00,26,254,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900110,263.79
فولاژ-ت,20110403,274.33,274,274,274.33,21501,73920438.00,7,264,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900114,274.33
فولاژ-ت,20110404,296.27,308,296,307.84,104911,404763743.00,10,274,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900115,308.08
فولاژ-ت,20110405,320.13,320,320,320.13,700000,2808400000.00,28,308,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900116,320.13
فولاژ-ت,20110406,332.89,333,333,332.89,690400,2880348800.00,34,320,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900117,332.89
فولاژ-ت,20110409,346.14,346,346,346.14,700000,3036600000.00,49,333,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900120,346.14
فولاژ-ت,20110410,359.94,360,360,359.94,800000,3608800000.00,44,346,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900121,359.94
فولاژ-ت,20110411,374.30,374,374,374.30,706200,3312784200.00,40,360,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900122,374.30
فولاژ-ت,20110412,404.23,420,404,419.95,2132859,11226126028.00,471,374,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900123,420.34
فولاژ-ت,20110413,436.70,437,427,436.22,62360303,340914645937.00,13034,420,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900124,436.70
فولاژ-ت,20110416,442.05,446,419,425.61,11013009,58742522572.00,2265,436,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900127,418.83
فولاژ-ت,20110417,408.62,409,409,408.62,2032354,10407684834.00,314,426,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900128,408.62
فولاژ-ت,20110418,392.34,392,392,392.34,17005101,83614081617.00,1824,409,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900129,392.34
فولاژ-ت,20110419,390.42,399,377,383.72,5449265,26207160586.00,1069,392,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900130,376.70
فولاژ-ت,20110420,376.70,380,368,372.79,4735175,22121348858.00,1057,384,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900131,368.40
فولاژ-ت,20110423,360.66,363,358,359.06,2702921,12161973705.00,317,373,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900203,357.95
فولاژ-ت,20110424,344.70,345,345,344.70,1374683,5938630560.00,77,359,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900204,344.70
فولاژ-ت,20110425,330.98,331,331,330.98,1652887,6856175276.00,142,345,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900205,330.98
فولاژ-ت,20110426,327.15,343,319,327.15,6869831,28166135481.00,1338,331,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900206,320.84
فولاژ-ت,20110427,320.37,334,314,317.49,6774056,26955000180.00,764,327,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900207,327.15
فولاژ-ت,20110430,306.80,307,305,313.10,234811,898504906.00,33,317,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900210,304.81
فولاژ-ت,20110501,300.66,301,301,303.85,484862,1826960016.00,32,313,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900211,300.66
فولاژ-ت,20110502,315.98,316,313,315.82,2075592,8215815840.00,359,304,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900212,312.78
فولاژ-ت,20110503,325.55,326,303,306.16,3659532,14043391468.00,528,316,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900213,304.89
فولاژ-ت,20110504,310.95,311,294,303.05,2621634,9956188111.00,435,306,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900214,306.48
فولاژ-ت,20110508,300.82,303,291,292.28,3497682,12811587260.00,285,303,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900218,291.00
فولاژ-ت,20110509,300.50,304,296,300.90,531565,2017807578.00,125,292,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900219,303.93
فولاژ-ت,20110510,312.86,313,303,311.35,1590996,6207574366.00,210,301,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900220,308.08
فولاژ-ت,20110511,310.39,310,299,303.69,693709,2640509508.00,175,311,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900221,304.01
فولاژ-ت,20110514,300.82,301,294,303.37,29704,110618450.00,15,304,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900224,294.51
فولاژ-ت,20110515,302.97,303,295,296.91,649760,2417632935.00,173,303,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900225,296.83
فولاژ-ت,20110516,303.37,309,295,301.61,711150,2687865138.00,252,297,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900226,299.38
فولاژ-ت,20110517,295.31,296,290,291.48,1784236,6517237704.00,270,302,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900227,289.72
فولاژ-ت,20110518,290.44,299,290,293.87,550400,2030211812.00,156,291,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900228,298.82
فولاژ-ت,20110521,302.33,306,295,304.49,5316569,20286441000.00,328,294,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900231,305.60
فولاژ-ت,20110522,315.98,316,308,313.66,4680445,18397379234.00,542,304,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900301,312.71
فولاژ-ت,20110523,313.58,314,304,310.87,1393349,5429129439.00,175,314,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900302,313.58
فولاژ-ت,20110524,309.67,316,310,313.18,1076443,4224867366.00,225,311,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900303,311.19
فولاژ-ت,20110525,303.77,305,301,301.93,1089360,4121624850.00,183,313,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900304,301.69
فولاژ-ت,20110528,304.73,314,302,307.92,1232153,4754405979.00,156,302,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900307,302.57
فولاژ-ت,20110529,303.21,303,296,296.99,1005415,3742473767.00,90,308,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900308,295.63
فولاژ-ت,20110530,286.45,309,286,303.29,1483571,5638981850.00,190,297,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900309,308.80
فولاژ-ت,20110531,312.71,315,310,312.63,963700,3775338589.00,165,303,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900310,311.35
فولاژ-ت,20110601,308.95,310,303,310.63,205090,787086444.00,60,313,FAIR,Iran Fold-a,فولاد_آلياژي_ايران-ت,13900311,305.92
