tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
نوري-ت,20190713,8123.25,8123,8123,8123.25,311419200,9731850000000.00,581693,260,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980422,8123.25
نوري-ت,20190714,8529.29,8529,8529,8529.29,434364,14252351568.00,1254,8123,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980423,8529.29
نوري-ت,20190715,8955.59,8956,8956,8955.59,954438,32882297976.00,2491,8529,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980424,8955.59
نوري-ت,20190716,9403.22,9403,8508,9401.92,84339091,3050475936375.00,174190,8956,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980425,9403.22
نوري-ت,20190717,9439.87,9872,8932,9638.99,29523727,1094771498693.00,59994,9402,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980426,9761.16
نوري-ت,20190720,9851.88,9878,9618,9789.24,37314859,1405251744850.00,95999,9639,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980429,9840.18
نوري-ت,20190727,10568.69,10838,10280,10548.27,29768929,999484183045.00,52863,9789,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980505,10584.40
نوري-ت,20190728,10571.52,10572,10117,10303.85,20427597,669969109740.00,46503,10548,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980506,10336.21
نوري-ت,20190729,10138.28,10368,10054,10181.01,12099255,392085589846.00,26025,10304,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980507,10305.10
نوري-ت,20190730,10216.82,10524,10217,10403.75,8015598,265438642538.00,16193,10181,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980508,10465.33
نوري-ت,20190731,10465.02,10924,10465,10841.39,12556920,433318147055.00,20337,10404,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980509,10923.70
نوري-ت,20190803,10995.96,11307,10924,11099.33,10527198,371914747558.00,18452,10841,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980512,11062.57
نوري-ت,20190804,11100.58,11103,10745,10918.68,12079759,419814686098.00,19529,11099,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980513,10867.15
نوري-ت,20190805,10838.88,10839,10605,10666.08,9576325,325116546736.00,16890,10919,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980514,10735.20
نوري-ت,20190806,10582.83,10807,10470,10561.15,7846883,263777992145.00,15499,10666,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980515,10650.38
نوري-ت,20190807,10525.65,10635,10466,10500.20,5871238,196227584216.00,14651,10561,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980516,10484.18
نوري-ت,20190810,10460.93,10461,10320,10344.06,7407129,243878528996.00,23283,10500,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980519,10405.32
نوري-ت,20190811,10336.21,10681,10302,10482.92,4764456,158974542694.00,10903,10344,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980520,10556.13
نوري-ت,20190813,10483.87,10493,10368,10398.41,5495102,181876010319.00,11005,10483,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980522,10405.01
نوري-ت,20190814,10385.22,10588,10385,10465.96,5834904,194380328473.00,10702,10398,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980523,10502.72
نوري-ت,20190817,10462.50,10466,10328,10362.91,5508897,181708444918.00,11780,10466,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980526,10355.37
نوري-ت,20190818,10324.27,10335,10211,10278.71,5722335,187217961084.00,11986,10363,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980527,10263.95
نوري-ت,20190819,10219.96,10264,10198,10217.45,4770491,155144173459.00,16013,10279,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980528,10246.04
نوري-ت,20190821,10223.10,10493,10223,10336.52,4481194,147435850448.00,8982,10217,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980530,10380.19
نوري-ت,20190824,10368.57,10682,10313,10379.88,7511714,248182239473.00,12734,10337,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980602,10681.79
نوري-ت,20190825,10524.39,10556,10331,10412.86,4460916,147851298064.00,7630,10380,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980603,10430.46
نوري-ت,20190827,10424.17,10752,10368,10544.50,5489901,184259606483.00,8362,10413,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980605,10370.76
نوري-ت,20190828,10336.21,10525,10253,10352.23,4825932,159020883726.00,7666,10545,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980606,10359.45
نوري-ت,20190831,10369.19,10524,10320,10374.22,5746848,189767341768.00,9865,10352,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980609,10348.46
نوري-ت,20190901,10348.77,10445,10339,10372.96,4322324,142709820475.00,7918,10374,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980610,10377.05
نوري-ت,20190902,10367.94,10381,10349,10366.05,6515147,214964202448.00,9521,10373,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980611,10373.91
نوري-ت,20190903,10351.91,10531,10352,10432.66,3971306,131875863339.00,8053,10366,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980612,10443.65
نوري-ت,20190904,10491.09,10491,10430,10440.82,3924747,130432864719.00,10124,10433,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980613,10482.30
نوري-ت,20190908,10587.54,10741,10588,10646.61,5893075,199705306197.00,8140,10441,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980617,10650.38
نوري-ت,20190911,10622.73,10721,10623,10654.15,5606752,190137863516.00,8788,10647,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980620,10652.58
نوري-ت,20190914,10675.51,10680,10572,10625.87,7648553,258691853701.00,10819,10654,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980623,10581.89
نوري-ت,20190915,10571.83,10588,10512,10560.84,6598371,221802901812.00,8368,10626,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980624,10559.27
نوري-ت,20190916,10649.43,10994,10588,10709.13,6514124,222049893731.00,9609,10561,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980625,10702.53
نوري-ت,20190917,10713.21,10838,10594,10672.05,3212985,109142561070.00,5468,10709,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980626,10601.68
نوري-ت,20190918,10432.34,10603,10368,10412.55,3831004,126970729687.00,5379,10672,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980627,10487.01
نوري-ت,20190921,10399.04,10537,10396,10448.36,2706893,90024252559.00,4598,10413,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980630,10454.02
نوري-ت,20190922,10430.46,10782,10368,10580.32,6017678,202659950691.00,8117,10448,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980631,10751.22
نوري-ت,20190923,10807.15,11109,10745,11050.94,8242084,289917811646.00,7390,10580,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980701,11109.06
نوري-ت,20190924,11404.39,11603,11118,11438.63,10453877,380616137471.00,11341,11051,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980702,11372.97
نوري-ت,20190925,11451.51,11452,11184,11306.68,3540613,127424584375.00,7936,11439,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980703,11366.37
نوري-ت,20190928,11372.97,11386,11154,11245.73,4063256,145445973351.00,6477,11307,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980706,11266.46
نوري-ت,20190929,11153.05,11153,10863,10904.54,4953369,171924276493.00,6713,11246,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980707,10929.99
نوري-ت,20190930,10917.42,11209,10855,10968.63,4539944,158501136309.00,6839,10905,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980708,11058.80
نوري-ت,20191001,10996.91,11055,10829,10946.01,4781092,166579397163.00,5675,10969,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980709,10838.88
نوري-ت,20191002,10835.11,10838,10745,10770.70,2949101,101103697026.00,4116,10946,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980710,10769.76
نوري-ت,20191005,10769.45,10773,10650,10699.07,4122971,140408318418.00,6005,10771,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980713,10665.77
نوري-ت,20191006,10650.38,10682,10479,10571.83,2169689,73010372766.00,4066,10699,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980714,10666.08
نوري-ت,20191007,10649.75,10842,10569,10666.40,2522198,85630245274.00,4641,10572,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980715,10634.98
نوري-ت,20191008,10571.83,10650,10289,10458.73,3389651,112841614758.00,5394,10666,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980716,10399.04
نوري-ت,20191009,10257.98,10678,10258,10466.27,2013075,67063738123.00,6102,10459,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980717,10662.94
نوري-ت,20191012,10662.94,10894,10624,10754.37,2478328,84835674217.00,4762,10466,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980720,10810.29
نوري-ت,20191013,10901.71,10965,10683,10783.90,2862781,98263773726.00,4305,10754,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980721,10706.93
نوري-ت,20191014,10716.35,10773,10472,10525.34,1882132,63055716780.00,2752,10784,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980722,10531.62
نوري-ت,20191015,10531.62,10646,9999,10243.53,2628922,85715723055.00,4265,10525,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980723,10320.81
نوري-ت,20191016,10320.81,10588,10242,10380.19,1647794,54443081781.00,3224,10244,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980724,10351.91
نوري-ت,20191020,10351.91,10588,10113,10206.45,2052126,66667527712.00,3774,10380,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980728,10139.85
نوري-ت,20191021,10094.29,10528,10094,10325.21,2729897,89719274428.00,3359,10206,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980729,10434.86
نوري-ت,20191022,10499.57,10841,10500,10768.82,4003117,137213185168.00,3413,10325,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980730,10841.39
نوري-ت,20191023,11306.99,11307,10996,11233.48,14769144,528079958020.00,10075,10769,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980801,11215.88
نوري-ت,20191026,11167.50,11479,10933,11252.64,5730786,205260120173.00,6790,11233,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980804,11394.96
نوري-ت,20191028,11310.13,11389,11185,11257.04,3787449,135707646914.00,4339,11253,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980806,11215.57
نوري-ت,20191030,11153.68,11216,11003,11093.67,3808645,134487282423.00,4835,11257,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980808,11058.80
نوري-ت,20191102,11052.51,11053,10760,10859.61,3734366,129083781907.00,4137,11094,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980811,10800.86
نوري-ت,20191103,10870.30,10870,10650,10779.19,2638784,90536024771.00,3236,10860,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980812,10671.43
نوري-ت,20191104,10622.10,10961,10553,10680.54,3010466,102344292973.00,2682,10779,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980813,10804.32
نوري-ت,20191105,10716.98,10980,10717,10893.54,2001070,69384264654.00,2575,10681,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980814,10920.56
نوري-ت,20191109,11132.94,11133,10892,10974.91,1814409,63382884913.00,2533,10894,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980818,10901.40
نوري-ت,20191110,10901.71,10902,10745,10838.25,1456230,50236412739.00,2083,10975,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980819,10870.92
نوري-ت,20191111,10760.02,11090,10730,10867.15,1881355,65076471353.00,2059,10838,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980820,10902.97
نوري-ت,20191112,10995.96,11136,10902,11064.14,3689905,129948356665.00,2511,10867,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980821,11066.02
نوري-ت,20191113,11086.76,11128,10933,11088.33,1570535,55430703768.00,2176,11064,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980822,11061.94
نوري-ت,20191116,11121.63,11122,10955,11001.62,1615374,56566485201.00,1930,11088,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980825,10990.94
نوري-ت,20191117,10902.66,10903,10534,10674.57,1356304,46083660115.00,2095,11002,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980826,10683.36
نوري-ت,20191118,10618.96,11208,10619,10934.39,1635802,56932088375.00,1628,10675,NORI,NORI Petrochemical-a,پتروشيمي_نوري-ت,13980827,10892.60
