tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
وخارزم-ت,20121021,457.87,465,458,457.87,3856655,4821383690.00,62,366,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910730,464.83
وخارزم-ت,20121022,476.18,476,458,461.17,592798,754442681.00,86,458,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910801,459.34
وخارزم-ت,20121023,457.87,476,458,476.18,45477012,59101106849.00,86,461,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910802,465.20
وخارزم-ت,20121024,476.18,476,462,476.18,44443808,57763585115.00,65,476,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910803,465.20
وخارزم-ت,20121027,475.45,475,460,468.86,2709409,3468377710.00,148,476,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910806,462.27
وخارزم-ت,20121028,461.90,463,454,461.90,1069053,1339376421.00,104,469,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910807,458.24
وخارزم-ت,20121029,454.94,456,451,457.50,778258,961928078.00,80,462,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910808,455.67
وخارزم-ت,20121030,451.64,458,448,454.57,698294,859040490.00,70,458,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910809,452.38
وخارزم-ت,20121031,439.56,448,437,448.71,678150,815897911.00,66,455,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910810,440.65
وخارزم-ت,20121104,436.62,440,431,441.02,839786,995474391.00,67,449,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910814,439.56
وخارزم-ت,20121105,432.60,438,425,430.03,2281856,2679787898.00,47,441,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910815,431.86
وخارزم-ت,20121106,427.47,446,427,431.86,555051,659339170.00,40,430,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910816,443.58
وخارزم-ت,20121107,442.85,449,436,443.58,1845621,2234163677.00,41,432,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910817,435.89
وخارزم-ت,20121110,434.79,443,426,439.92,392838,460746529.00,56,444,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910820,426.73
وخارزم-ت,20121111,425.27,447,422,438.46,912843,1090382517.00,72,440,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910821,443.22
وخارزم-ت,20121112,447.98,454,434,441.02,597686,725749507.00,55,438,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910822,435.53
وخارزم-ت,20121113,434.79,451,427,437.72,1325851,1581829494.00,94,441,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910823,446.88
وخارزم-ت,20121114,450.54,451,440,443.58,782411,959194386.00,60,438,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910824,443.22
وخارزم-ت,20121117,446.51,448,434,442.49,363623,436295301.00,49,444,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910827,433.69
وخارزم-ت,20121118,443.22,443,432,441.39,573069,687770346.00,54,442,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910828,437.72
وخارزم-ت,20121119,438.46,447,438,441.39,975779,1175349614.00,55,441,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910829,439.56
وخارزم-ت,20121120,442.49,447,429,439.92,481733,574602206.00,50,441,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910830,432.60
وخارزم-ت,20121121,441.02,445,432,439.19,312449,372619600.00,26,440,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910901,439.56
وخارزم-ت,20121126,432.60,440,431,438.46,804123,961638432.00,58,439,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910906,432.60
وخارزم-ت,20121127,439.56,445,432,438.46,868629,1039225158.00,52,438,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910907,442.85
وخارزم-ت,20121128,432.60,442,432,438.46,47976870,57425952931.00,72,438,IKHR,S*Kharazmy Invest-a,سرمايه_گذاري_خوارزمي-ت,13910908,431.86
