tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
وسكاب-ت,20130901,422.81,440,423,428.05,2581367,3791654872.00,111,291,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920610,439.71
وسكاب-ت,20130903,444.95,445,445,432.42,198276,302767452.00,23,428,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920612,444.95
وسكاب-ت,20130904,448.16,448,415,430.68,1598922,2363502350.00,130,432,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920613,415.23
وسكاب-ت,20130907,413.48,428,413,428.93,75739,107708938.00,30,431,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920616,423.97
وسكاب-ت,20130908,428.05,428,420,428.35,54926,79659590.00,16,429,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920617,422.52
وسكاب-ت,20130909,413.78,425,412,423.97,353860,508586655.00,42,428,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920618,412.03
وسكاب-ت,20130910,419.60,441,420,427.76,195780,294877268.00,56,424,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920619,440.88
وسكاب-ت,20130911,444.66,445,437,437.09,489265,742110053.00,66,428,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920620,444.66
وسكاب-ت,20130914,454.57,455,437,441.17,258113,397755270.00,38,437,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920623,448.45
وسكاب-ت,20130915,453.70,454,427,440.29,135317,202711588.00,47,441,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920624,428.35
وسكاب-ت,20130916,448.74,449,426,438.84,110421,162787788.00,27,440,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920625,426.89
وسكاب-ت,20130917,437.09,437,421,437.38,79518,116167036.00,35,439,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920626,421.64
وسكاب-ت,20130918,436.80,446,432,437.38,171103,256949215.00,45,437,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920627,437.38
وسكاب-ت,20130921,437.09,445,432,437.38,107779,161797632.00,23,437,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920630,438.25
وسكاب-ت,20130922,435.63,437,429,435.92,199513,295898360.00,40,437,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920631,428.93
وسكاب-ت,20130923,434.17,437,424,434.76,289424,430238697.00,51,436,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920701,436.50
وسكاب-ت,20130924,437.09,437,429,435.05,132004,197692442.00,33,435,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920702,437.09
وسكاب-ت,20130925,432.42,444,431,434.76,77817,115666766.00,24,435,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920703,433.30
وسكاب-ت,20130928,437.09,449,434,437.09,253874,384711954.00,56,435,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920706,442.33
وسكاب-ت,20130929,431.84,445,432,436.80,46198,68906984.00,27,437,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920707,433.30
وسكاب-ت,20130930,435.05,452,435,440.29,264472,405704639.00,47,437,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920708,452.24
وسكاب-ت,20131001,457.78,458,438,446.12,483300,745518724.00,101,440,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920709,457.78
وسكاب-ت,20131002,463.31,464,459,452.82,312536,495448358.00,59,446,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920710,463.90
وسكاب-ت,20131005,470.89,471,471,455.44,107234,173290144.00,17,453,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920713,470.89
وسكاب-ت,20131006,473.51,474,474,456.03,25581,41569125.00,15,455,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920714,473.51
وسكاب-ت,20131007,474.09,474,474,456.90,41893,68159911.00,9,456,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920715,474.09
وسكاب-ت,20131008,474.97,475,475,457.19,14606,23807780.00,5,457,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920716,474.97
وسكاب-ت,20131009,475.26,475,475,458.65,54663,89155353.00,8,457,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920717,475.26
وسكاب-ت,20131012,476.72,477,477,476.42,742112,1214095232.00,23,459,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920720,476.72
وسكاب-ت,20131013,495.37,495,495,479.05,102366,174022200.00,23,476,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920721,495.37
وسكاب-ت,20131014,497.99,498,498,497.11,718467,1227860103.00,35,479,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920722,497.99
وسكاب-ت,20131015,516.93,517,517,516.35,725402,1286863148.00,25,497,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920723,516.93
وسكاب-ت,20131019,536.74,537,537,536.45,740400,1363816800.00,27,516,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920727,536.74
وسكاب-ت,20131020,557.72,558,558,557.72,746208,1428242112.00,40,536,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920728,557.72
وسكاب-ت,20131021,579.87,580,580,579.87,745171,1482890290.00,32,558,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920729,579.87
وسكاب-ت,20131022,602.89,603,603,580.74,26847,55546443.00,8,580,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920730,602.89
وسكاب-ت,20131023,603.76,604,604,582.20,47500,98420000.00,8,581,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920801,603.76
وسكاب-ت,20131026,605.22,605,605,584.24,63071,130998467.00,7,582,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920804,605.22
وسكاب-ت,20131027,607.55,608,608,587.45,103484,215764140.00,12,584,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920805,607.55
وسكاب-ت,20131028,610.76,611,611,594.15,213866,448263136.00,9,587,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920806,610.76
وسكاب-ت,20131029,617.75,618,618,594.73,14153,30004360.00,21,594,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920807,617.75
وسكاب-ت,20131030,618.33,618,618,618.33,1006326,2135423772.00,28,595,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920808,618.33
وسكاب-ت,20131102,642.81,643,618,642.23,8889037,19588721479.00,422,618,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920811,642.81
وسكاب-ت,20131103,662.92,663,617,640.48,2712403,5963057598.00,264,642,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920812,617.75
وسكاب-ت,20131104,622.99,623,615,624.45,481418,1016705398.00,44,640,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920813,615.13
وسكاب-ت,20131105,599.68,640,600,602.89,2755974,5702249677.00,205,624,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920814,611.63
وسكاب-ت,20131106,609.01,627,609,626.49,2496998,5368797304.00,339,603,SKBV,Banks Employees-a,س.ص.بازنشستگي_كاركنان_بانكها-ت,13920815,626.78
