tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
پالايش-ت,20201201,115093.12,126602,103971,110005.81,36892044,4196028936500.00,185583,96717,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13990911,109580.25
پالايش-ت,20201202,106640.06,106640,99164,102684.34,80278011,8522905676340.00,412852,110006,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13990912,100160.03
پالايش-ت,20201205,100111.67,112946,100102,102510.25,63247256,6703556775890.00,161907,102684,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13990915,102945.47
پالايش-ت,20201206,104357.54,106389,102568,104715.39,65859801,7130698380870.00,142333,102510,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13990916,103651.51
پالايش-ت,20201207,103245.30,104058,97752,101040.15,61615363,6436675294860.00,158174,104715,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13990917,98796.32
پالايش-ت,20201208,99715.13,100102,96775,97829.15,41744281,4222260072040.00,143232,101040,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13990918,97094.10
پالايش-ت,20201209,97403.60,98642,96717,96968.37,39613764,3971587099610.00,133114,97829,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13990919,96900.67
پالايش-ت,20201212,97490.64,98168,96291,96852.31,50415527,5048480209350.00,119785,96968,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13990922,96726.58
پالايش-ت,20201213,96726.58,104454,96717,100750.00,82845166,8629808131030.00,157053,96852,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13990923,101726.84
پالايش-ت,20201215,100000.00,100040,92300,96980.00,41711266,4045280635170.00,101151,100750,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13990925,94300.00
پالايش-ت,20201216,94300.00,97580,92500,94750.00,27493062,2605019969040.00,59901,96980,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13990926,94440.00
پالايش-ت,20201219,96020.00,97000,93000,94760.00,22964331,2176036863540.00,48180,94750,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13990929,94130.00
پالايش-ت,20201220,94500.00,95060,89020,91210.00,21667726,1976241518650.00,58183,94760,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13990930,89300.00
پالايش-ت,20201221,89200.00,93350,86520,89510.00,24842583,2223703142090.00,53582,91210,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13991001,87800.00
پالايش-ت,20201222,88100.00,91300,86660,89090.00,33578022,2991453930920.00,59822,89510,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13991002,90460.00
پالايش-ت,20201223,91500.00,92100,86960,88620.00,19784889,1753272944520.00,42295,89090,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13991003,87200.00
پالايش-ت,20201226,87100.00,87200,81260,83280.00,20295655,1690185065880.00,60335,88620,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13991006,81740.00
پالايش-ت,20201227,81100.00,85490,79010,82190.00,29299805,2408122247340.00,50816,83280,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13991007,82190.00
پالايش-ت,20201228,83500.00,89900,83500,87120.00,43165973,3760809000120.00,64943,82190,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13991008,88280.00
پالايش-ت,20201229,88400.00,88500,82120,83710.00,24572929,2056951183150.00,41901,87120,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13991009,82310.00
پالايش-ت,20201230,82550.00,83700,79400,81080.00,23335119,1891981951040.00,43569,83710,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13991010,80000.00
پالايش-ت,20210102,79400.00,79400,74710,76110.00,20354463,1549250349320.00,41777,81080,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13991013,74740.00
پالايش-ت,20210103,74500.00,78400,72980,75560.00,29460602,2226041865830.00,42213,76110,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13991014,75500.00
پالايش-ت,20210104,77500.00,78400,75000,77000.00,30742892,2367125240570.00,40334,75560,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13991015,76600.00
پالايش-ت,20210105,75670.00,76000,71730,73420.00,19198695,1409561355220.00,37723,77000,PLSH,Palayeshi ETF-a,صندوق_پالايشي_يکم-سهام-ت,13991016,72030.00
