tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
پلاسك-ت,20050405,494.66,495,495,494.66,1000,2500000.00,1,495,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13840116,494.66
پلاسك-ت,20050530,494.66,495,495,494.66,200,500000.00,4,495,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13840309,494.66
پلاسك-ت,20050828,296.80,297,297,296.80,1000,1500000.00,1,495,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13840606,296.80
پلاسك-ت,20050904,296.99,297,297,296.99,5000,7505000.00,1,297,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13840613,296.99
پلاسك-ت,20060129,267.12,333,267,316.78,2000,3202416.00,5,297,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13841109,316.78
پلاسك-ت,20060201,316.78,317,317,316.78,280,448280.00,1,317,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13841112,316.78
پلاسك-ت,20060719,326.48,326,326,326.48,1000,1650000.00,1,317,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13850428,326.48
پلاسك-ت,20060722,326.48,326,326,326.48,5030,8299500.00,3,326,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13850431,326.48
پلاسك-ت,20060725,326.48,328,326,326.48,2280,3781990.00,3,326,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13850503,326.48
پلاسك-ت,20060729,330.43,330,328,328.45,24400,40648000.00,4,326,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13850507,328.45
پلاسك-ت,20060730,328.45,328,324,327.86,14491,23885077.00,3,328,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13850508,327.86
پلاسك-ت,20060731,321.33,327,321,327.07,8022,13027757.00,2,328,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13850509,327.07
پلاسك-ت,20080206,218.05,218,218,218.05,1000,1102000.00,1,327,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13861117,218.05
پلاسك-ت,20080616,257.22,257,257,257.22,10000,13000000.00,2,218,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13870327,257.22
پلاسك-ت,20080617,264.94,265,265,264.74,7093,9496434.00,7,257,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13870328,264.74
پلاسك-ت,20080618,264.74,265,265,264.74,5302,7094076.00,2,265,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13870329,264.74
پلاسك-ت,20080621,264.74,265,265,264.74,100,133800.00,1,265,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13870401,264.74
پلاسك-ت,20080701,272.66,273,265,264.74,50,68860.00,2,265,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13870411,264.74
پلاسك-ت,20081008,256.83,265,257,264.54,1093,1418753.00,2,265,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13870717,264.54
پلاسك-ت,20090201,256.63,271,257,263.95,13609,17931923.00,6,265,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13871113,271.07
پلاسك-ت,20090225,263.95,264,264,263.95,12994,17333996.00,2,264,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13871207,263.95
پلاسك-ت,20090502,267.12,272,267,264.15,2901,3940350.00,2,264,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880212,271.87
پلاسك-ت,20090622,272.06,320,272,287.50,1500,2180186.00,3,264,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880401,319.75
پلاسك-ت,20090623,296.01,296,296,288.68,10000,14960000.00,2,287,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880402,296.01
پلاسك-ت,20090627,297.19,297,297,289.08,3000,4506000.00,1,289,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880406,297.19
پلاسك-ت,20090628,297.59,298,298,289.48,3000,4512000.00,1,289,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880407,297.59
پلاسك-ت,20090629,297.98,298,298,297.98,120000,180720000.00,12,289,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880408,297.98
پلاسك-ت,20090712,406.71,407,325,332.69,11010,13514000.00,3,298,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880421,379.60
پلاسك-ت,20090713,342.45,342,342,333.50,6259,7905117.00,4,333,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880422,342.45
پلاسك-ت,20090714,343.26,343,343,334.86,11200,14179200.00,2,334,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880423,343.26
پلاسك-ت,20090725,344.89,345,345,336.76,15000,19080000.00,3,335,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880503,344.89
پلاسك-ت,20090727,346.79,347,347,337.30,4200,5371800.00,3,337,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880505,346.79
پلاسك-ت,20090803,347.33,347,347,337.84,5000,6405000.00,1,337,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880512,347.33
پلاسك-ت,20090823,347.87,348,348,338.65,6262,8034146.00,3,338,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880601,347.87
پلاسك-ت,20090824,348.69,349,349,338.65,1000,1286000.00,1,339,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880602,348.69
پلاسك-ت,20090906,348.69,349,349,345.43,52500,67515000.00,10,339,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880615,348.69
پلاسك-ت,20090907,355.47,356,355,347.60,16238,21294256.00,4,345,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880616,355.74
پلاسك-ت,20090908,357.91,358,358,348.96,10000,13200000.00,1,348,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880617,357.91
پلاسك-ت,20090909,357.91,358,358,349.50,4000,5280000.00,2,349,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880618,357.91
پلاسك-ت,20090913,359.80,360,360,351.94,18000,23886000.00,5,350,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880622,359.80
پلاسك-ت,20090914,362.24,362,362,352.75,5863,7832968.00,2,352,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880623,362.24
پلاسك-ت,20090915,363.33,363,363,353.03,1000,1340000.00,1,353,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880624,363.33
پلاسك-ت,20090921,353.03,353,353,353.03,2058,2679516.00,1,353,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880630,353.03
پلاسك-ت,20090922,353.03,363,353,353.84,7180,9585404.00,2,353,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880631,363.33
پلاسك-ت,20090923,364.41,364,364,354.11,1000,1344000.00,1,354,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880701,364.41
پلاسك-ت,20090926,364.68,365,365,355.47,10000,13450000.00,5,354,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880704,364.68
پلاسك-ت,20090930,366.04,366,366,356.82,10000,13500000.00,2,355,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880708,366.04
پلاسك-ت,20091003,367.40,367,367,365.50,63863,86534365.00,7,357,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880711,367.40
پلاسك-ت,20091005,376.34,376,376,365.77,2000,2776000.00,1,365,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880713,376.34
پلاسك-ت,20091007,376.34,376,376,366.04,1000,1388000.00,1,366,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880715,376.34
پلاسك-ت,20091010,376.07,376,376,374.17,63863,88577981.00,7,366,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880718,376.07
پلاسك-ت,20091011,376.34,376,376,374.17,901,1250588.00,1,374,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880719,376.34
پلاسك-ت,20091012,385.29,385,385,374.99,6200,8810200.00,1,374,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880720,385.29
پلاسك-ت,20091013,386.10,386,386,375.80,5500,7832000.00,1,375,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880721,386.10
پلاسك-ت,20091019,386.92,387,387,377.16,10000,14270000.00,2,376,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880727,386.92
پلاسك-ت,20091020,388.27,388,388,377.70,4500,6444000.00,1,377,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880728,388.27
پلاسك-ت,20091026,388.82,389,389,377.97,1040,1491360.00,1,378,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880804,388.82
پلاسك-ت,20091101,388.82,389,389,378.24,1500,2151000.00,1,378,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880810,388.82
پلاسك-ت,20091103,389.36,389,389,381.22,20264,29099104.00,3,378,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880812,389.36
پلاسك-ت,20091104,392.61,393,393,383.12,12180,17636640.00,2,381,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880813,392.61
پلاسك-ت,20091107,396.41,396,396,383.94,5000,7310000.00,1,383,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880816,396.41
پلاسك-ت,20091108,397.22,397,397,387.19,18960,27776400.00,7,384,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880817,397.22
پلاسك-ت,20091111,400.47,400,400,388.27,6000,8862000.00,1,387,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13880820,400.47
پلاسك-ت,20100221,388.27,390,388,388.27,24838,35574568.00,6,388,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13881202,390.44
پلاسك-ت,20100308,385.02,385,375,385.02,48000,67780000.00,7,388,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13881217,385.02
پلاسك-ت,20100309,372.28,372,372,382.31,16200,22232700.00,4,385,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13881218,371.73
پلاسك-ت,20100314,395.59,396,396,385.83,20000,29180000.00,6,382,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13881223,395.59
پلاسك-ت,20100508,399.12,399,399,399.12,20000,29440000.00,3,386,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13890218,399.12
پلاسك-ت,20100802,445.21,445,445,445.21,1199,1968758.00,1,399,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13890511,445.21
پلاسك-ت,20100803,462.84,463,463,452.26,31200,53258400.00,3,445,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13890512,462.84
پلاسك-ت,20100824,470.16,470,470,452.53,1399,2425866.00,2,452,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13890602,470.16
