tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
چكارن-ت,20010326,92.06,92,92,92.06,669,5952093.00,3,92,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800106,92.06
چكارن-ت,20010327,90.02,91,90,90.02,7300,63960000.00,9,92,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800107,90.02
چكارن-ت,20010328,90.02,90,90,90.02,8823,76686900.00,12,90,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800108,90.02
چكارن-ت,20010331,90.02,90,90,90.02,2030,17661000.00,6,90,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800111,90.02
چكارن-ت,20010403,90.02,90,90,90.02,5300,46110000.00,7,90,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800114,90.02
چكارن-ت,20010407,90.02,90,90,90.02,1217,10588200.00,5,90,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800118,90.02
چكارن-ت,20010408,90.02,90,90,90.02,19774,172034800.00,24,90,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800119,90.02
چكارن-ت,20010409,90.02,90,90,90.02,22529,196002300.00,26,90,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800120,90.02
چكارن-ت,20010410,90.02,93,90,92.71,57950,509277930.00,40,90,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800121,92.71
چكارن-ت,20010411,92.71,93,93,92.71,17148,153637180.00,20,93,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800122,92.71
چكارن-ت,20010414,92.70,93,91,92.67,15203,136052906.00,14,93,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800125,92.67
چكارن-ت,20010424,79.67,80,80,79.84,1400,10797600.00,3,93,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800204,79.84
چكارن-ت,20010428,80.32,80,80,80.39,2200,17077800.00,2,80,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800208,80.39
چكارن-ت,20010429,80.42,81,80,80.56,813,6326096.00,3,80,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800209,80.56
چكارن-ت,20010430,80.50,81,81,80.74,2460,19174240.00,8,81,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800210,80.74
چكارن-ت,20010501,80.79,82,81,81.74,1604,12662032.00,2,81,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800211,81.74
چكارن-ت,20010502,81.82,82,82,81.77,7421,58657707.00,8,82,KRTI,Iran Carton-a,كارتن‌_ايران‌-ت,13800212,81.77
