,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,20210602,4,0,1,0,2786,0,2786,0,48002780,0,48002780,0,17230.0,17230.0,,,0.0
1,20210601,1,0,1,0,3000,0,3000,0,51690000,0,51690000,0,17230.0,17230.0,,,0.0
2,20210531,5,0,1,0,1694,0,1694,0,29187620,0,29187620,0,17230.0,17230.0,,,0.0
3,20210530,13,0,1,0,18663,0,18663,0,321936750,0,321936750,0,17250.0,17250.0,,,0.0
4,20210529,158,0,9,0,289949,0,289949,0,4914635550,0,4914635550,0,16950.0,16950.0,,,0.0
5,20210526,8,0,2,0,88980,0,88980,0,1601640000,0,1601640000,0,18000.0,18000.0,,,0.0
6,20210525,10,0,1,0,17317,0,17317,0,312052340,0,312052340,0,18020.0,18020.0,,,0.0
7,20210524,3,0,1,0,1550,0,1550,0,27931000,0,27931000,0,18020.0,18020.0,,,0.0
8,20210523,1,0,1,0,1000,0,1000,0,18020000,0,18020000,0,18020.0,18020.0,,,0.0
9,20210522,1,0,1,0,300,0,300,0,5406000,0,5406000,0,18020.0,18020.0,,,0.0
10,20210519,3,0,1,0,963,0,963,0,17353260,0,17353260,0,18020.0,18020.0,,,0.0
11,20210518,45,0,12,2,178863,0,165196,13667,3124736610,0,2885974120,238762490,17470.0,17470.0,,17470.0,13667.0
12,20210517,2,0,1,0,1088,0,1088,0,20062720,0,20062720,0,18440.0,18440.0,,,0.0
13,20210516,2,0,1,0,840,0,840,0,15489600,0,15489600,0,18440.0,18440.0,,,0.0
14,20210515,1,0,1,0,300,0,300,0,5532000,0,5532000,0,18440.0,18440.0,,,0.0
15,20210512,1,0,1,0,2200,0,2200,0,41426000,0,41426000,0,18830.0,18830.0,,,0.0
16,20210511,2,0,1,0,800,0,800,0,15064000,0,15064000,0,18830.0,18830.0,,,0.0
17,20210510,1,0,1,0,1500,0,1500,0,28245000,0,28245000,0,18830.0,18830.0,,,0.0
18,20210509,2,0,3,0,2300,0,2300,0,43309000,0,43309000,0,18830.0,18830.0,,,0.0
19,20210508,2,0,1,0,3725,0,3725,0,70141750,0,70141750,0,18830.0,18830.0,,,0.0
20,20210505,2,0,1,0,1038,0,1038,0,19545540,0,19545540,0,18830.0,18830.0,,,0.0
21,20210503,1,0,1,0,470,0,470,0,8850100,0,8850100,0,18830.0,18830.0,,,0.0
22,20210502,4,0,1,0,3822,0,3822,0,71968260,0,71968260,0,18830.0,18830.0,,,0.0
23,20210501,2,0,1,0,677,0,677,0,12747910,0,12747910,0,18830.0,18830.0,,,0.0
24,20210428,5,0,1,0,4071,0,4071,0,76656930,0,76656930,0,18830.0,18830.0,,,0.0
25,20210427,6,0,1,0,1857,0,1857,0,34967310,0,34967310,0,18830.0,18830.0,,,0.0
26,20210426,1,0,1,0,1000,0,1000,0,18830000,0,18830000,0,18830.0,18830.0,,,0.0
27,20210425,4,0,1,0,2695,0,2695,0,50746850,0,50746850,0,18830.0,18830.0,,,0.0
28,20210424,4,0,1,0,28774,0,28774,0,542102160,0,542102160,0,18840.0,18840.0,,,0.0
29,20210421,4,0,1,0,1395,0,1395,0,26281800,0,26281800,0,18840.0,18840.0,,,0.0
30,20210420,6,0,2,0,5092,0,5092,0,96951680,0,96951680,0,19040.0,19040.0,,,0.0
31,20210419,1,0,1,0,264,0,264,0,5026560,0,5026560,0,19040.0,19040.0,,,0.0
32,20210417,18,0,1,0,9214,0,9214,0,171841100,0,171841100,0,18650.0,18650.0,,,0.0
33,20210414,3,0,1,0,2300,0,2300,0,43792000,0,43792000,0,19040.0,19040.0,,,0.0
34,20210413,7,0,1,0,6582,0,6582,0,125321280,0,125321280,0,19040.0,19040.0,,,0.0
35,20210412,6,0,2,0,21044,0,21044,0,400677760,0,400677760,0,19040.0,19040.0,,,0.0
36,20210411,1,0,1,0,1000,0,1000,0,19040000,0,19040000,0,19040.0,19040.0,,,0.0
37,20210410,4,0,1,0,5208,0,5208,0,99160320,0,99160320,0,19040.0,19040.0,,,0.0
38,20210407,3,0,1,0,1768,0,1768,0,33662720,0,33662720,0,19040.0,19040.0,,,0.0
39,20210406,7,0,2,0,4970,0,4970,0,94628800,0,94628800,0,19040.0,19040.0,,,0.0
40,20210405,3,0,1,0,3896,0,3896,0,74179840,0,74179840,0,19040.0,19040.0,,,0.0
41,20210404,11,0,2,0,30292,0,30292,0,576759680,0,576759680,0,19040.0,19040.0,,,0.0
42,20210403,15,0,1,0,25846,0,25846,0,492107840,0,492107840,0,19040.0,19040.0,,,0.0
43,20210331,22,0,1,0,38013,0,38013,0,724147650,0,724147650,0,19050.0,19050.0,,,0.0
44,20210330,34,0,2,0,66890,0,66890,0,1274923400,0,1274923400,0,19060.0,19060.0,,,0.0
45,20210328,34,0,1,0,56263,0,56263,0,1072935410,0,1072935410,0,19070.0,19070.0,,,0.0
46,20210327,66,0,4,0,243566,0,243566,0,4654546260,0,4654546260,0,19110.0,19110.0,,,0.0
47,20210317,59,0,2,0,106820,0,106820,0,2042398400,0,2042398400,0,19120.0,19120.0,,,0.0
48,20210316,80,0,4,0,113839,0,113839,0,2178878460,0,2178878460,0,19140.0,19140.0,,,0.0
49,20210315,22,0,3,0,388844,0,388844,0,7465804800,0,7465804800,0,19200.0,19200.0,,,0.0
50,20210314,66,0,6,1,229944,0,221351,8593,4424122560,0,4258793240,165329320,19240.0,19240.0,,19240.0,8593.0
51,20210313,101,0,7,0,535003,0,535003,0,10336257960,0,10336257960,0,19320.0,19320.0,,,0.0
52,20210310,9,0,1,0,10576,0,10576,0,204328320,0,204328320,0,19320.0,19320.0,,,0.0
53,20210309,15,0,2,0,29654,0,29654,0,572915280,0,572915280,0,19320.0,19320.0,,,0.0
54,20210308,58,0,12,0,395945,0,395945,0,7673414100,0,7673414100,0,19380.0,19380.0,,,0.0
55,20210307,12,0,1,0,14974,0,14974,0,290196120,0,290196120,0,19380.0,19380.0,,,0.0
56,20210306,15,0,1,0,34100,0,34100,0,661199000,0,661199000,0,19390.0,19390.0,,,0.0
57,20210303,25,0,7,0,42028,0,42028,0,815343200,0,815343200,0,19400.0,19400.0,,,0.0
58,20210302,45,0,15,0,174192,0,174192,0,3384550560,0,3384550560,0,19430.0,19430.0,,,0.0
59,20210301,22,0,7,1,121096,0,32969,88127,2355317200,0,641247050,1714070150,19450.0,19450.0,,19450.0,88127.0
60,20210228,12,0,0,1,11873,0,0,11873,230929850,0,0,230929850,19450.0,,,19450.0,11873.0
61,20210227,27,0,3,0,53771,0,53771,0,1046383660,0,1046383660,0,19460.0,19460.0,,,0.0
62,20210224,235,1,154,0,1711834,11500,1723334,0,33791798420,226435000,34018233420,0,19740.114064798337,19739.779648054297,19690.0,,-11500.0
63,20210223,27,0,2,0,32217,0,32217,0,634674900,0,634674900,0,19700.0,19700.0,,,0.0
64,20210222,31,0,16,0,167348,0,167348,0,3301776040,0,3301776040,0,19730.0,19730.0,,,0.0
65,20210221,52,0,10,0,303618,0,303618,0,6005564040,0,6005564040,0,19780.0,19780.0,,,0.0
66,20210220,101,0,39,0,261175,0,261175,0,5176856940,0,5176856940,0,19821.410701636833,19821.410701636833,,,0.0
67,20210217,224,0,217,0,1660431,0,1660431,0,33331205630,0,33331205630,0,20073.827596569805,20073.827596569805,,,0.0
68,20210216,213,0,172,0,1309075,0,1309075,0,26540468120,0,26540468120,0,20274.215090808397,20274.215090808397,,,0.0
69,20210215,546,2,366,0,3926341,350000,4276341,0,81197541000,7221450000,88418991000,0,20680.206074816222,20676.3190774543,20632.714285714286,,-350000.0
70,20210214,583,1,517,2,6431738,36000,6347238,120500,134343563140,723600000,132545813140,2521350000,20887.59883253951,20882.439439012687,20100.0,20924.066390041495,84500.0
71,20210213,159,0,210,3,1424962,0,1363709,61253,29061368450,0,27810369540,1250998910,20394.486624906487,20393.1847190273,,20423.471666693877,61253.0
72,20210209,320,0,564,0,3148994,0,3148994,0,60850362890,0,60850362890,0,19323.746850581487,19323.746850581487,,,0.0
73,20210208,569,0,556,1,4741057,0,4341057,400000,88972572870,0,81407083710,7565489160,18766.400165617077,18752.82533954288,,18913.7229,400000.0
74,20210207,555,0,609,0,3100178,0,3100178,0,60345725830,0,60345725830,0,19465.24548912998,19465.24548912998,,,0.0
75,20210206,221,1,319,0,2270241,28000,2298241,0,43469864980,535920000,44005784980,0,19147.687395302964,19147.593737993535,19140.0,,-28000.0
76,20210203,547,1,537,1,3079064,115792,3179370,15486,62017200840,2341887040,64027979740,331108140,20141.575764583,20138.574541497215,20224.946801160702,21381.12746997288,-100306.0
77,20210202,843,1,978,1,6392198,75000,6437198,30000,133680481000,1572300000,134614981000,637800000,20913.069495031286,20912.046048606862,20964.0,21260.0,-45000.0
78,20210201,415,0,279,1,1740321,0,1730321,10000,36934188950,0,36722788950,211400000,21222.63016420534,21223.10770660473,,21140.0,10000.0
79,20210131,690,1,695,3,5209641,67693,5092790,184544,115893310640,1516780650,113314164540,4095926750,22245.93031266454,22249.91891281596,22406.757714977914,22194.85190523669,116851.0
80,20210130,648,1,911,1,4709580,49199,4713779,45000,109324251390,1137031750,109408433140,1052850000,23213.163677015786,23210.344214270546,23110.871155917805,23396.666666666668,-4199.0
81,20210127,485,1,490,1,3280008,100000,3359508,20500,75460824220,2299000000,77288169520,471654700,23006.292734651866,23005.80011120676,22990.0,23007.546341463414,-79500.0
82,20210126,89,0,25,0,272812,0,272812,0,6315597800,0,6315597800,0,23150.0,23150.0,,,0.0
83,20210125,373,1,265,0,1756508,22444,1778952,0,42566702880,553244600,43119947480,0,24233.708517126026,24238.960624007843,24650.0,,-22444.0
84,20210124,725,1,514,0,3668159,195000,3863159,0,93339260980,5002650000,98341910980,0,25445.805642558025,25456.345695323438,25654.615384615383,,-195000.0
85,20210123,831,1,641,2,4892192,45000,4389210,547982,128429437730,1154100000,115042639430,14540898300,26251.920965080684,26210.329291603728,25646.666666666668,26535.357548240634,502982.0
86,20210120,689,2,655,1,3870567,61564,3858867,73264,98144934960,1555623400,97825204760,1875353600,25356.7332538101,25350.75833398767,25268.393866545382,25597.204629831842,11700.0
87,20210119,775,3,761,1,5587917,313854,5871771,30000,140645124680,7878381660,147770806340,752700000,25169.508544955122,25166.30950696136,25102.059110286948,25090.0,-283854.0
88,20210118,155,2,172,0,573914,350000,923914,0,14800204110,9009000000,23809204110,0,25788.19145377182,25769.935416066863,25740.0,,-350000.0
89,20210116,1193,2,1148,1,6962708,357162,7277032,42838,188746668940,9559601100,197091515600,1214754440,27108.226991567073,27084.052344417338,26765.448451962973,28356.93636490966,-314324.0
90,20210113,1482,2,1406,4,9333367,635000,9246571,721796,260866152210,17679700000,258385521100,20160331110,27949.844060562496,27943.928738556162,27842.047244094487,27930.788075855227,86796.0
