,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2021-08-23,582,3,496,3,3969086,154105,3915553,207638,76679594450,2953640500,75578470870,4054764080,19319.20710460796,19302.119233221973,19166.415755491387,19528.044384939174,53533.0
1,2021-08-22,574,0,635,4,5862250,0,5441550,420700,113526334400,0,105351581580,8174752820,19365.65898759009,19360.58321250379,,19431.311671024483,420700.0
2,2021-08-15,455,0,411,3,4297484,0,4187984,109500,79633037650,0,77611918620,2021119030,18530.15337578918,18532.047548414703,,18457.70803652968,109500.0
3,2021-08-14,730,2,484,2,5117893,163000,5195893,85000,93736504270,3065235000,95242289270,1559450000,18315.448226447876,18330.302273353205,18805.122699386502,18346.470588235294,-78000.0
4,2021-08-11,518,1,581,3,4837079,200000,4879079,158000,92406288780,3856683900,93210632680,3052340000,19103.73776818613,19104.14499949683,19283.4195,19318.607594936708,-42000.0
5,2021-08-10,603,3,592,1,6925409,62180,6940409,47180,128609066070,1139235120,128855655590,892645600,18570.60948602458,18566.003183674045,18321.568349951754,18920.0,-15000.0
6,2021-08-09,306,1,381,0,2552323,350000,2902323,0,48495112080,6689661530,55184773610,0,19000.38203628616,19014.001408526892,19113.318657142856,,-350000.0
7,2021-08-08,385,1,387,2,2543228,142500,2635228,50500,48013986610,2667125000,49735125810,945985800,18879.151460270175,18873.177504944542,18716.666666666668,18732.392079207923,-92000.0
8,2021-08-07,295,1,420,1,2525935,95000,2546284,74651,47227304800,1789325000,47589139730,1427490070,18696.959660482156,18689.64331158661,18835.0,19122.182824074695,-20349.0
9,2021-08-04,468,2,536,1,7072874,101700,6998737,175837,132543939590,1864935000,131118813990,3290060600,18739.75693473403,18734.639405652764,18337.610619469026,18710.85493951785,74137.0
10,2021-08-03,605,1,613,0,4566999,95000,4661999,0,82222242100,1728525000,83950767100,0,18003.56034673973,18007.461413011886,18195.0,,-95000.0
11,2021-08-02,580,1,604,2,5198304,392500,5443304,147500,97504831480,7415600000,102112647410,2807784070,18757.046813730016,18759.313720122926,18893.248407643314,19035.82420338983,-245000.0
12,2021-08-01,582,1,678,1,5147624,47500,5147624,47500,100339961280,933850000,100340436280,933375000,19492.48066292332,19492.572938505222,19660.0,19650.0,0.0
13,2021-07-31,805,0,655,1,6151049,0,6149049,2000,120940832140,0,120901712140,39120000,19661.822258284727,19661.85537633543,,19560.0,2000.0
