,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2021-08-23,507,2,463,1,1929654,400000,2229654,100000,37245524280,7668000000,42996524280,1917000000,19301.65940629771,19283.94462997398,19170.0,19170.0,-300000.0
1,2021-08-22,569,3,522,2,2897062,1455418,4342950,9530,57718816330,30074982560,87590583490,203215400,19923.224401134667,20168.45312287731,20664.15460025917,21323.756558237146,-1445888.0
2,2021-08-15,484,4,384,6,2773263,992758,2767119,998902,56405599730,20191647030,56256932450,20340314310,20339.07340558757,20330.50709058772,20338.941645395957,20362.672524431826,6144.0
3,2021-08-14,837,2,693,5,5327026,210000,4904951,632075,104588656440,4152022090,96280771600,12459906930,19633.592259545945,19629.303452776592,19771.53376190476,19712.703286793498,422075.0
4,2021-08-11,281,2,375,4,2456726,300000,1436254,1320472,46825890290,5733715310,27298976240,25260629360,19060.28197283702,19007.06716221504,19112.384366666665,19130.0,1020472.0
5,2021-08-10,195,1,215,4,2317653,215393,950539,1582507,42232359070,3926614390,17310309590,28848663870,18222.037151376844,18211.046143293435,18230.0,18229.722756360636,1367114.0
6,2021-08-09,560,5,723,2,2884839,1703631,3988470,600000,49477975050,30234490700,69464694540,10247771210,17151.035135756276,17416.376339799473,17747.08883555183,17079.618683333334,-1103631.0
7,2021-08-08,565,5,522,3,2205488,911544,3108432,8600,37677507360,15560056080,53090503440,147060000,17083.524081745174,17079.51257740237,17070.0,17100.0,-902944.0
8,2021-08-07,1193,5,678,2,7420473,304400,7713873,11000,133180483810,5594056000,138576054210,198485600,17947.708159574195,17964.523684794913,18377.31931668857,18044.145454545454,-293400.0
9,2021-08-04,23,0,66,2,1523994,0,123994,1400000,26700374880,0,2172374880,24528000000,17520.0,17520.0,,17520.0,1400000.0
10,2021-08-03,110,1,104,3,2660692,0,164425,2496267,44406949480,0,2744253250,41662696230,16690.0,16690.0,,16690.0,2496267.0
11,2021-08-02,15,1,34,3,0,0,0,0,0,0,0,0,,,,,0.0
12,2021-07-14,379,3,404,1,1037880,285987,1259424,64443,42317803650,11600472520,51267881380,2650394790,40773.31064284888,40707.40384493228,40562.93649711351,41127.73753549648,-221544.0
13,2021-07-13,296,2,279,1,1123632,160426,984058,300000,46032020330,6563104130,40284076130,12311048330,40967.167480100245,40936.68882321977,40910.476668370466,41036.82776666667,139574.0
14,2021-07-12,304,3,292,2,982296,723539,1505334,200501,39241322950,28926825500,60145791130,8022357320,39948.5724771352,39955.11370234114,39979.635513773275,40011.55764809153,-523038.0
15,2021-07-11,347,1,274,0,778951,76666,855617,0,30571489350,2999613850,33571103200,0,39246.999297773546,39236.13392440777,39125.73826728928,,-76666.0
16,2021-07-10,374,1,282,1,1235554,61646,1124260,172940,49579519210,2446113280,45041611960,6984020530,40127.359233186085,40063.34118442353,39680.0,40384.066901815655,111294.0
17,2021-07-07,476,0,367,3,2094520,0,993784,1100736,81672544450,0,38759176350,42913368100,38993.442149036535,39001.61035999774,,38986.067594772954,1100736.0
18,2021-07-06,246,1,145,3,617598,11000,486630,141968,23077592110,412394360,18185599070,5304387400,37366.68854173751,37370.484906397054,37490.39636363636,37363.26073481348,130968.0
19,2021-07-05,226,1,173,2,610394,29199,503977,135616,22402854220,1058630790,18477425800,4984059210,36702.284458890485,36663.232250678106,36255.72074386109,36751.26246165644,106417.0
20,2021-07-04,220,2,126,0,373060,50736,423796,0,13484494170,1826554880,15311049050,0,36145.64458800193,36128.34724726048,36001.16051718701,,-50736.0
21,2021-07-03,179,0,164,1,449288,0,404518,44770,16698572520,0,15017197480,1681375040,37166.744983173376,37123.68171502875,,37555.84185838731,44770.0
22,2021-06-30,342,0,144,1,843145,0,755244,87901,31620461300,0,28318943220,3301518080,37502.9933166893,37496.4160191938,,37559.5053526126,87901.0
23,2021-06-29,211,1,257,2,795264,7600,757864,45000,29418483030,271320000,27995775260,1694027770,36992.097001750364,36940.36827187992,35700.0,37645.061555555556,37400.0
24,2021-06-28,312,3,208,0,942817,114817,1057634,0,34685240820,4189615290,38874856110,0,36788.942944389,36756.435695145956,36489.50320945505,,-114817.0
25,2021-06-27,390,1,332,1,906460,60000,946460,20000,34803260820,2306500000,36328860820,780900000,38394.70116717781,38383.93679606111,38441.666666666664,39045.0,-40000.0
26,2021-06-26,307,1,193,3,1270296,100000,670245,700051,48943565480,3857000000,25803361460,26997204020,38529.260487319494,38498.402017172826,38570.0,38564.62460592157,600051.0
27,2021-06-23,316,0,222,3,1416803,0,758756,658047,52047173140,0,27892193190,24154979950,36735.64577432431,36760.42520915815,,36707.07403878446,658047.0
28,2021-06-22,331,2,263,3,1159854,19616,632329,547141,40789124770,690946500,22280478510,19199592760,35167.46484471321,35235.57912099556,35223.618474714516,35090.75861615196,527525.0
