,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2021-08-23,14101,26,11329,28,136459565,9258320,137411522,8306363,1959790848710,132947390560,1973184399440,119553839830,14361.696438868174,14359.672105516742,14359.774836039367,14393.042999685904,-951957.0
1,2021-08-22,23065,33,16258,34,239521243,20333111,236579354,23275000,3479218263190,293782524600,3434646859090,338353928700,14525.718970112392,14517.94842203348,14448.478867793521,14537.225722878626,2941889.0
2,2021-08-15,11643,25,10734,30,132254938,29398602,124377503,37276037,1950820429840,434308343300,1832493811900,552634961240,14750.454382580407,14733.322085586491,14773.09510499853,14825.47517698837,7877435.0
3,2021-08-14,15800,43,15152,44,184354450,61846543,213421015,32779978,2641205950140,892196622690,3062070849830,471331723000,14326.781643404865,14347.560149266463,14425.974022347538,14378.646715382176,-29066565.0
4,2021-08-11,10890,59,23718,54,388632696,59688204,278050011,170270889,5572073148370,856139487440,3985743828590,2442468807220,14337.633466562474,14334.629278579672,14343.529040344387,14344.605948583496,110582685.0
5,2021-08-10,7087,19,11252,23,83909801,49933349,117507233,16335917,1149615732820,680942762150,1607998751070,222559743900,13700.613267096176,13684.253386087306,13637.033681638297,13623.951682663423,-33597432.0
6,2021-08-09,6281,20,9969,19,89227442,13873694,93930875,9170261,1216059535900,189488725560,1279843853360,125704408100,13628.761607891885,13625.379869611563,13658.130672335717,13707.833190353034,-4703433.0
7,2021-08-08,7020,17,8190,17,68270928,18347731,83328096,3290563,916767459170,247542284910,1119946271350,44363472730,13428.372603489439,13440.1999458862,13491.711041000111,13482.031108354406,-15057168.0
8,2021-08-07,10305,21,10590,11,112087656,11261520,121248224,2100952,1502224431030,149476542470,1623507090150,28193883350,13402.228975419024,13389.94532530225,13273.212006016949,13419.57519733911,-9160568.0
9,2021-08-04,10663,36,18825,32,207669789,47377995,215020668,40027116,2802619919940,641574674070,2902034641880,542159952130,13495.559144329847,13496.538118279866,13541.617243828068,13544.816771960288,-7350879.0
10,2021-08-03,6973,21,10538,33,99851016,13698684,98517933,15031767,1293249683850,177799286810,1275671476140,195377494520,12951.792937690288,12948.622015242647,12979.29690253458,12997.639899554059,1333083.0
11,2021-08-02,5127,19,6839,9,41594551,24055890,65325184,325257,523609930730,302484170530,822008589990,4085511270,12588.426083262684,12583.333710778374,12574.224879229161,12560.871157269483,-23730633.0
12,2021-08-01,7507,14,7582,12,63484750,6180505,61634347,8030908,800469566950,78151331390,777489650240,101131248100,12608.848061148543,12614.551594746352,12644.813229663272,12592.753907777302,1850403.0
13,2021-07-31,7699,20,8881,21,94849904,23164992,91560806,26454090,1203364636350,295567992690,1161844782360,337087846680,12687.04116295152,12689.324538711466,12759.25295765265,12742.371658975984,3289098.0
14,2021-07-28,8509,24,6916,9,76856897,14700328,64681997,26875228,948558929870,180533863720,798200351580,330892442010,12341.884292700497,12340.378909142215,12280.94119532571,12312.172458964813,12174900.0
15,2021-07-27,10770,26,7839,4,98254166,22301814,112437305,8118675,1226653968470,276818276050,1402538254390,100933990130,12484.498300764162,12473.958304052201,12412.365920099593,12432.323024385138,-14183139.0
16,2021-07-26,9088,18,10019,19,91459451,7650464,90053079,9056836,1185612223060,98867131950,1167788580900,116690774110,12963.255410968955,12967.780711862168,12923.024270161914,12884.275933670435,1406372.0
17,2021-07-19,12297,14,9283,22,131000546,4069080,115030125,20039501,1707004070700,53264856980,1499817634070,260451293610,13030.511114816269,13038.476956101716,13090.147399412152,12996.895162708892,15970421.0
18,2021-07-18,12426,29,16404,40,229831522,19341567,203243953,45929136,2965017437420,248102361990,2617114078160,596005721250,12900.830189080853,12876.713129861237,12827.41786071418,12976.63690538398,26587569.0
19,2021-07-17,12546,18,9119,18,115545603,4906288,103612667,16839224,1455012870230,61353320160,1304961420650,211404769740,12592.542099849528,12594.612786581394,12505.03846492501,12554.30593119968,11932936.0
20,2021-07-14,9975,23,10822,24,113801387,6897254,98073875,22624766,1439003394110,86694549580,1237947397310,287750546380,12644.866921613178,12622.601047526674,12569.42974406916,12718.387734043305,15727512.0
21,2021-07-13,11506,21,10526,19,112550555,11618710,105630279,18538986,1425518163350,147829210530,1340283012980,233064360900,12665.580932497402,12688.435793869294,12723.375532223457,12571.580824323402,6920276.0
22,2021-07-12,12761,18,11959,33,123729813,6618192,109687326,20660679,1606042087030,85443305030,1421904967460,269580424600,12980.235305374623,12963.256734510967,12910.369634184079,13047.99443425843,14042487.0
23,2021-07-11,17449,36,15693,29,165359455,49544537,201512751,13391241,2138283462680,642736388190,2607504155880,173515694990,12931.123065687414,12939.648448747543,12972.90129464728,12957.402154886167,-36153296.0
24,2021-07-10,8745,13,6468,6,60801587,9939596,69676612,1064571,800838086440,130686476080,917602906260,13921656260,13171.33525544325,13169.45356441843,13148.067193073039,13077.245444409062,-8875025.0
25,2021-07-07,11531,21,6496,12,81527096,4538887,73011939,13054044,1110032746800,61828461110,993836721230,178024486680,13615.507006406802,13611.975450069885,13621.94324511714,13637.497060680966,8515157.0
26,2021-07-06,20450,24,11746,36,267642640,14278055,154999163,126921532,3680232854200,196446007980,2130614040580,1746064821600,13750.547574183247,13745.971264244827,13758.597230505135,13757.041804380364,112643477.0
27,2021-07-05,11119,13,6788,4,95561791,6051054,96571845,5041000,1253867437410,79396902980,1266814222440,66450117950,13121.012323952782,13117.842187233764,13121.169135162238,13181.931749652847,-1010054.0
28,2021-07-04,8545,21,7266,9,79872765,7942516,85398169,2417112,1062326754700,104773306110,1134670459050,32429601760,13300.237630436357,13286.82420638316,13191.450430820661,13416.673186844466,-5525404.0
29,2021-07-03,12696,19,8242,16,100823892,37975717,128222946,10576663,1366339206460,508325054260,1732339573580,142324687140,13551.740359913898,13510.371018772255,13385.528817270257,13456.483121377698,-27399054.0
30,2021-06-30,14681,16,11656,35,171539377,4493566,141481697,34551246,2374194873260,62841115930,1955189408930,481846580260,13840.524052153925,13819.380530401751,13984.687424197175,13945.852495739227,30057680.0
31,2021-06-29,14412,17,13344,18,127611972,14563000,135335894,6839078,1724635685120,196191091790,1828465883330,92360893580,13514.685637175171,13510.576014150392,13471.887096752043,13504.875010929836,-7723922.0
32,2021-06-28,37009,42,23016,70,444987528,32118151,369184792,107920887,6109250153360,441934808950,5066267449910,1484917512400,13729.03681327446,13722.849802301716,13759.6591083341,13759.315306591207,75802736.0
33,2021-06-27,542,9,1914,6,41400547,1500000,5598547,37302000,543589182110,19695000000,73508922110,489775260000,13130.0,13130.0,13130.0,13130.0,35802000.0
34,2021-06-26,7983,19,8421,38,187249871,37559380,142562559,82246692,2342755783590,470187641790,1783409589990,1029533835390,12511.387970942847,12509.663143672948,12518.514464030024,12517.632142457474,44687312.0
35,2021-06-23,5058,20,9138,23,128814485,19851216,99699301,48966400,1538143947620,235708169590,1180623112380,593229004830,11940.768521645683,11841.839416507042,11873.739603155796,12115.021827824794,29115184.0
36,2021-06-22,7930,9,5272,17,73329688,16208509,80681378,8856819,849078879450,188655606910,934342593970,103391892390,11578.923933918824,11580.647444692875,11639.294330527257,11673.705016439875,-7351690.0
37,2021-06-21,8724,16,10130,38,152715905,39436713,156215022,35937596,1745696451700,454801045880,1785562924460,414934573120,11431.006165991683,11430.161463345055,11532.42781364664,11545.974670092011,-3499117.0
38,2021-06-20,2846,14,7364,23,166960555,38735080,153142981,52552654,1854636033220,430290537700,1701066584980,583859985940,11108.228726359948,11107.701925823163,11108.549090385253,11110.0,13817574.0
39,2021-06-19,1778,4,4811,5,58419130,1903000,37812130,22510000,618489905930,20035460870,398431969870,240093396930,10587.112576479656,10537.146938561778,10528.355685759327,10666.077162594402,20607000.0
40,2021-06-16,2081,9,3699,5,21559041,6931756,26832351,1658446,219451077540,70471612990,273058246030,16864444500,10179.074177742878,10176.456249771032,10166.487826461289,10168.823404560655,-5273310.0
41,2021-06-15,2994,7,3849,6,29203852,4885398,33022239,1067011,301877485840,50254131800,341256157880,10875459760,10336.90644097224,10334.131428217208,10286.599331313437,10192.453273677591,-3818387.0
42,2021-06-14,2484,10,5955,10,41221206,12471601,43234327,10458480,425136020190,127780363880,444155346030,108761038040,10313.52697905054,10273.210590973233,10245.706535993253,10399.31596560877,-2013121.0
43,2021-06-13,2611,7,3328,9,21407318,5393608,24373699,2427227,212656105020,53814995710,242211538660,24259562070,9933.80417948666,9937.414040437605,9977.550409670113,9994.764424588224,-2966381.0
44,2021-06-12,3439,8,3070,5,24017055,1392012,23549141,1859926,239217039880,13785898260,234353711000,18649227140,9960.298624456662,9951.688301496857,9903.577167438212,10026.865122590898,467914.0
45,2021-06-09,3008,9,3137,6,23333161,894240,24203731,23670,235337079930,9016638300,244115137740,238580490,10085.949346083027,10085.847415012173,10083.018317230273,10079.446134347276,-870570.0
46,2021-06-08,4183,5,4130,7,42521494,6210932,41753548,6978878,441688951380,63962455550,433591322260,72060084670,10387.427858955285,10384.538393240258,10298.366742704638,10325.45413030576,767946.0
47,2021-06-07,3701,6,4513,11,34180408,4302959,33287597,5195770,352300816820,44108738570,342776418600,53633136790,10307.098055119763,10297.421547130602,10250.79220369053,10322.46169287709,892811.0
48,2021-06-02,3601,6,3494,7,42278026,9186526,47171535,4293017,432070067640,94279706470,482421831910,43927942200,10219.731347911087,10226.969122586323,10262.82475769404,10232.41748169178,-4893509.0
49,2021-06-01,2557,9,2793,5,18991024,9482515,27252861,1220678,192157763880,96579071250,276363921570,12372913560,10118.346639970547,10140.730603293357,10184.963720067935,10136.09941360457,-8261837.0
50,2021-05-31,2880,14,3569,13,24311736,17938694,41240363,1010067,250596002650,185984406390,426059143090,10521265950,10307.614505603384,10331.120099258098,10367.778523341778,10416.404010823044,-16928627.0
51,2021-05-30,6100,7,5343,14,54718713,24707508,58878823,20547398,575100214700,263034886390,620696194690,217438906400,10510.119539909501,10541.925994172812,10645.94965991714,10582.308592066012,-4160110.0
52,2021-05-29,2574,5,4339,8,51150723,7721955,31186617,27686061,519980672970,78584942450,316348939240,282216676180,10165.656367555157,10143.740157516924,10176.819529510338,10193.457140038809,19964106.0
53,2021-05-26,2256,8,7775,7,16974537,4801375,21664609,111303,164751052620,46939923620,210605348140,1085628100,9705.775928969373,9721.170049272525,9776.350237171644,9753.80807345714,-4690072.0
54,2021-05-25,2685,8,5410,9,25319767,1046475,23761606,2604636,246304034930,10169666420,231220392260,25253309090,9727.737025779108,9730.840258019596,9718.021376525956,9695.523324564354,1558161.0
55,2021-05-24,2497,4,5565,5,25787211,7612201,31390739,2008673,245923407420,71866527890,298904633680,18885301630,9536.642307692755,9522.064252135,9440.965614281598,9401.879564269546,-5603528.0
56,2021-05-23,2672,10,4658,5,20398402,17270408,37194820,473990,193989431020,163771518550,353260904780,4500044790,9510.030786725352,9497.583394139292,9482.782256794397,9493.965674381316,-16796418.0
57,2021-05-22,5231,16,4779,3,30622500,21845749,51733353,734896,301981055850,214171760820,508844019930,7308796740,9861.410918442321,9835.898707937991,9803.81862027253,9945.348375824606,-21110853.0
58,2021-05-19,2906,8,4006,13,26289074,6888533,28817893,4359714,270802419690,70833165850,296993231530,44642354010,10300.94934838709,10305.862109002903,10282.76497332596,10239.743710252553,-2528819.0
