,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2021-08-23,1146,2,6867,10,8813667,401000,7627933,1586734,219680070970,10052785390,190043842450,39689013910,24924.93430600453,24914.199226710563,25069.290249376558,25013.022920035746,1185734.0
1,2021-08-22,1059,2,6547,0,3816934,72126,3889060,0,91895828420,1736358980,93632187400,0,24075.82327071938,24075.788853861857,24073.96750131714,,-72126.0
2,2021-08-15,806,3,4797,4,2678630,760301,3370737,68194,64762322290,18473881210,81563337370,1672866130,24177.404975677866,24197.478880731425,24298.115101782056,24530.987036982726,-692107.0
3,2021-08-14,1187,2,5390,2,3542431,445000,3987333,98,84325843800,10595704300,94919214640,2333460,23804.512720219533,23805.18874144698,23810.571460674157,23810.816326530614,-444902.0
4,2021-08-11,1076,3,7710,9,3674857,649000,4096243,227614,90746231810,16135007460,101210986580,5670252690,24693.81306810034,24708.24767475953,24861.336610169492,24911.704420641963,-421386.0
5,2021-08-10,1627,4,7766,8,10044563,887000,8906148,2025415,245044446170,21795460120,216860734880,49979171410,24395.72992573196,24349.554361773462,24572.108365276214,24676.015241320914,1138415.0
6,2021-08-09,151,0,4730,1,2891173,0,2891109,64,68026892910,0,68025381230,1511680,23529.167196151873,23529.165185401172,,23620.0,64.0
7,2021-08-08,564,0,4296,4,2080525,0,2079733,792,46814249500,0,46796388060,17861440,22501.171338964923,22501.151859397338,,22552.323232323233,792.0
8,2021-08-07,687,0,4297,0,2029062,0,2029062,0,45494157870,0,45494157870,0,22421.275382418084,22421.275382418084,,,0.0
9,2021-08-04,616,1,4341,4,1949270,221050,1824423,345897,44697996150,5117489050,41864406170,7951079030,22930.633596166772,22946.65555630465,23150.821307396516,22986.840099798494,124847.0
10,2021-08-03,646,3,4639,2,3636888,254766,3891557,97,82686161930,5819301930,88503278010,2185850,22735.416083750722,22742.382550223472,22841.752549398272,22534.536082474227,-254669.0
11,2021-08-02,719,0,3812,2,2098270,0,1735841,362429,47042882680,0,38926075140,8116807540,22419.842384440515,22424.90823756323,,22395.57965836067,362429.0
12,2021-08-01,640,0,4453,3,2119240,0,2119048,192,47944233660,0,47939888060,4345600,22623.314801532626,22623.313893786268,,22633.333333333332,192.0
13,2021-07-31,669,4,5115,4,2041187,173374,2176752,37809,46938321070,4009939410,50083128300,865132180,22995.600633356964,23008.192159694812,23128.839445360896,22881.646697876167,-135565.0
14,2021-07-28,589,4,6049,5,1580949,1651726,2831704,400971,36319138180,38503599380,65436976010,9385761550,22972.99797779688,23108.692154971,23311.12992106439,23407.581969768387,-1250755.0
15,2021-07-27,687,2,4259,5,2713420,200000,2909052,4368,62292811280,4676604200,66866579800,102835680,22957.30527526148,22985.69423991046,23383.021,23542.967032967033,-195632.0
16,2021-07-26,644,4,5864,7,2186725,1128645,2787525,527845,51886522240,26781230670,66141993460,12525759450,23727.959501080382,23727.856596801823,23728.657522958947,23729.995453210697,-600800.0
17,2021-07-19,693,1,6466,9,3402958,155051,3493201,64808,80772788810,3687229560,82907908820,1552109550,23736.052225740077,23734.079092499975,23780.753171537108,23949.351160350576,-90243.0
18,2021-07-18,693,2,4536,3,2410116,404986,2814462,640,55132527530,9303156120,64420971490,14712160,22875.46638004146,22889.26675506722,22971.54993012104,22987.75,-404346.0
19,2021-07-17,848,2,5637,3,2621221,45836,2660929,6128,60862580580,1049444400,61764498260,147526720,23219.171744770854,23211.629569973495,22895.63661750589,24074.20365535248,-39708.0
20,2021-07-14,651,0,9126,2,2373684,0,2373620,64,55835755020,0,55834250700,1504320,23522.825708898068,23522.826189533287,,23505.0,64.0
21,2021-07-13,456,4,6890,6,2037776,806826,2825087,19515,49158080310,19800327260,68479269520,479138050,24123.397424447045,24239.702890565848,24541.01288257939,24552.29566999744,-787311.0
22,2021-07-12,561,3,7911,6,3361256,1104045,4343558,121743,81643514480,26958045680,105636010120,2965550040,24289.585345478,24320.156452383046,24417.52435815569,24359.10105714497,-982302.0
23,2021-07-11,607,3,6423,3,2438110,666800,3068946,35964,57684525810,15903784220,72728803710,859506320,23659.52553822428,23698.300234021714,23850.906148770246,23899.07463018574,-630836.0
24,2021-07-10,477,1,2670,5,1999078,126806,2059335,66549,47853357670,3057788900,49311724670,1599421900,23937.71412120988,23945.460388911953,24113.913379493082,24033.748065335316,-60257.0
25,2021-07-05,706,3,4894,8,3136984,590462,3525987,201459,74837895830,14182603270,84204516180,4815982920,23856.63931661749,23881.11929510801,24019.50213561584,23905.52380385091,-389003.0
26,2021-07-04,523,4,5484,6,3849985,1468194,3957294,1360885,90547260820,34835900510,93072021580,32311139750,23518.860676080556,23519.107142405897,23727.041869126286,23742.740753259826,-107309.0
27,2021-07-03,561,1,4939,3,2454891,8000,2361837,101054,56839998300,183174410,54622209810,2400962900,23153.776807198363,23127.002333353234,22896.80125,23759.20695865577,93054.0
28,2021-06-30,688,1,5593,9,2319079,345703,2490153,174629,53621751260,7974527140,57537636630,4058641770,23122.00285544391,23106.064820113465,23067.56707347058,23241.510688373637,-171074.0
29,2021-06-29,563,1,5717,9,2014591,431000,1812767,632824,47289813840,10268640540,42650184720,14908269660,23473.654870889426,23527.67052798291,23825.152064965197,23558.318995486898,201824.0
30,2021-06-28,768,2,5421,5,3043321,182000,2820420,404901,70605970250,4246266330,65520998140,9331238440,23200.30330352927,23230.936576821892,23331.133681318683,23045.72831383474,222901.0
31,2021-06-27,502,2,5183,8,2591258,61318,2533156,119420,62150948950,1464183470,60760431160,2854701260,23984.85559909511,23986.059745234797,23878.526207638864,23904.71663038017,58102.0
32,2021-06-26,1023,2,6056,11,4657623,80395,4668629,69389,112977272010,1921009820,113197067460,1701214370,24256.422645199065,24246.318878625825,23894.64295043224,24517.061349781667,-11006.0
33,2021-06-23,912,1,6773,10,4341631,132600,3891446,582785,106879967490,3297438690,95766649360,14410756820,24617.46921606189,24609.528016063952,24867.561764705883,24727.398302976228,450185.0
34,2021-06-22,863,4,6382,8,6519022,424006,5185342,1757686,156078722630,10082871530,123854425190,42307168970,23942.045697958987,23885.488206949514,23780.020872346147,24069.810517919585,1333680.0
35,2021-06-21,487,4,5022,2,2444795,257473,2702204,64,56059459170,5913692780,61971693070,1458880,22930.126726371742,22933.758172958074,22968.205520578857,22795.0,-257409.0
36,2021-06-20,629,2,4305,3,3396342,316475,3545041,167776,79415229180,7286999000,82875640620,3826587560,23382.577249287617,23377.90751080171,23025.51228375069,22807.717194354376,-148699.0
37,2021-06-19,621,2,4551,2,3830163,29222,3859331,54,90029248690,688210530,90716202940,1256280,23505.330893228303,23505.680891325464,23551.10978030251,23264.444444444445,-29168.0
38,2021-06-16,407,1,11006,7,5976216,2222,5578180,400258,137688319480,49732850,128452392110,9285660220,23039.38135435533,23027.652766673,22382.020702070207,23199.187074337053,398036.0
39,2021-06-15,446,3,8259,6,3437768,130150,3492158,75760,76063491090,2873576670,77245671500,1691396260,22125.83603372886,22119.752743146215,22078.960199769495,22325.71620908131,-54390.0
40,2021-06-14,573,4,7632,2,2129755,155723,2285356,122,47677978290,3495758020,51170998670,2737640,22386.60235097464,22390.82167942325,22448.565850901923,22439.67213114754,-155601.0
41,2021-06-13,613,3,5666,3,1861689,591446,2452941,194,41682936060,13248312270,54926896690,4351640,22389.849249794137,22392.261652440888,22399.867900028068,22431.134020618556,-591252.0
42,2021-06-12,922,1,7491,6,3088192,2222,3012039,78375,69949711700,49372840,68212363270,1786721270,22650.70037743767,22646.573722983,22220.0,22797.08159489633,76153.0
43,2021-06-09,829,6,6501,11,3043668,810715,3707467,146916,67059344420,18110542160,81912489750,3257396830,22032.411031689397,22093.922818463387,22338.975052885417,22171.831726973236,-663799.0
44,2021-06-08,1020,3,10078,15,3709229,1979000,5649977,38252,85718847870,45225664560,130069561360,874951070,23109.613310475033,23021.2550174983,22852.786538655888,22873.3417860504,-1940748.0
45,2021-06-07,934,4,12710,11,3377356,1052255,4428999,612,80074780520,24931414580,104991632680,14562420,23709.310040161596,23705.4992967937,23693.320136278755,23794.803921568626,-1051643.0
46,2021-06-02,1129,2,13241,9,7218418,3131640,9497233,852825,172162658350,75003297960,226646400460,20519555850,23850.46950038083,23864.466677820794,23950.166034410086,24060.687538475067,-2278815.0
47,2021-06-01,1194,3,9845,6,4144266,2465200,6607073,2393,95141962780,56547056840,151634406570,54613050,22957.494229376203,22950.314998789934,22938.121385688788,22822.001671542,-2462807.0
48,2021-05-31,1897,5,18786,15,11076565,2496458,11280391,2292632,264768591410,59461504470,268677571500,55552524380,23903.492771450354,23818.108033666562,23818.34762291214,24230.894613701632,-203826.0
49,2021-05-30,2485,8,23178,45,8362616,7693144,15841383,214377,193334983880,177423080590,365820738530,4937325940,23118.95989006311,23092.727354044782,23062.493122447726,23031.043162279537,-7478767.0
50,2021-05-29,134,0,4,0,62571,0,62571,0,1444764390,0,1444764390,0,23090.0,23090.0,,,0.0
51,2021-05-26,19,0,2,0,11270,0,11270,0,260337000,0,260337000,0,23100.0,23100.0,,,0.0
52,2021-05-25,17,0,3,0,11587,0,11587,0,267775570,0,267775570,0,23110.0,23110.0,,,0.0
53,2021-05-24,12,0,1,0,7330,0,7330,0,169469600,0,169469600,0,23120.0,23120.0,,,0.0
54,2021-05-23,6,0,1,0,2117,0,2117,0,48945040,0,48945040,0,23120.0,23120.0,,,0.0
55,2021-05-22,9,0,3,0,4631,0,4631,0,107068720,0,107068720,0,23120.0,23120.0,,,0.0
56,2021-05-19,14,0,3,0,11936,0,11936,0,276079680,0,276079680,0,23130.0,23130.0,,,0.0
