,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,20210602,721,1,1002,2,41856613,110000,41122704,843909,119597822628,305230000,117454634801,2448417827,2857.3220348239834,2856.1992129943596,2774.818181818182,2901.2818052657335,733909.0
1,20210601,1250,2,1446,3,80041678,3210000,81741178,1510500,221248718855,8922010000,226005689207,4165039648,2764.1689227829534,2764.8939584281497,2779.442367601246,2757.3913591525984,-1699500.0
2,20210531,2052,3,1617,6,97601325,12605000,106462624,3743701,259456022704,32364171542,282217834517,9602359729,2658.324799422549,2650.8630344955614,2567.5661675525585,2564.9376723728737,-8861299.0
3,20210530,44,0,334,2,9347245,0,9146838,200407,25125394560,0,24586700544,538694016,2688.0,2688.0,,2688.0,200407.0
4,20210529,21,0,352,1,5919913,0,4919913,1000000,15178656932,0,12614656932,2564000000,2564.0,2564.0,,2564.0,1000000.0
5,20210526,286,2,965,3,21663565,1340317,22760110,243772,52924534830,3251950409,55572418223,604067016,2443.0205660979623,2441.658595806435,2426.2546912409525,2478.0,-1096545.0
6,20210525,211,1,773,1,16159943,3500000,15849943,3810000,38111496566,8288000000,37381331566,9018165000,2358.393007079295,2358.452113424004,2368.0,2366.972440944882,310000.0
7,20210524,567,2,1304,3,42454662,38714,38607054,3886322,95767807705,83936010,86920937535,8930806180,2255.766580004806,2251.4263205630764,2168.1048199617708,2298.009835520577,3847608.0
8,20210523,615,2,1042,1,20576959,15345745,35911704,11000,44871525130,33862888467,78710620597,23793000,2180.6684423096726,2191.7818379489872,2206.6630500506817,2163.0,-15334745.0
9,20210522,471,1,232,0,12030937,100000,12130937,0,27385928764,226300000,27612228764,0,2276.292259198099,2276.182685970589,2263.0,,-100000.0
10,20210519,575,1,686,0,14568949,20960000,35528949,0,34729592144,49911401380,84640993524,0,2383.8090272675126,2382.3106482547514,2381.2691498091604,,-20960000.0
11,20210518,611,2,431,1,16104104,28996,15983100,150000,40314501973,73156578,40011696105,375962446,2503.368208066714,2503.3751966139234,2522.9886191198784,2506.4163066666665,121004.0
12,20210517,716,1,634,0,17347377,48000,17395377,0,45369693823,126480000,45496173823,0,2615.363338388276,2615.4175228855343,2635.0,,-48000.0
13,20210516,685,2,838,2,18929601,3573168,22496527,6242,50956970643,9672737323,60612994164,16713802,2691.9199534633613,2694.326736033522,2707.048009777318,2677.6356936879206,-3566926.0
14,20210515,783,2,980,3,30017352,840000,30676688,180664,81396007189,2228759909,83118125676,506641422,2711.631831781831,2709.488249709356,2653.285605952381,2804.32970597352,-659336.0
15,20210512,842,3,695,1,21851192,459861,22301053,10000,60408366194,1257788853,61638755047,27400000,2764.534135895195,2763.939220582992,2735.15008448205,2740.0,-449861.0
16,20210511,1063,0,1077,1,30030574,0,29458674,571900,84457247516,0,82834931016,1622316500,2812.3753983523593,2811.9029056093973,,2836.7135862913096,571900.0
17,20210510,988,1,1838,3,37351127,10619192,47349212,621107,102012816048,29708584564,129990039615,1731360997,2731.18441775532,2745.347475159671,2797.631360653428,2787.5406282653394,-9998085.0
18,20210509,392,3,850,1,27233232,12801848,40026756,8324,73669506044,34628998840,108275988464,22516420,2705.132686564709,2705.090276713906,2705.0,2705.0,-12793524.0
19,20210508,197,0,71,1,2458131,0,2453606,4525,6676283796,0,6663993896,12289900,2716.0,2716.0,,2716.0,4525.0
20,20210505,786,2,607,0,20682263,1003600,21685863,0,57880652834,2809892898,60690545732,0,2798.5647815231823,2798.622574162716,2799.813569151056,,-1003600.0
21,20210503,540,3,722,7,13798451,18001734,31583769,216416,39789727675,51908237656,91074254419,623710912,2883.6372774741167,2883.5777775287047,2883.513202450386,2882.0,-17785318.0
22,20210502,185,2,45,0,1553664,210000,1763664,0,4505625600,609000000,5114625600,0,2900.0,2900.0,2900.0,,-210000.0
23,20210501,629,3,392,3,15098369,395695,15067709,426355,44961353250,1184934300,44856409800,1289877750,2977.89471498544,2976.989388366871,2994.5647531558398,3025.360908163385,30660.0
24,20210428,1018,3,1213,1,24063434,4225981,28166247,123168,73262342240,12801443000,85683862760,379922480,3044.5505924050576,3042.075955664239,3029.2239837330076,3084.587555209145,-4102813.0
25,20210427,1315,6,1853,3,39531432,26859147,65665594,724985,117365794080,81578312160,196725506990,2218599250,2968.923414664058,2995.8688409945703,3037.263698657295,3060.200211038849,-26134162.0
26,20210426,443,2,229,1,8197781,103378,8290959,10200,24266174340,306066440,24542048780,30192000,2960.090583049242,2960.0977136661754,2960.6535239606105,2960.0,-93178.0
27,20210425,249,3,304,1,3070885,10301644,13286930,85599,9335490400,31316997760,40392267200,260220960,3040.0,3040.0,3040.0,3040.0,-10216045.0
28,20210424,453,2,571,0,12782366,191607,12973973,0,39829421890,595897770,40425319660,0,3115.966315625761,3115.8782016888736,3110.0,,-191607.0
29,20210421,759,6,1014,1,14812206,15126562,29936655,2113,47456647840,48432810780,95882697020,6761600,3203.8879178428924,3202.852724193802,3201.8386451594224,3200.0,-15124449.0
30,20210420,1044,4,1823,2,23470245,23006132,46435186,41191,77142869060,75960321700,152964743370,138447390,3286.836974219911,3294.1559310217904,3301.7424093715535,3361.10776625962,-22964941.0
31,20210419,134,0,20,0,1461649,0,1461649,0,4779592230,0,4779592230,0,3270.0,3270.0,,,0.0
32,20210418,70,1,10,0,1318019,120000,1438019,0,4323102320,393600000,4716702320,0,3280.0,3280.0,3280.0,,-120000.0
33,20210417,190,1,59,0,2014385,150000,2164385,0,6627326650,493500000,7120826650,0,3290.0,3290.0,3290.0,,-150000.0
34,20210414,767,5,1352,1,15903131,16130690,32028670,5151,53279111920,53949718030,107211625610,17204340,3350.227821175591,3347.3642711358293,3344.5387661656137,3340.0,-16125539.0
35,20210413,1888,3,3263,1,53963896,25888486,78846053,1006329,182745405020,88708942920,267921053280,3533294660,3386.4383146094565,3398.027460930733,3426.579017405653,3511.0730784862603,-24882157.0
36,20210412,148,1,70,0,2909381,190000,3099381,0,9600957300,627000000,10227957300,0,3300.0,3300.0,3300.0,,-190000.0
37,20210411,100,1,2,0,591636,100000,691636,0,1952398800,330000000,2282398800,0,3300.0,3300.0,3300.0,,-100000.0
