,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2021-08-23,368,5,335,5,2061794,679595,2542454,198935,38252534640,12707083460,47223193150,3736424950,18553.03422165357,18573.86334226696,18698.02376415365,18782.139643602182,-480660.0
1,2021-08-22,633,5,590,3,4458480,1495088,5895434,58134,82950103780,28036600990,109910014290,1076690480,18605.01870144085,18643.24395625496,18752.475432884217,18520.83943991468,-1436954.0
2,2021-08-15,436,5,518,0,2394403,881434,3275837,0,45538557160,16895687700,62434244860,0,19018.752131533412,19059.020598399737,19168.409319359136,,-881434.0
3,2021-08-14,819,12,750,2,6109624,2142045,7912534,339135,116028826260,40862694030,150446586090,6444934200,18991.156617821325,19013.704849799065,19076.487202649805,19004.037330266707,-1802910.0
4,2021-08-11,826,8,747,2,4989040,1020116,5957666,51490,99247062050,20384265470,118581459620,1049867900,19893.017905248304,19904.012682147673,19982.301493163523,20389.74363954166,-968626.0
5,2021-08-10,881,8,804,6,11728494,2291704,7979097,6041101,233084869770,46001612570,157843852330,121242630010,19873.384406386704,19782.169878370947,20073.10393052506,20069.624727346887,3749397.0
6,2021-08-09,664,7,711,8,10751822,2150007,6150026,6751803,205756703580,41061057870,117029899770,129787861680,19136.91498798994,19029.171546591835,19098.10427128842,19222.696764108787,4601796.0
7,2021-08-08,351,3,329,6,1365547,7417720,2136649,6646618,24835935180,136076755930,38936044510,121976646600,18187.535969102493,18222.948415954143,18344.822388820285,18351.686015353975,-771102.0
8,2021-08-07,222,3,334,2,887614,2700000,3292437,295177,15737211780,47955398750,58435262360,5257348170,17729.792206972852,17748.331208767246,17761.258796296297,17810.83272070656,-2404823.0
9,2021-08-04,420,7,505,0,2504419,3087692,5592111,0,44486059860,55239133960,99725193820,0,17763.026019208446,17833.19283540688,17890.104958655204,,-3087692.0
10,2021-08-03,288,4,510,3,1203380,5993368,5366748,1830000,21662772470,108142918950,96836330190,32969361230,18001.605868470473,18043.763223091526,18043.76419902799,18016.04438797814,-4163368.0
11,2021-08-02,240,5,237,2,1934865,2589872,2885697,1639040,34918792380,46359589610,51991928840,29286453150,18047.146638137543,18017.112967854908,17900.340097889006,17868.052732087075,-950832.0
12,2021-07-28,505,7,615,6,4306782,3413921,5911601,1809102,76498177200,60620587170,104655946330,32462818040,17762.258967368212,17703.486133451835,17756.880481417116,17944.161268961063,-1604819.0
13,2021-07-27,30,1,54,0,63977,861058,925035,0,1074279640,14538092100,15612371740,0,16791.653875611548,16877.60110698514,16883.98702526427,,-861058.0
14,2021-07-17,631,5,699,10,6237768,3298085,7207337,2328516,113563729980,59906011930,130944173650,42525568260,18205.82778647747,18168.176907781613,18163.877501641105,18262.948702091806,-969569.0
15,2021-07-14,416,4,552,2,3374081,950397,4276478,48000,59656336430,16766175850,75579595700,842916580,17680.765941896476,17673.327373600427,17641.233979063487,17560.762083333335,-902397.0
16,2021-07-13,883,8,870,5,9509758,3031058,11605837,934979,171578243390,54721673580,209103486680,17196430290,18042.335398019593,18017.09662818804,18053.654393944293,18392.317142951873,-2096079.0
17,2021-07-12,918,10,983,14,12450577,3705844,11347985,4808436,229517680770,68431140320,209057042100,88891778990,18434.300737226877,18422.39323545105,18465.736906356553,18486.63037004132,1102592.0
18,2021-07-11,901,7,596,14,16280646,3598452,7051480,12827618,287124093280,63363979990,123924915910,226563157360,17635.91526282188,17574.312897434298,17608.677284009904,17662.137846636844,9229166.0
19,2021-07-10,463,7,501,4,3584279,2105223,5483989,205513,60219815220,35524416920,92279151930,3465080210,16801.095902411616,16827.012587005553,16874.41991655991,16860.63757523855,-1899710.0
20,2021-07-07,1158,5,758,10,20768423,2788473,15636079,7920817,349680541040,47127007340,262784449720,134023098660,16837.125333974564,16806.288182606393,16900.650406154193,16920.362970133006,5132344.0
21,2021-07-06,171,2,230,8,14608253,2075000,1203395,15479858,235668055620,33490500000,19328647500,249829908120,16132.528346818746,16061.764840305968,16140.0,16139.030998863167,13404858.0
22,2021-07-05,169,6,210,2,1740501,721286,2403279,58508,26850419250,11107997030,37053659260,904757020,15426.833566886775,15417.959903947898,15400.26706465951,15463.817255759895,-662778.0
23,2021-07-04,154,6,245,1,1404689,191509,1546198,50000,21605907460,2934226710,23771134170,769000000,15381.27475903919,15373.926347078446,15321.612613506415,15380.0,-141509.0
24,2021-07-03,170,5,285,0,1746581,908592,2655173,0,26468464990,13806650110,40275115100,0,15154.44459203438,15168.546493957268,15195.654496187508,,-908592.0
25,2021-06-30,263,3,344,1,3022516,532408,3504924,50000,47043482300,8249428960,54503911260,789000000,15564.345168065282,15550.668505222939,15494.562365704498,15780.0,-482408.0
26,2021-06-29,432,4,513,0,5186603,535000,5721603,0,80235457670,8290904680,88526362350,0,15469.751139618746,15472.300743340633,15497.018093457944,,-535000.0
27,2021-06-28,439,4,353,5,10749693,2574190,4490343,8833540,164861627320,39527221500,68712674420,135676174400,15336.40331123875,15302.321987429468,15355.207463318558,15359.207565709783,6259350.0
28,2021-06-27,464,5,301,7,8896788,592374,3468941,6020221,130185301980,8637120870,50695899980,88126522870,14632.842996820875,14614.229524226557,14580.519857387393,14638.41989687754,5427847.0
29,2021-06-26,212,1,227,2,921054,597236,1370509,147781,13098701990,8518166020,19524185220,2092682790,14221.426745880262,14245.937253969145,14262.646625454594,14160.702593702845,-449455.0
30,2021-06-23,186,2,191,3,1603286,92038,1404075,291249,22427725270,1285867110,19605435300,4108157080,13988.59920812631,13963.239356871962,13971.045763706295,14105.308790759796,199211.0
31,2021-06-22,103,2,145,1,722365,332532,1024971,29926,10019566930,4593679320,14194282250,418964000,13870.50442643262,13848.472054331292,13814.247410775504,14000.0,-302606.0
32,2021-06-21,149,5,169,1,585959,1039034,1614993,10000,7971912020,14248761170,22080673190,140000000,13604.897305101551,13672.302722055141,13713.4695977225,14000.0,-1029034.0
33,2021-06-20,154,3,129,2,765908,1005766,805359,966315,10445201930,13667183000,11116288880,12996096050,13637.671796090392,13802.898930787387,13588.82980733093,13449.129993842587,-39451.0
34,2021-06-19,80,3,110,2,472504,97072,547572,22004,6496859620,1342253510,7530470410,308642720,13749.85104888001,13752.475309183084,13827.40141338388,14026.664242864934,-75068.0
35,2021-06-16,86,3,139,0,421631,550000,971631,0,5759653630,7499602840,13259256470,0,13660.413086324297,13646.39093441852,13635.641527272728,,-550000.0
36,2021-06-15,109,2,214,1,1094272,386822,1438344,42750,15240198760,5410527060,20051952920,598772900,13927.249130015207,13940.999454928724,13987.12343144909,14006.383625730994,-344072.0
37,2021-06-14,159,3,259,2,1331813,2191140,1990953,1532000,18268436440,30222828160,27552070200,20939194400,13716.968102879307,13838.634161630134,13793.198134304517,13667.881462140993,-659140.0
38,2021-06-13,115,4,161,2,642173,803839,1362396,83616,8566903930,10771229150,18218878680,1119254400,13340.49225053062,13372.674817013556,13399.734461751668,13385.64867967853,-720223.0
39,2021-06-12,122,3,148,1,632749,662143,1085359,209533,8585843490,8960447150,14700799760,2845490880,13569.114277541332,13544.642611338737,13532.49547303226,13580.156252237119,-452610.0
40,2021-06-09,135,1,196,2,633041,349925,566169,416797,8602009470,4761169200,7694488000,5668690670,13588.392331618332,13590.443842739536,13606.256197756662,13600.603339275474,66872.0
41,2021-06-08,172,1,133,1,1167339,300000,917339,550000,16183589210,4154784830,12716414910,7621959130,13863.658465964043,13862.285272947078,13849.282766666667,13858.107509090909,250000.0
42,2021-06-07,141,1,165,0,747911,170000,917911,0,10504609050,2393103530,12897712580,0,14045.2661479775,14051.158097026835,14077.079588235294,,-170000.0
43,2021-06-02,160,2,143,1,628595,147758,700872,75481,8757328200,2063519340,9768491990,1052355550,13931.590610806641,13937.626257005559,13965.533778204903,13941.99268690134,-72277.0
44,2021-06-01,88,1,92,1,322514,20200,204744,137970,4458897680,284343440,2835319310,1907921810,13825.439143727093,13848.119163443129,14076.407920792079,13828.526563745741,117770.0
45,2021-05-31,134,1,166,1,900620,50000,838768,111852,12704840880,717026570,11838819160,1583048290,14106.771868268526,14114.533649352383,14340.5314,14153.061992633122,61852.0
46,2021-05-30,241,1,290,1,1520320,317715,1828346,9689,21923420560,4654449860,26439899060,137971360,14420.267154283309,14461.102581240093,14649.764285601876,14240.0,-308026.0
47,2021-05-29,506,3,276,1,3631708,2759257,5991311,399654,50721832250,38593588940,83763193040,5552228150,13966.385031505837,13980.778670978689,13986.949725958835,13892.587463155629,-2359603.0
48,2021-05-26,133,3,194,1,880535,889685,1644457,125763,11991062490,12062663510,22321626300,1732099700,13617.928293594236,13573.858300946757,13558.353248621703,13772.728863020126,-763922.0
49,2021-05-25,112,3,157,1,400141,385619,700760,85000,5515777820,5370143160,9700313950,1185607030,13784.585483617026,13842.562289514242,13926.033623861895,13948.318,-300619.0
50,2021-05-24,72,2,186,2,256655,918061,1023191,151525,3511293650,12798242060,14202265220,2107270490,13680.986733163196,13880.365659979418,13940.51382206629,13907.08127371721,-766536.0
51,2021-05-23,46,3,119,2,265402,1250789,1357823,158368,3662658650,17260888200,18737957400,2185589450,13800.418421865697,13800.0,13800.0,13800.701214891897,-1092421.0
52,2021-05-22,36,2,94,1,133748,2110000,2243346,402,1889863260,29814300000,31698478980,5684280,14130.03005652421,14130.0,14130.0,14140.0,-2109598.0
53,2021-05-19,104,3,118,1,342159,515105,806264,51000,4899390700,7341857250,11506221800,735026150,14319.046700510582,14271.035045593007,14253.127517690567,14412.277450980393,-464105.0
54,2021-05-18,135,1,209,2,650491,682183,1050536,282138,9496204510,10279497120,15627935640,4147765990,14598.517904167775,14876.15430599237,15068.533106219298,14701.195833244725,-400045.0
55,2021-05-17,120,2,235,1,996944,408767,1375418,30293,14539304880,6202956460,20289890940,452370400,14583.873196488468,14751.799772869048,15174.797525240541,14933.16607797181,-378474.0
56,2021-05-16,174,2,328,3,1059301,1006132,1982406,83027,15665891230,15166226330,29585521580,1246595980,14788.894969418512,14924.047637063246,15073.79382625739,15014.344490346513,-923105.0
57,2021-05-15,265,2,345,4,2324804,495730,2410285,410249,35079594840,7531838380,36420484700,6190948520,15089.269822316204,15110.447395225046,15193.428640590644,15090.709593442032,-85481.0
58,2021-05-12,134,2,144,1,574950,400324,675274,300000,8887161580,6172996080,10434157660,4626000000,15457.277293677711,15451.739086652233,15420.0,15420.0,-100324.0
59,2021-05-11,203,2,213,1,1093470,200322,1258531,35261,17187657300,3108997440,19732478740,564176000,15718.453455513183,15678.977109026317,15520.0,16000.0,-165061.0
60,2021-04-28,110,1,27,0,666542,300000,966542,0,12490997080,5622000000,18112997080,0,18740.0,18740.0,18740.0,,-300000.0
61,2021-04-27,36,1,14,2,84527,400000,434197,50330,1589107600,7520000000,8162903600,946204000,18800.0,18800.0,18800.0,18800.0,-349670.0
62,2021-04-26,14,0,1,0,10069,0,10069,0,189297200,0,189297200,0,18800.0,18800.0,,,0.0
63,2021-04-25,10,0,0,1,7070,0,0,7070,132916000,0,0,132916000,18800.0,,,18800.0,7070.0
