,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2021-08-23,5093,9,2401,11,7706345,707790,5971161,2442974,855525114080,78233016680,662230792680,271527338080,111015.67787063777,110904.86300402887,110531.39586600545,111146.22508467139,1735184.0
1,2021-08-22,4640,16,2691,18,10643653,3120287,10191336,3572604,1174899848840,344694818550,1124584252160,395010415230,110385.01995884308,110347.08816979443,110468.94678277992,110566.52660916239,452317.0
2,2021-08-15,3244,12,1822,9,5224795,846064,3728345,2342514,551032361090,89323529680,392425696460,247930194310,105464.87682100447,105254.6629831735,105575.38162597628,105839.36501980352,1496450.0
3,2021-08-14,4513,16,2956,7,6823885,1193715,7510775,506825,695479440340,122026699550,765699618150,51806521740,101918.39990562561,101946.8188236234,102224.31614748914,102217.77090711784,-686890.0
4,2021-08-11,4499,11,2668,7,7775983,1301816,5031541,4046258,806248685090,135469852670,522019846600,419698691160,103684.47115818025,103749.49674463549,104062.21207144481,103725.14336950338,2744442.0
5,2021-08-10,3389,12,2539,10,6700351,2450235,7756301,1394285,669452361030,241235380730,770275294730,140412447030,99913.02859059174,99309.61868679413,98453.97716137432,100705.70007566603,-1055950.0
6,2021-08-09,2975,12,1557,6,3966618,776983,4368617,374984,390464322350,76410639470,429903494040,36971467780,98437.59150742521,98407.22911621687,98342.74298150667,98594.78745759818,-401999.0
7,2021-08-08,2866,11,1995,8,4965724,699138,5092773,572089,481969932560,68073333460,494408947320,55634318700,97059.34775271441,97080.49962564599,97367.52037509046,97247.66373763523,-127049.0
8,2021-08-07,4560,16,2710,7,7658634,1266259,8346885,578008,726748923420,119133443460,791108124220,54774242660,94892.76069596746,94778.84554777022,94082.99839132436,94763.81409945883,-688251.0
9,2021-08-04,3946,19,2501,12,10667369,3644245,11108663,3202951,1032515053870,353673464200,1075457286460,310731231610,96791.91315778052,96812.48647654538,97049.8592163809,97014.0447387425,-441294.0
10,2021-08-03,2768,6,1565,4,3863184,51500,3685714,228970,357317260470,4745842800,340813482380,21249620890,92492.94376607482,92468.78145726988,92152.28737864077,92805.26221775779,177470.0
11,2021-08-02,2900,17,2516,3,4747729,1979517,6251039,476207,431248031830,180464132320,567972336230,43739827920,90832.4868226472,90860.4691524081,91165.74008710205,91850.45142133567,-1503310.0
12,2021-08-01,5318,11,3155,7,9579093,747862,10112797,214158,887498223940,69176772660,936647745350,20027251250,92649.5049103292,92620.04817757144,92499.38178433989,93516.24151327525,-533704.0
13,2021-07-31,2430,8,1686,10,7893061,675500,6190073,2378488,717208673110,61406357340,562195511660,216419518790,90865.72029659976,90822.11335149036,90905.04417468542,90990.37657116621,1702988.0
14,2021-07-28,3549,6,2366,13,8290508,186713,7237625,1239596,718974881960,16221266560,627005728010,108190420510,86722.65703862779,86631.41956235643,86878.0779056627,87278.77510898712,1052883.0
15,2021-07-27,3943,9,2224,8,7199620,1018428,7050491,1167557,601463978630,85441553450,589327609980,97577922100,83541.07281078724,83586.74735986472,83895.52668426241,83574.43970615567,149129.0
16,2021-07-26,3047,4,1432,4,6056611,239533,5911644,384500,489018120840,19292963040,477432086210,30878997670,80741.21333531244,80761.30535093114,80544.07133881345,80309.48678803642,144967.0
17,2021-07-19,3043,12,1522,5,5158824,2387818,5519956,2026686,411633661370,189592951910,439069741890,162156871390,79792.15056958717,79542.25394006763,79400.08489340477,80010.85091129065,-361132.0
18,2021-07-18,4570,16,2423,6,8358286,3696971,11658440,396817,663897296370,292743147640,925264590140,31375853870,79429.83721423268,79364.35664977475,79184.59399329884,79068.8248487338,-3300154.0
19,2021-07-17,4032,10,2653,3,7832535,827524,8163603,496456,651484818460,68451932460,678980998580,40955752340,83176.75164681677,83171.7317194381,82718.96943170228,82496.23801505068,-331068.0
20,2021-07-14,5305,8,2330,18,12184565,625032,7544722,5264875,1018173203160,52215814680,629277183920,441111833920,83562.54024333245,83406.27844471937,83541.0261874592,83783.91394287614,4639843.0
21,2021-07-13,2802,6,1075,12,9261740,1745598,7009396,3997942,743757447470,140830171170,564097365720,320490252920,80304.2892015971,80477.31441054265,80677.32156544634,80163.80750896336,2252344.0
22,2021-07-07,5589,11,2722,18,18473378,829569,13317657,5985290,1685769327420,74945993140,1215686841770,545028478790,91253.98329531285,91283.83782297441,90343.29047975515,91061.33183020372,5155721.0
23,2021-07-06,3676,12,1829,10,9996686,2372467,7634572,4734581,892844745930,213766078850,683765752480,422845072300,89314.07327688397,89561.76619724066,90102.86712101792,89309.92463747055,2362114.0
24,2021-07-05,3900,9,2028,9,9117008,1301112,7266065,3152055,810618167950,115812673590,646816540950,279614300590,88912.740665578,89018.82118450633,89010.5337511298,88708.57284850677,1850943.0
25,2021-07-04,4182,11,2066,17,10312008,2579746,5592210,7299544,930357765840,234579127210,503966046510,660970846540,90220.81497997286,90119.299259148,90931.09446046238,90549.60783029735,4719798.0
