,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2021-08-23,3083,26,3263,13,144581570,63745925,182799048,25528447,600859797628,265985545036,760461773604,106383569060,4155.8533195344335,4160.097013218581,4172.588993508212,4167.255809176328,-38217478.0
1,2021-08-22,4551,35,3690,17,240475280,82284949,246314462,76445767,996023132055,340592611978,1019114966833,317500777200,4141.89405270679,4137.454855707985,4139.184821977589,4153.28133472714,-5839182.0
2,2021-08-15,3742,21,3137,18,173318022,51842873,183037495,42123400,698390572940,209573293485,738123548746,169840317679,4029.532329534663,4032.635765398778,4042.470668726249,4031.97077346558,-9719473.0
3,2021-08-14,3701,23,3558,14,215865554,46769471,224209122,38425903,874143188520,190100270952,908384390679,155859068793,4049.4797447859605,4051.5050528541833,4064.623073286418,4056.0938488029806,-8343568.0
4,2021-08-11,3269,23,4022,20,219069885,105586624,295414910,29241599,868467168529,417133512421,1169701388061,115899292889,3964.3384508509694,3959.520486156234,3950.6283714592487,3963.507361174059,-76345025.0
5,2021-08-10,2675,17,2394,6,138723246,27051050,119780802,45993494,540530993558,105589288348,467529369418,178590912488,3896.47019619192,3903.207873144813,3903.334190280969,3882.960326693162,18942444.0
6,2021-08-09,2699,21,2513,13,132925198,30734034,130548583,33110649,510465037277,118005200406,500774254296,127695983387,3840.2428204545536,3835.922556861456,3839.5610679027686,3856.6439270640694,2376615.0
7,2021-08-08,4113,23,2434,9,133572440,63543653,162019535,35096558,514199130266,244314674313,624213589370,134300215209,3849.5900072350255,3852.7057207638572,3844.832060772458,3826.5922034006867,-28447095.0
8,2021-08-07,4873,30,4361,30,468355430,50321988,362029348,156648070,1823725090999,196016479786,1409268650979,610472919806,3893.8912077927653,3892.6917355302367,3895.2451518012363,3897.0982521904034,106326082.0
9,2021-08-04,3105,29,2370,17,196333779,91471567,228459678,59345668,730191208041,339091188176,848606529879,220675866338,3719.13183640702,3714.4696049120757,3707.0665704896037,3718.48314754836,-32125899.0
10,2021-08-03,3100,25,1893,12,137309655,52542153,150478860,39372948,503649265521,192711172371,552059898819,144300539073,3667.9814359813226,3668.687407779405,3667.7441133978655,3664.966592620903,-13169205.0
11,2021-08-02,2751,18,1961,10,101917815,31840410,106737579,27020646,375236739933,117443286020,393235859780,99444166173,3681.7580904084334,3684.136959673781,3688.497918839613,3680.303060593,-4819764.0
12,2021-08-01,3280,22,2499,19,140213390,21779414,130609084,31383720,517033068978,80351361085,481533716707,115850713356,3687.4728510451105,3686.831742170399,3689.3261262676765,3691.4270633309243,9604306.0
13,2021-07-31,3552,10,2471,26,190207980,18940935,160862471,48286444,711768015428,70924355662,601983661131,180708709959,3742.051282117606,3742.22562533557,3744.501296372117,3742.431518854443,29345509.0
14,2021-07-28,1737,12,905,7,73861790,15189646,79984849,9066587,275226200316,56594188113,298113306032,33707082397,3726.232471701539,3727.1221957548487,3725.83983280453,3717.7255782137204,-6123059.0
15,2021-07-18,2424,11,2206,14,113064963,131531041,196858550,47737454,443301660747,516012651924,772192459298,187121853373,3920.7695203243466,3922.5751652544427,3923.124518751433,3919.812174587275,-83793587.0
16,2021-07-17,3465,10,2266,19,147926090,151056540,249056518,49926112,590061858200,603183412361,994209434745,199035835816,3988.8964698519376,3991.902893081481,3993.0969712466604,3986.6079661079957,-101130428.0
17,2021-07-14,2084,10,2139,9,109909343,46861669,126216537,30554475,442332593624,188492546497,507957143247,122867996874,4024.522224866725,4024.4896217284113,4022.31825112759,4021.2766501142632,-16307194.0
18,2021-07-13,1817,10,2152,16,115571979,64498000,133411419,46658560,467914636484,262947333224,541946348723,188915620985,4048.6858538954325,4062.218607561621,4076.829253992372,4048.895229192671,-17839440.0
19,2021-07-12,2070,19,2538,19,128174957,50868907,142215213,36828651,523502892038,208610304279,581402239841,150710956476,4084.2837344427585,4088.1859793790136,4100.939386784938,4092.2203877627776,-14040256.0
20,2021-07-11,2293,12,2109,11,109757887,33229448,123813766,19173569,436071615076,132359781621,492205404364,76225992333,3973.0321619256392,3975.3689776627907,3983.2073533391226,3975.5766040740773,-14055879.0
21,2021-07-10,1986,16,1686,6,66111995,41130723,98651078,8591640,261055687754,162786848502,389921262412,33921273844,3948.6887024661714,3952.5291595090325,3957.7920500449263,3948.172158516884,-32539083.0
22,2021-07-07,2471,23,1636,7,102011407,37199189,130905551,8305045,409476947254,149140439294,525163583994,33453802554,4014.030972575449,4011.7747489103804,4009.2389996459333,4028.1301972475767,-28894144.0
23,2021-07-06,2106,23,1888,16,100620385,27698417,107011319,21307483,408166081477,112220830870,433807165750,86579746597,4056.4949287065438,4053.8437410532247,4051.5250698261925,4063.349321785215,-6390934.0
24,2021-07-05,1935,20,1771,11,86791282,30358467,90751564,26398185,347410517582,121518694825,363175766555,105753445852,4002.827352890121,4001.867852712709,4002.7941735332024,4006.087761412385,-3960282.0
25,2021-07-04,2171,17,1902,9,87006504,26561508,104746606,8821406,346654747110,105628975601,417030133928,35253588783,3984.239466856409,3981.3235946566133,3976.7687738587733,3996.3684681330847,-17740102.0
26,2021-07-03,3169,23,2064,6,151197858,66771812,192594585,25375085,617160204325,269861517874,784919024636,102102697563,4081.8052086756416,4075.4989276359975,4041.548518617407,4023.7381495667896,-41396727.0
27,2021-06-30,1556,12,2122,6,83704891,13434787,95890539,1249139,354300777107,56846202914,405853497953,5293482068,4232.736855329039,4232.4665413863195,4231.269384025218,4237.704585318367,-12185648.0
28,2021-06-29,2094,11,2730,12,121035831,55253600,172025515,4263916,511424969908,236481818759,729667871684,18238916983,4225.40140124291,4241.625852327778,4279.93504059464,4277.503821135313,-50989684.0
29,2021-06-28,3879,21,4142,30,270519924,98438001,300025303,68932622,1154263360645,423945851705,1283110853247,295098359103,4266.833080453623,4276.675468425408,4306.729590181337,4280.9681474614445,-29505379.0
30,2021-06-27,2606,13,2886,15,126506389,59972697,168416917,18062169,524849733991,251171394276,700314667545,75706460722,4148.800215861034,4158.220444950907,4188.095697547169,4191.437956427049,-41910528.0
31,2021-06-26,3978,19,2950,22,167461893,104426535,205987300,65901128,697971983374,439182768854,860190160268,276964591960,4167.945141847883,4175.937838245368,4205.662563198137,4202.72915449945,-38525407.0
32,2021-06-23,4049,17,3077,22,281879918,37243975,284367071,34756822,1174726044896,154971968733,1184511220444,145186793185,4167.469797887482,4165.4303231333,4160.994328156434,4177.217157109473,-2487153.0
33,2021-06-22,1713,14,3161,40,399720047,82656590,180702690,301673947,1630580252135,335957014311,732621748813,1233915517633,4079.3056649845735,4054.2935404724744,4064.4915827159093,4090.228970395644,219017357.0
34,2021-06-21,2183,13,1773,21,123219536,148687452,175408972,96498016,481689516344,579852633581,684972684524,376569465401,3909.1976157417116,3905.0036991494367,3899.8087988016637,3902.3544836507313,-52189436.0
35,2021-06-20,2097,12,1979,11,108829677,83682617,167164544,25347750,417218105196,321507752146,641634348235,97091509107,3833.679532063667,3838.3399546437313,3841.9896947773514,3830.3797815190696,-58334867.0
36,2021-06-19,3023,15,1963,20,214037733,11319657,157034806,68322584,833896517485,43887269955,612232692851,265551094589,3896.0257418022643,3898.706971058378,3877.084787551425,3886.7249896315398,57002927.0
37,2021-06-16,1176,8,1677,10,89171079,39706502,111305918,17571663,337111898407,150176781461,420825731012,66462948856,3780.5071127041087,3780.802841157107,3782.171027329479,3782.393781169147,-22134839.0
38,2021-06-15,1637,9,1805,15,63358059,63407435,103396090,23369404,241622627678,242000987040,394767012759,88856601959,3813.605269662696,3818.0071679596394,3816.6026908358617,3802.2622211075645,-40038031.0
39,2021-06-14,2102,12,2037,25,145937091,32486671,134035589,44388173,559572453354,125146181677,514421205917,170297429114,3834.3401908292117,3837.9449051923066,3852.231632998038,3836.5496393374874,11901502.0
40,2021-06-13,1773,9,2161,12,94004023,11654591,91562965,14095649,357034849547,44327784872,347741252479,53621381940,3798.08053052155,3797.8373950537753,3803.461217300547,3804.1087671805676,2441058.0
41,2021-06-12,1573,8,1555,4,74549971,35100155,104650126,5000000,282432970129,132137247551,395661070043,18909147637,3788.5054325373244,3780.798792760173,3764.5773231200833,3781.8295274,-30100155.0
42,2021-06-09,2119,8,2250,19,100155386,95479717,167962118,27672985,386456402951,369661754953,649266917035,106851240869,3858.5683544866974,3865.5556667545716,3871.626001499355,3861.2112451547964,-67806732.0
43,2021-06-08,3110,13,3673,32,439073374,25138128,274646495,189565007,1714290959132,97777721038,1070716144076,741352536094,3904.338228288924,3898.5246983617976,3889.6182340228356,3910.8090033410017,164426879.0
44,2021-06-07,2742,8,2234,15,129677851,17154929,112797387,34035393,484190343395,64084172556,421264330866,127010185085,3733.793702326236,3734.699376200975,3735.612811688116,3731.7090795749,16880464.0
45,2021-06-02,3087,17,2074,13,137858760,42253727,158065046,22047441,508784618469,155708656543,582971536144,81521738868,3690.6223330965695,3688.174905816938,3685.086916545847,3697.5601326249157,-20206286.0
46,2021-06-01,3576,22,2476,7,146857577,95858225,221085802,21630000,539094819494,353686631351,813464322817,79317128028,3670.868269153045,3679.4055315094365,3689.6847542399205,3666.9962102635227,-74228225.0
47,2021-05-31,2514,14,1664,3,99720181,91100269,189129314,1691136,382124949887,347709067992,723412587815,6421430064,3831.972084838073,3824.9627861231497,3816.773230296389,3797.110382606721,-89409133.0
48,2021-05-30,4581,24,3615,24,223538847,64682571,264019581,24201837,894039977289,256005825515,1053511603403,96534199401,3999.48371071718,3990.2782945595236,3957.8795579260445,3988.713724540827,-40480734.0
49,2021-05-29,5866,14,3243,28,271538789,17343136,240199858,48682067,1083227349206,68902057811,957057026583,195072380434,3989.2177216935293,3984.419618528667,3972.871907998646,4007.0685666243385,31338931.0
50,2021-05-26,2984,7,3503,19,147552158,9858099,125636255,31774002,571901165246,37859585346,486397239139,123363511453,3875.92545577002,3871.471965946454,3840.4549747370156,3882.5298573657797,21915903.0
51,2021-05-25,5693,26,5178,27,313796337,175793920,389008105,100582152,1205867740764,671774658652,1490480636012,387161763404,3842.8356184540166,3831.4899274707914,3821.375953457321,3849.2093846232283,-75211768.0
