date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-04-23,10000.0,10000.0,10000.0,10000.0,113000000,11300,3,10000.0,10000.0
2016-04-24,10000.0,10000.0,10000.0,10000.0,30100000,3010,9,10000.0,10000.0
2016-04-25,10000.0,10000.0,10000.0,10000.0,10000000,1000,4,10000.0,10000.0
2016-04-26,10000.0,10000.0,10000.0,10000.0,30000000,3000,2,10000.0,10000.0
2016-05-01,10000.0,10000.0,10000.0,10000.0,5047880000,504788,8,10000.0,10000.0
2016-05-02,10000.0,10000.0,10000.0,10000.0,45065190000,4506519,52,10000.0,10000.0
2016-06-01,10200.0,10280.0,10137.0,10154.0,1562634070,153891,8,10000.0,10280.0
2016-06-07,10069.0,10069.0,10069.0,10069.0,30207000,3000,3,10154.0,10069.0
2016-06-08,10080.0,10080.0,10031.0,10066.0,1691039,168,2,10069.0,10031.0
2016-06-11,9993.0,9993.0,9991.0,9992.0,19984000,2000,2,10066.0,9991.0
2016-06-12,10071.0,10085.0,10071.0,10085.0,480122765,47609,4,9992.0,10085.0
2016-06-14,10035.0,10035.0,10035.0,10035.0,1103850,110,1,10085.0,10035.0
2016-06-18,10221.0,10265.0,10221.0,10225.0,5623750,550,3,10035.0,10265.0
2016-06-25,10420.0,10420.0,10420.0,10420.0,10420000,1000,1,10225.0,10420.0
2016-06-28,10422.0,10422.0,10422.0,10422.0,5211000,500,1,10420.0,10422.0
2016-07-02,10450.0,10450.0,10450.0,10450.0,522500000,50000,1,10422.0,10450.0
2016-07-03,10350.0,10350.0,10350.0,10350.0,10350000,1000,1,10450.0,10350.0
2016-07-09,10450.0,10450.0,10450.0,10450.0,522500000,50000,1,10350.0,10450.0
2016-07-17,10457.0,10500.0,10457.0,10500.0,526255780,50120,4,10450.0,10500.0
2016-07-20,10599.0,10600.0,10599.0,10600.0,530211980,50020,2,10500.0,10600.0
2016-07-23,10698.0,10698.0,10698.0,10698.0,534900,50,1,10600.0,10698.0
2016-07-31,10858.0,10986.0,10858.0,10931.0,983800,90,3,10698.0,10986.0
2016-08-02,11001.0,11120.0,11001.0,11046.0,331371100,30000,6,10931.0,11120.0
2016-08-03,11138.0,11140.0,11138.0,11140.0,558002480,50090,16,11046.0,11140.0
2016-08-07,11407.0,11450.0,11407.0,11448.0,125926270,11000,6,11140.0,11450.0
2016-08-15,11200.0,11200.0,11200.0,11200.0,59696000,5330,1,11448.0,11200.0
2016-08-22,11200.0,11200.0,11200.0,11200.0,19891200,1776,1,11200.0,11200.0
2016-09-05,10580.0,10580.0,10580.0,10580.0,190440000,18000,1,11200.0,10580.0
2016-09-26,10610.0,10610.0,10600.0,10601.0,106013000,10000,2,10580.0,10600.0
2016-09-27,10560.0,10799.0,10560.0,10618.0,92373522,8700,3,10601.0,10799.0
2016-09-28,10650.0,10650.0,10650.0,10650.0,958500,90,3,10618.0,10650.0
2016-10-01,10650.0,10650.0,10650.0,10650.0,53250000,5000,1,10650.0,10650.0
2016-10-02,10650.0,10650.0,10650.0,10650.0,24282000,2280,1,10650.0,10650.0
2016-10-09,10560.0,10560.0,10560.0,10560.0,2112000000,200000,2,10650.0,10560.0
2016-10-15,10949.0,10949.0,10949.0,10949.0,1062053,97,1,10560.0,10949.0
2016-10-22,11100.0,11100.0,11100.0,11100.0,1143300,103,1,10949.0,11100.0
2016-10-23,11150.0,11150.0,11150.0,11150.0,2230000,200,1,11100.0,11150.0
2016-11-02,11468.0,11468.0,11468.0,11468.0,2282132,199,1,11150.0,11468.0
2016-11-07,11468.0,11468.0,11468.0,11468.0,11468,1,1,11468.0,11468.0
2016-11-08,11497.0,11497.0,11497.0,11497.0,2299400,200,1,11468.0,11497.0
2016-11-09,11300.0,11300.0,11300.0,11300.0,6893000,610,1,11497.0,11300.0
2016-11-14,11910.0,11910.0,11910.0,11910.0,1191000,100,2,11300.0,11910.0
2016-11-26,11860.0,11860.0,11860.0,11860.0,15062200,1270,1,11910.0,11860.0
2016-11-29,11651.0,11651.0,11651.0,11651.0,9542169,819,2,11860.0,11651.0
2016-12-06,11983.0,12050.0,11983.0,12050.0,605495750,50250,2,11651.0,12050.0
2016-12-10,12100.0,12100.0,12100.0,12100.0,15367000,1270,1,12050.0,12100.0
2016-12-18,12100.0,12100.0,12100.0,12100.0,4452800,368,1,12100.0,12100.0
2016-12-20,11590.0,11590.0,11260.0,11426.0,2136640,187,2,12100.0,11260.0
2016-12-28,11400.0,11400.0,11400.0,11400.0,4195200,368,1,11426.0,11400.0
2017-01-04,11300.0,11300.0,11300.0,11300.0,5085000,450,2,11400.0,11300.0
2017-01-07,11300.0,11300.0,11300.0,11300.0,2248700,199,1,11300.0,11300.0
2017-01-16,11470.0,11470.0,11470.0,11470.0,573500,50,1,11300.0,11470.0
2017-01-21,11650.0,11650.0,11650.0,11650.0,14795500,1270,1,11470.0,11650.0
2017-01-22,11650.0,11650.0,11650.0,11650.0,1165000,100,1,11650.0,11650.0
2017-01-31,11600.0,11600.0,11600.0,11600.0,1078800,93,1,11650.0,11600.0
2017-02-01,11350.0,11350.0,11350.0,11350.0,6810000000,600000,6,11600.0,11350.0
2017-02-11,10900.0,11200.0,10900.0,11193.0,45890000,4100,2,11350.0,11200.0
2017-02-18,11400.0,11400.0,11400.0,11400.0,11400000,1000,1,11193.0,11400.0
2017-03-01,11450.0,11450.0,11450.0,11450.0,57250000,5000,1,11400.0,11450.0
2017-05-03,11400.0,11400.0,11400.0,11400.0,114000000,10000,1,11450.0,11400.0
2017-05-07,11325.0,11325.0,11325.0,11325.0,113250000,10000,1,11400.0,11325.0
2017-05-13,11524.0,11524.0,11524.0,11524.0,172860000,15000,3,11325.0,11524.0
2017-07-19,11754.0,11754.0,11754.0,11754.0,1363464000,116000,6,11524.0,11754.0
2017-07-22,11764.0,11773.0,11764.0,11769.0,2942350,250,2,11754.0,11773.0
2017-07-24,11950.0,12200.0,11950.0,12200.0,23179800000,1900000,156,11769.0,12200.0
2017-08-12,12195.0,12445.0,12195.0,12445.0,16800692100,1350000,109,12200.0,12445.0
2017-08-19,12341.0,12341.0,12341.0,12341.0,308525000,25000,1,12445.0,12341.0
2017-08-21,12457.0,12457.0,12457.0,12457.0,1557125000,125000,5,12341.0,12457.0
2017-08-27,12871.0,12871.0,12819.0,12820.0,648672600,50600,6,12457.0,12819.0
2017-08-28,12800.0,12800.0,12800.0,12800.0,2688000,210,1,12820.0,12800.0
2017-08-29,13043.0,13043.0,13043.0,13043.0,3912900,300,1,12800.0,13043.0
2017-09-11,13040.0,13040.0,13040.0,13040.0,1186640,91,1,13043.0,13040.0
2017-09-18,12674.0,12674.0,12674.0,12674.0,3802200,300,1,13040.0,12674.0
2017-10-04,12650.0,12650.0,12650.0,12650.0,15546850,1229,1,12674.0,12650.0
2017-10-16,13251.0,13251.0,13000.0,13083.0,27683700,2116,4,12650.0,13000.0
