date,open,high,low,adjClose,value,volume,count,yesterday,close
2009-12-23,1486.0,1486.0,1486.0,1486.0,67470789800,45404300,522,1000.0,1486.0
2009-12-28,1538.0,1538.0,1538.0,1522.0,385038300,250350,94,1486.0,1538.0
2009-12-29,1575.0,1575.0,1575.0,1557.0,382964400,243152,57,1522.0,1575.0
2009-12-30,1611.0,1611.0,1611.0,1573.0,171410400,106400,43,1557.0,1611.0
2010-01-02,1628.0,1628.0,1628.0,1599.0,278783604,171243,50,1573.0,1628.0
2010-01-03,1654.0,1654.0,1654.0,1619.0,219394830,132645,41,1599.0,1654.0
2010-01-04,1675.0,1675.0,1675.0,1675.0,28589238350,17068202,4289,1619.0,1675.0
2010-01-05,1733.0,1733.0,1733.0,1733.0,8896017565,5133305,777,1675.0,1733.0
2010-01-06,1793.0,1793.0,1793.0,1793.0,6499648309,3625013,269,1733.0,1793.0
2010-01-09,1855.0,1855.0,1855.0,1855.0,8201186875,4421125,270,1793.0,1855.0
2010-01-10,1919.0,1919.0,1802.0,1895.0,57862020697,30531848,4873,1855.0,1810.0
2010-01-11,1829.0,1961.0,1829.0,1931.0,51582678990,26712549,2327,1895.0,1961.0
2010-01-12,1998.0,1998.0,1909.0,1995.0,39621535757,19864191,1798,1931.0,1998.0
2010-01-13,2063.0,2064.0,2025.0,2063.0,28402057062,13768849,985,1995.0,2064.0
2010-01-16,2109.0,2135.0,2074.0,2124.0,59709655098,28111449,701,2063.0,2135.0
2010-01-17,2189.0,2198.0,2140.0,2186.0,10997328716,5031686,626,2124.0,2140.0
2010-01-18,2150.0,2150.0,2110.0,2111.0,5943953100,2816127,275,2186.0,2110.0
2010-01-19,2038.0,2038.0,2038.0,2038.0,1404065834,688943,54,2111.0,2038.0
2010-01-20,1967.0,2040.0,1967.0,1985.0,11551182136,5818584,741,2038.0,2040.0
2010-01-23,1981.0,2054.0,1981.0,2016.0,45507258981,22578141,1295,1985.0,2054.0
2010-01-24,2085.0,2086.0,2026.0,2069.0,14081840143,6805501,495,2016.0,2031.0
2010-01-25,2025.0,2050.0,2000.0,2011.0,4187612444,2082454,207,2069.0,2007.0
2010-01-26,2000.0,2020.0,1986.0,2001.0,4372745022,2185048,282,2011.0,2000.0
2010-01-27,2000.0,2005.0,1999.0,2000.0,3325735700,1662529,146,2001.0,2000.0
2010-01-30,2010.0,2010.0,1930.0,1951.0,3486378176,1787078,161,2000.0,1940.0
2010-01-31,1937.0,2019.0,1920.0,2018.0,16469600490,8162896,427,1951.0,2019.0
2010-02-01,2065.0,2080.0,2030.0,2059.0,2436705976,1183245,170,2018.0,2050.0
2010-02-02,2011.0,2090.0,2011.0,2063.0,1197940094,580580,88,2059.0,2040.0
2010-02-03,2050.0,2080.0,2040.0,2061.0,1786037417,866670,112,2063.0,2042.0
2010-02-06,2001.0,2080.0,2001.0,2052.0,3739220436,1822632,181,2061.0,2080.0
2010-02-07,2051.0,2070.0,2013.0,2051.0,999381129,487355,77,2052.0,2060.0
2010-02-08,2050.0,2122.0,2050.0,2111.0,18564335870,8793885,517,2051.0,2122.0
2010-02-09,2130.0,2184.0,2129.0,2183.0,16153477097,7398571,292,2111.0,2184.0
2010-02-10,2240.0,2259.0,2240.0,2259.0,28960681282,12820622,591,2183.0,2259.0
2010-02-14,2259.0,2338.0,2200.0,2304.0,1935076888,840023,122,2259.0,2338.0
2010-02-16,2380.0,2384.0,2250.0,2382.0,23891407459,10030619,351,2304.0,2384.0
2010-02-17,2321.0,2465.0,2321.0,2464.0,43014098919,17453564,643,2382.0,2465.0
2010-02-20,2549.0,2550.0,2411.0,2505.0,5914497441,2360991,208,2464.0,2416.0
2010-02-21,2450.0,2496.0,2418.0,2429.0,3201890410,1318058,177,2505.0,2428.0
2010-02-22,2400.0,2469.0,2345.0,2351.0,5440053631,2313610,209,2429.0,2345.0
2010-02-23,2273.0,2380.0,2273.0,2283.0,5906571688,2587295,106,2351.0,2335.0
2010-02-24,2319.0,2362.0,2319.0,2362.0,25065338750,10613179,312,2283.0,2362.0
2010-02-27,2444.0,2444.0,2444.0,2444.0,27057993248,11071192,476,2362.0,2444.0
2010-02-28,2529.0,2529.0,2529.0,2529.0,28825954227,11398163,376,2444.0,2529.0
2010-03-01,2615.0,2617.0,2530.0,2616.0,30673921793,11727281,458,2529.0,2617.0
2010-03-02,2707.0,2707.0,2551.0,2588.0,14648031228,5660091,334,2616.0,2650.0
2010-03-03,2600.0,2678.0,2581.0,2676.0,23364538815,8730214,311,2588.0,2678.0
2010-03-06,2707.0,2769.0,2707.0,2769.0,35221926234,12720261,417,2676.0,2769.0
2010-03-07,2865.0,2865.0,2865.0,2865.0,46459097850,16216090,593,2769.0,2865.0
2010-03-08,2965.0,2965.0,2900.0,2960.0,2574085121,869596,171,2865.0,2965.0
2010-03-09,3060.0,3063.0,3060.0,3014.0,582618683,190241,44,2960.0,3063.0
2010-03-10,3119.0,3119.0,2951.0,3082.0,2226382800,722462,124,3014.0,3000.0
