date,open,high,low,adjClose,value,volume,count,close
2008-08-09,1500.0,1500.0,1500.0,1500.0,3345450000000,2230300000,19267,1500.0
2008-08-10,1545.0,1545.0,1545.0,1545.0,99140919600,64168880,4389,1545.0
2008-08-11,1591.0,1591.0,1553.0,1553.0,5378265341,3380431,501,1553.0
2008-08-12,1599.0,1599.0,1556.0,1556.0,1698478157,1062213,296,1556.0
2008-08-13,1602.0,1602.0,1563.0,1563.0,4211636784,2628987,649,1563.0
2008-08-16,1609.0,1609.0,1570.0,1570.0,4666091565,2899995,750,1570.0
2008-08-18,1617.0,1617.0,1580.0,1615.0,426123036649,263752470,15325,1615.0
2008-08-19,1617.0,1655.0,1568.0,1595.0,82949216700,51973731,3741,1595.0
2008-08-20,1580.0,1642.0,1552.0,1620.0,65275556461,40288734,2637,1620.0
2008-08-23,1650.0,1668.0,1638.0,1638.0,12204681128,7321796,624,1638.0
2008-08-24,1687.0,1687.0,1640.0,1640.0,1034395389,613157,101,1640.0
2008-08-25,1689.0,1689.0,1644.0,1644.0,2436333069,1442471,225,1644.0
2008-08-26,1693.0,1693.0,1654.0,1654.0,6235545472,3683134,500,1654.0
2008-08-27,1703.0,1703.0,1663.0,1663.0,5582901925,3278275,618,1663.0
2008-08-30,1712.0,1712.0,1668.0,1668.0,3376019048,1971974,321,1668.0
2008-08-31,1718.0,1718.0,1710.0,1717.0,349180375699,203253899,9699,1717.0
2008-09-01,1750.0,1768.0,1727.0,1765.0,85390046457,48361658,2734,1765.0
2008-09-02,1817.0,1817.0,1800.0,1800.0,22458121647,12360001,801,1800.0
2008-09-03,1854.0,1854.0,1803.0,1803.0,2106195402,1136028,137,1803.0
2008-09-06,1857.0,1857.0,1820.0,1820.0,10941525338,5892044,715,1820.0
2008-09-07,1874.0,1874.0,1862.0,1873.0,143822061632,76748133,4794,1873.0
2008-09-08,1929.0,1929.0,1895.0,1895.0,14066190500,7291960,800,1895.0
2008-09-09,1951.0,1951.0,1914.0,1914.0,12434739101,6373521,858,1914.0
2008-09-10,1971.0,1971.0,1938.0,1938.0,15204155700,7713930,983,1938.0
2008-09-13,1996.0,1996.0,1880.0,1932.0,359113706480,185965414,10111,1932.0
2008-09-14,1902.0,1929.0,1875.0,1879.0,61484635634,32720059,1895,1879.0
2008-09-15,1823.0,1935.0,1823.0,1857.0,88322718846,47539350,3318,1857.0
2008-09-16,1912.0,1912.0,1912.0,1912.0,35835430560,18742380,995,1912.0
2008-09-17,1969.0,1969.0,1960.0,1960.0,30259536778,15367972,1336,1960.0
2008-09-20,2018.0,2018.0,1970.0,2017.0,205624669644,102125504,6050,2017.0
2008-09-21,2036.0,2077.0,2033.0,2073.0,71040062735,34267746,2200,2073.0
2008-09-23,2135.0,2135.0,2039.0,2122.0,211181313184,99510688,5695,2122.0
2008-09-24,2120.0,2130.0,2059.0,2076.0,83067259753,40005063,2639,2076.0
2008-09-27,2076.0,2098.0,2014.0,2022.0,84003784545,41529375,2116,2022.0
2008-09-28,2002.0,2082.0,1972.0,2057.0,105851132210,51460333,2965,2057.0
2008-09-29,2089.0,2105.0,2051.0,2074.0,28881924867,13889162,1338,2074.0
2008-09-30,2077.0,2081.0,2022.0,2060.0,28723856309,13973256,1036,2060.0
2008-10-04,2048.0,2058.0,1999.0,2000.0,40174909178,20078860,1154,2000.0
2008-10-05,1961.0,1970.0,1940.0,1940.0,233387469789,120278024,3633,1940.0
