date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-12-20,1600.0,1600.0,1600.0,1600.0,783990057600,489993786,156905,1000.0,1600.0
2017-12-23,1680.0,1680.0,1680.0,1617.0,715023120,425609,230,1600.0,1680.0
2017-12-24,1697.0,1697.0,1697.0,1697.0,3342272046,1969518,517,1617.0,1697.0
2017-12-25,1781.0,1781.0,1781.0,1781.0,3564858505,2001605,802,1697.0,1781.0
2017-12-26,1870.0,1870.0,1851.0,1869.0,272126634875,145583897,51426,1781.0,1870.0
2017-12-27,1890.0,1940.0,1886.0,1906.0,297284784713,155975328,52173,1869.0,1904.0
2017-12-30,1880.0,1885.0,1830.0,1855.0,99448773206,53607956,16948,1906.0,1849.0
2017-12-31,1822.0,1835.0,1763.0,1792.0,110238172017,61528384,14390,1855.0,1800.0
2018-01-01,1800.0,1853.0,1800.0,1828.0,32358365441,17700631,4446,1792.0,1815.0
2018-01-02,1824.0,1869.0,1810.0,1841.0,35964252717,19538397,4601,1828.0,1855.0
2018-01-03,1850.0,1860.0,1835.0,1846.0,29617735494,16048372,3698,1841.0,1850.0
2018-01-06,1852.0,1868.0,1840.0,1856.0,32319169935,17417209,3940,1846.0,1864.0
2018-01-07,1861.0,1875.0,1851.0,1863.0,27188743424,14592301,3623,1856.0,1871.0
2018-01-08,1861.0,1917.0,1861.0,1901.0,30141611348,15858223,3754,1863.0,1906.0
2018-01-09,1887.0,1917.0,1875.0,1900.0,35650221364,18767224,3712,1901.0,1906.0
2018-01-10,1889.0,1890.0,1863.0,1870.0,17440955906,9329183,1815,1900.0,1866.0
2018-01-13,1900.0,1906.0,1870.0,1884.0,37997937322,20167440,2021,1870.0,1889.0
2018-01-14,1880.0,1889.0,1869.0,1876.0,23152789672,12344444,4075,1884.0,1883.0
2018-01-15,1876.0,1889.0,1857.0,1869.0,38773904809,20740752,5235,1876.0,1888.0
2018-01-16,1876.0,1904.0,1872.0,1890.0,21726608487,11493211,4701,1869.0,1887.0
2018-01-17,1876.0,1893.0,1866.0,1886.0,84815947221,44962145,4484,1890.0,1889.0
2018-01-20,1881.0,1885.0,1866.0,1873.0,25517603251,13620440,4912,1886.0,1875.0
2018-01-21,1875.0,1875.0,1840.0,1857.0,19312895479,10400338,2752,1873.0,1847.0
2018-01-22,1866.0,1880.0,1836.0,1850.0,19079710300,10311924,2769,1857.0,1878.0
2018-01-23,1880.0,1890.0,1862.0,1883.0,41976862040,22291959,1758,1850.0,1890.0
2018-01-24,1875.0,1905.0,1860.0,1890.0,28212955165,14926274,2400,1883.0,1898.0
2018-01-27,1895.0,1906.0,1890.0,1898.0,21098299517,11117119,5246,1890.0,1899.0
2018-01-28,1890.0,1900.0,1877.0,1889.0,19554002431,10351212,4245,1898.0,1880.0
2018-01-29,1890.0,1950.0,1890.0,1924.0,37993977087,19743561,2858,1889.0,1919.0
2018-01-30,1925.0,1956.0,1911.0,1935.0,51322187728,26526439,3687,1924.0,1928.0
2018-01-31,1940.0,1940.0,1892.0,1922.0,18374954267,9558740,1127,1935.0,1901.0
2018-02-03,1910.0,1915.0,1877.0,1889.0,10899973926,5771122,1398,1922.0,1900.0
2018-02-04,1895.0,1900.0,1859.0,1889.0,15787333209,8359091,3570,1889.0,1893.0
2018-02-05,1870.0,1920.0,1870.0,1901.0,21885612268,11511233,4986,1889.0,1909.0
2018-02-06,1900.0,1910.0,1871.0,1882.0,15475628227,8221383,4258,1901.0,1885.0
2018-02-07,1872.0,1890.0,1862.0,1871.0,5652614241,3020853,1158,1882.0,1875.0
2018-02-10,1861.0,1879.0,1848.0,1857.0,7294737630,3929040,1473,1871.0,1858.0
2018-02-12,1863.0,1875.0,1850.0,1864.0,7195548444,3859925,2591,1857.0,1867.0
2018-02-13,1850.0,1868.0,1825.0,1835.0,11819745602,6440467,930,1864.0,1829.0
2018-02-14,1821.0,1840.0,1810.0,1825.0,9438831167,5171360,1845,1835.0,1820.0
2018-02-17,1812.0,1848.0,1812.0,1829.0,6973739349,3813498,2776,1825.0,1816.0
2018-02-18,1821.0,1821.0,1771.0,1789.0,12085345013,6755095,2642,1829.0,1780.0
2018-02-19,1771.0,1798.0,1768.0,1775.0,6866574800,3869264,905,1789.0,1779.0
2018-02-21,1771.0,1777.0,1755.0,1761.0,5227002539,2967913,741,1775.0,1762.0
2018-02-24,1752.0,1752.0,1710.0,1718.0,9761805026,5683710,1280,1761.0,1725.0
2018-02-25,1711.0,1732.0,1707.0,1720.0,4816077798,2799417,1228,1718.0,1730.0
2018-02-26,1728.0,1730.0,1702.0,1715.0,10476852991,6110014,630,1720.0,1710.0
2018-02-27,1700.0,1717.0,1660.0,1687.0,9053318344,5365742,991,1715.0,1672.0
2018-02-28,1680.0,1695.0,1652.0,1669.0,9399101353,5631738,933,1687.0,1690.0
2018-03-03,1690.0,1739.0,1676.0,1701.0,7670729238,4509084,825,1669.0,1710.0
2018-03-04,1700.0,1730.0,1689.0,1714.0,3641573637,2124604,709,1701.0,1729.0
2018-03-05,1705.0,1766.0,1705.0,1745.0,6760580703,3873966,665,1714.0,1742.0
2018-03-06,1744.0,1794.0,1718.0,1750.0,8560943148,4892748,1274,1745.0,1745.0
2018-03-07,1738.0,1761.0,1701.0,1723.0,6337162879,3677432,1388,1750.0,1710.0
2018-03-10,1710.0,1777.0,1689.0,1754.0,16019470404,9132291,2278,1723.0,1777.0
2018-03-11,1780.0,1808.0,1750.0,1790.0,30054931901,16794670,4111,1754.0,1807.0
2018-03-12,1800.0,1835.0,1791.0,1827.0,29255039694,16014834,3060,1790.0,1831.0
2018-03-13,1795.0,1879.0,1740.0,1820.0,53970568890,29659734,3817,1827.0,1820.0
2018-03-19,1599.0,1599.0,1572.0,1591.0,3895387798,2447782,185,1570.0,1599.0
2018-03-25,1590.0,1606.0,1554.0,1583.0,1603944026,1018384,228,1591.0,1560.0
2018-03-26,1570.0,1640.0,1516.0,1625.0,52740622706,32457530,959,1583.0,1570.0
2018-03-27,1592.0,1637.0,1580.0,1633.0,78236502049,47901167,798,1625.0,1600.0
2018-03-28,1579.0,1612.0,1571.0,1620.0,819702264,517306,192,1633.0,1581.0
2018-04-03,1572.0,1609.0,1562.0,1578.0,2830980191,1797737,1743,1620.0,1591.0
2018-04-04,1599.0,1605.0,1550.0,1589.0,5892350100,3707403,1203,1578.0,1605.0
2018-04-07,1607.0,1607.0,1553.0,1579.0,1045283220,670189,157,1589.0,1555.0
2018-04-08,1555.0,1580.0,1530.0,1543.0,5114577276,3314689,698,1579.0,1550.0
2018-04-09,1558.0,1558.0,1505.0,1529.0,8845623373,5786915,1031,1543.0,1539.0
2018-04-10,1539.0,1539.0,1492.0,1509.0,2083639691,1388143,388,1529.0,1500.0
2018-04-11,1471.0,1477.0,1435.0,1454.0,2469056533,1707507,291,1509.0,1435.0
2018-04-15,1469.0,1469.0,1432.0,1446.0,1952910584,1353489,382,1454.0,1460.0
2018-04-16,1425.0,1443.0,1425.0,1439.0,1762752147,1228133,175,1446.0,1443.0
2018-04-17,1440.0,1450.0,1430.0,1440.0,1843487248,1280244,358,1439.0,1441.0
2018-04-18,1450.0,1500.0,1437.0,1471.0,2422757434,1640896,449,1440.0,1479.0
