date,open,high,low,adjClose,value,volume,count,close
2010-12-28,4338.0,4338.0,4338.0,4338.0,16377108246,3775267,600,4338.0
2010-12-29,4554.0,4554.0,4554.0,4554.0,119820294,26311,8,4554.0
2011-01-01,4781.0,4781.0,4781.0,4781.0,37769900,7900,6,4781.0
2011-01-02,5020.0,5020.0,5020.0,5020.0,507271000,101050,23,5020.0
2011-01-03,5271.0,5271.0,5271.0,5271.0,7381576923,1400413,192,5271.0
2011-01-04,5534.0,5534.0,5534.0,5534.0,1122295200,202800,44,5534.0
2011-01-05,5810.0,5810.0,5810.0,5810.0,654206000,112600,12,5810.0
2011-01-08,6100.0,6100.0,6100.0,6100.0,615185000,100850,22,6100.0
2011-01-09,6405.0,6405.0,6405.0,6405.0,4803750,750,3,6405.0
2011-01-10,6725.0,6725.0,6725.0,6725.0,1331032175,197923,43,6725.0
2011-01-11,7061.0,7061.0,7061.0,7061.0,1348813403,191023,21,7061.0
2011-01-12,7414.0,7414.0,7414.0,7414.0,1419951522,191523,41,7414.0
2011-01-15,7784.0,7784.0,7784.0,7784.0,1518105736,195029,44,7784.0
2011-01-16,8173.0,8173.0,8173.0,8173.0,1562881925,191225,44,8173.0
2011-01-17,8581.0,8581.0,8581.0,8581.0,1632303563,190223,21,8581.0
2011-01-18,9010.0,9010.0,9010.0,9010.0,1712107230,190023,20,9010.0
2011-01-19,9460.0,9460.0,9460.0,9460.0,1954710340,206629,56,9460.0
2011-01-22,9933.0,9933.0,9933.0,9933.0,1916661747,192959,46,9933.0
2011-01-23,10429.0,10429.0,10429.0,10429.0,1991031677,190913,32,10429.0
2011-01-24,10950.0,10950.0,10950.0,10950.0,2080751850,190023,20,10950.0
2011-01-26,11497.0,11497.0,11497.0,11497.0,2189293231,190423,22,11497.0
2011-01-29,12071.0,12071.0,12071.0,12071.0,2594516598,214938,82,12071.0
2011-01-30,12674.0,12674.0,12674.0,12674.0,2798799420,220830,90,12674.0
2011-01-31,13307.0,13307.0,13307.0,13307.0,2581997131,194033,38,13307.0
2011-02-01,13972.0,13972.0,13972.0,13972.0,2854870816,204328,57,13972.0
2011-02-05,14670.0,14670.0,14670.0,14670.0,4852469250,330775,106,14670.0
2011-02-06,15403.0,15403.0,15051.0,15403.0,72962346426,4736906,2840,15403.0
2011-02-07,16173.0,16173.0,16173.0,16173.0,7724596779,477623,186,16173.0
2011-02-16,15365.0,16800.0,15365.0,15940.0,50471215299,3166291,2148,16300.0
2011-02-19,16300.0,16480.0,15160.0,15916.0,28458820008,1788049,900,15200.0
2011-02-20,15211.0,15400.0,15121.0,15134.0,24152263715,1595907,818,15121.0
2011-02-22,15151.0,15800.0,14999.0,15446.0,9973054717,645671,403,15001.0
2011-02-23,15492.0,15500.0,15000.0,15245.0,6574916764,431286,225,15111.0
2011-02-26,15360.0,16007.0,15360.0,15824.0,15481626165,978347,447,16007.0
2011-02-27,16549.0,16615.0,16040.0,16444.0,14458092067,879235,557,16399.0
2011-02-28,16001.0,16160.0,15622.0,15638.0,15759824693,1007789,361,15889.0
2011-03-01,15800.0,15949.0,15220.0,15514.0,1932180697,124546,77,15224.0
2011-03-02,15766.0,15766.0,15200.0,15463.0,1121916926,72554,55,15200.0
2011-03-05,15680.0,15680.0,14690.0,14791.0,4596889753,310800,169,14690.0
2011-03-06,14987.0,14987.0,14052.0,14127.0,2568128200,181786,98,14052.0
2011-03-07,13421.0,13421.0,13421.0,13421.0,1393770850,103850,26,13421.0
2011-05-15,15000.0,16990.0,14409.0,15372.0,12869456405,837211,407,14751.0
2011-05-16,15288.0,15288.0,14604.0,14748.0,4148484289,281288,144,14604.0
2011-05-17,14978.0,14978.0,14210.0,14531.0,3629890243,249800,94,14502.0
2011-05-18,14540.0,15252.0,14540.0,15043.0,4833065285,321286,121,15100.0
2011-05-21,15000.0,15249.0,14950.0,15086.0,5067809200,335936,118,15046.0
2011-05-22,15181.0,15181.0,14600.0,14833.0,4789339883,322886,83,14810.0
2011-05-23,14827.0,14830.0,14092.0,14168.0,5751783764,405967,137,14101.0
2011-05-24,14001.0,14400.0,13500.0,13836.0,1827777370,132106,84,13500.0
2011-05-25,13500.0,14527.0,13145.0,13260.0,23898408424,1802289,436,13700.0
2011-05-28,13923.0,13923.0,13922.0,13923.0,3831991707,275231,108,13923.0
2011-05-29,14619.0,14619.0,14005.0,14574.0,3197181305,219383,113,14499.0
2011-05-30,14574.0,15100.0,14400.0,14820.0,2474241491,166955,82,15100.0
2011-05-31,15561.0,15561.0,14820.0,15349.0,1980785585,129049,62,15001.0
