date,open,high,low,adjClose,value,volume,count,close
2017-02-05,2420.0,2420.0,2275.0,2401.0,816285739441,340000000,29515,2275.0
2017-02-06,2370.0,2420.0,2302.0,2380.0,253744687533,106622418,14248,2379.0
2017-02-07,2379.0,2390.0,2318.0,2355.0,63111160419,26797759,6625,2321.0
2017-02-08,2355.0,2355.0,2249.0,2282.0,71859896719,31489438,5853,2252.0
2017-02-11,2240.0,2255.0,2198.0,2209.0,52615235904,23820268,4469,2201.0
2017-02-12,2200.0,2218.0,2153.0,2198.0,30058882774,13676734,2713,2200.0
2017-02-13,2195.0,2299.0,2195.0,2266.0,22514272035,9934939,1724,2260.0
2017-02-14,2270.0,2273.0,2204.0,2240.0,10089771428,4506511,991,2250.0
2017-02-15,2260.0,2270.0,2200.0,2221.0,14294596834,6435749,1291,2220.0
2017-02-18,2235.0,2235.0,2165.0,2200.0,14330958405,6513127,1428,2172.0
2017-02-19,2176.0,2213.0,2152.0,2185.0,17771401695,8131985,1606,2159.0
2017-02-20,2159.0,2159.0,2090.0,2107.0,25523597015,12112460,2451,2093.0
2017-02-21,2093.0,2093.0,2031.0,2048.0,18752827489,9155255,2053,2040.0
2017-02-22,2049.0,2125.0,2049.0,2096.0,14668213670,6999620,1570,2088.0
2017-02-25,2113.0,2113.0,2038.0,2048.0,6840419078,3339893,819,2039.0
2017-02-26,2028.0,2047.0,2001.0,2008.0,11027198373,5492510,1265,2005.0
2017-02-27,2000.0,2000.0,1930.0,1948.0,13695019880,7029749,1587,1934.0
2017-02-28,1910.0,2010.0,1900.0,1970.0,18406826816,9342122,1799,1966.0
2017-03-01,1989.0,2021.0,1936.0,1962.0,4484494922,2285697,461,1944.0
2017-03-04,1912.0,1930.0,1901.0,1912.0,5132078647,2684432,670,1903.0
2017-03-05,1900.0,1940.0,1871.0,1911.0,18692758845,9782749,1023,1917.0
2017-03-06,1920.0,1960.0,1902.0,1944.0,11116874664,5719223,495,1928.0
2017-03-07,1943.0,1979.0,1921.0,1963.0,6827898616,3478090,380,1950.0
2017-03-08,1960.0,1973.0,1910.0,1953.0,9996352395,5117977,519,1911.0
2017-03-11,1901.0,1960.0,1894.0,1940.0,14184723110,7313233,673,1914.0
2017-03-12,1930.0,1954.0,1901.0,1933.0,8539196931,4417356,522,1904.0
2017-03-13,1906.0,1942.0,1903.0,1926.0,6942693683,3605423,432,1910.0
2017-03-14,1904.0,1939.0,1904.0,1928.0,15767817811,8176315,519,1911.0
2017-03-15,1916.0,1949.0,1910.0,1930.0,19063861847,9877426,624,1947.0
2017-03-18,1942.0,1970.0,1930.0,1934.0,11832615014,6116843,363,1945.0
