date,open,high,low,adjClose,value,volume,count,close
2019-03-17,1500.0,1500.0,1500.0,1500.0,225000000000,150000000,335341,1500.0
2019-03-18,1575.0,1575.0,1575.0,1575.0,538223175,341729,816,1575.0
2019-03-19,1653.0,1653.0,1653.0,1653.0,1564152903,946251,2234,1653.0
2019-03-25,1735.0,1735.0,1735.0,1735.0,2630988700,1516420,3544,1735.0
2019-03-26,1821.0,1821.0,1821.0,1821.0,7009946784,3849504,8830,1821.0
2019-03-27,1870.0,1900.0,1730.0,1859.0,139672329792,75144290,139970,1891.0
2019-03-30,1873.0,1951.0,1870.0,1925.0,32174107425,16711035,19237,1951.0
2019-03-31,2021.0,2021.0,2021.0,2021.0,5685794497,2813357,3576,2021.0
2019-04-06,2122.0,2122.0,2122.0,2122.0,5829893676,2747358,4598,2122.0
2019-04-07,2228.0,2228.0,2228.0,2228.0,4112498100,1845825,2721,2228.0
2019-04-08,2228.0,2339.0,2136.0,2253.0,58669297815,26035714,15890,2339.0
2019-04-09,2365.0,2483.0,2365.0,2440.0,4189020042,1717152,1114,2483.0
2019-04-10,2500.0,2562.0,2447.0,2533.0,27472823823,10844862,9345,2562.0
2019-04-13,2659.0,2659.0,2659.0,2659.0,4896444799,1841461,2726,2659.0
2019-04-14,2791.0,2791.0,2791.0,2791.0,4336700456,1553816,2953,2791.0
2019-04-15,2930.0,2930.0,2930.0,2930.0,13912138100,4748170,1778,2930.0
2019-04-16,3076.0,3076.0,2784.0,2943.0,131232912306,44588110,14717,2835.0
2019-04-17,2796.0,2796.0,2796.0,2796.0,11017836516,3940571,1776,2796.0
2019-04-20,2657.0,2935.0,2657.0,2823.0,109633043208,38829778,22040,2935.0
2019-04-22,2964.0,2964.0,2683.0,2948.0,108690974099,36871395,12861,2964.0
2019-04-23,3030.0,3095.0,3000.0,3086.0,49082086336,15902679,5152,3095.0
2019-04-24,3240.0,3240.0,3240.0,3240.0,15360133680,4740782,1453,3240.0
2019-04-27,3402.0,3402.0,3300.0,3399.0,48792918379,14357004,3186,3402.0
2019-04-28,3443.0,3568.0,3300.0,3517.0,98298407169,27947249,12429,3568.0
2019-04-29,3659.0,3692.0,3570.0,3666.0,17599044288,4801244,1872,3692.0
2019-04-30,3849.0,4041.0,3849.0,3973.0,66628418528,16769658,4291,3920.0
2019-05-01,3999.0,4168.0,3830.0,3996.0,136822747794,34239220,11249,3901.0
2019-05-04,3852.0,3980.0,3797.0,3866.0,118748992133,30717961,12671,3830.0
2019-05-05,3801.0,3940.0,3673.0,3775.0,91140980259,24141446,7886,3801.0
2019-05-06,3651.0,3739.0,3587.0,3648.0,26884994576,7369029,2795,3587.0
2019-05-07,3466.0,3587.0,3466.0,3469.0,12326479402,3553015,892,3466.0
2019-05-08,3296.0,3570.0,3296.0,3344.0,58210919762,17405504,6442,3391.0
2019-05-11,3350.0,3511.0,3350.0,3475.0,46301703157,13324508,3321,3421.0
2019-05-12,3500.0,3507.0,3302.0,3325.0,21635647258,6506717,2396,3305.0
2019-05-13,3345.0,3450.0,3210.0,3341.0,33581883513,10051295,2920,3351.0
2019-05-14,3347.0,3417.0,3277.0,3342.0,29749829812,8901797,3389,3300.0
2019-05-15,3300.0,3301.0,3175.0,3205.0,27299775672,8518767,2839,3189.0
2019-05-18,3205.0,3349.0,3205.0,3297.0,21654814562,6568568,2528,3290.0
2019-05-19,3266.0,3289.0,3147.0,3191.0,16817848060,5271173,2319,3185.0
2019-05-20,3150.0,3150.0,3032.0,3042.0,24713260516,8124023,2253,3040.0
2019-05-21,3088.0,3194.0,3050.0,3179.0,13117369427,4126789,2433,3194.0
2019-05-22,3300.0,3319.0,3235.0,3279.0,19662109820,5997004,1955,3256.0
2019-05-25,3270.0,3402.0,3170.0,3315.0,22076092573,6659367,2045,3367.0
2019-05-26,3388.0,3402.0,3241.0,3332.0,19708788902,5914739,3319,3286.0
2019-05-28,3300.0,3389.0,3239.0,3283.0,26188165787,7975736,2376,3269.0
2019-05-29,3290.0,3332.0,3180.0,3220.0,12538905884,3893587,1634,3180.0
2019-06-01,3170.0,3248.0,3075.0,3145.0,13894316173,4417980,1619,3171.0
2019-06-02,3164.0,3302.0,3162.0,3251.0,21588083635,6639518,1993,3302.0
2019-06-03,3376.0,3400.0,3302.0,3363.0,24982490001,7428883,1782,3350.0
2019-06-08,3311.0,3348.0,3230.0,3290.0,13511260384,4107228,1221,3341.0
2019-06-09,3360.0,3454.0,3360.0,3441.0,25654050646,7455157,1735,3454.0
