date,open,high,low,adjClose,value,volume,count,close
2020-08-05,25000.0,25000.0,25000.0,25000.0,271795625000,10871825,582,25000.0
2020-08-09,23750.0,23750.0,23750.0,23750.0,14854793750,625465,199,23750.0
2020-08-10,22563.0,22563.0,22563.0,22563.0,1122689754,49758,43,22563.0
2020-08-11,21435.0,21435.0,21435.0,21435.0,3320774505,154923,44,21435.0
2020-08-12,20364.0,21400.0,20364.0,20410.0,731948211227,35861456,4382,20364.0
2020-08-15,19390.0,19390.0,19390.0,19390.0,6082138860,313674,61,19390.0
2020-08-16,18421.0,18421.0,18421.0,18421.0,776647781,42161,20,18421.0
2020-08-17,17500.0,17500.0,17500.0,17500.0,4109210000,234812,27,17500.0
2020-08-18,16625.0,17430.0,16625.0,16688.0,442461880182,26513103,3340,16625.0
2020-08-19,15854.0,15854.0,15854.0,15854.0,175852568,11092,19,15854.0
2020-08-22,15062.0,15062.0,15062.0,15062.0,703651454,46717,18,15062.0
2020-08-23,14309.0,14309.0,14309.0,14309.0,188549693,13177,17,14309.0
2020-08-24,13594.0,13594.0,13594.0,13594.0,265409256,19524,8,13594.0
2020-08-25,12915.0,12915.0,12915.0,12915.0,29061333000,2250200,225,12915.0
2020-08-26,13000.0,13350.0,12270.0,12463.0,589167821440,47275073,4443,12750.0
2020-08-31,12650.0,12740.0,11840.0,12097.0,164644186525,13610574,1468,11840.0
2020-09-01,11493.0,11493.0,11493.0,11493.0,479304072,41704,32,11493.0
2020-09-02,10919.0,10919.0,10919.0,10919.0,877363488,80352,37,10919.0
2020-09-05,10374.0,10500.0,10374.0,10376.0,54168725994,5220441,693,10374.0
2020-09-06,10100.0,10373.0,9858.0,9959.0,85118095270,8547156,1175,9858.0
2020-09-07,9462.0,9462.0,9462.0,9462.0,426802434,45107,21,9462.0
2020-09-08,8989.0,8989.0,8989.0,8989.0,302120290,33610,29,8989.0
2020-09-09,8540.0,8980.0,8540.0,8604.0,158383041058,18407066,2653,8650.0
2020-09-12,9034.0,9034.0,8220.0,8763.0,135678162605,15483670,2418,8650.0
2020-09-16,8800.0,9220.0,8425.0,8904.0,134851642576,15145000,2114,8940.0
2020-09-19,8470.0,9050.0,8459.0,8478.0,83847899878,9890412,1308,8459.0
2020-09-20,8061.0,8290.0,8055.0,8060.0,34696627019,4304786,470,8055.0
2020-09-21,7657.0,7657.0,7657.0,7657.0,6245156398,815614,135,7657.0
2020-09-22,7275.0,7657.0,7275.0,7344.0,140129198984,19080186,2379,7390.0
2020-09-23,7500.0,7711.0,7400.0,7701.0,25101250054,3259611,620,7711.0
2020-09-26,8086.0,8086.0,8086.0,8086.0,7527661700,930950,298,8086.0
2020-09-27,8490.0,8490.0,7820.0,8335.0,238781570027,28647498,2822,8220.0
2020-09-28,8198.0,8198.0,7919.0,7989.0,19186176582,2401572,256,7919.0
2020-09-29,7590.0,7984.0,7590.0,7655.0,85258860337,11137121,1599,7710.0
2020-09-30,7800.0,8037.0,7720.0,8001.0,52782885258,6596719,1017,8037.0
2020-10-03,8288.0,8401.0,8035.0,8340.0,46255478011,5545953,945,8401.0
2020-10-04,8757.0,8757.0,8000.0,8408.0,69145212282,8223762,1234,8125.0
2020-10-05,7997.0,8390.0,7988.0,8071.0,39847067585,4937339,935,7988.0
2020-10-06,8474.0,8474.0,8470.0,8474.0,18026897354,2127321,97,8474.0
2020-10-07,8897.0,8897.0,8510.0,8802.0,102737579989,11672696,1271,8855.0
2020-10-10,8893.0,8893.0,8400.0,8569.0,42469489844,4955944,973,8466.0
2020-10-11,8450.0,8997.0,8370.0,8921.0,153940206551,17256719,1544,8997.0
2020-10-12,9367.0,9367.0,9367.0,9367.0,81129544703,8661209,581,9367.0
2020-10-13,9835.0,9835.0,9835.0,9835.0,11814834675,1201305,182,9835.0
2020-10-14,10326.0,10326.0,9835.0,10263.0,234511137983,22849478,2033,10300.0
2020-10-18,9750.0,10000.0,9750.0,9751.0,21120747833,2166084,226,9750.0
2020-10-19,9264.0,9264.0,9264.0,9264.0,356219328,38452,16,9264.0
2020-10-20,8801.0,8801.0,8801.0,8801.0,4300661456,488656,45,8801.0
2020-10-21,9100.0,9240.0,8361.0,8577.0,134019151076,15624633,1195,8361.0
2020-10-24,8149.0,8149.0,8149.0,8149.0,3043716692,373508,86,8149.0
2020-10-26,7742.0,7742.0,7742.0,7742.0,5163101090,666895,104,7742.0
2020-10-27,7355.0,7355.0,7355.0,7355.0,13578661255,1846181,142,7355.0
2020-10-28,6988.0,6988.0,6988.0,6988.0,58061684760,8308770,647,6988.0
2020-10-31,7000.0,7330.0,6700.0,7054.0,246774400206,34984442,4194,7200.0
2021-02-23,6300.0,6300.0,6300.0,6300.0,5399100,857,1,6300.0
2021-02-24,6250.0,6250.0,6250.0,6250.0,21943750,3511,4,6250.0
2021-02-27,6250.0,6250.0,6250.0,6250.0,5025000,804,1,6250.0
2021-03-01,6450.0,6450.0,6300.0,6303.0,278578500,44195,2,6300.0
2021-03-02,6481.0,6481.0,6481.0,6481.0,5184800,800,1,6481.0
2021-03-03,6360.0,6360.0,6352.0,6352.0,12906000000,2031800,14,6352.0
2021-03-06,6433.0,6433.0,6240.0,6335.0,14900630,2352,3,6240.0
2021-03-07,6615.0,6615.0,6209.0,6290.0,27739290,4410,5,6209.0
2021-03-09,6367.0,6367.0,6165.0,6210.0,72493930,11674,3,6165.0
2021-03-10,6120.0,6120.0,6120.0,6120.0,6732000,1100,1,6120.0
2021-03-13,6060.0,6060.0,5998.0,6019.0,31824700,5287,6,5998.0
2021-03-14,5899.0,5899.0,5899.0,5899.0,43127589,7311,2,5899.0
2021-03-15,5860.0,5860.0,5782.0,5798.0,70093820,12090,10,5782.0
2021-03-16,5710.0,5710.0,5683.0,5690.0,754831202,132670,22,5683.0
2021-03-17,5631.0,5631.0,5577.0,5577.0,466788617025,83698825,880,5577.0
