date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-01-09,1300.0,1300.0,1298.0,1300.0,3103122500,2387305,928,1000.0,1300.0
2013-01-13,1329.0,1349.0,1301.0,1324.0,5177135528,3910580,5514,1300.0,1330.0
2013-01-14,1321.0,1390.0,1320.0,1349.0,3931119749,2914653,1917,1324.0,1352.0
2013-01-15,1356.0,1415.0,1350.0,1363.0,2924323150,2146147,519,1349.0,1350.0
2013-01-16,1348.0,1360.0,1320.0,1354.0,1085758000,801720,231,1363.0,1360.0
2013-01-19,1299.0,1299.0,1299.0,1299.0,51960000,40000,4,1354.0,1299.0
2013-01-20,1250.0,1250.0,1235.0,1245.0,57252000,46000,17,1299.0,1235.0
2013-01-21,1183.0,1185.0,1183.0,1183.0,311555551,263299,63,1245.0,1183.0
2013-01-22,1170.0,1200.0,1124.0,1165.0,239861664,205969,55,1183.0,1200.0
2013-01-23,1127.0,1223.0,1127.0,1170.0,9361000,8000,4,1165.0,1223.0
2013-01-26,1138.0,1142.0,1138.0,1141.0,39904480,34960,10,1170.0,1142.0
2013-01-27,1140.0,1190.0,1140.0,1140.0,396785000,348040,78,1141.0,1190.0
2013-01-28,1140.0,1140.0,1140.0,1140.0,3420000,3000,1,1140.0,1140.0
2013-01-30,1140.0,1140.0,1091.0,1128.0,55939692,49612,13,1140.0,1091.0
2013-02-02,1150.0,1150.0,1150.0,1150.0,5799450,5043,2,1128.0,1150.0
2013-02-03,1165.0,1168.0,1120.0,1148.0,279740348,243677,73,1150.0,1150.0
2013-02-04,1150.0,1199.0,1149.0,1150.0,511694900,445100,602,1148.0,1199.0
2013-02-05,1150.0,1150.0,1150.0,1150.0,4427500,3850,3,1150.0,1150.0
2013-02-06,1188.0,1189.0,1170.0,1188.0,60064229,50561,28,1150.0,1170.0
2013-02-09,1150.0,1186.0,1150.0,1150.0,263697196,229300,411,1188.0,1150.0
2013-02-11,1133.0,1150.0,1131.0,1149.0,154004501,134000,30,1150.0,1131.0
2013-02-12,1120.0,1120.0,1092.0,1095.0,24326400,22220,8,1149.0,1092.0
2013-02-13,1041.0,1110.0,1041.0,1042.0,83394609,80000,45,1095.0,1041.0
2013-02-16,1040.0,1050.0,1040.0,1041.0,67970357,65277,16,1042.0,1041.0
2013-02-17,1010.0,1010.0,1005.0,1006.0,72939385,72477,15,1041.0,1005.0
2013-02-18,1056.0,1056.0,1010.0,1011.0,10018460,9910,6,1006.0,1011.0
2013-02-19,1011.0,1011.0,1000.0,1004.0,128587046,128100,33,1011.0,1000.0
2013-02-20,1000.0,1012.0,1000.0,1004.0,89586600,89233,17,1004.0,1000.0
2013-02-24,961.0,963.0,954.0,959.0,81817790,85330,16,1004.0,954.0
2013-02-25,912.0,912.0,912.0,912.0,1824000,2000,1,959.0,912.0
2013-02-26,870.0,870.0,867.0,868.0,64957551,74853,15,912.0,867.0
2013-02-27,868.0,868.0,868.0,868.0,86800000,100000,100,868.0,868.0
2013-03-02,911.0,911.0,911.0,911.0,163160100,179100,21,868.0,911.0
2013-03-03,956.0,956.0,866.0,881.0,220150000,250000,32,911.0,866.0
2013-03-04,837.0,837.0,837.0,837.0,902286000,1078000,154,881.0,837.0
2013-03-05,796.0,878.0,796.0,799.0,567688551,710890,429,837.0,796.0
2013-03-06,776.0,838.0,760.0,771.0,1003376655,1301259,2537,799.0,838.0
2013-03-09,809.0,809.0,809.0,809.0,2766780,3420,2,771.0,809.0
2013-03-10,849.0,849.0,814.0,839.0,24874583,29657,6,809.0,819.0
2013-03-12,880.0,880.0,839.0,852.0,12612500,14800,4,839.0,879.0
2013-03-13,852.0,894.0,852.0,856.0,4796400,5600,3,852.0,894.0
2013-03-16,898.0,898.0,898.0,898.0,34034200,37900,7,856.0,898.0
2013-03-17,942.0,942.2,942.2,942.0,94200,100,1,898.0,942.0
2013-03-18,988.0,988.0,897.0,942.0,188500,200,2,942.0,897.0
2013-03-25,987.0,989.0,987.0,989.0,9988700,10100,2,942.0,989.0
2013-03-26,1038.0,1038.0,987.0,1018.0,14253967,14001,7,989.0,1030.0
2013-03-27,968.0,968.0,968.0,968.0,116160,120,2,1018.0,968.0
2013-03-30,920.0,920.0,920.0,920.0,92000,100,1,968.0,920.0
2013-03-31,874.0,919.0,874.0,878.0,103339763,117719,45,920.0,880.0
2013-04-06,878.0,920.0,878.0,878.0,26613520,30311,6,878.0,878.0
2013-04-07,878.0,878.0,877.0,878.0,90431000,103000,22,878.0,878.0
2013-04-08,920.0,920.0,920.0,920.0,194385880,211289,45,878.0,920.0
2013-04-09,966.0,966.0,966.0,966.0,9660000,10000,2,920.0,966.0
2013-04-10,919.0,922.0,919.0,922.0,18587959,20161,7,966.0,922.0
2013-04-13,924.0,968.0,924.0,957.0,40119200,41900,12,922.0,968.0
2013-04-15,990.0,990.0,960.0,975.0,3726680,3822,3,957.0,960.0
2013-04-16,960.0,975.0,960.0,968.0,17430000,18000,7,975.0,975.0
2013-04-17,920.0,1016.0,920.0,958.0,205706000,214700,257,968.0,1016.0
2013-04-20,912.0,1000.0,911.0,915.0,124040000,135500,45,958.0,1000.0
2013-04-21,960.0,960.0,960.0,960.0,21120000,22000,7,915.0,960.0
2013-04-23,1008.0,1008.0,960.0,998.0,138288000,138500,159,960.0,960.0
2013-04-24,1000.0,1047.0,1000.0,1022.0,45992000,45000,15,998.0,1047.0
2013-04-27,1072.0,1072.0,1070.0,1072.0,1600964010,1493443,14901,1022.0,1070.0
2013-04-28,1057.0,1057.0,1019.0,1053.0,11851488,11252,5,1072.0,1019.0
2013-04-29,1001.0,1001.0,1001.0,1001.0,20020000,20000,3,1053.0,1001.0
2013-05-04,951.0,951.0,951.0,951.0,4755000,5000,1,1001.0,951.0
2013-05-05,904.0,904.0,904.0,904.0,56002800,61950,19,951.0,904.0
2013-05-06,859.0,862.0,859.0,860.0,157335700,183000,60,904.0,860.0
2013-05-07,818.0,818.0,818.0,818.0,2126800,2600,1,860.0,818.0
2013-05-11,820.0,820.0,820.0,820.0,1640000,2000,2,818.0,820.0
2013-05-13,793.0,793.0,792.0,792.0,45639800,57600,12,820.0,793.0
2013-05-14,800.0,800.0,800.0,800.0,48000000,60000,13,792.0,800.0
2013-05-18,803.0,803.0,803.0,803.0,8030000,10000,1,800.0,803.0
2013-05-20,843.0,843.0,843.0,843.0,843000,1000,2,803.0,843.0
2013-05-21,885.0,885.0,885.0,885.0,88500,100,1,843.0,885.0
2013-05-22,927.0,927.0,927.0,927.0,92700,100,1,885.0,927.0
2013-05-25,927.0,927.0,927.0,927.0,185400,200,2,927.0,927.0
2013-05-26,881.0,881.0,881.0,881.0,47662100,54100,31,927.0,881.0
2013-05-28,837.0,915.0,837.0,838.0,50769000,60600,22,881.0,915.0
2013-06-02,838.0,838.0,798.0,798.0,9592780,12020,6,838.0,798.0
2013-06-09,798.0,798.0,798.0,798.0,798000,1000,1,798.0,798.0
2013-06-10,798.0,800.0,798.0,798.0,27940000,35000,8,798.0,800.0
2013-06-11,801.0,801.0,800.0,801.0,20020000,25000,9,798.0,801.0
2013-06-16,770.0,770.0,769.0,770.0,11545000,15000,2,801.0,769.0
2013-06-17,808.0,808.0,808.0,808.0,4040000,5000,1,770.0,808.0
