date,open,high,low,adjClose,value,volume,count,close
2015-03-18,1700.0,2000.0,1700.0,1925.0,2391560000,1242300,15,2000.0
2015-03-25,1720.0,2000.0,1700.0,1865.0,662117000,355000,9,1700.0
2015-04-05,1999.0,1999.0,1500.0,1902.0,266310000,140000,5,1890.0
2015-04-18,1800.0,1800.0,1800.0,1800.0,961200,534,2,1800.0
2015-04-22,1890.0,1890.0,1890.0,1890.0,880740,466,1,1890.0
2015-04-27,1500.0,1504.0,1500.0,1502.0,3078500000,2050000,5,1500.0
2015-04-28,1250.0,1900.0,1250.0,1504.0,481380267,320000,6,1900.0
2015-04-29,1850.0,1850.0,1850.0,1850.0,185000000,100000,1,1850.0
2015-05-03,1850.0,1899.0,1850.0,1866.0,55990000,30000,2,1899.0
2015-05-04,1750.0,1900.0,1750.0,1756.0,235994100,134400,5,1750.0
2015-05-05,1750.0,1750.0,1750.0,1750.0,381500,218,1,1750.0
2015-05-06,1650.0,1900.0,1650.0,1791.0,53728100,30000,5,1900.0
2015-05-10,1750.0,1750.0,1750.0,1750.0,1219750,697,2,1750.0
2015-05-11,1750.0,1800.0,1750.0,1795.0,27618150,15385,3,1800.0
2015-05-12,1750.0,1750.0,1750.0,1750.0,859250,491,1,1750.0
2015-05-13,1850.0,1850.0,1850.0,1850.0,64768500,35010,1,1850.0
2015-05-18,1750.0,1750.0,1750.0,1750.0,267750,153,1,1750.0
2015-05-19,1840.0,1850.0,1840.0,1850.0,57342470,31000,3,1850.0
2015-05-20,1850.0,1850.0,1850.0,1850.0,27750000,15000,1,1850.0
2015-05-23,1850.0,1850.0,1750.0,1850.0,92652250,50087,3,1850.0
2015-05-24,1850.0,1850.0,1850.0,1850.0,64293050,34753,1,1850.0
2015-05-26,2100.0,2150.0,2100.0,2121.0,37030400,17456,5,2150.0
2015-05-30,2552.0,2552.0,2552.0,2552.0,11540144,4522,1,2552.0
2015-05-31,2681.0,2685.0,2640.0,2648.0,4103661798,1550000,8,2650.0
2015-06-07,2700.0,3000.0,2700.0,2704.0,412387800,152514,6,3000.0
2015-06-08,2800.0,2800.0,2800.0,2800.0,1120000000,400000,2,2800.0
2015-06-09,2850.0,2850.0,2850.0,2850.0,1425000000,500000,2,2850.0
2015-06-10,2850.0,2850.0,2850.0,2850.0,1425000000,500000,2,2850.0
2015-06-13,2850.0,2860.0,2850.0,2850.0,1530585100,536986,3,2860.0
2015-06-14,2850.0,2850.0,2850.0,2850.0,660692700,231822,1,2850.0
2015-06-15,2850.0,2850.0,2850.0,2850.0,339150,119,1,2850.0
2015-06-27,2310.0,2310.0,2300.0,2305.0,20744000,9000,2,2300.0
2015-06-28,2200.0,2300.0,2200.0,2207.0,11920000,5400,3,2200.0
2015-06-30,2250.0,2250.0,2250.0,2250.0,195750,87,1,2250.0
2015-07-05,2300.0,2300.0,2300.0,2300.0,29900,13,1,2300.0
2015-08-24,1900.0,2000.0,1900.0,1972.0,4883200,2476,2,2000.0
2015-09-08,1968.0,1968.0,1968.0,1968.0,16314720,8290,1,1968.0
2015-12-08,1968.0,1968.0,1968.0,1968.0,28221120,14340,1,1968.0
2015-12-13,2000.0,2000.0,2000.0,2000.0,8800000,4400,1,2000.0
2016-01-03,1750.0,1800.0,1750.0,1790.0,19188600,10717,10,1800.0
2016-01-18,1795.0,1795.0,1795.0,1795.0,1073410,598,1,1795.0
2016-01-25,1795.0,1800.0,1795.0,1798.0,5208380,2897,4,1800.0
2016-02-13,1700.0,1700.0,1700.0,1700.0,4301000,2530,5,1700.0
2016-02-14,1700.0,1700.0,1700.0,1700.0,476000,280,3,1700.0
2016-02-17,1700.0,1700.0,1700.0,1700.0,69700,41,1,1700.0
2016-02-23,1700.0,1700.0,1698.0,1700.0,34511823,20302,5,1700.0
2016-03-02,1615.0,1615.0,1615.0,1615.0,4845000,3000,1,1615.0
2016-03-14,1600.0,1700.0,1600.0,1672.0,121299070,72534,7,1700.0
2016-04-13,1700.0,1700.0,1700.0,1700.0,8500000,5000,1,1700.0
2016-04-16,1699.0,1699.0,1699.0,1699.0,8495000,5000,1,1699.0
2016-04-19,1690.0,1690.0,1650.0,1690.0,50916150,30131,2,1650.0
2016-04-20,1700.0,1700.0,1700.0,1700.0,34000000,20000,2,1700.0
2016-04-24,1600.0,1650.0,1600.0,1626.0,5013150,3084,3,1650.0
2016-05-17,1549.0,1600.0,1549.0,1550.0,6936909,4476,3,1600.0
2016-05-30,1401.0,1404.0,1401.0,1401.0,28088796,20049,2,1404.0
2016-05-31,1404.0,1404.0,1404.0,1404.0,1103544,786,1,1404.0
2016-06-01,1350.0,1350.0,1350.0,1350.0,13894200,10292,5,1350.0
2016-06-05,1350.0,1350.0,1350.0,1350.0,1968300,1458,1,1350.0
2016-06-06,1300.0,1300.0,1300.0,1300.0,6063200,4664,3,1300.0
2016-06-07,1301.0,1301.0,1301.0,1301.0,6088680,4680,1,1301.0
2016-06-11,1350.0,1350.0,1310.0,1321.0,17505490,13255,3,1310.0
2016-06-12,1320.0,1320.0,1320.0,1320.0,25080000,19000,4,1320.0
2016-06-20,1260.0,1350.0,1260.0,1269.0,2378820,1874,4,1350.0
2016-06-26,1300.0,1300.0,1265.0,1273.0,6409152,5034,4,1269.0
2016-08-10,1110.0,1112.0,1110.0,1112.0,640322,576,2,1112.0
2016-08-22,1100.0,1100.0,1100.0,1100.0,14441900,13129,1,1100.0
2016-08-31,1100.0,1100.0,1100.0,1100.0,178200,162,1,1100.0
2016-09-11,1100.0,1100.0,1100.0,1100.0,767800,698,2,1100.0
2016-09-19,1101.0,1101.0,1101.0,1101.0,323694,294,1,1101.0
2016-09-24,1111.0,1111.0,1111.0,1111.0,145541,131,1,1111.0
2016-09-25,1111.0,1111.0,1111.0,1111.0,107767,97,1,1111.0
2016-09-26,1111.0,1111.0,1110.0,1111.0,1809668,1629,2,1110.0
2016-09-27,1115.0,1115.0,1115.0,1115.0,180630,162,1,1115.0
2016-10-08,1131.0,1131.0,1131.0,1131.0,194532,172,1,1131.0
2016-10-17,1143.0,1390.0,1143.0,1384.0,104003757,75135,6,1390.0
2016-10-18,1390.0,1390.0,1390.0,1390.0,255760,184,1,1390.0
2016-11-14,1137.0,1160.0,1130.0,1131.0,40893752,36146,5,1130.0
2016-11-19,1145.0,1150.0,1145.0,1150.0,1382195,1202,2,1150.0
2016-11-29,1161.0,1161.0,1160.0,1161.0,87206600,75135,2,1160.0
2016-12-05,1160.0,1161.0,1160.0,1160.0,460548,397,2,1161.0
2016-12-06,1160.0,1160.0,1160.0,1160.0,1856000,1600,1,1160.0
2016-12-12,1161.0,1161.0,1161.0,1161.0,406350,350,1,1161.0
2016-12-18,1152.0,1152.0,1152.0,1152.0,5760000,5000,1,1152.0
2016-12-20,1162.0,1162.0,1161.0,1162.0,899038,774,3,1161.0
2016-12-24,1161.0,1161.0,1161.0,1161.0,659448,568,1,1161.0
2016-12-25,1163.0,1163.0,1161.0,1162.0,7782094,6696,3,1161.0
2016-12-27,1152.0,1160.0,1152.0,1158.0,7528000,6500,2,1160.0
2016-12-28,1152.0,1161.0,1152.0,1153.0,55407461,48063,7,1152.0
2016-12-31,1152.0,1152.0,1152.0,1152.0,10350720,8985,2,1152.0
2017-01-02,1152.0,1152.0,1152.0,1152.0,956160,830,2,1152.0
2017-01-04,1145.0,1152.0,1145.0,1146.0,6469030,5644,3,1152.0
2017-01-09,1160.0,1160.0,1110.0,1134.0,77949072,68747,6,1110.0
2017-01-15,1127.0,1127.0,1127.0,1127.0,664930,590,1,1127.0
2017-01-21,1128.0,1128.0,1127.0,1127.0,666163,591,2,1127.0
2017-01-22,1127.0,1127.0,1110.0,1121.0,7365380,6571,6,1110.0
2017-01-25,1111.0,1111.0,1111.0,1111.0,212201,191,1,1111.0
2017-01-31,1111.0,1111.0,1100.0,1108.0,12732745,11494,4,1100.0
2017-02-05,1110.0,1110.0,900.0,910.0,48690162,53494,5,1110.0
2017-02-12,931.0,931.0,931.0,931.0,731766,786,3,931.0
2017-02-21,936.0,936.0,936.0,936.0,49608,53,1,936.0
2017-02-25,941.0,941.0,941.0,941.0,184436,196,2,941.0
2017-02-28,947.0,947.0,947.0,947.0,124057,131,1,947.0
2017-03-01,1000.0,1000.0,1000.0,1000.0,17100000,17100,3,1000.0
2017-03-13,1100.0,1100.0,1100.0,1100.0,35301200,32092,4,1100.0
2017-03-14,1010.0,1210.0,1010.0,1207.0,126914932,105130,33,1210.0
2017-03-15,1326.0,1326.0,1210.0,1239.0,55100800,44463,20,1318.0
2017-03-18,1349.0,1349.0,1118.0,1153.0,29869321,25900,12,1200.0
2017-03-25,1090.0,1268.0,1090.0,1239.0,143146606,115490,38,1268.0
2017-03-26,1180.0,1362.0,1180.0,1360.0,50003020,36774,14,1362.0
2017-03-27,1254.0,1496.0,1254.0,1486.0,91535967,61619,12,1496.0
2017-03-28,1634.0,1634.0,1634.0,1634.0,38948024,23836,7,1634.0
2017-03-29,1797.0,1797.0,1500.0,1774.0,388100972,218768,59,1797.0
2017-04-03,1899.0,1899.0,1635.0,1857.0,10801060,5816,5,1800.0
2017-04-04,1949.0,1949.0,1700.0,1763.0,174448098,98930,33,1800.0
2017-04-05,1800.0,1900.0,1600.0,1640.0,52149200,31807,18,1600.0
2017-04-08,1801.0,1801.0,1477.0,1669.0,77397314,46378,20,1598.0
2017-04-09,1598.0,1600.0,1503.0,1533.0,336615421,219563,67,1503.0
2017-04-10,1405.0,1686.0,1405.0,1604.0,338266042,210825,37,1686.0
2017-04-12,1686.0,1764.0,1670.0,1759.0,200393079,113949,36,1764.0
2017-04-15,1800.0,1934.0,1800.0,1928.0,882656037,457712,46,1934.0
2017-04-16,2000.0,2000.0,1831.0,1881.0,209106467,111153,24,1930.0
2017-04-17,1897.0,2020.0,1708.0,1913.0,373212490,195044,28,1720.0
2017-04-18,1723.0,1888.0,1723.0,1744.0,36221590,20745,16,1730.0
2017-04-19,1728.0,1900.0,1572.0,1808.0,506628284,280228,66,1760.0
2017-04-22,1700.0,1800.0,1655.0,1711.0,704302625,411668,62,1800.0
2017-04-23,1795.0,1882.0,1620.0,1780.0,525475102,295272,52,1668.0
2017-04-24,1630.0,1728.0,1602.0,1658.0,371275126,223869,37,1720.0
2017-04-26,1600.0,1800.0,1600.0,1737.0,198525489,114262,27,1800.0
2017-04-29,1606.0,1650.0,1601.0,1610.0,278096538,172692,28,1650.0
2017-04-30,1771.0,1771.0,1730.0,1771.0,2100649631,1186161,118,1771.0
2017-05-01,1780.0,1948.0,1780.0,1946.0,8282733058,4255613,245,1948.0
2017-05-02,2140.0,2140.0,2140.0,2140.0,92075640,43026,15,2140.0
2017-05-03,2354.0,2354.0,2177.0,2339.0,6015020691,2572105,264,2354.0
2017-05-06,2340.0,2470.0,2170.0,2278.0,1507505458,661642,106,2199.0
2017-05-07,2122.0,2505.0,2051.0,2374.0,4598836655,1937111,278,2505.0
2017-05-08,2611.0,2611.0,2600.0,2610.0,1464712557,561162,93,2611.0
2017-05-09,2871.0,2871.0,2610.0,2837.0,7839380015,2763722,409,2871.0
2017-05-10,3110.0,3120.0,3000.0,3108.0,1548436896,498176,61,3120.0
2017-05-13,3418.0,3418.0,3418.0,3418.0,532558580,155810,23,3418.0
2017-05-14,3759.0,3759.0,3759.0,3759.0,1001728392,266488,33,3759.0
2017-05-15,4129.0,4134.0,3701.0,4087.0,15104282764,3695730,525,4134.0
2017-05-16,4099.0,4099.0,3679.0,3749.0,9412072608,2510434,429,3700.0
2017-05-17,3375.0,3698.0,3375.0,3411.0,3958265137,1160381,267,3375.0
2017-05-20,3310.0,3639.0,3112.0,3463.0,2648487004,764757,192,3610.0
2017-05-21,3660.0,3809.0,3640.0,3778.0,4434909740,1173847,182,3809.0
2017-05-22,4000.0,4155.0,3999.0,4130.0,10390749197,2516104,359,4155.0
2017-05-23,4543.0,4543.0,4543.0,4543.0,3429383496,754872,80,4543.0
2017-05-24,4858.0,4997.0,4600.0,4873.0,12211222333,2505718,528,4997.0
2017-05-27,5347.0,5360.0,4900.0,5246.0,9230323645,1759349,466,5360.0
2017-05-28,5001.0,5650.0,4722.0,4780.0,10214039208,2136859,415,4722.0
2017-05-29,4650.0,4720.0,4302.0,4427.0,6667381389,1506002,266,4302.0
2017-05-30,4250.0,4478.0,4020.0,4168.0,8049635145,1931349,514,4100.0
2017-05-31,4167.0,4499.0,4020.0,4254.0,5592362669,1314654,308,4232.0
2017-06-03,4301.0,4443.0,3860.0,4164.0,3886908887,933508,213,3860.0
2017-06-06,3860.0,4057.0,3800.0,3867.0,2964945032,766679,218,3880.0
2017-06-07,4000.0,4247.0,3511.0,4062.0,5001304704,1231195,304,3880.0
2017-06-10,4109.0,4110.0,3707.0,3918.0,2179820298,556399,170,3850.0
2017-06-11,3900.0,4000.0,3527.0,3607.0,3561843551,987383,271,3527.0
2017-06-12,3520.0,3849.0,3309.0,3671.0,2086124181,568287,183,3744.0
2017-06-13,3620.0,3789.0,3524.0,3604.0,754791929,209442,92,3679.0
2017-06-14,3694.0,3748.0,3499.0,3619.0,1677893008,463612,117,3619.0
2017-06-17,3536.0,3722.0,3300.0,3420.0,1641944309,480161,133,3300.0
2017-06-18,3450.0,3450.0,3115.0,3255.0,704474907,216398,90,3230.0
2017-06-19,3040.0,3580.0,3040.0,3389.0,3247837432,958481,328,3580.0
2017-06-20,3720.0,3720.0,3470.0,3620.0,3458396708,955336,218,3642.0
2017-06-21,3378.0,3720.0,3378.0,3600.0,1810000292,502846,125,3550.0
2017-06-24,3600.0,3690.0,3240.0,3344.0,2736455481,818326,221,3340.0
2017-06-25,3340.0,3340.0,3090.0,3176.0,1415043203,445479,169,3178.0
2017-06-28,3160.0,3388.0,3155.0,3212.0,1400417729,436035,129,3212.0
2017-07-01,3160.0,3455.0,3160.0,3304.0,1416086674,428538,184,3260.0
2017-07-02,3193.0,3337.0,3192.0,3218.0,703368259,218589,76,3200.0
2017-07-03,3011.0,3220.0,3011.0,3162.0,2124005413,671713,170,3210.0
2017-07-04,3100.0,3187.0,2900.0,3032.0,1688918399,557101,180,3028.0
2017-07-05,3091.0,3091.0,2900.0,2963.0,845679000,285367,107,2950.0
2017-07-18,3102.0,3102.0,3102.0,3102.0,120140460,38730,8,3102.0
2017-07-19,3233.0,3412.0,3222.0,3354.0,1215674037,362424,102,3412.0
2017-07-22,3689.0,3689.0,3687.0,3689.0,2000022305,542168,107,3689.0
2017-07-23,4057.0,4057.0,4057.0,4057.0,611523781,150733,44,4057.0
2017-07-24,4462.0,4462.0,4462.0,4462.0,293952098,65879,23,4462.0
2017-07-25,4908.0,4908.0,4016.0,4282.0,16850228064,3934712,924,4016.0
2017-07-26,3900.0,4100.0,3854.0,3892.0,4693396604,1205992,394,3854.0
2017-07-29,3559.0,4111.0,3556.0,3942.0,4706328446,1193748,487,3900.0
2017-07-30,4050.0,4050.0,3661.0,3768.0,1492846975,396208,152,3760.0
2017-07-31,3652.0,4144.0,3652.0,3982.0,6988455326,1754982,331,3811.0
2017-08-01,4080.0,4380.0,4080.0,4365.0,8715795472,1996713,424,4380.0
2017-08-02,4790.0,4801.0,4460.0,4772.0,11139663908,2334584,568,4801.0
2017-08-06,5249.0,5249.0,4831.0,5072.0,15360288678,3028660,745,4914.0
2017-08-07,4899.0,4950.0,4565.0,4628.0,6053218959,1308041,424,4565.0
2017-08-08,4250.0,4400.0,4166.0,4195.0,4503927766,1073573,332,4166.0
2017-08-09,4081.0,4555.0,4011.0,4324.0,5933532352,1372226,401,4201.0
2017-08-12,4388.0,4530.0,4152.0,4410.0,2608963863,591644,185,4322.0
2017-08-13,4400.0,4600.0,4252.0,4447.0,2264285714,509158,186,4447.0
2017-08-14,4548.0,4700.0,4371.0,4518.0,1095169067,242423,124,4404.0
2017-08-15,4300.0,4400.0,4067.0,4146.0,2371871811,572090,208,4179.0
2017-08-16,4085.0,4230.0,4085.0,4149.0,466116272,112332,57,4121.0
2017-08-19,4200.0,4200.0,3865.0,4056.0,706951830,174283,97,3865.0
2017-08-20,4099.0,4380.0,3912.0,4164.0,2623758606,630138,208,4070.0
2017-08-21,4264.0,4496.0,4054.0,4410.0,3053793244,692474,278,4496.0
2017-08-22,4500.0,4500.0,4300.0,4376.0,1108296609,253275,93,4300.0
2017-08-23,4400.0,4400.0,4103.0,4191.0,1081186079,257989,139,4210.0
2017-08-26,4100.0,4300.0,4080.0,4118.0,1222653968,296931,136,4115.0
2017-08-27,4110.0,4529.0,4110.0,4463.0,5557085781,1245154,503,4335.0
2017-08-28,4222.0,4460.0,4202.0,4251.0,1457062325,342770,151,4216.0
2017-08-29,4200.0,4585.0,4200.0,4421.0,2147613224,485794,222,4350.0
2017-08-30,4333.0,4517.0,4251.0,4326.0,1272540253,294165,132,4260.0
2017-09-02,4260.0,4490.0,4260.0,4371.0,1295689779,296398,124,4260.0
2017-09-03,4201.0,4385.0,4100.0,4177.0,971768341,232651,109,4200.0
2017-09-04,4101.0,4296.0,3800.0,3987.0,2932916372,735656,244,3960.0
2017-09-05,3910.0,4187.0,3904.0,4061.0,2064401154,508348,203,4070.0
2017-09-06,3961.0,4080.0,3961.0,3993.0,409634352,102591,64,4015.0
2017-09-10,3961.0,3961.0,3810.0,3867.0,781099340,202004,101,3836.0
2017-09-11,3810.0,3937.0,3632.0,3678.0,905800828,246272,122,3690.0
2017-09-12,3620.0,3620.0,3450.0,3512.0,1267558799,360921,177,3492.0
2017-09-13,3453.0,3863.0,3450.0,3757.0,2300449763,612283,234,3863.0
2017-09-16,3880.0,3900.0,3765.0,3804.0,169967077,44679,44,3830.0
2017-09-17,3651.0,4099.0,3651.0,3887.0,1215695342,312768,131,3870.0
2017-09-18,3800.0,4000.0,3800.0,3881.0,471664521,121538,54,3857.0
2017-09-19,3870.0,3870.0,3600.0,3646.0,1722418636,472395,203,3600.0
