date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-07-01,1000.0,1000.0,1000.0,1000.0,700000,700,1,0.0,1000.0
2002-08-03,1100.0,1100.0,1100.0,1100.0,770000,700,1,1000.0,1100.0
2002-08-07,1155.0,1155.0,1155.0,1155.0,11550000,10000,3,1100.0,1155.0
2002-08-10,1212.0,1212.0,1212.0,1212.0,24240000,20000,5,1155.0,1212.0
2002-08-11,1272.0,1272.0,1272.0,1272.0,12720000,10000,1,1212.0,1272.0
2002-08-13,1335.0,1335.0,1335.0,1335.0,80100000,60000,31,1272.0,1335.0
2002-08-14,1401.0,1401.0,1401.0,1401.0,280200000,200000,78,1335.0,1401.0
2002-08-17,1471.0,1471.0,1471.0,1471.0,147100000,100000,40,1401.0,1471.0
2002-08-19,1507.0,1507.0,1507.0,1507.0,301400000,200000,82,1471.0,1507.0
2002-08-20,1544.0,1544.0,1544.0,1544.0,386000000,250000,94,1507.0,1544.0
2002-08-21,1582.0,1582.0,1582.0,1582.0,449288000,284000,61,1544.0,1582.0
2002-08-26,1661.0,1661.0,1661.0,1661.0,36375900,21900,14,1582.0,1661.0
2002-08-27,1744.0,1744.0,1744.0,1744.0,976465600,559900,95,1661.0,1744.0
2002-08-28,1831.0,1831.0,1827.0,1831.0,1179343710,644230,182,1744.0,1831.0
2002-08-31,1831.0,1832.0,1794.0,1798.0,193540813,107238,42,1831.0,1798.0
2002-09-01,1797.0,1800.0,1795.0,1798.0,405446055,225510,50,1798.0,1798.0
2002-09-02,1798.0,1798.0,1760.0,1760.0,100621415,56097,19,1798.0,1760.0
2002-09-03,1750.0,1750.0,1672.0,1672.0,74890750,44689,12,1760.0,1672.0
2002-09-04,1669.0,1669.0,1600.0,1600.0,128783000,80000,20,1672.0,1600.0
2002-09-08,1530.0,1530.0,1520.0,1520.0,9558400,6280,3,1600.0,1520.0
2002-09-10,1508.0,1510.0,1508.0,1510.0,77932462,51618,8,1520.0,1510.0
2002-09-17,1490.0,1510.0,1490.0,1510.0,38725560,25695,10,1510.0,1510.0
2002-09-18,1530.0,1580.0,1510.0,1580.0,51054210,32731,13,1510.0,1580.0
2002-09-22,1595.0,1659.0,1595.0,1659.0,24469500,15000,8,1580.0,1659.0
2002-09-23,1741.0,1741.0,1700.0,1741.0,759470200,440900,59,1659.0,1741.0
2002-09-24,1696.0,1741.0,1680.0,1731.0,309489802,179260,53,1741.0,1731.0
2002-09-29,1700.0,1729.0,1700.0,1729.0,53291500,31000,6,1731.0,1729.0
2002-10-01,1671.0,1671.0,1670.0,1670.0,9325610,5583,3,1729.0,1670.0
2002-10-02,1600.0,1600.0,1597.0,1597.0,26255740,16420,11,1670.0,1597.0
2002-10-06,1597.0,1597.0,1597.0,1597.0,26350500,16500,5,1597.0,1597.0
2002-10-07,1596.0,1597.0,1596.0,1597.0,11975000,7500,4,1597.0,1597.0
2002-10-08,1596.0,1596.0,1596.0,1596.0,79800,50,1,1597.0,1596.0
2002-10-09,1594.0,1594.0,1594.0,1594.0,1984530,1245,2,1596.0,1594.0
2002-10-12,1595.0,1595.0,1595.0,1595.0,2976270,1866,2,1594.0,1595.0
2002-10-14,1590.0,1590.0,1590.0,1590.0,1192500,750,1,1595.0,1590.0
2002-10-19,1580.0,1580.0,1580.0,1580.0,496120,314,1,1590.0,1580.0
2002-10-21,1540.0,1540.0,1540.0,1540.0,2288440,1486,2,1580.0,1540.0
2002-10-27,1542.0,1550.0,1541.0,1541.0,10606826,6877,9,1540.0,1541.0
2002-10-28,1541.0,1541.0,1541.0,1541.0,7705000,5000,5,1541.0,1541.0
2002-10-29,1540.0,1540.0,1540.0,1540.0,1540000,1000,1,1541.0,1540.0
2002-10-30,1540.0,1610.0,1540.0,1610.0,23259420,14873,11,1540.0,1610.0
2002-11-02,1640.0,1640.0,1617.0,1627.0,70025017,43005,21,1610.0,1627.0
2002-11-03,1700.0,1708.0,1674.0,1708.0,69527000,40750,12,1627.0,1708.0
2002-11-04,1700.0,1700.0,1700.0,1700.0,4165000,2450,2,1708.0,1700.0
2002-11-05,1700.0,1701.0,1660.0,1660.0,17805950,10500,7,1700.0,1660.0
2002-11-06,1600.0,1605.0,1302.0,1604.0,12621398362,9689532,2900,1660.0,1604.0
2002-11-09,1610.0,1625.0,1610.0,1625.0,40325000,25000,5,1604.0,1625.0
2002-11-10,1696.0,1706.0,1696.0,1706.0,334812918,196398,38,1625.0,1706.0
2002-11-11,1791.0,1791.0,1791.0,1791.0,322168662,179882,43,1706.0,1791.0
