date,open,high,low,adjClose,value,volume,count,close
2004-03-17,1500.0,1500.0,1500.0,1500.0,247500000,165000,43,1500.0
2004-03-28,1510.0,1510.0,1510.0,1510.0,15100000,10000,3,1510.0
2004-04-05,1585.0,1585.0,1585.0,1585.0,110157500,69500,16,1585.0
2004-04-06,1664.0,1664.0,1664.0,1664.0,792064000,476000,98,1664.0
2004-04-07,1747.0,1747.0,1747.0,1747.0,17470000,10000,9,1747.0
2004-04-10,1834.0,1834.0,1834.0,1834.0,91700000,50000,7,1834.0
2004-04-12,1925.0,1925.0,1925.0,1925.0,1193500000,620000,115,1925.0
2004-04-13,2021.0,2021.0,2021.0,2021.0,32336000,16000,3,2021.0
2004-04-17,2122.0,2122.0,2122.0,2122.0,23342000,11000,4,2122.0
2004-04-18,2228.0,2228.0,2228.0,2228.0,20441900,9175,4,2228.0
2004-04-21,2339.0,2339.0,2339.0,2339.0,23390000,10000,1,2339.0
2004-04-24,2455.0,2455.0,2455.0,2455.0,757220200,308440,88,2455.0
2004-04-25,2577.0,2577.0,2577.0,2577.0,25770000,10000,6,2577.0
2004-04-26,2705.0,2705.0,2705.0,2705.0,25697500,9500,7,2705.0
2004-04-27,2840.0,2840.0,2840.0,2840.0,38624000,13600,4,2840.0
2004-04-28,2982.0,2982.0,2982.0,2982.0,37275000,12500,9,2982.0
2004-05-01,3131.0,3131.0,2833.0,3048.0,2442266952,801207,369,3048.0
2004-05-02,2896.0,2936.0,2896.0,2912.0,395104976,135636,52,2912.0
2004-05-03,3038.0,3057.0,3000.0,3048.0,221087011,72524,43,3048.0
2004-05-04,3200.0,3200.0,3199.0,3199.0,861692400,269282,69,3199.0
2004-05-05,3100.0,3358.0,3080.0,3276.0,99779234,30451,15,3276.0
2004-05-08,3439.0,3439.0,3439.0,3439.0,107107655,31145,12,3439.0
2004-05-09,3610.0,3610.0,3610.0,3610.0,77615000,21500,11,3610.0
2004-05-10,3790.0,3790.0,3664.0,3664.0,10125620,2672,5,3664.0
2004-05-11,3847.0,3847.0,3847.0,3847.0,2013977593,523519,171,3847.0
2004-05-12,4039.0,4039.0,4039.0,4039.0,644450723,159557,33,4039.0
2004-05-15,4240.0,4240.0,4240.0,4240.0,126915920,29933,11,4240.0
