date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-04-24,2280.0,2280.0,2280.0,2280.0,73568418000,32266850,2435,1000.0,2280.0
2012-04-28,2394.0,2394.0,2394.0,2394.0,960242976,401104,93,2280.0,2394.0
2012-04-29,2513.0,2513.0,2513.0,2513.0,21662060,8620,10,2394.0,2513.0
2012-04-30,2638.0,2638.0,2638.0,2638.0,31524100,11950,22,2513.0,2638.0
2012-05-01,2769.0,2769.0,2769.0,2769.0,57002634,20586,30,2638.0,2769.0
2012-05-02,2907.0,2907.0,2907.0,2907.0,326671218,112374,65,2769.0,2907.0
2012-05-05,3052.0,3052.0,3052.0,3052.0,756801388,247969,171,2907.0,3052.0
2012-05-06,3204.0,3204.0,3204.0,3204.0,629569980,196495,133,3052.0,3204.0
2012-05-07,3364.0,3364.0,3350.0,3364.0,62781918902,18663004,11749,3204.0,3364.0
2012-05-08,3451.0,3500.0,3350.0,3420.0,45149543910,13201309,7508,3364.0,3400.0
2012-05-09,3340.0,3363.0,3249.0,3276.0,17085053359,5215880,2701,3420.0,3260.0
2012-05-12,3196.0,3299.0,3150.0,3216.0,8738908655,2716954,1531,3276.0,3170.0
2012-05-13,3122.0,3170.0,3093.0,3123.0,6913572562,2213948,1043,3216.0,3100.0
2012-05-14,3097.0,3240.0,3097.0,3147.0,4961063481,1576456,762,3123.0,3140.0
2012-05-15,3140.0,3168.0,3010.0,3058.0,3156835255,1032242,410,3147.0,3040.0
2012-05-16,3030.0,3077.0,3002.0,3049.0,2283148825,748797,343,3058.0,3073.0
2012-05-19,3070.0,3201.0,3069.0,3195.0,9880579059,3092449,946,3049.0,3201.0
2012-05-20,3210.0,3354.0,3204.0,3326.0,9292552656,2793917,1001,3195.0,3354.0
2012-05-21,3392.0,3456.0,3270.0,3374.0,6741353252,1997911,728,3326.0,3290.0
2012-05-22,3278.0,3327.0,3206.0,3243.0,4261224783,1313965,555,3374.0,3206.0
2012-05-23,3220.0,3326.0,3201.0,3241.0,4119565924,1271104,435,3243.0,3220.0
2012-05-26,3160.0,3160.0,3079.0,3095.0,5308786287,1715408,573,3241.0,3145.0
2012-05-27,3140.0,3190.0,3112.0,3134.0,1583147663,505100,243,3095.0,3130.0
2012-05-28,3130.0,3130.0,3052.0,3089.0,3298757497,1068009,375,3134.0,3100.0
2012-05-29,3021.0,3095.0,3021.0,3042.0,1859711519,611439,276,3089.0,3050.0
2012-05-30,3045.0,3115.0,3031.0,3059.0,1176188932,384441,199,3042.0,3050.0
2012-06-02,3051.0,3120.0,3051.0,3099.0,1530636247,493974,152,3059.0,3076.0
2012-06-05,3057.0,3099.0,3022.0,3052.0,1381716247,452770,156,3099.0,3050.0
2012-06-06,3042.0,3050.0,2950.0,3006.0,1867827714,621292,230,3052.0,2955.0
2012-06-09,2932.0,2932.0,2856.0,2865.0,402937217,140627,78,3006.0,2856.0
2012-06-10,2722.0,2800.0,2722.0,2746.0,3809717976,1387486,421,2865.0,2770.0
2012-06-11,2750.0,2852.0,2750.0,2814.0,2160608969,767737,284,2746.0,2841.0
2012-06-12,2849.0,2880.0,2800.0,2823.0,874699466,309816,128,2814.0,2815.0
2012-06-13,2770.0,2850.0,2750.0,2786.0,694075532,249133,116,2823.0,2799.0
2012-06-16,2770.0,2777.0,2700.0,2722.0,858720693,315520,135,2786.0,2700.0
2012-06-17,2700.0,2700.0,2638.0,2674.0,1021674030,382105,145,2722.0,2638.0
2012-06-19,2611.0,2620.0,2570.0,2598.0,533815983,205453,106,2674.0,2600.0
2012-06-20,2602.0,2680.0,2555.0,2588.0,1498245771,578904,185,2598.0,2555.0
2012-06-23,2550.0,2550.0,2459.0,2463.0,1080851469,438783,130,2588.0,2459.0
2012-06-24,2349.0,2438.0,2340.0,2357.0,2629707190,1115501,403,2463.0,2350.0
2012-06-25,2275.0,2360.0,2240.0,2273.0,1194260159,525470,188,2357.0,2240.0
2012-06-26,2200.0,2200.0,2160.0,2160.0,4935944410,2284933,716,2273.0,2160.0
2012-06-27,2100.0,2190.0,2060.0,2107.0,2068919267,982062,316,2160.0,2150.0
2012-06-30,2212.0,2212.0,2212.0,2212.0,294496832,133136,34,2107.0,2212.0
2012-07-01,2322.0,2322.0,2322.0,2322.0,68357358,29439,25,2212.0,2322.0
2012-07-02,2438.0,2438.0,2438.0,2438.0,25235738,10351,6,2322.0,2438.0
2012-07-03,2559.0,2559.0,2442.0,2545.0,13652678860,5365518,2169,2438.0,2559.0
2012-07-09,2390.0,2390.0,2283.0,2342.0,1060632380,452780,149,2271.0,2350.0
2012-07-10,2340.0,2459.0,2229.0,2366.0,2741022538,1158530,438,2342.0,2459.0
2012-07-11,2484.0,2484.0,2484.0,2484.0,56270052,22653,13,2366.0,2484.0
2012-07-14,2608.0,2608.0,2521.0,2605.0,1710950389,656897,112,2484.0,2608.0
2012-07-15,2650.0,2650.0,2475.0,2494.0,2103200177,843460,222,2605.0,2475.0
2012-07-16,2450.0,2616.0,2410.0,2550.0,1660970000,651259,274,2494.0,2519.0
2012-07-17,2558.0,2563.0,2451.0,2488.0,705142866,283381,86,2550.0,2468.0
2012-07-18,2451.0,2558.0,2450.0,2515.0,1420457604,564834,154,2488.0,2540.0
2012-07-21,2560.0,2590.0,2500.0,2529.0,660190367,261054,94,2515.0,2500.0
2012-07-22,2504.0,2560.0,2500.0,2531.0,2482523253,981019,151,2529.0,2505.0
