date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-12,310.0,310.0,310.0,310.0,37200000,120000,4,170.0,310.0
2013-11-30,330.0,450.0,300.0,370.0,52892550,143090,14,310.0,330.0
2013-12-08,500.0,750.0,450.0,555.0,47882250,86221,7,370.0,450.0
2013-12-09,800.0,800.0,800.0,800.0,2434400,3043,1,555.0,800.0
2013-12-10,749.0,800.0,749.0,758.0,99552637,131313,13,800.0,800.0
2013-12-11,800.0,800.0,800.0,800.0,800000,1000,1,758.0,800.0
2013-12-24,1060.0,1180.0,850.0,954.0,353383950,370557,21,800.0,850.0
2013-12-25,1200.0,1200.0,1200.0,1200.0,318000,265,5,954.0,1200.0
2013-12-29,1510.0,1520.0,1500.0,1509.0,261729130,173463,5,1200.0,1520.0
2013-12-30,1600.0,1600.0,1600.0,1600.0,160000000,100000,1,1509.0,1600.0
2014-01-01,1530.0,1600.0,1500.0,1528.0,356642638,233401,21,1600.0,1522.0
2014-01-04,1525.0,1610.0,1500.0,1571.0,1033653000,658040,11,1528.0,1520.0
2014-01-05,1400.0,1530.0,1399.0,1483.0,419614555,282940,21,1571.0,1499.0
2014-01-06,1490.0,1490.0,1490.0,1490.0,44700000,30000,1,1483.0,1490.0
2014-01-07,1500.0,1550.0,1311.0,1391.0,251777505,180991,9,1490.0,1311.0
2014-01-13,1490.0,1520.0,1300.0,1413.0,474302933,335690,15,1391.0,1490.0
2014-01-15,1450.0,1490.0,1311.0,1347.0,69841350,51863,3,1413.0,1311.0
2014-01-20,1420.0,1420.0,1199.0,1379.0,83280320,60393,5,1347.0,1199.0
2014-01-27,1290.0,1490.0,1200.0,1234.0,443509960,359500,15,1379.0,1490.0
2014-02-01,1290.0,1290.0,1000.0,1121.0,446979620,398848,22,1234.0,1290.0
2014-02-02,1270.0,1290.0,1201.0,1269.0,40124200,31630,3,1121.0,1201.0
2014-02-03,1291.0,1291.0,1270.0,1275.0,79621893,62473,6,1269.0,1270.0
2014-02-05,1100.0,1100.0,1050.0,1075.0,64582500,60075,2,1275.0,1050.0
2014-02-08,961.0,961.0,961.0,961.0,2306400,2400,1,1075.0,961.0
2014-02-23,963.0,963.0,963.0,963.0,924480,960,1,961.0,963.0
2014-02-24,961.0,961.0,961.0,961.0,7015300,7300,4,963.0,961.0
2014-03-02,962.0,962.0,961.0,961.0,10860300,11300,2,961.0,961.0
2014-03-04,960.0,960.0,890.0,914.0,220348000,241000,9,961.0,890.0
2014-03-08,880.0,880.0,800.0,835.0,436991600,523570,10,914.0,800.0
2014-03-09,870.0,870.0,750.0,752.0,64172880,85324,4,835.0,750.0
2014-03-11,670.0,700.0,670.0,697.0,30318300,43469,4,752.0,700.0
2014-03-17,730.0,730.0,670.0,711.0,57325750,80675,5,697.0,690.0
2014-03-26,690.0,690.0,680.0,689.0,29871200,43340,6,711.0,680.0
2014-03-29,699.0,699.0,680.0,681.0,5733360,8418,2,689.0,680.0
2014-03-31,710.0,710.0,710.0,710.0,149810,211,1,681.0,710.0
2014-04-07,700.0,700.0,700.0,700.0,1765400,2522,1,710.0,700.0
2014-04-08,700.0,700.0,690.0,691.0,1046900,1516,2,700.0,690.0
2014-04-09,690.0,690.0,650.0,658.0,4548710,6911,2,691.0,650.0
2014-04-12,650.0,650.0,650.0,650.0,33085000,50900,2,658.0,650.0
2014-04-14,700.0,700.0,580.0,583.0,32331500,55445,3,650.0,580.0
2014-04-19,680.0,680.0,600.0,619.0,49818928,80451,6,583.0,600.0
2014-04-20,600.0,649.0,550.0,579.0,284362613,491386,18,619.0,649.0
2014-04-21,600.0,600.0,560.0,560.0,18320200,32700,5,579.0,562.0
2014-04-22,546.0,585.0,546.0,568.0,24856710,43730,4,560.0,585.0
2014-04-26,600.0,600.0,551.0,577.0,354204729,614353,25,568.0,570.0
2014-04-27,600.0,600.0,560.0,574.0,204006818,355224,11,577.0,560.0
2014-04-28,560.0,561.0,560.0,560.0,106617800,190380,10,574.0,560.0
2014-04-29,560.0,580.0,560.0,561.0,120279552,214539,15,560.0,561.0
2014-04-30,561.0,579.0,560.0,563.0,55268538,98119,7,561.0,560.0
2014-05-03,560.0,597.0,560.0,584.0,546804936,936806,26,563.0,597.0
2014-05-04,574.0,574.0,572.0,573.0,19374171,33827,3,584.0,573.0
2014-05-05,599.0,599.0,570.0,572.0,49993626,87401,7,573.0,570.0
2014-05-06,600.0,600.0,557.0,566.0,149435905,263806,12,572.0,560.0
2014-05-07,557.0,557.0,550.0,552.0,323026839,585427,17,566.0,550.0
2014-05-10,550.0,550.0,521.0,537.0,213232776,397400,15,552.0,522.0
2014-05-11,550.0,550.0,522.0,531.0,20158328,37984,7,537.0,522.0
2014-05-12,522.0,545.0,522.0,538.0,20301934,37747,3,531.0,545.0
2014-05-14,545.0,600.0,520.0,581.0,619370200,1066845,20,538.0,550.0
2014-05-17,544.0,600.0,544.0,578.0,596056305,1030608,22,581.0,600.0
2014-05-18,543.0,680.0,543.0,608.0,607594400,999916,21,578.0,601.0
2014-05-19,650.0,720.0,650.0,688.0,707216680,1028523,35,608.0,700.0
2014-05-20,750.0,800.0,710.0,751.0,283432546,377328,33,688.0,789.0
2014-05-21,846.0,850.0,750.0,812.0,763257895,939819,56,751.0,750.0
2014-05-24,750.0,750.0,650.0,692.0,473488000,684416,18,812.0,680.0
2014-05-25,680.0,680.0,656.0,663.0,63055274,95146,4,692.0,656.0
2014-05-26,657.0,657.0,640.0,649.0,47380040,73059,10,663.0,640.0
2014-05-28,650.0,652.0,600.0,635.0,59634240,93855,5,649.0,600.0
2014-05-31,600.0,650.0,600.0,617.0,180840000,293200,13,635.0,650.0
2014-06-01,632.0,655.0,598.0,618.0,536984684,868516,25,617.0,600.0
2014-06-02,616.0,640.0,580.0,609.0,115731807,190014,10,618.0,640.0
2014-06-03,639.0,645.0,638.0,640.0,140860594,220146,10,609.0,639.0
2014-06-07,627.0,701.0,627.0,666.0,847579393,1271955,35,640.0,700.0
2014-06-08,654.0,690.0,640.0,650.0,264593394,407012,13,666.0,640.0
2014-06-09,650.0,680.0,629.0,650.0,227506313,350000,7,650.0,629.0
2014-06-10,622.0,629.0,621.0,622.0,49635307,79863,4,650.0,629.0
2014-06-11,627.0,629.0,627.0,627.0,14505269,23121,4,622.0,627.0
2014-06-14,627.0,627.0,610.0,616.0,329033915,534000,16,627.0,610.0
2014-06-15,610.0,615.0,600.0,605.0,289936910,479431,13,616.0,600.0
2014-06-16,620.0,625.0,601.0,620.0,89722350,144720,8,605.0,620.0
2014-06-17,606.0,606.0,606.0,606.0,9696000,16000,1,620.0,606.0
2014-06-18,619.0,650.0,619.0,624.0,89254000,143000,4,606.0,650.0
2014-06-21,625.0,644.0,621.0,628.0,36331625,57821,6,624.0,625.0
2014-06-22,660.0,660.0,620.0,628.0,9921400,15790,5,628.0,620.0
2014-06-23,608.0,608.0,606.0,607.0,124552420,205070,4,628.0,607.0
2014-06-24,606.0,606.0,600.0,604.0,65795000,109000,4,607.0,600.0
2014-06-25,600.0,600.0,579.0,593.0,367841278,620065,15,604.0,590.0
2014-06-28,580.0,580.0,570.0,574.0,103400000,180000,2,593.0,570.0
2014-06-29,565.0,565.0,540.0,556.0,135149000,243000,8,574.0,550.0
2014-06-30,560.0,560.0,550.0,554.0,73105000,132000,5,556.0,551.0
2014-07-01,547.0,565.0,540.0,552.0,123108164,223163,7,554.0,565.0
2014-07-02,541.0,565.0,541.0,563.0,56326805,100105,4,552.0,563.0
2014-07-05,564.0,595.0,550.0,570.0,383529294,672456,15,563.0,595.0
2014-07-06,600.0,600.0,570.0,597.0,20076250,33628,4,570.0,597.0
