date,open,high,low,adjClose,value,volume,count,close
2005-01-15,1800.0,1800.0,1800.0,1800.0,2592000000,1440000,1810,1800.0
2005-01-16,1890.0,1890.0,1890.0,1890.0,491626800,260120,257,1890.0
2005-01-17,1984.0,1984.0,1984.0,1984.0,2976000000,1500000,1227,1984.0
2005-01-26,2083.0,2083.0,2083.0,2083.0,560735268,269196,198,2083.0
2005-01-30,2187.0,2187.0,2060.0,2162.0,5781634832,2673786,1834,2162.0
2005-01-31,2100.0,2270.0,2100.0,2262.0,2629635600,1162420,335,2262.0
2005-02-01,2375.0,2375.0,2271.0,2317.0,3166883606,1366584,371,2317.0
2005-02-02,2361.0,2361.0,2231.0,2281.0,791954104,347088,227,2281.0
2005-02-05,2288.0,2350.0,2222.0,2293.0,2522605232,1099893,238,2293.0
2005-02-06,2301.0,2392.0,2300.0,2338.0,2685725061,1148484,272,2338.0
2005-02-07,2300.0,2300.0,2243.0,2295.0,680700809,296570,99,2295.0
2005-02-08,2265.0,2302.0,2250.0,2266.0,190512884,84067,59,2266.0
2005-02-09,2300.0,2379.0,2300.0,2359.0,410973728,174206,78,2359.0
2005-02-12,2476.0,2476.0,2476.0,2476.0,143419824,57924,34,2476.0
2005-02-13,2599.0,2599.0,2599.0,2599.0,110483490,42510,15,2599.0
2005-02-14,2728.0,2728.0,2611.0,2712.0,1198460594,441861,161,2712.0
2005-02-15,2710.0,2729.0,2577.0,2652.0,474120249,178747,92,2652.0
2005-02-16,2520.0,2574.0,2520.0,2574.0,59585940,23645,13,2574.0
2005-02-21,2446.0,2510.0,2446.0,2450.0,254702992,103932,70,2450.0
2005-02-22,2328.0,2400.0,2328.0,2347.0,316520283,134817,68,2347.0
2005-02-23,2326.0,2365.0,2300.0,2343.0,290333176,123877,60,2343.0
2005-02-26,2460.0,2460.0,2355.0,2420.0,75678140,30974,15,2420.0
2005-02-27,2541.0,2541.0,2520.0,2540.0,622690352,245132,86,2540.0
2005-02-28,2667.0,2667.0,2542.0,2623.0,793687653,302552,111,2623.0
2005-03-01,2679.0,2700.0,2612.0,2651.0,374066135,141090,55,2651.0
2005-03-02,2650.0,2650.0,2590.0,2608.0,437971665,167889,52,2608.0
2005-03-05,2639.0,2640.0,2604.0,2623.0,88427949,33653,21,2623.0
2005-03-06,2630.0,2647.0,2601.0,2626.0,293001865,111572,56,2626.0
2005-03-07,2635.0,2757.0,2603.0,2683.0,18638422057,7076749,94,2683.0
2005-03-08,2817.0,2817.0,2817.0,2817.0,405878994,144082,43,2817.0
2005-03-09,2826.0,2957.0,2720.0,2891.0,994938147,344037,99,2891.0
2005-03-12,2891.0,2940.0,2763.0,2865.0,889848952,310590,83,2865.0
2005-03-13,3008.0,3008.0,2908.0,3007.0,1187105074,394747,115,3007.0
2005-03-14,3157.0,3157.0,3157.0,3157.0,1058494745,335285,98,3157.0
2005-03-15,3308.0,3314.0,3250.0,3303.0,1130265020,342141,127,3303.0
2005-03-16,3300.0,3468.0,3265.0,3330.0,1011704517,303799,95,3330.0
2005-03-26,3301.0,3350.0,3291.0,3323.0,89531130,26960,10,3323.0
2005-03-27,3480.0,3489.0,3425.0,3425.0,87598959,25126,19,3425.0
2005-03-28,3489.0,3489.0,3254.0,3348.0,790622131,236115,105,3348.0
2005-03-29,3190.0,3348.0,3181.0,3194.0,431712722,135137,66,3194.0
2005-03-30,3123.0,3300.0,3084.0,3181.0,437731987,137586,57,3181.0
2005-04-03,3200.0,3280.0,3063.0,3153.0,347250340,110122,42,3153.0
2005-04-04,3158.0,3158.0,3012.0,3096.0,215437689,69577,24,3096.0
2005-04-05,3029.0,3240.0,2950.0,3061.0,569668382,186084,71,3061.0
2005-04-06,3019.0,3179.0,2991.0,3052.0,1645898947,539196,127,3052.0
2005-04-10,3070.0,3204.0,3070.0,3129.0,12041454818,3921412,20,3129.0
2005-04-11,3285.0,3285.0,3154.0,3154.0,21728965,6615,7,3154.0
2005-04-12,3311.0,3311.0,3196.0,3196.0,35661631,10771,10,3196.0
2005-04-13,3355.0,3355.0,3355.0,3355.0,171658575,51165,11,3355.0
2005-04-16,3522.0,3522.0,3522.0,3522.0,911370330,258765,79,3522.0
2005-04-17,3698.0,3698.0,3433.0,3599.0,1438549555,399693,154,3599.0
2005-04-18,3421.0,3430.0,3420.0,3420.0,1433846726,419198,104,3420.0
2005-04-19,3421.0,3421.0,3270.0,3305.0,428635210,129674,57,3305.0
2005-04-20,3345.0,3420.0,3152.0,3306.0,9740568793,3082608,60,3306.0
2005-04-23,3354.0,3471.0,3354.0,3466.0,604646179,174401,58,3466.0
2005-04-24,3499.0,3639.0,3466.0,3556.0,1110797328,312294,86,3556.0
2005-04-25,3598.0,3733.0,3542.0,3658.0,1050254338,287037,81,3658.0
2005-05-01,3840.0,3840.0,3476.0,3575.0,95364251,26966,19,3575.0
2005-05-02,3479.0,3479.0,3397.0,3404.0,407571005,119713,44,3404.0
2005-05-03,3400.0,3574.0,3251.0,3406.0,1584718204,465236,137,3406.0
2005-05-04,3574.0,3575.0,3433.0,3506.0,1598695442,455883,63,3506.0
2005-05-07,3575.0,3600.0,3499.0,3530.0,732266878,207422,87,3530.0
2005-05-08,3530.0,3600.0,3356.0,3479.0,1858348691,539061,92,3479.0
2005-05-09,3506.0,3652.0,3455.0,3608.0,2154602901,600885,120,3608.0
2005-05-10,3788.0,3788.0,3788.0,3788.0,303100608,80016,37,3788.0
2005-05-11,3977.0,3977.0,3977.0,3977.0,257987990,64870,34,3977.0
2005-05-14,4175.0,4175.0,4175.0,4175.0,741008225,177487,65,4175.0
2005-05-15,4383.0,4383.0,4190.0,4362.0,7762549494,1779214,570,4362.0
2005-05-16,4470.0,4580.0,4388.0,4568.0,2025164634,443352,159,4568.0
2005-05-17,4796.0,4796.0,4789.0,4795.0,2345883182,489157,206,4795.0
2005-05-18,5034.0,5034.0,4995.0,5032.0,1165284368,231574,89,5032.0
2005-05-23,4781.0,5283.0,4781.0,5005.0,2579034851,515234,229,5005.0
2005-05-24,5255.0,5255.0,4835.0,5108.0,2681468869,524927,213,5108.0
