date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-05-11,8250.0,8250.0,8250.0,8250.0,203807967000,24703996,670,1000.0,8250.0
2011-05-14,8662.0,8662.0,8662.0,8662.0,2601657686,300353,67,8250.0,8662.0
2011-05-15,9095.0,9095.0,9095.0,9095.0,36763636195,4042181,222,8662.0,9095.0
2011-05-16,9549.0,9549.0,9000.0,9426.0,170869280064,18127487,12329,9095.0,9100.0
2011-05-17,9040.0,9120.0,8955.0,8966.0,51184751302,5708477,2422,9426.0,8955.0
2011-05-18,8800.0,9200.0,8706.0,9045.0,38595747893,4267091,2328,8966.0,9001.0
2011-05-21,8975.0,9150.0,8900.0,9012.0,17618325157,1954985,1070,9045.0,9015.0
2011-05-22,8825.0,8860.0,8562.0,8614.0,5486819805,636935,369,9012.0,8562.0
2011-05-23,8470.0,8540.0,8299.0,8353.0,8794275801,1052783,594,8614.0,8395.0
2011-05-24,8251.0,8490.0,8150.0,8386.0,7489890138,893171,439,8353.0,8290.0
2011-05-25,8192.0,8390.0,7967.0,8176.0,10853669500,1327453,475,8386.0,8390.0
2011-05-28,8301.0,8380.0,8250.0,8274.0,5558939490,671895,257,8176.0,8300.0
2011-05-29,8299.0,8300.0,7861.0,8096.0,8009982041,989413,307,8274.0,7861.0
2011-05-30,7751.0,8300.0,7751.0,8238.0,7517102073,912542,205,8096.0,8300.0
2011-05-31,8280.0,8377.0,8191.0,8302.0,5631296385,678304,169,8238.0,8299.0
2011-06-01,8171.0,8190.0,7953.0,8027.0,3284997209,409255,99,8302.0,8000.0
2011-06-06,7955.0,8050.0,7852.0,7945.0,2437231845,306763,154,8027.0,7855.0
2011-06-07,7851.0,7859.0,7548.0,7662.0,6120920799,798819,217,7945.0,7651.0
2011-06-08,7393.0,7788.0,7393.0,7629.0,2278045856,298618,124,7662.0,7740.0
2011-06-11,7550.0,7697.0,7248.0,7274.0,3288005316,451996,166,7629.0,7248.0
2011-06-12,7121.0,7300.0,7121.0,7227.0,3267889519,452174,197,7274.0,7230.0
