date,open,high,low,adjClose,value,volume,count,close
2014-06-25,2179.0,2179.0,2092.0,2171.0,5315838337,2448493,177,2092.0
2014-06-28,2085.0,2085.0,2085.0,2111.0,700539150,335990,81,2085.0
2014-06-29,2027.0,2027.0,2027.0,2111.0,5055338,2494,4,2027.0
2014-06-30,2027.0,2027.0,2027.0,2111.0,1013500,500,1,2027.0
2014-07-01,2027.0,2094.0,2027.0,2044.0,9986006331,4885067,1643,2046.0
2014-07-02,2040.0,2125.0,2017.0,2105.0,7249649752,3443951,1458,2125.0
2014-07-05,2125.0,2189.0,2125.0,2182.0,4662524796,2136811,334,2189.0
2014-07-06,2190.0,2190.0,2095.0,2096.0,5832302540,2782593,286,2095.0
2014-07-07,2013.0,2070.0,2013.0,2018.0,6485637824,3214400,388,2030.0
2014-07-08,2045.0,2098.0,2043.0,2086.0,3791248365,1817527,225,2098.0
2014-07-09,2133.0,2133.0,2003.0,2029.0,5363040100,2643732,478,2003.0
2014-07-12,1953.0,2030.0,1948.0,1973.0,4952186773,2509818,326,1948.0
2014-07-13,1966.0,1989.0,1895.0,1915.0,4401187320,2298053,299,1920.0
2014-07-14,1910.0,1970.0,1865.0,1909.0,7650282766,4006815,331,1890.0
2014-07-15,1862.0,1922.0,1834.0,1878.0,4582595084,2439568,278,1851.0
2014-07-16,1840.0,1910.0,1834.0,1878.0,2684869215,1429941,364,1890.0
2014-07-20,1889.0,1889.0,1810.0,1856.0,1658030283,893158,214,1847.0
2014-07-21,1823.0,1930.0,1823.0,1922.0,1410603422,733964,120,1930.0
2014-07-22,1998.0,1998.0,1941.0,1997.0,16025559682,8023356,587,1998.0
2014-07-23,2038.0,2038.0,1929.0,1982.0,8700688309,4389799,630,1935.0
2014-07-26,1950.0,1960.0,1903.0,1908.0,2668540334,1398354,210,1920.0
2014-07-27,1902.0,1944.0,1900.0,1913.0,1707472094,892776,163,1930.0
2014-07-28,1963.0,1964.0,1905.0,1926.0,2250647262,1168547,180,1920.0
2014-08-02,1950.0,1950.0,1849.0,1858.0,3595036720,1935322,231,1860.0
2014-08-03,1860.0,1910.0,1813.0,1841.0,2124333751,1153655,251,1840.0
2014-08-04,1880.0,1880.0,1841.0,1854.0,1058046802,570732,97,1870.0
2014-08-05,1822.0,1889.0,1820.0,1855.0,955695815,515186,109,1831.0
2014-08-06,1812.0,1859.0,1812.0,1832.0,707035917,387053,97,1859.0
2014-08-09,1835.0,1880.0,1835.0,1846.0,2749594473,1489837,180,1853.0
2014-08-10,1835.0,1850.0,1811.0,1819.0,988145212,543115,95,1813.0
2014-08-11,1815.0,1891.0,1815.0,1885.0,3737315653,1982427,305,1890.0
2014-08-12,1891.0,1960.0,1871.0,1951.0,11829278998,6062899,806,1950.0
2014-08-13,1880.0,2019.0,1880.0,1975.0,7647206619,3871044,553,1960.0
2014-08-16,1977.0,2040.0,1911.0,1997.0,6554167414,3281299,347,1980.0
2014-08-17,2009.0,2076.0,2008.0,2060.0,16092804306,7812564,1003,2040.0
2014-08-18,2075.0,2091.0,2006.0,2074.0,18626430954,8980381,605,2032.0
2014-08-19,2030.0,2129.0,2030.0,2078.0,6149789549,2959954,420,2048.0
2014-08-20,2079.0,2079.0,1995.0,2000.0,4102713187,2051218,261,1995.0
2014-08-23,1980.0,1980.0,1920.0,1925.0,7654384142,3976627,361,1920.0
2014-08-27,1780.0,1851.0,1780.0,1815.0,5923707131,3263191,491,1839.0
2014-08-30,1810.0,1870.0,1780.0,1815.0,5514845986,3038431,623,1791.0
2014-08-31,1785.0,1851.0,1785.0,1821.0,3040595151,1670054,257,1835.0
2014-09-01,1860.0,1893.0,1821.0,1864.0,4716472417,2529963,318,1893.0
2014-09-02,1930.0,1930.0,1834.0,1872.0,2757574670,1473120,217,1863.0
2014-09-03,1900.0,1900.0,1801.0,1825.0,1575805288,863272,134,1829.0
2014-09-06,1805.0,1810.0,1752.0,1776.0,3638344864,2048274,268,1770.0
2014-09-07,1711.0,1790.0,1710.0,1742.0,2740149819,1573417,214,1746.0
2014-09-08,1750.0,1770.0,1700.0,1716.0,3137004169,1828552,295,1727.0
2014-09-09,1760.0,1760.0,1678.0,1711.0,1861838050,1088401,184,1685.0
2014-09-10,1711.0,1747.0,1661.0,1691.0,1846304451,1091808,194,1670.0
2014-09-13,1729.0,1729.0,1624.0,1629.0,1658465283,1018325,175,1638.0
2014-09-14,1680.0,1680.0,1570.0,1583.0,3183061843,2011123,428,1579.0
2014-09-15,1618.0,1633.0,1570.0,1593.0,3295997164,2068977,255,1613.0
2014-09-16,1602.0,1606.0,1580.0,1594.0,729680858,457897,96,1597.0
2014-09-17,1623.0,1623.0,1580.0,1595.0,984379323,617030,127,1610.0
