date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-10-20,2082.0,2082.0,2082.0,2082.0,208200000,100000,1,1000.0,2082.0
2014-05-25,2082.0,2082.0,2082.0,2082.0,4164000,2000,1,2082.0,2082.0
2014-08-13,2082.0,2082.0,2082.0,2082.0,104100000,50000,1,1762.0,2082.0
2014-10-25,2099.0,2099.0,2099.0,2099.0,78712500,37500,1,2082.0,2099.0
2015-01-07,2100.0,2100.0,2100.0,2100.0,36750000,17500,1,2099.0,2100.0
2015-05-09,2200.0,2200.0,2200.0,2200.0,110000000,50000,3,2100.0,2200.0
2015-06-02,2251.0,2251.0,2251.0,2251.0,67530000,30000,1,2200.0,2251.0
2015-06-16,3000.0,3000.0,2700.0,2850.0,114000000,40000,2,2251.0,2700.0
2015-06-20,2700.0,2700.0,2700.0,2700.0,27000000,10000,1,2850.0,2700.0
2015-06-22,2700.0,2700.0,2700.0,2700.0,27000000,10000,1,2700.0,2700.0
2015-07-05,2750.0,2750.0,2700.0,2710.0,135500000,50000,4,2700.0,2700.0
2015-07-14,4000.0,4000.0,4000.0,4000.0,80000000,20000,2,2710.0,4000.0
2015-07-15,4200.0,4200.0,4200.0,4200.0,42000000,10000,2,4000.0,4200.0
2015-09-01,4300.0,4300.0,4300.0,4300.0,1797400000,418000,1,3880.0,4300.0
2015-09-08,4080.0,4300.0,4080.0,4253.0,1255907000,295300,7,4300.0,4190.0
2015-09-20,4170.0,4170.0,4170.0,4170.0,417000,100,1,4253.0,4170.0
2015-09-22,4170.0,4170.0,4150.0,4160.0,832000,200,2,4170.0,4150.0
2015-09-28,4185.0,4185.0,4140.0,4180.0,457290000,109400,3,4160.0,4140.0
2015-09-29,4500.0,4500.0,4500.0,4500.0,45000000,10000,1,4180.0,4500.0
2015-10-07,4800.0,4800.0,4800.0,4800.0,19104000,3980,1,4500.0,4800.0
2015-10-10,4780.0,5100.0,4780.0,4984.0,137050000,27500,3,4800.0,5100.0
2015-10-11,5400.0,5500.0,5400.0,5477.0,119400000,21800,2,4984.0,5500.0
2015-10-12,5500.0,5500.0,5500.0,5500.0,182600000,33200,1,5477.0,5500.0
2015-10-17,5500.0,5500.0,5500.0,5500.0,990000,180,1,5500.0,5500.0
2015-10-20,5500.0,5500.0,5500.0,5500.0,552062500,100375,3,5500.0,5500.0
2015-10-31,5400.0,5400.0,5400.0,5400.0,27000000,5000,3,5500.0,5400.0
2015-11-22,1222.0,1222.0,1220.0,1220.0,48819200,40000,3,1350.0,1220.0
2015-12-26,1333.0,1335.0,1333.0,1333.0,13332000,10000,2,1220.0,1335.0
2016-01-04,1333.0,1333.0,1310.0,1311.0,26223000,20000,3,1333.0,1310.0
2016-01-10,1311.0,1311.0,1311.0,1311.0,65550000,50000,1,1311.0,1311.0
